"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe","No lo conozco"
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.411,0.399,0.237,0.188,0.072,0.179,0.123
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0.012,0.029,0.073,0.023,0.023,0.024,0.035
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.03,0.058,0.104,0.1,0.075,0.062,0.042
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.018,0.061,0.164,0.172,0.072,0.19,0.274
"P18","Al candidato del Frente de Izquierda",0,0,0.007,0.008,0.046,0,0.015
"P18","No sabe",0,0.066,0.025,0.028,0.066,0.092,0.124
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.139,0.069,0.208,0.303,0.512,0.129,0.147
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.012,0.095,0.038,0.114,0.064,0.161,0.066
"P19","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.372,0.228,0.132,0.029,0.022,0.094,0.006
"P19","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.382,0.357,0.249,0.179,0.042,0.137,0.115
"P19","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.067,0.141,0.283,0.195,0.127,0.22,0.369
"P19","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0,0.003,0.025,0.032,0.054,0.056,0
"P19","No sabe",0.028,0.107,0.065,0.148,0.179,0.203,0.297
"P20","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.119,0.09,0.23,0.462,0.628,0.242,0.287
"P20","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio",0.715,0.583,0.326,0.098,0.034,0.192,0.103
"P20","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.059,0.138,0.282,0.204,0.145,0.254,0.274
"P20","Al candidato del Frente de Izquierda",0.097,0.039,0.031,0.056,0.043,0.098,0.034
"P20","No sabe",0.01,0.15,0.131,0.18,0.15,0.214,0.302
"P21","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.129,0.096,0.251,0.472,0.65,0.372,0.277
"P21","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.673,0.652,0.342,0.18,0.063,0.16,0.15
"P21","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.084,0.099,0.306,0.222,0.132,0.251,0.339
"P21","Al candidato del Frente de Izquierda",0.043,0.018,0.011,0.024,0.045,0.033,0
"P21","No sabe",0.071,0.135,0.09,0.102,0.11,0.184,0.234
"P22","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.127,0.124,0.218,0.384,0.521,0.266,0.26
"P22","A Horacio Rodríguez Larreta Presidente, Diego Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.711,0.501,0.216,0.122,0.031,0.144,0.087
"P22","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.046,0.193,0.381,0.252,0.166,0.267,0.382
"P22","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.043,0.042,0.012,0.061,0.058,0.048,0.011
"P22","No sabe",0.073,0.14,0.173,0.181,0.224,0.275,0.26
"P23","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.138,0.077,0.198,0.398,0.524,0.263,0.261
"P23","A Patricia Bullrich Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta",0.673,0.575,0.308,0.196,0.043,0.175,0.211
"P23","A Javier Milei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.038,0.228,0.349,0.234,0.158,0.246,0.294
"P23","Al los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.043,0.029,0.006,0.039,0.06,0.033,0.015
"P23","No sabe",0.108,0.091,0.139,0.133,0.215,0.283,0.219
"P24","Muy buena",0.223,0.097,0.129,0.282,0.418,0.117,0.152
"P24","Buena",0.088,0.172,0.125,0.193,0.138,0.156,0.127
"P24","Ni buena ni mala",0.082,0.262,0.368,0.186,0.08,0.259,0.104
"P24","Mala",0.233,0.2,0.14,0.212,0.058,0.048,0.05
"P24","Muy mala",0.361,0.24,0.179,0.12,0.279,0.125,0.071
"P24","No sabe",0.008,0.009,0.019,0.003,0.017,0.197,0.153
"P24","No lo conozco",0.005,0.02,0.04,0.004,0.01,0.098,0.343
"P25","Muy buena",0.21,0,0.031,0.078,0.039,0,0.011
"P25","Buena",0.037,0.139,0.026,0.075,0.086,0.036,0
"P25","Ni buena ni mala",0.214,0.272,0.553,0.331,0.241,0.172,0.09
"P25","Mala",0.112,0.136,0.114,0.292,0.127,0,0
"P25","Muy mala",0.243,0.141,0.121,0.071,0.285,0.05,0.006
"P25","No sabe",0.112,0.168,0.07,0.091,0.134,0.592,0.179
"P25","No lo conozco",0.072,0.144,0.085,0.062,0.088,0.15,0.714
"P27","Muy buena",0.35,0.095,0.05,0.041,0.008,0.036,0
"P27","Buena",0.168,0.261,0.071,0.079,0.011,0.016,0.018
"P27","Ni buena ni mala",0.162,0.286,0.553,0.246,0.094,0.179,0.012
"P27","Mala",0.018,0.031,0.051,0.392,0.092,0.009,0.009
"P27","Muy mala",0.049,0.011,0.017,0.038,0.507,0.053,0.038
"P27","No sabe",0.151,0.178,0.113,0.058,0.143,0.423,0.145
"P27","No lo conozco",0.102,0.138,0.145,0.146,0.145,0.284,0.778
"P28","Muy buena",0.247,0.052,0.012,0.034,0.005,0.052,0
"P28","Buena",0.095,0.063,0.045,0.039,0.012,0.062,0.018
"P28","Ni buena ni mala",0.255,0.236,0.457,0.268,0.115,0.24,0.012
"P28","Mala",0.032,0.048,0.093,0.266,0.052,0.027,0.009
"P28","Muy mala",0.063,0.044,0.008,0.018,0.375,0.007,0
"P28","No sabe",0.137,0.235,0.181,0.156,0.195,0.308,0.116
"P28","No lo conozco",0.171,0.322,0.204,0.219,0.246,0.304,0.845
"P29","Muy buena",0.146,0.039,0.074,0.061,0.028,0.052,0.009
"P29","Buena",0.114,0.128,0.064,0.035,0.02,0,0.023
"P29","Ni buena ni mala",0.221,0.265,0.395,0.278,0.074,0.15,0.095
"P29","Mala",0.083,0.068,0.084,0.307,0.092,0.034,0.017
"P29","Muy mala",0.148,0.049,0.061,0.04,0.421,0.061,0
"P29","No sabe",0.136,0.145,0.128,0.128,0.15,0.436,0.059
"P29","No lo conozco",0.152,0.306,0.194,0.151,0.215,0.267,0.797
"P30","Muy buena",0.138,0.013,0.07,0.18,0.342,0.182,0.125
"P30","Buena",0.134,0.146,0.127,0.22,0.211,0.038,0.056
"P30","Ni buena ni mala",0.152,0.283,0.269,0.128,0.077,0.249,0.205
"P30","Mala",0.128,0.228,0.245,0.283,0.083,0.225,0.065
"P30","Muy mala",0.416,0.298,0.241,0.178,0.28,0.119,0.212
"P30","No sabe",0.032,0.032,0.048,0.011,0.007,0.187,0.337
"P31","Que continúe el intendente Lucas Gui",0.168,0.032,0.069,0.244,0.33,0.138,0.133
"P31","Que continúe Lucas Gui pero con mejoras",0.075,0.242,0.207,0.29,0.303,0.27,0.146
"P31","Que cambie Lucas Gui pero que se mantengan los avances",0.149,0.073,0.19,0.069,0.074,0.137,0.025
"P31","Que cambie el intendente Lucas Gui",0.608,0.653,0.534,0.397,0.293,0.455,0.696
"P32","La seguridad",0.182,0.113,0.036,0.055,0.088,0.117,0.087
"P32","El tránsito",0.025,0.067,0.059,0.015,0.069,0.11,0.082
"P32","El arreglo de las calles",0.113,0.082,0.158,0.113,0.11,0.083,0.061
"P32","Los parques y espacios públicos",0.09,0.067,0.169,0.279,0.147,0.118,0.141
"P32","El sistema de salud",0.026,0.027,0.024,0.054,0.141,0.021,0.059
"P32","La limpieza de las calles",0.083,0.093,0.04,0.087,0.052,0.052,0.066
"P32","El deporte y la cultura",0.043,0.045,0.063,0.103,0.193,0.04,0.073
"P32","La luminaria",0.086,0.08,0.074,0.039,0.049,0.078,0.027
"P32","No sabe",0.352,0.426,0.377,0.255,0.151,0.381,0.404
"P33","La seguridad",0.586,0.563,0.506,0.418,0.326,0.454,0.532
"P33","El tránsito",0.059,0.059,0.042,0.032,0.105,0.022,0.066
"P33","El arreglo de las calles",0.197,0.149,0.171,0.198,0.243,0.216,0.083
"P33","Los parques y espacios públicos",0.006,0.01,0.043,0.084,0.029,0.011,0
"P33","El sistema de salud",0.051,0.029,0.056,0.023,0.08,0.083,0.036
"P33","La limpieza de las calles",0.012,0.007,0.011,0.074,0.055,0.021,0.041
"P33","El deporte y la cultura",0.008,0.022,0.051,0.002,0.029,0,0
"P33","La luminaria",0.004,0.012,0.017,0.016,0.028,0.041,0.014
"P33","No sabe",0.077,0.149,0.103,0.153,0.105,0.152,0.228
"P34","Agua corriente y cloacas",0.263,0.273,0.253,0.212,0.223,0.158,0.488
"P34","Energía eléctrica",0.223,0.15,0.161,0.089,0.129,0.422,0.097
"P34","Red de gas natural",0.088,0.064,0.117,0.066,0.026,0.032,0.014
"P34","Recolección de residuos",0.25,0.205,0.199,0.316,0.266,0.114,0.229
"P34","Ninguno",0.176,0.308,0.27,0.317,0.356,0.274,0.172
"P35","Los robos",0.342,0.521,0.45,0.437,0.461,0.391,0.409
"P35","El narcotráfico",0.133,0.154,0.107,0.092,0.074,0.292,0.069
"P35","La ausencia de patrulleros y personal policial",0.336,0.212,0.212,0.247,0.211,0.181,0.209
"P35","Otro",0.101,0.107,0.142,0.156,0.151,0.078,0.191
"P35","Ninguno",0.088,0.006,0.089,0.068,0.103,0.058,0.122
"P36","Muy buena",0.131,0.058,0.086,0.15,0.195,0.045,0.187
"P36","Buena",0.112,0.173,0.089,0.168,0.123,0.3,0.072
"P36","Ni buena ni mala",0.339,0.349,0.343,0.286,0.205,0.124,0.215
"P36","Mala",0.125,0.167,0.219,0.187,0.138,0.205,0.078
"P36","Muy mala",0.103,0.088,0.134,0.076,0.125,0,0.124
"P36","No sabe",0.19,0.165,0.129,0.133,0.214,0.326,0.324
"P37","Lo votaria",0.258,0.064,0.067,0.117,0.086,0.068,0.166
"P37","Puede que lo vote",0.022,0.06,0.074,0.22,0.328,0.26,0.04
"P37","Nunca lo votaría",0.673,0.808,0.777,0.565,0.432,0.545,0.616
"P37","No sabe",0.047,0.068,0.082,0.098,0.154,0.127,0.178
"P38","Lo votaria",0.236,0.05,0.079,0.111,0.123,0.151,0.044
"P38","Puede que lo vote",0.054,0.127,0.121,0.255,0.296,0.212,0.225
"P38","Nunca lo votaría",0.672,0.787,0.722,0.546,0.406,0.515,0.553
"P38","No sabe",0.038,0.036,0.078,0.088,0.175,0.122,0.178
"P39","Lo votaria",0.24,0.039,0.062,0.107,0.162,0.136,0.089
"P39","Puede que lo vote",0.033,0.116,0.11,0.261,0.355,0.098,0.103
"P39","Nunca lo votaría",0.684,0.814,0.761,0.549,0.36,0.609,0.609
"P39","No sabe",0.043,0.031,0.067,0.083,0.123,0.157,0.199
"P40","Lo votaria",0.518,0.151,0.085,0.076,0.04,0.191,0.065
"P40","Puede que lo vote",0.246,0.498,0.331,0.2,0.095,0.247,0.039
"P40","Nunca lo votaría",0.152,0.309,0.502,0.639,0.805,0.44,0.784
"P40","No sabe",0.084,0.042,0.082,0.085,0.06,0.122,0.112
"P41","Lo votaria",0.763,0.452,0.369,0.201,0.055,0.182,0.181
"P41","Puede que lo vote",0.124,0.335,0.226,0.153,0.053,0.21,0.236
"P41","Nunca lo votaría",0.104,0.192,0.364,0.551,0.843,0.462,0.485
"P41","No sabe",0.009,0.021,0.041,0.095,0.049,0.146,0.098
"P42","Lo votaria",0.266,0.102,0.091,0.065,0.063,0.07,0.097
"P42","Puede que lo vote",0.251,0.314,0.273,0.196,0.105,0.268,0.292
"P42","Nunca lo votaría",0.319,0.509,0.517,0.559,0.733,0.456,0.442
"P42","No sabe",0.164,0.075,0.119,0.18,0.099,0.206,0.169
"P43","Lo votaria",0.267,0.106,0.06,0.047,0.035,0.07,0.048
"P43","Puede que lo vote",0.22,0.288,0.217,0.178,0.079,0.097,0.079
"P43","Nunca lo votaría",0.378,0.496,0.557,0.641,0.8,0.647,0.578
"P43","No sabe",0.135,0.11,0.166,0.134,0.086,0.186,0.295
"P44","Lo votaria",0.271,0.223,0.392,0.21,0.134,0.292,0.344
"P44","Puede que lo vote",0.111,0.361,0.155,0.14,0.062,0.083,0.268
"P44","Nunca lo votaría",0.536,0.388,0.404,0.564,0.752,0.484,0.318
"P44","No sabe",0.082,0.028,0.049,0.086,0.052,0.141,0.07
"P45","Lo votaria",0.168,0.14,0.234,0.11,0.044,0.172,0.229
"P45","Puede que lo vote",0.316,0.47,0.254,0.176,0.057,0.112,0.233
"P45","Nunca lo votaría",0.464,0.316,0.417,0.584,0.849,0.543,0.463
"P45","No sabe",0.052,0.074,0.095,0.13,0.05,0.173,0.075
"P46","Muy buena",0.201,0.039,0.04,0.096,0.039,0.04,0.149
"P46","Buena",0.064,0.085,0.091,0.21,0.125,0.027,0.101
"P46","Ni buena ni mala",0.069,0.037,0.144,0.205,0.35,0.347,0.169
"P46","Mala",0.106,0.225,0.181,0.167,0.232,0.13,0.194
"P46","Muy mala",0.56,0.614,0.54,0.322,0.252,0.456,0.338
"P46","No sabe",0,0,0.004,0,0.002,0,0.049
"P47","Muy buena",0.699,0.318,0.11,0.081,0.04,0.081,0.152
"P47","Buena",0.114,0.345,0.258,0.116,0.049,0.111,0.057
"P47","Ni buena ni mala",0.065,0.125,0.2,0.147,0.073,0.196,0.137
"P47","Mala",0.035,0.161,0.151,0.303,0.154,0.118,0.415
"P47","Muy mala",0.087,0.051,0.278,0.343,0.679,0.373,0.208
"P47","No sabe",0,0,0.003,0.01,0.005,0.121,0.031
"P48","Muy buena",0.179,0.086,0.155,0.395,0.521,0.214,0.251
"P48","Buena",0,0.063,0.062,0.066,0.105,0.036,0.078
"P48","Ni buena ni mala",0.045,0.015,0.03,0.04,0.043,0.042,0.063
"P48","Mala",0.124,0.154,0.125,0.114,0.056,0.148,0.172
"P48","Muy mala",0.652,0.679,0.62,0.383,0.271,0.494,0.37
"P48","No sabe",0,0.003,0.008,0.002,0.004,0.066,0.066
"P49","Muy buena",0.458,0.112,0.105,0.1,0.079,0.151,0.054
"P49","Buena",0.262,0.407,0.148,0.112,0.052,0.071,0.107
"P49","Ni buena ni mala",0.118,0.194,0.343,0.21,0.125,0.186,0.25
"P49","Mala",0.087,0.108,0.17,0.298,0.144,0.129,0.238
"P49","Muy mala",0.058,0.154,0.222,0.28,0.599,0.248,0.27
"P49","No sabe",0.017,0.025,0.012,0,0.001,0.215,0.081
"P50","Muy buena",0.186,0.018,0.038,0.059,0.055,0.231,0.069
"P50","Buena",0.024,0.1,0.122,0.21,0.252,0.132,0.105
"P50","Ni buena ni mala",0.139,0.153,0.137,0.234,0.256,0.066,0.284
"P50","Mala",0.126,0.185,0.185,0.181,0.16,0.024,0.137
"P50","Muy mala",0.509,0.544,0.504,0.311,0.275,0.397,0.356
"P50","No sabe",0.016,0,0.014,0.005,0.002,0.15,0.049
"P51","Muy buena",0.802,0.439,0.241,0.186,0.043,0.208,0.122
"P51","Buena",0.077,0.332,0.203,0.129,0.059,0.161,0.128
"P51","Ni buena ni mala",0.066,0.096,0.172,0.133,0.069,0.036,0.353
"P51","Mala",0,0.029,0.103,0.224,0.13,0.012,0.161
"P51","Muy mala",0.039,0.104,0.271,0.328,0.699,0.387,0.156
"P51","No sabe",0.016,0,0.01,0,0,0.196,0.08
"P52","Muy buena",0.263,0.201,0.266,0.21,0.081,0.25,0.293
"P52","Buena",0.097,0.326,0.184,0.098,0.061,0.173,0.13
"P52","Ni buena ni mala",0.264,0.237,0.235,0.123,0.061,0.074,0.28
"P52","Mala",0.145,0.152,0.098,0.209,0.098,0.1,0.075
"P52","Muy mala",0.178,0.08,0.187,0.36,0.692,0.278,0.093
"P52","No sabe",0.053,0.004,0.03,0,0.007,0.125,0.129
