"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe","No lo conozco"
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.018,0.037,0.088,0.118,0.068,0.062,0.072
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.503,0.174,0.164,0.062,0.015,0.116,0.102
"P18","Al candidato del Frente de Izquierda",0,0,0.001,0.017,0.071,0.004,0.011
"P18","No sabe",0,0.011,0.036,0.006,0.073,0.081,0.067
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.089,0.059,0.18,0.472,0.441,0.233,0.235
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.085,0.141,0.035,0.073,0.088,0.085,0.061
"P19","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.15,0.08,0.162,0.075,0.052,0.122,0.096
"P19","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.024,0.382,0.251,0.167,0.093,0.248,0.209
"P19","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.616,0.32,0.266,0.105,0.055,0.128,0.168
"P19","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.01,0,0.011,0.018,0.093,0.017,0.033
"P19","No sabe",0.026,0.018,0.095,0.09,0.178,0.167,0.198
"P20","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.089,0.185,0.233,0.516,0.529,0.301,0.359
"P20","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio",0.227,0.318,0.313,0.171,0.13,0.366,0.274
"P20","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.59,0.39,0.259,0.154,0.065,0.133,0.144
"P20","Al candidato del Frente de Izquierda",0,0.081,0.036,0.09,0.109,0.03,0.03
"P20","No sabe",0.094,0.026,0.159,0.069,0.167,0.17,0.193
"P21","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.061,0.037,0.249,0.533,0.614,0.329,0.394
"P21","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.181,0.432,0.373,0.238,0.165,0.351,0.306
"P21","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.739,0.457,0.274,0.127,0.027,0.119,0.138
"P21","Al candidato del Frente de Izquierda",0,0.067,0.009,0.049,0.057,0.03,0.008
"P21","No sabe",0.019,0.007,0.095,0.053,0.137,0.171,0.154
"P22","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.04,0.2,0.205,0.493,0.466,0.264,0.305
"P22","A Horacio Rodríguez Larreta Presidente, Diego Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.173,0.205,0.279,0.223,0.107,0.261,0.236
"P22","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.757,0.478,0.344,0.113,0.055,0.196,0.199
"P22","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.019,0.096,0.01,0.059,0.097,0.036,0.027
"P22","No sabe",0.011,0.021,0.162,0.112,0.275,0.243,0.233
"P23","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.087,0.067,0.191,0.491,0.451,0.262,0.333
"P23","A Patricia Bullrich Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta",0.138,0.424,0.359,0.24,0.13,0.298,0.289
"P23","A Javier Milei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.756,0.42,0.311,0.138,0.044,0.221,0.168
"P23","Al los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.019,0.067,0.021,0.054,0.066,0.031,0.017
"P23","No sabe",0,0.022,0.118,0.077,0.309,0.188,0.193
"P24","Muy buena",0.211,0.162,0.194,0.337,0.332,0.176,0.229
"P24","Buena",0.021,0.208,0.142,0.16,0.131,0.153,0.165
"P24","Ni buena ni mala",0.31,0.215,0.286,0.176,0.097,0.233,0.141
"P24","Mala",0.237,0.19,0.168,0.215,0.056,0.133,0.094
"P24","Muy mala",0.216,0.219,0.175,0.105,0.362,0.208,0.202
"P24","No sabe",0.005,0,0.015,0,0.004,0.092,0.042
"P24","No lo conozco",0,0.006,0.02,0.007,0.018,0.005,0.127
"P25","Muy buena",0.131,0.126,0.033,0.093,0.023,0.046,0.032
"P25","Buena",0.039,0.176,0.054,0.076,0.088,0.042,0.044
"P25","Ni buena ni mala",0.383,0.266,0.568,0.292,0.262,0.26,0.163
"P25","Mala",0.158,0.09,0.182,0.305,0.157,0.064,0.074
"P25","Muy mala",0.202,0.198,0.076,0.073,0.417,0.126,0.113
"P25","No sabe",0.024,0.11,0.041,0.055,0.023,0.409,0.206
"P25","No lo conozco",0.063,0.034,0.046,0.106,0.03,0.053,0.368
"P26","Muy buena",0.204,0.162,0.075,0.054,0.079,0.073,0.048
"P26","Buena",0.098,0.328,0.161,0.08,0.047,0.14,0.176
"P26","Ni buena ni mala",0.311,0.273,0.402,0.164,0.099,0.209,0.187
"P26","Mala",0.212,0.122,0.231,0.493,0.052,0.17,0.119
"P26","Muy mala",0.124,0.088,0.078,0.188,0.705,0.254,0.217
"P26","No sabe",0.04,0,0.027,0.012,0.018,0.128,0.046
"P26","No lo conozco",0.011,0.027,0.026,0.009,0,0.026,0.207
"P27","Muy buena",0.194,0.165,0.06,0.075,0.051,0.04,0.043
"P27","Buena",0.066,0.367,0.132,0.096,0.008,0.036,0.051
"P27","Ni buena ni mala",0.404,0.223,0.56,0.19,0.128,0.174,0.097
"P27","Mala",0.105,0,0.079,0.515,0.092,0.073,0.028
"P27","Muy mala",0.132,0.046,0.041,0.043,0.632,0.065,0.087
"P27","No sabe",0.06,0.119,0.048,0.02,0.043,0.531,0.133
"P27","No lo conozco",0.039,0.08,0.08,0.061,0.046,0.081,0.561
"P28","Muy buena",0.272,0.125,0.021,0.028,0.033,0.016,0.01
"P28","Buena",0.076,0.22,0.057,0.055,0.015,0.012,0.003
"P28","Ni buena ni mala",0.19,0.346,0.721,0.171,0.107,0.057,0.049
"P28","Mala",0.204,0,0.018,0.545,0.075,0.01,0.005
"P28","Muy mala",0.124,0.025,0.011,0.002,0.646,0.013,0.008
"P28","No sabe",0.059,0.211,0.063,0.057,0.066,0.768,0.108
"P28","No lo conozco",0.075,0.073,0.109,0.142,0.058,0.124,0.817
"P30","Muy buena",0.21,0.1,0.133,0.222,0.249,0.16,0.121
"P30","Buena",0.019,0.278,0.098,0.133,0.199,0.146,0.228
"P30","Ni buena ni mala",0.061,0.217,0.348,0.112,0.078,0.124,0.174
"P30","Mala",0.324,0.14,0.178,0.397,0.07,0.21,0.135
"P30","Muy mala",0.365,0.243,0.228,0.129,0.404,0.246,0.231
"P30","No sabe",0.021,0.022,0.015,0.007,0,0.114,0.111
"P31","Que continúe el intendente Lucas Gui",0.147,0.035,0.13,0.28,0.308,0.169,0.137
"P31","Que continúe Lucas Gui pero con mejoras",0.11,0.427,0.191,0.199,0.297,0.198,0.296
"P31","Que cambie Lucas Gui pero que se mantengan los avances",0.033,0.016,0.181,0.09,0.072,0.1,0.1
"P31","Que cambie el intendente Lucas Gui",0.71,0.522,0.498,0.431,0.323,0.533,0.467
"P32","La seguridad",0.155,0.171,0.043,0.075,0.114,0.103,0.052
"P32","El tránsito",0.022,0.142,0.053,0.022,0.122,0.006,0.051
"P32","El arreglo de las calles",0.132,0.086,0.118,0.155,0.106,0.146,0.08
"P32","Los parques y espacios públicos",0.035,0.116,0.241,0.288,0.09,0.128,0.123
"P32","El sistema de salud",0.006,0,0.05,0.04,0.141,0.059,0.064
"P32","La limpieza de las calles",0.049,0.042,0.094,0.029,0.017,0.088,0.077
"P32","El deporte y la cultura",0.14,0.029,0.03,0.089,0.129,0.127,0.14
"P32","La luminaria",0,0.141,0.048,0.039,0.052,0.071,0.074
"P32","No sabe",0.461,0.273,0.323,0.263,0.229,0.272,0.339
"P33","La seguridad",0.567,0.482,0.503,0.419,0.319,0.507,0.454
"P33","El tránsito",0.085,0.127,0.036,0.053,0.132,0.024,0.047
"P33","El arreglo de las calles",0.058,0.142,0.24,0.161,0.303,0.123,0.169
"P33","Los parques y espacios públicos",0,0.063,0.028,0.11,0.036,0.027,0.017
"P33","El sistema de salud",0.012,0,0.044,0.038,0.055,0.081,0.062
"P33","La limpieza de las calles",0.036,0.095,0.043,0.065,0.011,0.031,0.022
"P33","El deporte y la cultura",0.069,0,0.015,0.027,0.005,0.039,0.026
"P33","La luminaria",0,0.016,0.013,0.014,0.033,0.027,0.017
"P33","No sabe",0.173,0.075,0.078,0.113,0.106,0.141,0.186
"P34","Agua corriente y cloacas",0.344,0.203,0.278,0.209,0.194,0.251,0.273
"P34","Energía eléctrica",0.173,0.28,0.163,0.097,0.143,0.16,0.118
"P34","Red de gas natural",0.039,0.121,0.081,0.076,0.083,0.062,0.03
"P34","Recolección de residuos",0.296,0.196,0.218,0.241,0.245,0.258,0.258
"P34","Ninguno",0.148,0.2,0.26,0.377,0.335,0.269,0.321
"P35","Los robos",0.497,0.367,0.467,0.442,0.486,0.451,0.413
"P35","El narcotráfico",0.126,0.265,0.151,0.063,0.058,0.114,0.082
"P35","La ausencia de patrulleros y personal policial",0.119,0.238,0.256,0.208,0.175,0.293,0.219
"P35","Otro",0.198,0.091,0.089,0.179,0.154,0.085,0.191
"P35","Ninguno",0.06,0.039,0.037,0.108,0.127,0.057,0.095
"P36","Muy buena",0.176,0.125,0.099,0.129,0.23,0.15,0.086
"P36","Buena",0.125,0.184,0.146,0.134,0.171,0.088,0.117
"P36","Ni buena ni mala",0.09,0.234,0.395,0.409,0.171,0.25,0.243
"P36","Mala",0.436,0.248,0.172,0.147,0.105,0.194,0.136
"P36","Muy mala",0.173,0.059,0.071,0.082,0.167,0.054,0.145
"P36","No sabe",0,0.15,0.117,0.099,0.156,0.264,0.273
"P37","Lo votaria",0.294,0.172,0.074,0.1,0.105,0.053,0.106
"P37","Puede que lo vote",0.017,0.121,0.116,0.249,0.249,0.179,0.158
"P37","Nunca lo votaría",0.672,0.698,0.763,0.523,0.483,0.678,0.575
"P37","No sabe",0.017,0.009,0.047,0.128,0.163,0.09,0.161
"P38","Lo votaria",0.265,0.075,0.078,0.13,0.12,0.101,0.088
"P38","Puede que lo vote",0.044,0.138,0.138,0.296,0.31,0.167,0.199
"P38","Nunca lo votaría",0.646,0.781,0.718,0.455,0.477,0.637,0.541
"P38","No sabe",0.045,0.006,0.066,0.119,0.093,0.095,0.172
"P39","Lo votaria",0.185,0.075,0.084,0.152,0.177,0.095,0.082
"P39","Puede que lo vote",0.037,0.113,0.116,0.277,0.342,0.175,0.212
"P39","Nunca lo votaría",0.636,0.812,0.751,0.485,0.412,0.649,0.557
"P39","No sabe",0.142,0,0.049,0.086,0.069,0.081,0.149
"P40","Lo votaria",0.206,0.297,0.112,0.099,0.126,0.097,0.078
"P40","Puede que lo vote",0.233,0.441,0.266,0.12,0.147,0.317,0.242
"P40","Nunca lo votaría",0.41,0.253,0.575,0.706,0.667,0.469,0.6
"P40","No sabe",0.151,0.009,0.047,0.075,0.06,0.117,0.08
"P41","Lo votaria",0.312,0.552,0.373,0.2,0.161,0.272,0.239
"P41","Puede que lo vote",0.248,0.279,0.172,0.095,0.056,0.199,0.228
"P41","Nunca lo votaría",0.367,0.169,0.408,0.635,0.758,0.461,0.46
"P41","No sabe",0.073,0,0.047,0.07,0.025,0.068,0.073
"P42","Lo votaria",0.21,0.084,0.11,0.071,0.101,0.104,0.058
"P42","Puede que lo vote",0.154,0.494,0.269,0.124,0.132,0.218,0.219
"P42","Nunca lo votaría",0.474,0.253,0.516,0.714,0.709,0.482,0.57
"P42","No sabe",0.162,0.169,0.105,0.091,0.058,0.196,0.153
"P43","Lo votaria",0.203,0.132,0.064,0.042,0.093,0.069,0.048
"P43","Puede que lo vote",0.105,0.348,0.255,0.128,0.11,0.144,0.142
"P43","Nunca lo votaría",0.636,0.387,0.54,0.722,0.765,0.595,0.623
"P43","No sabe",0.056,0.133,0.141,0.108,0.032,0.192,0.187
"P44","Lo votaria",0.779,0.543,0.301,0.101,0.112,0.197,0.227
"P44","Puede que lo vote",0.088,0.313,0.185,0.084,0.053,0.252,0.144
"P44","Nunca lo votaría",0.133,0.135,0.448,0.743,0.801,0.456,0.561
"P44","No sabe",0,0.009,0.066,0.072,0.034,0.095,0.068
"P45","Lo votaria",0.27,0.267,0.169,0.069,0.06,0.094,0.169
"P45","Puede que lo vote",0.305,0.532,0.288,0.114,0.109,0.2,0.185
"P45","Nunca lo votaría",0.379,0.103,0.428,0.723,0.807,0.59,0.57
"P45","No sabe",0.046,0.098,0.115,0.094,0.024,0.116,0.076
"P46","Muy buena",0.209,0.235,0.066,0.053,0.06,0.036,0.045
"P46","Buena",0.027,0.169,0.123,0.167,0.141,0.089,0.106
"P46","Ni buena ni mala",0.106,0.059,0.115,0.234,0.351,0.2,0.208
"P46","Mala",0.162,0.077,0.192,0.316,0.181,0.149,0.193
"P46","Muy mala",0.496,0.46,0.504,0.221,0.267,0.526,0.436
"P46","No sabe",0,0,0,0.009,0,0,0.012
"P47","Muy buena",0.212,0.183,0.204,0.099,0.123,0.136,0.175
"P47","Buena",0.161,0.426,0.231,0.13,0.088,0.143,0.106
"P47","Ni buena ni mala",0.212,0.161,0.143,0.108,0.055,0.174,0.131
"P47","Mala",0.189,0.074,0.205,0.27,0.126,0.187,0.195
"P47","Muy mala",0.226,0.156,0.208,0.393,0.608,0.336,0.378
"P47","No sabe",0,0,0.009,0,0,0.024,0.015
"P48","Muy buena",0.155,0.238,0.201,0.472,0.464,0.242,0.282
"P48","Buena",0.027,0.1,0.031,0.065,0.094,0.074,0.09
"P48","Ni buena ni mala",0.082,0.049,0.031,0.051,0.046,0.035,0.02
"P48","Mala",0.145,0.099,0.13,0.094,0.075,0.092,0.134
"P48","Muy mala",0.591,0.505,0.605,0.318,0.318,0.534,0.456
"P48","No sabe",0,0.009,0.002,0,0.003,0.023,0.018
"P49","Muy buena",0.251,0.135,0.129,0.11,0.144,0.18,0.055
"P49","Buena",0.191,0.399,0.177,0.106,0.053,0.186,0.14
"P49","Ni buena ni mala",0.2,0.117,0.289,0.186,0.144,0.239,0.198
"P49","Mala",0.104,0.144,0.145,0.283,0.157,0.077,0.245
"P49","Muy mala",0.254,0.196,0.252,0.315,0.499,0.264,0.331
"P49","No sabe",0,0.009,0.008,0,0.003,0.054,0.031
"P50","Muy buena",0.203,0.039,0.062,0.057,0.086,0.08,0.023
"P50","Buena",0.027,0.341,0.115,0.284,0.183,0.121,0.15
"P50","Ni buena ni mala",0.065,0.067,0.156,0.211,0.244,0.175,0.26
"P50","Mala",0.16,0.056,0.201,0.207,0.173,0.177,0.126
"P50","Muy mala",0.545,0.488,0.462,0.241,0.314,0.393,0.427
"P50","No sabe",0,0.009,0.004,0,0,0.054,0.014
"P51","Muy buena",0.295,0.387,0.304,0.158,0.152,0.283,0.206
"P51","Buena",0.219,0.345,0.197,0.078,0.077,0.11,0.164
"P51","Ni buena ni mala",0.135,0.075,0.123,0.138,0.057,0.092,0.188
"P51","Mala",0.131,0.024,0.123,0.227,0.111,0.113,0.081
"P51","Muy mala",0.22,0.16,0.253,0.399,0.603,0.348,0.34
"P51","No sabe",0,0.009,0,0,0,0.054,0.021
"P52","Muy buena",0.735,0.224,0.257,0.141,0.09,0.163,0.156
"P52","Buena",0.038,0.527,0.174,0.078,0.019,0.148,0.154
"P52","Ni buena ni mala",0.147,0.075,0.258,0.123,0.05,0.223,0.162
"P52","Mala",0,0.024,0.118,0.267,0.106,0.141,0.128
"P52","Muy mala",0.08,0.14,0.179,0.391,0.735,0.259,0.357
"P52","No sabe",0,0.01,0.014,0,0,0.066,0.043
