"var","categoria","Los robos","El narcotráfico","La ausencia de patrulleros y personal policial","Otro","Ninguno"
"P17","Nunca lo votaría",0.527,0.447,0.408,0.472,0.57
"P17","No sabe",0.377,0.41,0.453,0.484,0.325
"P18","Lucas Ghi con el  apoyo de Axel Kicillof y Cristina Fernández de Kirchner por el Frente de Todos",0.329,0.173,0.267,0.269,0.463
"P18","A Martin Marinucci con el apoyo de Axel Kicillof y Sergio Massa  por el Frente de Todos",0.032,0.101,0.036,0.045,0.098
"P18","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta y Mauricio Macri por Juntos por el Cambio",0.164,0.184,0.147,0.142,0.125
"P18","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.197,0.223,0.263,0.205,0.064
"P18","Al candidato de José Luis Espert por Juntos por el Cambio",0.046,0.012,0.06,0.003,0
"P18","A Roly Moretto con el apoyo de Facundo Manes por Juntos por el Cambio",0.072,0.06,0.086,0.092,0.113
"P18","A Ariel Diguan con el apoyo de Javier Milei por la Libertad Avanza",0.107,0.169,0.084,0.175,0.088
"P18","Al candidato del Frente de Izquierda",0.016,0.012,0.002,0.041,0.009
"P18","No sabe",0.037,0.066,0.055,0.028,0.04
"P19","A Scioli Presidente, Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.274,0.161,0.249,0.275,0.592
"P19","A Scioli Presidente, Kiciloff Gobernador y  Martin Marinucci Intendente por el Frente de Todos",0.074,0.07,0.04,0.077,0.088
"P19","A Horacio Rodríguez Larreta Presidente, Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.104,0.121,0.139,0.088,0.032
"P19","A Patricia Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta por Juntos por el Cambio",0.214,0.246,0.256,0.123,0.058
"P19","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.182,0.231,0.157,0.219,0.138
"P19","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.032,0.028,0.013,0.071,0.009
"P19","No sabe",0.12,0.143,0.146,0.147,0.083
"P20","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.358,0.214,0.342,0.362,0.632
"P20","A Ramiro Tagliaferro con el  apoyo de Horacio Rodríguez Larreta, Mauricio Macri y Patricia Bullrich por Juntos por el Cambio",0.277,0.3,0.361,0.181,0.073
"P20","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.159,0.278,0.17,0.232,0.134
"P20","Al candidato del Frente de Izquierda",0.051,0.051,0.025,0.069,0.08
"P20","No sabe",0.155,0.157,0.102,0.156,0.081
"P21","A Lucas Ghi con el  apoyo de Axel Kicilof, Cristina Fernández de Kirchner, Sergio Massa y Alberto Fernández por el Frente de Todos",0.369,0.23,0.348,0.373,0.648
"P21","A Analía Zapulla con el apoyo  de Patricia Bullrich y Mauricio Macri por Juntos por el Cambio",0.333,0.419,0.365,0.168,0.131
"P21","A Ariel Diguan con el apoyo de Javier Millei por la Libertad Avanza",0.149,0.254,0.18,0.28,0.091
"P21","Al candidato del Frente de Izquierda",0.027,0.012,0,0.076,0.014
"P21","No sabe",0.122,0.085,0.107,0.103,0.116
"P22","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.337,0.241,0.254,0.242,0.58
"P22","A Horacio Rodríguez Larreta Presidente, Diego Santilli Gobernador y Ramiro Tagliaferro Intendente por Juntos por el Cambio",0.249,0.303,0.246,0.157,0.073
"P22","A Javier Millei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.217,0.297,0.261,0.294,0.088
"P22","A los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.035,0.006,0.045,0.078,0.033
"P22","No sabe",0.162,0.153,0.194,0.229,0.226
"P23","A Daniel Scioli Presidente, Axel Kiciloff Gobernador y Lucas Ghi Intendente por el Frente de Todos",0.311,0.206,0.281,0.288,0.61
"P23","A Patricia Bullrich Presidenta, Joaquín De la Torre Gobernador y Analia Zapulla Intendenta",0.324,0.338,0.313,0.142,0.076
"P23","A Javier Milei Presidente, su candidato a Gobernador y Ariel Diguan Intendente por la Libertad Avanza",0.194,0.301,0.23,0.32,0.076
"P23","Al los candidatos a Presidente, Gobernador e Intendente del Frente de Izquierda",0.031,0.006,0.031,0.078,0.013
"P23","No sabe",0.14,0.149,0.145,0.172,0.225
"P24","Muy buena",0.25,0.285,0.18,0.281,0.402
"P24","Buena",0.164,0.182,0.149,0.116,0.152
"P24","Ni buena ni mala",0.175,0.152,0.29,0.179,0.185
"P24","Mala",0.156,0.081,0.142,0.162,0.063
"P24","Muy mala",0.217,0.248,0.182,0.162,0.111
"P24","No sabe",0.018,0.029,0.009,0.042,0.009
"P24","No lo conozco",0.02,0.023,0.048,0.058,0.078
"P25","Muy buena",0.034,0.058,0.033,0.017,0.192
"P25","Buena",0.065,0.028,0.064,0.108,0.066
"P25","Ni buena ni mala",0.358,0.364,0.346,0.225,0.251
"P25","Mala",0.137,0.114,0.174,0.24,0.084
"P25","Muy mala",0.156,0.119,0.103,0.165,0.124
"P25","No sabe",0.137,0.154,0.148,0.092,0.104
"P25","No lo conozco",0.113,0.163,0.132,0.153,0.179
"P26","Muy buena",0.058,0.094,0.113,0.055,0.087
"P26","Buena",0.159,0.194,0.127,0.104,0.012
"P26","Ni buena ni mala",0.233,0.23,0.216,0.235,0.265
"P26","Mala",0.205,0.178,0.227,0.234,0.183
"P26","Muy mala",0.261,0.173,0.235,0.273,0.335
"P26","No sabe",0.03,0.093,0.028,0.019,0.026
"P26","No lo conozco",0.054,0.038,0.054,0.08,0.092
"P27","Muy buena",0.067,0.123,0.057,0.04,0.108
"P27","Buena",0.095,0.136,0.079,0.049,0.021
"P27","Ni buena ni mala",0.245,0.267,0.251,0.239,0.154
"P27","Mala",0.113,0.133,0.117,0.186,0.131
"P27","Muy mala",0.166,0.061,0.072,0.173,0.293
"P27","No sabe",0.138,0.114,0.185,0.092,0.095
"P27","No lo conozco",0.176,0.166,0.239,0.221,0.198
"P28","Muy buena",0.03,0.108,0.033,0.043,0.069
"P28","Buena",0.053,0.043,0.028,0,0.054
"P28","Ni buena ni mala",0.278,0.332,0.25,0.167,0.133
"P28","Mala",0.065,0.067,0.08,0.184,0.173
"P28","Muy mala",0.127,0.045,0.057,0.119,0.115
"P28","No sabe",0.206,0.167,0.193,0.153,0.151
"P28","No lo conozco",0.241,0.238,0.359,0.334,0.305
"P29","Muy buena",0.052,0.054,0.024,0.066,0.036
"P29","Buena",0.04,0.12,0.052,0.032,0.025
"P29","Ni buena ni mala",0.245,0.328,0.265,0.15,0.111
"P29","Mala",0.122,0.072,0.113,0.158,0.172
"P29","Muy mala",0.156,0.077,0.111,0.158,0.235
"P29","No sabe",0.15,0.156,0.191,0.09,0.109
"P29","No lo conozco",0.235,0.193,0.244,0.346,0.312
"P30","Muy buena",0.164,0.188,0.131,0.133,0.415
"P30","Buena",0.176,0.124,0.149,0.24,0.14
"P30","Ni buena ni mala",0.159,0.163,0.212,0.174,0.146
"P30","Mala",0.197,0.183,0.208,0.231,0.104
"P30","Muy mala",0.277,0.265,0.239,0.174,0.156
"P30","No sabe",0.027,0.077,0.061,0.048,0.039
"P31","Que continúe el intendente Lucas Gui",0.176,0.155,0.145,0.135,0.461
"P31","Que continúe Lucas Gui pero con mejoras",0.232,0.231,0.238,0.363,0.24
"P31","Que cambie Lucas Gui pero que se mantengan los avances",0.076,0.119,0.187,0.048,0.08
"P31","Que cambie el intendente Lucas Gui",0.516,0.495,0.43,0.454,0.219
"P32","La seguridad",0.085,0.076,0.022,0.071,0.196
"P32","El tránsito",0.052,0.147,0.022,0.016,0.122
"P32","El arreglo de las calles",0.108,0.115,0.151,0.096,0.164
"P32","Los parques y espacios públicos",0.177,0.096,0.143,0.165,0.188
"P32","El sistema de salud",0.072,0.052,0.073,0.032,0.059
"P32","La limpieza de las calles",0.049,0.065,0.11,0.065,0.061
"P32","El deporte y la cultura",0.097,0.048,0.114,0.175,0.062
"P32","La luminaria",0.064,0.08,0.076,0.056,0.008
"P32","No sabe",0.296,0.321,0.289,0.324,0.14
"P33","La seguridad",0.563,0.438,0.451,0.21,0.25
"P33","El tránsito",0.063,0.08,0.045,0.08,0.065
"P33","El arreglo de las calles",0.178,0.21,0.219,0.187,0.193
"P33","Los parques y espacios públicos",0.029,0.014,0.009,0.12,0.077
"P33","El sistema de salud",0.02,0.053,0.102,0.061,0.059
"P33","La limpieza de las calles",0.027,0.038,0.038,0.048,0.078
"P33","El deporte y la cultura",0.013,0.03,0.027,0.043,0.04
"P33","La luminaria",0.014,0.023,0.027,0.002,0.032
"P33","No sabe",0.093,0.114,0.082,0.249,0.206
"P34","Agua corriente y cloacas",0.351,0.267,0.215,0.074,0.031
"P34","Energía eléctrica",0.136,0.287,0.134,0.096,0.125
"P34","Red de gas natural",0.047,0.075,0.123,0.049,0.028
"P34","Recolección de residuos",0.191,0.142,0.294,0.56,0.046
"P34","Ninguno",0.275,0.229,0.234,0.221,0.77
"P36","Muy buena",0.201,0.074,0.049,0.118,0.062
"P36","Buena",0.112,0.262,0.108,0.107,0.189
"P36","Ni buena ni mala",0.24,0.312,0.381,0.275,0.198
"P36","Mala",0.173,0.094,0.202,0.243,0.032
"P36","Muy mala",0.104,0.082,0.071,0.097,0.272
"P36","No sabe",0.17,0.176,0.189,0.16,0.247
"P37","Lo votaria",0.116,0.107,0.06,0.033,0.244
"P37","Puede que lo vote",0.17,0.126,0.127,0.233,0.218
"P37","Nunca lo votaría",0.624,0.684,0.727,0.544,0.378
"P37","No sabe",0.09,0.083,0.086,0.19,0.16
"P38","Lo votaria",0.102,0.122,0.064,0.119,0.194
"P38","Puede que lo vote",0.236,0.126,0.15,0.107,0.358
"P38","Nunca lo votaría",0.591,0.627,0.678,0.573,0.343
"P38","No sabe",0.071,0.125,0.108,0.201,0.105
"P39","Lo votaria",0.113,0.11,0.069,0.094,0.25
"P39","Puede que lo vote",0.233,0.086,0.162,0.202,0.244
"P39","Nunca lo votaría",0.591,0.716,0.681,0.558,0.351
"P39","No sabe",0.063,0.088,0.088,0.146,0.155
"P40","Lo votaria",0.1,0.129,0.105,0.14,0.189
"P40","Puede que lo vote",0.251,0.252,0.269,0.182,0.173
"P40","Nunca lo votaría",0.601,0.513,0.564,0.528,0.538
"P40","No sabe",0.048,0.106,0.062,0.15,0.1
"P41","Lo votaria",0.302,0.308,0.319,0.181,0.128
"P41","Puede que lo vote",0.176,0.252,0.171,0.172,0.052
"P41","Nunca lo votaría",0.475,0.4,0.475,0.552,0.703
"P41","No sabe",0.047,0.04,0.035,0.095,0.117
"P42","Lo votaria",0.111,0.11,0.074,0.058,0.08
"P42","Puede que lo vote",0.227,0.233,0.273,0.118,0.133
"P42","Nunca lo votaría",0.572,0.524,0.484,0.627,0.667
"P42","No sabe",0.09,0.133,0.169,0.197,0.12
"P43","Lo votaria",0.075,0.079,0.061,0.067,0.094
"P43","Puede que lo vote",0.175,0.215,0.201,0.116,0.086
"P43","Nunca lo votaría",0.639,0.522,0.596,0.652,0.665
"P43","No sabe",0.111,0.184,0.142,0.165,0.155
"P44","Lo votaria",0.275,0.281,0.22,0.234,0.157
"P44","Puede que lo vote",0.148,0.199,0.193,0.117,0.094
"P44","Nunca lo votaría",0.524,0.456,0.53,0.55,0.696
"P44","No sabe",0.053,0.064,0.057,0.099,0.053
"P45","Lo votaria",0.16,0.257,0.109,0.071,0.056
"P45","Puede que lo vote",0.222,0.303,0.22,0.141,0.156
"P45","Nunca lo votaría",0.56,0.318,0.601,0.602,0.709
"P45","No sabe",0.058,0.122,0.07,0.186,0.079
"P46","Muy buena",0.067,0.159,0.04,0.046,0.09
"P46","Buena",0.112,0.126,0.104,0.044,0.334
"P46","Ni buena ni mala",0.179,0.097,0.196,0.308,0.274
"P46","Mala",0.198,0.197,0.162,0.241,0.149
"P46","Muy mala",0.442,0.421,0.485,0.361,0.153
"P46","No sabe",0.002,0,0.013,0,0
"P47","Muy buena",0.148,0.206,0.211,0.084,0.147
"P47","Buena",0.166,0.264,0.149,0.108,0.096
"P47","Ni buena ni mala",0.139,0.174,0.116,0.102,0.125
"P47","Mala",0.178,0.13,0.185,0.254,0.225
"P47","Muy mala",0.363,0.19,0.339,0.436,0.393
"P47","No sabe",0.006,0.036,0,0.016,0.014
"P48","Muy buena",0.312,0.257,0.255,0.313,0.402
"P48","Buena",0.069,0.047,0.054,0.115,0.075
"P48","Ni buena ni mala",0.03,0.02,0.051,0.035,0.061
"P48","Mala",0.098,0.166,0.092,0.153,0.108
"P48","Muy mala",0.485,0.51,0.533,0.38,0.32
"P48","No sabe",0.006,0,0.015,0.004,0.034
"P49","Muy buena",0.125,0.117,0.11,0.102,0.209
"P49","Buena",0.163,0.233,0.161,0.069,0.117
"P49","Ni buena ni mala",0.203,0.226,0.251,0.201,0.133
"P49","Mala",0.175,0.171,0.156,0.196,0.216
"P49","Muy mala",0.322,0.253,0.297,0.396,0.288
"P49","No sabe",0.012,0,0.025,0.036,0.037
"P50","Muy buena",0.062,0.113,0.053,0.015,0.12
"P50","Buena",0.177,0.104,0.12,0.21,0.212
"P50","Ni buena ni mala",0.192,0.173,0.182,0.209,0.274
"P50","Mala",0.156,0.178,0.182,0.202,0.087
"P50","Muy mala",0.402,0.423,0.45,0.343,0.287
"P50","No sabe",0.011,0.009,0.013,0.021,0.02
"P51","Muy buena",0.224,0.336,0.283,0.198,0.144
"P51","Buena",0.175,0.251,0.131,0.086,0.047
"P51","Ni buena ni mala",0.129,0.069,0.087,0.176,0.198
"P51","Mala",0.116,0.072,0.122,0.137,0.127
"P51","Muy mala",0.344,0.255,0.362,0.389,0.464
"P51","No sabe",0.012,0.017,0.015,0.014,0.02
"P52","Muy buena",0.223,0.256,0.151,0.197,0.106
"P52","Buena",0.148,0.216,0.168,0.067,0.061
"P52","Ni buena ni mala",0.152,0.178,0.224,0.133,0.121
"P52","Mala",0.135,0.101,0.126,0.157,0.1
"P52","Muy mala",0.329,0.215,0.296,0.404,0.592
"P52","No sabe",0.013,0.034,0.035,0.042,0.02
