"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Valdés","Ríos","Massa","Milei","Ciudad de Corrientes","Otra localidad"
"CFK","Negativa",0.443,0.405,0.477,0.479,0.377,0.491,0.48,0.284,0.462,0.669,0.522,0.308,0.117,0.627,0.394,0.472
"CFK","No sabe",0.046,0.042,0.05,0.05,0.062,0.025,0.029,0.056,0.058,0.013,0.041,0.031,0.06,0.025,0.042,0.049
"Sergio Massa","Positiva",0.285,0.291,0.278,0.239,0.302,0.318,0.272,0.408,0.244,0.153,0.239,0.403,0.612,0.121,0.313,0.268
"Sergio Massa","Neutra",0.171,0.187,0.156,0.189,0.167,0.156,0.17,0.176,0.18,0.148,0.165,0.154,0.173,0.163,0.22,0.14
"Sergio Massa","Negativa",0.52,0.513,0.528,0.558,0.495,0.516,0.529,0.378,0.56,0.686,0.58,0.42,0.204,0.696,0.456,0.56
"Sergio Massa","No sabe",0.024,0.009,0.038,0.014,0.036,0.01,0.029,0.038,0.016,0.013,0.016,0.023,0.011,0.02,0.011,0.032
"Eduardo Tassano","Positiva",0.241,0.254,0.228,0.178,0.214,0.266,0.388,0.314,0.187,0.208,0.272,0.222,0.196,0.295,0.273,0.221
"Eduardo Tassano","Neutra",0.414,0.401,0.426,0.436,0.413,0.416,0.374,0.366,0.47,0.402,0.425,0.348,0.448,0.381,0.406,0.419
"Eduardo Tassano","Negativa",0.251,0.279,0.226,0.28,0.266,0.247,0.167,0.227,0.229,0.326,0.229,0.317,0.261,0.256,0.272,0.239
"Eduardo Tassano","No sabe",0.094,0.066,0.12,0.106,0.107,0.071,0.071,0.093,0.114,0.064,0.074,0.113,0.095,0.068,0.049,0.121
"Carlos Mauricio Espíndola","Positiva",0.211,0.237,0.186,0.146,0.229,0.224,0.266,0.306,0.142,0.164,0.19,0.289,0.32,0.156,0.286,0.165
"Carlos Mauricio Espíndola","Neutra",0.437,0.406,0.467,0.472,0.444,0.382,0.438,0.403,0.485,0.418,0.435,0.412,0.448,0.409,0.398,0.461
"Carlos Mauricio Espíndola","Negativa",0.292,0.301,0.283,0.313,0.252,0.346,0.276,0.225,0.298,0.393,0.32,0.248,0.176,0.38,0.268,0.306
"Carlos Mauricio Espíndola","No sabe",0.06,0.056,0.064,0.069,0.075,0.048,0.02,0.066,0.075,0.025,0.055,0.051,0.056,0.055,0.048,0.068
"Noelia Bassi","Positiva",0.208,0.22,0.196,0.211,0.205,0.199,0.223,0.269,0.163,0.178,0.225,0.214,0.221,0.217,0.194,0.215
"Noelia Bassi","Neutra",0.461,0.442,0.48,0.414,0.439,0.515,0.527,0.43,0.509,0.438,0.49,0.394,0.446,0.48,0.496,0.441
"Noelia Bassi","Negativa",0.205,0.234,0.178,0.268,0.226,0.145,0.125,0.195,0.192,0.242,0.164,0.267,0.219,0.173,0.209,0.203
"Noelia Bassi","No sabe",0.126,0.104,0.146,0.107,0.13,0.141,0.125,0.106,0.136,0.142,0.121,0.125,0.114,0.13,0.101,0.141
"Germán Braillard","Positiva",0.197,0.209,0.186,0.167,0.165,0.227,0.298,0.25,0.163,0.164,0.213,0.2,0.252,0.189,0.228,0.178
"Germán Braillard","Neutra",0.465,0.416,0.511,0.442,0.499,0.449,0.439,0.414,0.515,0.47,0.479,0.407,0.463,0.435,0.479,0.456
"Germán Braillard","Negativa",0.249,0.289,0.211,0.308,0.229,0.23,0.219,0.242,0.23,0.291,0.238,0.29,0.193,0.299,0.236,0.257
"Germán Braillard","No sabe",0.089,0.086,0.092,0.083,0.107,0.094,0.044,0.094,0.092,0.075,0.07,0.103,0.092,0.077,0.057,0.109
"Tincho Ascua","Positiva",0.155,0.174,0.137,0.153,0.153,0.151,0.169,0.203,0.13,0.114,0.137,0.197,0.3,0.091,0.151,0.158
"Tincho Ascua","Neutra",0.461,0.404,0.515,0.427,0.476,0.472,0.468,0.427,0.512,0.436,0.494,0.393,0.42,0.478,0.529,0.42
"Tincho Ascua","Negativa",0.248,0.299,0.2,0.286,0.243,0.22,0.235,0.239,0.214,0.318,0.258,0.253,0.156,0.305,0.203,0.275
"Tincho Ascua","No sabe",0.136,0.123,0.148,0.134,0.128,0.157,0.128,0.131,0.144,0.132,0.111,0.157,0.124,0.126,0.117,0.147
"Pitin Aragon","Positiva",0.134,0.149,0.118,0.088,0.146,0.141,0.172,0.195,0.089,0.105,0.107,0.194,0.248,0.086,0.184,0.102
"Pitin Aragon","Neutra",0.467,0.414,0.518,0.49,0.445,0.473,0.48,0.408,0.546,0.439,0.52,0.348,0.47,0.458,0.48,0.46
"Pitin Aragon","Negativa",0.282,0.339,0.229,0.319,0.274,0.266,0.257,0.285,0.236,0.349,0.282,0.305,0.179,0.347,0.25,0.301
"Pitin Aragon","No sabe",0.117,0.098,0.135,0.103,0.135,0.12,0.091,0.112,0.129,0.107,0.091,0.153,0.103,0.109,0.086,0.137
"Emiliano Fernandez","Positiva",0.133,0.141,0.125,0.148,0.135,0.107,0.138,0.181,0.106,0.097,0.116,0.163,0.233,0.088,0.148,0.123
"Emiliano Fernandez","Neutra",0.477,0.444,0.509,0.43,0.484,0.5,0.511,0.419,0.534,0.483,0.5,0.431,0.48,0.478,0.536,0.441
"Emiliano Fernandez","Negativa",0.233,0.273,0.194,0.283,0.229,0.194,0.212,0.248,0.204,0.253,0.246,0.218,0.138,0.291,0.191,0.259
"Emiliano Fernandez","No sabe",0.157,0.142,0.172,0.139,0.152,0.199,0.139,0.152,0.156,0.167,0.138,0.188,0.149,0.143,0.125,0.177
