"var","categoria","Sergio Massa a presidente y Agustín Rossi a vicepresidente por Unión por la Patria","Juan Grabois a presidente y Paula Abal Medina a vicepresidenta por Unión por la Patria","Patricia Bullrich a presidenta y Luis Petri a vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente y Gerardo Morales a vicepresidente por Juntos por el Cambio","Javier Milei a presidente y Victoria Villarruel a vicepresidenta por la Libertad Avanza","A los candidatos a presidente del Frente de Izquierda","En blanco","No sabe"
"P17","Nunca lo votaría",0.852,0.554,0.164,0.272,0.503,0.684,0.858,0.476
"P17","No sabe",0.051,0.186,0.002,0.098,0.093,0.121,0.084,0.391
"P18","Lo votaría",0.035,0.095,0.233,0.603,0.079,0.021,0,0.006
"P18","Puede que lo vote",0.06,0.123,0.392,0.289,0.178,0.191,0.058,0.051
"P18","Nunca lo votaría",0.855,0.661,0.352,0.051,0.647,0.74,0.697,0.486
"P18","No sabe",0.05,0.121,0.023,0.057,0.096,0.048,0.245,0.457
"P19","Lo votaría",0.031,0.057,0.142,0.18,0.742,0.243,0,0.029
"P19","Puede que lo vote",0.035,0.077,0.217,0.115,0.176,0.118,0.084,0.104
"P19","Nunca lo votaría",0.909,0.748,0.621,0.622,0.068,0.505,0.662,0.524
"P19","No sabe",0.025,0.118,0.02,0.083,0.014,0.134,0.254,0.343
"P20","Lo votaría",0.409,0.357,0.11,0.068,0.183,0.355,0.177,0.178
"P20","Puede que lo vote",0.154,0.12,0.061,0.113,0.094,0.156,0.056,0.08
"P20","Nunca lo votaría",0.346,0.386,0.794,0.725,0.62,0.39,0.529,0.489
"P20","No sabe",0.091,0.137,0.035,0.094,0.103,0.099,0.238,0.253
"P21","Lo votaría",0.465,0.344,0.105,0.046,0.198,0.04,0.088,0.117
"P21","Puede que lo vote",0.229,0.24,0.122,0.095,0.158,0.273,0.056,0.245
"P21","Nunca lo votaría",0.248,0.349,0.762,0.791,0.598,0.639,0.667,0.386
"P21","No sabe",0.058,0.067,0.011,0.068,0.046,0.048,0.189,0.252
"P22","Lo votaría",0.114,0.079,0.024,0,0.051,0,0,0.018
"P22","Puede que lo vote",0.108,0.06,0.025,0.058,0.058,0.02,0,0.065
"P22","Nunca lo votaría",0.674,0.719,0.854,0.812,0.787,0.898,0.923,0.656
"P22","No sabe",0.104,0.142,0.097,0.13,0.104,0.082,0.077,0.261
"P23","Lo votaría",0.104,0.153,0.233,0.191,0.216,0.236,0.313,0.309
"P23","Puede que lo vote",0.089,0.099,0.113,0.166,0.151,0.169,0.056,0.196
"P23","Nunca lo votaría",0.742,0.593,0.607,0.552,0.542,0.461,0.512,0.354
"P23","No sabe",0.065,0.155,0.047,0.091,0.091,0.134,0.119,0.141
"P24","Lo votaría",0.046,0.047,0.271,0.257,0.156,0.021,0.137,0.05
"P24","Puede que lo vote",0.074,0.072,0.221,0.15,0.139,0.138,0.148,0.149
"P24","Nunca lo votaría",0.804,0.702,0.448,0.478,0.601,0.711,0.606,0.601
"P24","No sabe",0.076,0.179,0.06,0.115,0.104,0.13,0.109,0.2
"P25","Lo votaría",0.02,0.044,0.076,0.088,0.145,0,0,0.068
"P25","Puede que lo vote",0.038,0.054,0.134,0.184,0.121,0.072,0.119,0.075
"P25","Nunca lo votaría",0.857,0.764,0.685,0.646,0.611,0.88,0.771,0.569
"P25","No sabe",0.085,0.138,0.105,0.082,0.123,0.048,0.11,0.288
"P26","Lo votaría",0.055,0.046,0.087,0.068,0.053,0.092,0.165,0.048
"P26","Puede que lo vote",0.092,0.095,0.114,0.194,0.127,0.128,0.056,0.087
"P26","Nunca lo votaría",0.744,0.658,0.712,0.652,0.693,0.732,0.631,0.589
"P26","No sabe",0.109,0.201,0.087,0.086,0.127,0.048,0.148,0.276
"P27","Lo votaría",0.029,0.03,0.107,0.18,0.093,0.021,0.023,0.011
"P27","Puede que lo vote",0.041,0.06,0.266,0.302,0.117,0.075,0,0.058
"P27","Nunca lo votaría",0.819,0.771,0.536,0.44,0.692,0.835,0.782,0.652
"P27","No sabe",0.111,0.139,0.091,0.078,0.098,0.069,0.195,0.279
"P28","Lo votaría",0.008,0.03,0.006,0.085,0.048,0,0,0
"P28","Puede que lo vote",0.015,0.021,0.022,0.056,0.032,0,0,0.022
"P28","Nunca lo votaría",0.88,0.863,0.8,0.726,0.752,0.952,0.771,0.714
"P28","No sabe",0.097,0.086,0.172,0.133,0.168,0.048,0.229,0.264
"P29","Lo votaría",0.01,0.043,0.299,0.239,0.121,0.052,0.043,0.08
"P29","Puede que lo vote",0.042,0.049,0.187,0.288,0.192,0.311,0.016,0.106
"P29","Nunca lo votaría",0.909,0.832,0.478,0.434,0.59,0.589,0.711,0.616
"P29","No sabe",0.039,0.076,0.036,0.039,0.097,0.048,0.23,0.198
"P30","Lo votaría",0.008,0,0.123,0.111,0.047,0,0,0
"P30","Puede que lo vote",0.027,0.016,0.097,0.081,0.077,0.145,0,0.024
"P30","Nunca lo votaría",0.884,0.903,0.629,0.742,0.77,0.808,0.684,0.732
"P30","No sabe",0.081,0.081,0.151,0.066,0.106,0.047,0.316,0.244
"P31","Si",0.467,0.335,0.463,0.509,0.471,0.19,0.231,0.443
"P31","No",0.533,0.665,0.537,0.491,0.529,0.81,0.769,0.557
