"var","categoria","A Luis Juez por Juntos por el Cambio","A Martín Llaryora por Hacemos por Córdoba","Al candidato del Frente de Todos","Al candidato de los liberales libertarios con el apoyo de Javier Milei","A Aurelio García Elorrio por Encuentro Vecinal Córdoba","Al candidato del Frente de Izquierda","Votaría en blanco","No sabe"
"P13","Al candidato del Frente de Todos",0.024,0.015,0.881,0.015,0,0.008,0.05,0.009
"P13","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.068,0.014,0,0.763,0.025,0.054,0.067,0.009
"P13","A Aurelio Garcia Elorrio por Encuentro Vecinal Cordoba",0.027,0.005,0.003,0.022,0.678,0.006,0,0.014
"P13","Al candidato del Frente de Izquierda",0.008,0.001,0,0,0,0.863,0,0
"P13","Votaría en blanco",0.046,0,0.015,0.01,0.006,0.013,0.494,0.028
"P13","No sabe",0.08,0.017,0.016,0.003,0.032,0.026,0.107,0.726
"P17","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.811,0.163,0.028,0.107,0.186,0.042,0.13,0.157
"P17","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.098,0.676,0.046,0.019,0.015,0.011,0.034,0.068
"P17","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.007,0.037,0.883,0.01,0.018,0,0.046,0.024
"P17","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.044,0.01,0.003,0.834,0.038,0.023,0.023,0.035
"P17","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.009,0.011,0,0.002,0.657,0.104,0.032,0.008
"P17","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.004,0.008,0.017,0,0.007,0.793,0.032,0.005
"P17","Votaría en blanco",0.005,0.031,0.023,0.025,0.012,0.008,0.524,0.038
"P17","No sabe",0.022,0.064,0,0.003,0.067,0.019,0.179,0.665
"P18","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.697,0.171,0.021,0.15,0.263,0.066,0.163,0.228
"P18","Martín Llaryora gobernador – Alejandra Vigo vicegobernadora por Hacemos por Córdoba",0.095,0.685,0.053,0.015,0.016,0,0.067,0.053
"P18","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.01,0.033,0.891,0.021,0.01,0.013,0.033,0.02
"P18","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.065,0.014,0.003,0.791,0.049,0.078,0.059,0.043
"P18","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.014,0.019,0.003,0,0.584,0.105,0.033,0.015
"P18","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.007,0.004,0.004,0.009,0,0.687,0.047,0.01
"P18","Votaría en blanco",0.031,0.017,0.016,0,0.035,0.01,0.465,0.057
"P18","No sabe",0.081,0.057,0.009,0.014,0.043,0.041,0.133,0.574
"P19","Luis Juez gobernador – Rodrigo De Loredo vicegobernador por Juntos por el Cambio",0.8,0.143,0.032,0.09,0.211,0.022,0.152,0.162
"P19","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdoba",0.113,0.672,0.142,0.027,0.032,0.061,0.082,0.032
"P19","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.009,0.044,0.787,0.004,0,0.01,0.015,0.02
"P19","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.029,0.023,0.012,0.853,0.052,0.096,0.024,0.016
"P19","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.007,0.021,0.005,0.007,0.608,0.12,0.018,0.012
"P19","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.005,0.002,0.008,0.011,0,0.66,0.052,0.016
"P19","Votaría en blanco",0.014,0.027,0.004,0.002,0.044,0,0.582,0.05
"P19","No sabe",0.023,0.068,0.01,0.006,0.053,0.031,0.075,0.692
"P20","Rodrigo De Loredo gobernador – Luis Juez vicegobernador por Juntos por el Cambio",0.682,0.165,0.028,0.146,0.3,0.021,0.166,0.227
"P20","Martín Llaryora gobernador – Natalia de la Sota vicegobernadora por Hacemos por Córdo-ba",0.113,0.684,0.177,0.018,0.016,0.061,0.126,0.039
"P20","A los candidatos  a gobernador y vicegobernador del Frente de Todos",0.008,0.035,0.774,0.008,0.028,0.01,0.016,0.018
"P20","A los candidatos de gobernador y vicegobernador de los liberales libertarios con el apoyo de Javier Milei",0.054,0.015,0.003,0.815,0.041,0.086,0.045,0.024
"P20","A los candidatos a gobernador y vicegobernador de Encuentro Vecinal Córdoba",0.022,0.007,0,0,0.554,0.129,0,0
"P20","A los candidatos a gobernador y vicegobernador del Frente de Izquierda",0.004,0.008,0.008,0,0,0.635,0.039,0.006
"P20","Votaría en blanco",0.043,0.036,0,0,0.008,0,0.492,0.043
"P20","No sabe",0.074,0.05,0.01,0.013,0.053,0.058,0.116,0.643
"P21","Lo votaría",0.48,0.211,0.042,0.188,0.374,0.021,0.262,0.181
"P21","Puede que lo vote",0.316,0.218,0.023,0.311,0.277,0.069,0.123,0.241
"P21","Nunca lo votaría",0.19,0.562,0.925,0.404,0.314,0.859,0.449,0.421
"P21","No sabe",0.014,0.009,0.01,0.097,0.035,0.051,0.166,0.157
"P22","Lo votaría",0.15,0.644,0.182,0.042,0.09,0.01,0.133,0.054
"P22","Puede que lo vote",0.139,0.213,0.316,0.246,0.327,0.244,0.289,0.286
"P22","Nunca lo votaría",0.698,0.134,0.492,0.702,0.557,0.694,0.46,0.508
"P22","No sabe",0.013,0.009,0.01,0.01,0.026,0.052,0.118,0.152
"P23","Lo votaría",0.614,0.125,0.114,0.126,0.141,0.049,0.082,0.107
"P23","Puede que lo vote",0.219,0.164,0.074,0.247,0.276,0.078,0.135,0.187
"P23","Nunca lo votaría",0.15,0.69,0.794,0.578,0.583,0.821,0.665,0.543
"P23","No sabe",0.017,0.021,0.018,0.049,0,0.052,0.118,0.163
"P24","Lo votaría",0.063,0.104,0.502,0.069,0.048,0.044,0.041,0.075
"P24","Puede que lo vote",0.094,0.202,0.263,0.04,0.192,0.246,0.133,0.179
"P24","Nunca lo votaría",0.836,0.685,0.235,0.884,0.76,0.684,0.778,0.689
"P24","No sabe",0.007,0.009,0,0.007,0,0.026,0.048,0.057
"P25","Muy buena",0.432,0.139,0.09,0.269,0.211,0.028,0.045,0.111
"P25","Buena",0.224,0.177,0.032,0.101,0.172,0.113,0.192,0.223
"P25","Ni buena ni mala",0.252,0.357,0.185,0.383,0.424,0.223,0.238,0.321
"P25","Mala",0.025,0.158,0.219,0.115,0.108,0.33,0.059,0.096
"P25","Muy mala",0.043,0.124,0.449,0.128,0.05,0.296,0.344,0.132
"P25","No sabe",0.024,0.045,0.025,0.004,0.035,0.01,0.122,0.117
"P26","Muy buena",0.458,0.1,0.005,0.108,0.149,0.016,0.088,0.044
"P26","Buena",0.313,0.136,0.031,0.165,0.126,0.103,0.046,0.156
"P26","Ni buena ni mala",0.139,0.184,0.129,0.297,0.266,0.036,0.17,0.28
"P26","Mala",0.04,0.253,0.173,0.23,0.365,0.333,0.163,0.17
"P26","Muy mala",0.045,0.3,0.639,0.196,0.094,0.502,0.485,0.221
"P26","No sabe",0.005,0.027,0.023,0.004,0,0.01,0.048,0.129
"P27","Muy buena",0.093,0.471,0.175,0.098,0.056,0.046,0.048,0.054
"P27","Buena",0.135,0.3,0.239,0.113,0.186,0.091,0.129,0.149
"P27","Ni buena ni mala",0.35,0.098,0.202,0.257,0.271,0.311,0.191,0.341
"P27","Mala",0.261,0.074,0.219,0.288,0.322,0.112,0.36,0.144
"P27","Muy mala",0.153,0.034,0.159,0.232,0.159,0.429,0.224,0.186
"P27","No sabe",0.008,0.023,0.006,0.012,0.006,0.011,0.048,0.126
"P28","Muy buena",0.137,0.128,0.037,0.133,0.58,0.029,0.03,0.033
"P28","Buena",0.192,0.106,0.088,0.093,0.263,0.051,0.12,0.148
"P28","Ni buena ni mala",0.402,0.414,0.229,0.3,0.077,0.258,0.412,0.327
"P28","Mala",0.088,0.098,0.164,0.144,0.07,0.141,0.162,0.152
"P28","Muy mala",0.098,0.118,0.346,0.218,0.01,0.463,0.119,0.107
"P28","No sabe",0.083,0.136,0.136,0.112,0,0.058,0.157,0.233
"P29","Muy buena",0.019,0.056,0.136,0.03,0.087,0.025,0.068,0
"P29","Buena",0.073,0.167,0.35,0.018,0.06,0.086,0,0.063
"P29","Ni buena ni mala",0.091,0.2,0.258,0.092,0.068,0.299,0.199,0.222
"P29","Mala",0.123,0.22,0.114,0.136,0.171,0.206,0.187,0.32
"P29","Muy mala",0.667,0.314,0.123,0.68,0.614,0.359,0.497,0.338
"P29","No sabe",0.027,0.043,0.019,0.044,0,0.025,0.049,0.057
"P30","Muy buena",0.033,0.239,0.751,0.022,0.068,0.163,0.189,0.044
"P30","Buena",0.046,0.125,0.063,0.003,0,0.126,0,0.086
"P30","Ni buena ni mala",0.04,0.087,0.067,0.068,0.038,0.287,0.097,0.098
"P30","Mala",0.092,0.141,0.059,0.115,0.132,0.046,0.105,0.339
"P30","Muy mala",0.782,0.395,0.06,0.785,0.762,0.367,0.56,0.409
"P30","No sabe",0.007,0.013,0,0.007,0,0.011,0.049,0.024
"P31","Muy buena",0.356,0.1,0.066,0.084,0.125,0.031,0.109,0.062
"P31","Buena",0.265,0.166,0.018,0.191,0.175,0,0.18,0.264
"P31","Ni buena ni mala",0.122,0.155,0.077,0.291,0.183,0.067,0.158,0.116
"P31","Mala",0.092,0.198,0.084,0.165,0.255,0.062,0.099,0.204
"P31","Muy mala",0.16,0.367,0.73,0.265,0.262,0.829,0.405,0.304
"P31","No sabe",0.005,0.014,0.025,0.004,0,0.011,0.049,0.05
"P32","Muy buena",0.174,0.061,0.022,0.04,0.1,0.017,0.102,0.064
"P32","Buena",0.339,0.172,0.01,0.126,0.145,0.048,0.178,0.13
"P32","Ni buena ni mala",0.274,0.272,0.133,0.276,0.451,0.032,0.103,0.372
"P32","Mala",0.096,0.181,0.164,0.203,0.126,0.117,0.087,0.159
"P32","Muy mala",0.097,0.274,0.647,0.302,0.158,0.775,0.481,0.209
"P32","No sabe",0.02,0.04,0.024,0.053,0.02,0.011,0.049,0.066
"P33","Muy buena",0.028,0.062,0.145,0.018,0.095,0.05,0.061,0.05
"P33","Buena",0.122,0.167,0.351,0.014,0.049,0.214,0,0.104
"P33","Ni buena ni mala",0.062,0.282,0.267,0.159,0.086,0.187,0.253,0.161
"P33","Mala",0.2,0.177,0.094,0.14,0.207,0.115,0.271,0.341
"P33","Muy mala",0.571,0.262,0.134,0.624,0.563,0.423,0.366,0.293
"P33","No sabe",0.017,0.05,0.009,0.045,0,0.011,0.049,0.051
"P34","Muy buena",0.482,0.214,0.023,0.222,0.354,0.039,0.085,0.176
"P34","Buena",0.224,0.101,0.026,0.269,0.139,0.189,0.304,0.149
"P34","Ni buena ni mala",0.064,0.186,0.071,0.244,0.154,0.018,0.1,0.266
"P34","Mala",0.079,0.161,0.097,0.11,0.107,0.078,0.149,0.1
"P34","Muy mala",0.136,0.315,0.763,0.142,0.236,0.665,0.312,0.268
"P34","No sabe",0.015,0.023,0.02,0.013,0.01,0.011,0.05,0.041
"P35","Muy buena",0.115,0.401,0.037,0.102,0.102,0.031,0.183,0.071
"P35","Buena",0.223,0.236,0.103,0.088,0.26,0.027,0.036,0.13
"P35","Ni buena ni mala",0.282,0.163,0.221,0.288,0.295,0.066,0.217,0.368
"P35","Mala",0.199,0.093,0.321,0.267,0.227,0.436,0.176,0.177
"P35","Muy mala",0.169,0.1,0.298,0.199,0.116,0.429,0.334,0.236
"P35","No sabe",0.012,0.007,0.02,0.056,0,0.011,0.054,0.018
"P36","Muy buena",0.175,0.142,0,0.544,0.093,0.032,0.11,0.087
"P36","Buena",0.139,0.108,0.022,0.081,0.169,0,0.082,0.21
"P36","Ni buena ni mala",0.319,0.272,0.101,0.241,0.384,0.028,0.188,0.226
"P36","Mala",0.159,0.151,0.062,0.059,0.151,0.185,0.224,0.138
"P36","Muy mala",0.163,0.304,0.795,0.03,0.155,0.744,0.343,0.295
"P36","No sabe",0.045,0.023,0.02,0.045,0.048,0.011,0.053,0.044
"P37","Muy buena",0.157,0.078,0.006,0.057,0.16,0.018,0.123,0.097
"P37","Buena",0.253,0.122,0.035,0.128,0.323,0.048,0.22,0.151
"P37","Ni buena ni mala",0.29,0.372,0.242,0.35,0.33,0.302,0.163,0.276
"P37","Mala",0.128,0.189,0.245,0.105,0.125,0.126,0.142,0.167
"P37","Muy mala",0.113,0.152,0.438,0.28,0.062,0.483,0.298,0.171
"P37","No sabe",0.059,0.087,0.034,0.08,0,0.023,0.054,0.138
"P38","Muy buena",0.096,0.024,0.012,0.031,0.137,0,0.041,0.065
"P38","Buena",0.196,0.085,0.015,0.045,0.232,0.022,0.23,0.098
"P38","Ni buena ni mala",0.37,0.396,0.185,0.323,0.276,0.204,0.155,0.196
"P38","Mala",0.078,0.16,0.148,0.099,0.146,0.123,0.128,0.206
"P38","Muy mala",0.133,0.187,0.58,0.339,0.099,0.537,0.305,0.2
"P38","No sabe",0.127,0.148,0.06,0.163,0.11,0.114,0.141,0.235
"P39","Muy buena",0.119,0.062,0.023,0.058,0.145,0.058,0.073,0.08
"P39","Buena",0.156,0.114,0.06,0.058,0.172,0.024,0.114,0.126
"P39","Ni buena ni mala",0.416,0.4,0.348,0.394,0.388,0.167,0.267,0.307
"P39","Mala",0.125,0.128,0.162,0.131,0.097,0.274,0.164,0.169
"P39","Muy mala",0.089,0.155,0.371,0.308,0.111,0.415,0.216,0.117
"P39","No sabe",0.095,0.141,0.036,0.051,0.087,0.062,0.166,0.201
"P42","A Rodrigo De Loredo por Juntos por el Cambio",0.729,0.225,0.107,0.375,0.373,0.046,0.34,0.23
"P42","A Daniel Passerini por Hacemos por Cordoba",0.1,0.605,0.183,0.118,0.158,0.109,0.116,0.175
"P42","Al candidato del frente de todos",0.037,0.077,0.641,0.057,0.039,0.012,0.022,0.028
"P42","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.016,0.013,0.019,0.426,0.066,0,0.023,0.123
"P42","A  Juan Pablo Quinteros por Encuentro Vecinal",0.049,0.016,0.031,0,0.286,0.159,0.032,0.027
"P42","Al candidato del frente de izquierda",0.007,0.008,0,0,0.008,0.59,0.075,0.074
"P42","Votaría en blanco",0.008,0.01,0.004,0,0,0.03,0.334,0.031
"P42","No sabe",0.054,0.046,0.015,0.024,0.07,0.054,0.058,0.312
"P44","A Luis Juez por Juntos por el Cambio",0.707,0.158,0,0.244,0.148,0,0.106,0.119
"P44","A Daniel Passerini por Hacemos por Cordoba",0.121,0.672,0.163,0.089,0.113,0.081,0.087,0.133
"P44","Al candidato del frente de todos",0.013,0.031,0.756,0,0,0.024,0.024,0.009
"P44","Al candidato de los liberales libertarios con el apoyo de Javier Milei",0.031,0.041,0.014,0.583,0.033,0.028,0.062,0.031
"P44","A  Juan Pablo Quinteros por Encuentro Vecinal",0.044,0.026,0.02,0.01,0.523,0.177,0.055,0.101
"P44","Al candidato del frente de izquierda",0.01,0.029,0.02,0,0,0.59,0.08,0.039
"P44","Votaría en blanco",0.016,0.008,0.011,0,0.046,0,0.537,0.057
"P44","No sabe",0.058,0.035,0.016,0.074,0.137,0.1,0.049,0.511
"P46","Lo votaría",0.696,0.159,0.019,0.369,0.453,0.017,0.347,0.281
"P46","Puede que lo vote",0.2,0.236,0.04,0.357,0.217,0.123,0.085,0.159
"P46","Nunca lo votaría",0.09,0.582,0.941,0.267,0.315,0.821,0.502,0.506
"P46","No sabe",0.014,0.023,0,0.007,0.015,0.039,0.066,0.054
"P47","Lo votaría",0.175,0.544,0.187,0.106,0.187,0.044,0.195,0.142
"P47","Puede que lo vote",0.122,0.195,0.324,0.169,0.262,0.174,0.087,0.178
"P47","Nunca lo votaría",0.69,0.231,0.489,0.713,0.535,0.75,0.649,0.659
"P47","No sabe",0.013,0.03,0,0.012,0.016,0.032,0.069,0.021
"P48","Lo votaría",0.558,0.184,0.088,0.082,0.161,0.06,0.076,0.051
"P48","Puede que lo vote",0.278,0.109,0.078,0.326,0.214,0.069,0.211,0.162
"P48","Nunca lo votaría",0.153,0.677,0.834,0.585,0.609,0.838,0.644,0.767
"P48","No sabe",0.011,0.03,0,0.007,0.016,0.033,0.069,0.02
"P49","Lo votaría",0.181,0.053,0.015,0.137,0.351,0.078,0.058,0.08
"P49","Puede que lo vote",0.236,0.241,0.215,0.27,0.392,0.071,0.171,0.289
"P49","Nunca lo votaría",0.569,0.664,0.758,0.585,0.218,0.83,0.702,0.61
"P49","No sabe",0.014,0.042,0.012,0.008,0.039,0.021,0.069,0.021
"P50","Lo votaría",0.032,0.133,0.301,0.087,0.063,0.048,0.135,0.127
"P50","Puede que lo vote",0.128,0.274,0.338,0.122,0.111,0.211,0.151,0.148
"P50","Nunca lo votaría",0.831,0.562,0.349,0.783,0.81,0.67,0.645,0.69
"P50","No sabe",0.009,0.031,0.012,0.008,0.016,0.071,0.069,0.035
"P51","Luis Juez gobernador – Rodrigo De Loredo intendente por Juntos por el Cambio",0.868,0.125,0,0.247,0.251,0.144,0.31,0.226
"P51","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.092,0.747,0.09,0.059,0.022,0.059,0.025,0.076
"P51","A los candidatos a gobernador e intendente del Frente de Todos",0.008,0.036,0.885,0.037,0,0.032,0.032,0.022
"P51","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0.005,0.044,0.005,0.557,0.054,0.032,0,0
"P51","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.002,0.021,0.006,0.047,0.597,0,0.034,0.03
"P51","A los candidatos a gobernador e intendente del Frente de Izquierda",0.007,0.004,0.014,0,0,0.617,0.103,0.097
"P51","Votaría en blanco",0.004,0,0,0.015,0.039,0,0.345,0.105
"P51","No sabe",0.014,0.023,0,0.038,0.037,0.116,0.151,0.444
"P52","Rodrigo De Loredo gobernador – Luis Juez intendente por Juntos por el Cambio",0.694,0.137,0.046,0.238,0.313,0.109,0.209,0.224
"P52","Martín Llaryora gobernador – Daniel Passerini intendente por Hacemos por Córdoba",0.09,0.72,0.096,0.06,0.038,0.128,0.087,0.106
"P52","A los candidatos a gobernador e intendente del Frente de Todos",0.024,0.035,0.822,0.058,0,0.061,0.033,0.023
"P52","A los candidatos a gobernador e intendente de los liberales libertarios con el apoyo de Ja-vier Milei",0.045,0.031,0.006,0.603,0,0,0.033,0
"P52","A Aurelio García Elorrio gobernador – Juan Pablo Quinteros intendente por Encuentro Veci-nal Córdoba",0.047,0.019,0.016,0,0.571,0,0.033,0.072
"P52","A los candidatos a gobernador e intendente del Frente de Izquierda",0.011,0.002,0.014,0,0,0.646,0.103,0
"P52","Votaría en blanco",0.02,0,0,0.015,0.013,0,0.24,0.128
"P52","No sabe",0.069,0.056,0,0.026,0.065,0.056,0.262,0.447
