"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Centro","Norte","Sur","Buenos Aires"
"Facundo Manes","Neutra",0.355,0.349,0.36,0.31,0.344,0.374,0.419,0.341,0.349,0.379,0.353,0.373,0.261,0.374,0.366,0.378,0.329
"Facundo Manes","Negativa",0.274,0.295,0.254,0.307,0.304,0.266,0.165,0.274,0.264,0.29,0.34,0.205,0.28,0.284,0.223,0.256,0.292
"Facundo Manes","No sabe",0.136,0.108,0.163,0.238,0.13,0.079,0.074,0.17,0.159,0.062,0.16,0.094,0.106,0.142,0.181,0.195,0.102
"Horacio Rodriguez Larreta","Positiva",0.226,0.207,0.244,0.156,0.201,0.271,0.33,0.202,0.223,0.26,0.112,0.38,0.244,0.21,0.223,0.142,0.254
"Horacio Rodriguez Larreta","Neutra",0.297,0.279,0.314,0.267,0.29,0.316,0.328,0.346,0.28,0.264,0.276,0.307,0.382,0.29,0.371,0.276,0.271
"Horacio Rodriguez Larreta","Negativa",0.434,0.482,0.388,0.507,0.469,0.384,0.312,0.392,0.453,0.453,0.575,0.284,0.325,0.444,0.349,0.518,0.452
"Horacio Rodriguez Larreta","No sabe",0.043,0.032,0.054,0.07,0.04,0.029,0.03,0.06,0.044,0.023,0.037,0.029,0.049,0.056,0.057,0.064,0.023
"Wado de Pedro","Positiva",0.224,0.216,0.231,0.175,0.215,0.279,0.242,0.22,0.215,0.242,0.405,0.081,0.2,0.181,0.181,0.217,0.28
"Wado de Pedro","Neutra",0.236,0.224,0.248,0.239,0.257,0.212,0.218,0.254,0.236,0.216,0.264,0.198,0.271,0.219,0.3,0.257,0.219
"Wado de Pedro","Negativa",0.407,0.454,0.362,0.362,0.402,0.439,0.44,0.358,0.405,0.467,0.205,0.609,0.383,0.448,0.358,0.412,0.394
"Wado de Pedro","No sabe",0.133,0.106,0.159,0.224,0.126,0.07,0.1,0.168,0.144,0.075,0.126,0.112,0.146,0.152,0.161,0.114,0.107
"Martin Lousteau","Positiva",0.212,0.197,0.225,0.128,0.176,0.28,0.322,0.179,0.197,0.268,0.103,0.333,0.303,0.219,0.179,0.163,0.226
"Martin Lousteau","Neutra",0.299,0.287,0.312,0.25,0.296,0.326,0.344,0.321,0.291,0.288,0.271,0.327,0.347,0.285,0.315,0.268,0.309
"Martin Lousteau","Negativa",0.389,0.441,0.34,0.414,0.441,0.354,0.283,0.371,0.399,0.397,0.517,0.266,0.27,0.384,0.357,0.492,0.395
"Martin Lousteau","No sabe",0.1,0.075,0.123,0.208,0.087,0.04,0.051,0.129,0.113,0.047,0.109,0.074,0.08,0.112,0.149,0.077,0.07
"Maximo Kirchner","Positiva",0.203,0.199,0.207,0.179,0.197,0.228,0.22,0.252,0.188,0.169,0.41,0.047,0.072,0.153,0.179,0.244,0.25
"Maximo Kirchner","Neutra",0.139,0.123,0.156,0.162,0.154,0.124,0.093,0.156,0.143,0.115,0.226,0.046,0.142,0.128,0.179,0.146,0.13
"Maximo Kirchner","Negativa",0.601,0.628,0.574,0.547,0.603,0.621,0.648,0.508,0.614,0.689,0.306,0.878,0.706,0.658,0.565,0.565,0.575
"Maximo Kirchner","No sabe",0.057,0.05,0.063,0.112,0.046,0.027,0.039,0.084,0.055,0.027,0.058,0.029,0.08,0.061,0.077,0.045,0.045
"Sergio Massa","Positiva",0.182,0.173,0.19,0.16,0.161,0.219,0.209,0.218,0.169,0.158,0.323,0.086,0.148,0.154,0.19,0.163,0.203
"Sergio Massa","Neutra",0.231,0.201,0.259,0.267,0.252,0.191,0.184,0.252,0.245,0.186,0.346,0.108,0.227,0.213,0.259,0.296,0.224
"Sergio Massa","Negativa",0.553,0.595,0.515,0.508,0.558,0.576,0.582,0.476,0.554,0.643,0.305,0.791,0.538,0.589,0.514,0.519,0.548
"Sergio Massa","No sabe",0.034,0.031,0.036,0.065,0.029,0.014,0.025,0.054,0.032,0.013,0.026,0.015,0.087,0.044,0.037,0.022,0.025
"Elisa Carrio","Positiva",0.178,0.16,0.194,0.12,0.145,0.232,0.266,0.145,0.174,0.22,0.079,0.312,0.156,0.192,0.165,0.101,0.181
"Elisa Carrio","Neutra",0.253,0.249,0.258,0.225,0.261,0.269,0.258,0.261,0.245,0.258,0.189,0.302,0.353,0.24,0.344,0.24,0.225
"Elisa Carrio","Negativa",0.499,0.54,0.459,0.509,0.538,0.466,0.434,0.493,0.502,0.5,0.661,0.344,0.398,0.489,0.388,0.604,0.544
"Elisa Carrio","No sabe",0.07,0.051,0.089,0.146,0.056,0.033,0.042,0.101,0.079,0.022,0.071,0.042,0.093,0.079,0.103,0.055,0.05
"Daniel Scioli","Positiva",0.162,0.173,0.153,0.157,0.152,0.194,0.154,0.187,0.16,0.139,0.293,0.064,0.094,0.132,0.186,0.156,0.18
"Daniel Scioli","Neutra",0.278,0.245,0.309,0.275,0.285,0.276,0.27,0.312,0.286,0.225,0.391,0.166,0.288,0.248,0.269,0.307,0.303
"Daniel Scioli","Negativa",0.514,0.55,0.479,0.482,0.531,0.497,0.54,0.431,0.506,0.621,0.268,0.744,0.557,0.564,0.472,0.479,0.493
"Daniel Scioli","No sabe",0.046,0.032,0.059,0.086,0.032,0.033,0.036,0.07,0.048,0.015,0.048,0.026,0.061,0.056,0.073,0.058,0.024
"Gerardo Morales","Positiva",0.158,0.173,0.145,0.079,0.119,0.214,0.29,0.158,0.145,0.179,0.07,0.261,0.208,0.158,0.193,0.116,0.148
"Gerardo Morales","Neutra",0.315,0.28,0.347,0.274,0.321,0.326,0.345,0.339,0.302,0.305,0.27,0.357,0.373,0.299,0.321,0.289,0.328
"Gerardo Morales","Negativa",0.365,0.424,0.31,0.369,0.388,0.385,0.282,0.321,0.368,0.414,0.497,0.257,0.291,0.361,0.314,0.403,0.388
"Gerardo Morales","No sabe",0.162,0.123,0.198,0.278,0.172,0.075,0.083,0.182,0.185,0.102,0.163,0.125,0.128,0.182,0.172,0.192,0.136
"Alberto Fernandez","Positiva",0.148,0.128,0.167,0.181,0.134,0.154,0.123,0.188,0.142,0.109,0.254,0.07,0.126,0.125,0.164,0.136,0.161
"Alberto Fernandez","Neutra",0.201,0.177,0.224,0.223,0.195,0.203,0.182,0.225,0.216,0.15,0.337,0.076,0.11,0.156,0.247,0.293,0.206
"Alberto Fernandez","Negativa",0.63,0.678,0.583,0.562,0.649,0.628,0.686,0.547,0.625,0.734,0.4,0.842,0.719,0.688,0.571,0.549,0.618
"Alberto Fernandez","No sabe",0.021,0.017,0.026,0.034,0.022,0.015,0.009,0.04,0.017,0.007,0.009,0.012,0.045,0.031,0.018,0.022,0.015
"Juan Schiaretti","Positiva",0.118,0.125,0.112,0.094,0.122,0.126,0.133,0.138,0.102,0.12,0.086,0.152,0.184,0.17,0.114,0.079,0.082
"Juan Schiaretti","Neutra",0.317,0.311,0.323,0.252,0.322,0.352,0.355,0.358,0.3,0.296,0.303,0.319,0.356,0.28,0.359,0.274,0.335
"Juan Schiaretti","Negativa",0.397,0.439,0.356,0.369,0.385,0.433,0.417,0.34,0.4,0.457,0.442,0.391,0.297,0.397,0.318,0.408,0.431
"Juan Schiaretti","No sabe",0.168,0.125,0.209,0.285,0.171,0.089,0.095,0.164,0.198,0.127,0.169,0.138,0.163,0.153,0.209,0.239,0.152
