"var","categoria","Radio","Televisión","Diario","Medio digital","Redes Sociales","Ninguno en particular","No sabe"
"P16","Peor",0.549,0.535,0.557,0.568,0.531,0.473,0.764
"P16","No sabe",0.11,0.124,0.11,0.133,0.12,0.241,0.159
"P17","Muy buena",0.079,0.06,0.098,0.065,0.07,0.084,0.076
"P17","Buena",0.085,0.053,0.12,0.056,0.051,0.043,0
"P17","Ni buena ni mala",0.125,0.157,0.111,0.146,0.085,0.1,0
"P17","Mala",0.312,0.256,0.264,0.223,0.233,0.287,0.335
"P17","Muy mala",0.384,0.453,0.393,0.505,0.556,0.456,0.509
"P17","No sabe",0.015,0.021,0.014,0.005,0.005,0.03,0.08
"P18","Mejor",0.062,0.069,0.061,0.051,0.064,0.054,0.105
"P18","Igual",0.189,0.164,0.149,0.169,0.134,0.171,0.139
"P18","Peor",0.704,0.708,0.672,0.723,0.764,0.733,0.526
"P18","No sabe",0.045,0.059,0.118,0.057,0.038,0.042,0.23
"P19","Mejor",0.09,0.089,0.117,0.081,0.067,0.051,0.075
"P19","Igual",0.193,0.194,0.128,0.178,0.16,0.133,0.02
"P19","Peor",0.622,0.598,0.647,0.652,0.693,0.61,0.644
"P19","No sabe",0.095,0.119,0.108,0.089,0.08,0.206,0.261
"P20","Muy buena",0.072,0.083,0.11,0.065,0.07,0.083,0.105
"P20","Buena",0.074,0.11,0.107,0.086,0.057,0.061,0
"P20","Ni buena ni mala",0.211,0.153,0.149,0.205,0.17,0.199,0.399
"P20","Mala",0.209,0.184,0.173,0.167,0.17,0.175,0.039
"P20","Muy mala",0.432,0.447,0.428,0.471,0.529,0.434,0.357
"P20","No sabe",0.002,0.023,0.033,0.006,0.004,0.048,0.1
"P22","Muy buena",0.031,0.035,0.04,0.014,0.028,0.04,0.055
"P22","Buena",0.064,0.072,0.069,0.082,0.053,0.033,0
"P22","Ni buena ni mala",0.203,0.167,0.206,0.159,0.127,0.19,0.108
"P22","Mala",0.256,0.215,0.207,0.24,0.21,0.206,0.28
"P22","Muy mala",0.433,0.476,0.429,0.494,0.573,0.479,0.357
"P22","No sabe",0.013,0.035,0.049,0.011,0.009,0.052,0.2
"P23","Muy buena",0.044,0.048,0.068,0.047,0.059,0.018,0.017
"P23","Buena",0.121,0.119,0.072,0.143,0.092,0.103,0.24
"P23","Ni buena ni mala",0.19,0.174,0.217,0.14,0.21,0.192,0.139
"P23","Mala",0.268,0.202,0.199,0.202,0.157,0.227,0.239
"P23","Muy mala",0.361,0.42,0.381,0.453,0.474,0.382,0.246
"P23","No sabe",0.016,0.037,0.063,0.015,0.008,0.078,0.119
"P24","Muy buena",0.027,0.019,0.037,0.008,0.03,0.011,0.016
"P24","Buena",0.087,0.086,0.099,0.067,0.066,0.077,0.02
"P24","Ni buena ni mala",0.146,0.14,0.162,0.191,0.175,0.199,0.089
"P24","Mala",0.256,0.227,0.179,0.18,0.176,0.133,0.019
"P24","Muy mala",0.453,0.506,0.472,0.542,0.534,0.52,0.737
"P24","No sabe",0.031,0.022,0.051,0.012,0.019,0.06,0.119
"P25","Frente de Todos y el peronismo",0.263,0.271,0.231,0.237,0.208,0.191,0.261
"P25","Cambiemos",0.314,0.289,0.254,0.208,0.171,0.161,0.107
"P25","Liberales",0.148,0.195,0.112,0.28,0.31,0.23,0.231
"P25","Izquierda",0.074,0.04,0.097,0.062,0.074,0.074,0
"P25","No sabe",0.201,0.205,0.306,0.213,0.237,0.344,0.401
"P28","A Daniel Scioli",0.126,0.13,0.308,0.099,0.167,0.113,0
"P28","A Sergio Massa",0.224,0.321,0.185,0.235,0.266,0.243,0.938
"P28","A algún candidato del peronismo",0.161,0.175,0.175,0.055,0.042,0.331,0
"P28","A algún candidato del kirchnerismo",0.489,0.374,0.332,0.611,0.525,0.313,0.062
"P30","A Daniel Scioli",0.111,0.123,0.134,0.05,0.153,0.037,0
"P30","A Sergio Massa",0.249,0.201,0.084,0.156,0.125,0.103,0.938
"P30","A algún candidato del peronismo",0.133,0.121,0.112,0.152,0.03,0.368,0
"P30","A Cristina Fernández de Kirchner",0.507,0.555,0.67,0.642,0.692,0.492,0.062
"P31","A Horacio Rodriguez Larreta",0.286,0.202,0.241,0.279,0.413,0.236,0
"P31","A Patricia Bullrich",0.585,0.672,0.652,0.604,0.5,0.529,0.228
"P31","A Facundo Manes",0.062,0.072,0.04,0.033,0.063,0.204,0.772
"P31","A Gerardo Morales",0.067,0.054,0.067,0.084,0.024,0.031,0
"P39","La votaría",0.341,0.338,0.316,0.234,0.205,0.205,0.256
"P39","Puede que la vote",0.135,0.134,0.154,0.177,0.166,0.155,0.029
"P39","Nunca la votaría",0.416,0.411,0.399,0.475,0.46,0.403,0.428
"P39","No sabe",0.108,0.117,0.131,0.114,0.169,0.237,0.287
"P40","Lo votaría",0.177,0.174,0.15,0.108,0.114,0.097,0.376
"P40","Puede que lo vote",0.178,0.147,0.159,0.191,0.169,0.221,0
"P40","Nunca lo votaría",0.559,0.597,0.571,0.622,0.595,0.498,0.335
"P40","No sabe",0.086,0.082,0.12,0.079,0.122,0.184,0.289
"P41","Lo votaría",0.156,0.22,0.091,0.275,0.33,0.221,0.445
"P41","Puede que lo vote",0.159,0.155,0.189,0.136,0.128,0.152,0.063
"P41","Nunca lo votaría",0.613,0.538,0.608,0.532,0.478,0.448,0.272
"P41","No sabe",0.072,0.087,0.112,0.057,0.064,0.179,0.22
"P42","Lo votaría",0.137,0.124,0.133,0.116,0.101,0.056,0.205
"P42","Puede que lo vote",0.223,0.23,0.285,0.189,0.148,0.181,0.047
"P42","Nunca lo votaría",0.552,0.551,0.452,0.603,0.681,0.531,0.26
"P42","No sabe",0.088,0.095,0.13,0.092,0.07,0.232,0.488
"P46","Muy buena",0.051,0.09,0.062,0.043,0.033,0.054,0.017
"P46","Buena",0.098,0.095,0.128,0.075,0.07,0.094,0
"P46","Ni buena ni mala",0.189,0.196,0.199,0.206,0.183,0.179,0.308
"P46","Mala",0.224,0.178,0.186,0.157,0.168,0.151,0.309
"P46","Muy mala",0.419,0.421,0.418,0.517,0.53,0.474,0.366
"P46","No sabe",0.019,0.02,0.007,0.002,0.016,0.048,0
"P47","Muy buena",0.268,0.259,0.19,0.182,0.177,0.186,0.496
"P47","Buena",0.065,0.091,0.11,0.103,0.08,0.076,0
"P47","Ni buena ni mala",0.11,0.084,0.125,0.095,0.105,0.13,0
"P47","Mala",0.118,0.091,0.153,0.066,0.082,0.079,0.157
"P47","Muy mala",0.414,0.467,0.386,0.552,0.544,0.499,0.327
"P47","No sabe",0.025,0.008,0.036,0.002,0.012,0.03,0.02
"P48","Muy buena",0.169,0.187,0.148,0.081,0.113,0.125,0.164
"P48","Buena",0.172,0.167,0.143,0.11,0.098,0.078,0.025
"P48","Ni buena ni mala",0.207,0.184,0.252,0.251,0.248,0.232,0.023
"P48","Mala",0.169,0.198,0.179,0.186,0.179,0.219,0.379
"P48","Muy mala",0.273,0.254,0.277,0.37,0.35,0.287,0.25
"P48","No sabe",0.01,0.01,0.001,0.002,0.012,0.059,0.159
"P49","Muy buena",0.098,0.078,0.095,0.062,0.05,0.038,0.116
"P49","Buena",0.204,0.209,0.165,0.131,0.087,0.091,0.216
"P49","Ni buena ni mala",0.27,0.304,0.34,0.255,0.219,0.344,0.109
"P49","Mala",0.204,0.207,0.215,0.187,0.213,0.206,0.348
"P49","Muy mala",0.196,0.171,0.176,0.329,0.387,0.197,0.191
"P49","No sabe",0.028,0.031,0.009,0.036,0.044,0.124,0.02
"P50","Muy buena",0.069,0.088,0.027,0.049,0.05,0.021,0.296
"P50","Buena",0.146,0.138,0.135,0.121,0.073,0.148,0.228
"P50","Ni buena ni mala",0.219,0.216,0.279,0.218,0.222,0.182,0
"P50","Mala",0.177,0.164,0.201,0.173,0.17,0.193,0.048
"P50","Muy mala",0.353,0.371,0.336,0.422,0.446,0.387,0.327
"P50","No sabe",0.036,0.023,0.022,0.017,0.039,0.069,0.101
"P51","Muy buena",0.171,0.148,0.125,0.092,0.088,0.087,0.103
"P51","Buena",0.217,0.2,0.175,0.133,0.096,0.133,0.161
"P51","Ni buena ni mala",0.199,0.229,0.267,0.24,0.212,0.225,0.139
"P51","Mala",0.16,0.2,0.173,0.226,0.2,0.232,0.408
"P51","Muy mala",0.236,0.191,0.242,0.289,0.362,0.224,0.189
"P51","No sabe",0.017,0.032,0.018,0.02,0.042,0.099,0
"P52","Muy buena",0.196,0.174,0.089,0.159,0.143,0.099,0.116
"P52","Buena",0.091,0.102,0.112,0.103,0.068,0.118,0.139
"P52","Ni buena ni mala",0.136,0.144,0.249,0.097,0.159,0.158,0.089
"P52","Mala",0.15,0.1,0.127,0.135,0.105,0.102,0.289
"P52","Muy mala",0.4,0.448,0.396,0.473,0.5,0.428,0.327
"P52","No sabe",0.027,0.032,0.027,0.033,0.025,0.095,0.04
"P54","Muy buena",0.062,0.076,0.06,0.035,0.054,0.04,0.055
"P54","Buena",0.127,0.145,0.085,0.096,0.072,0.054,0.241
"P54","Ni buena ni mala",0.301,0.249,0.34,0.243,0.262,0.284,0.309
"P54","Mala",0.197,0.168,0.136,0.183,0.13,0.171,0.048
"P54","Muy mala",0.286,0.327,0.346,0.421,0.421,0.348,0.327
"P54","No sabe",0.027,0.035,0.033,0.022,0.061,0.103,0.02
"P57","Muy buena",0.124,0.159,0.101,0.234,0.255,0.138,0.228
"P57","Buena",0.12,0.136,0.104,0.124,0.126,0.107,0.348
"P57","Ni buena ni mala",0.243,0.248,0.32,0.188,0.136,0.248,0.088
"P57","Mala",0.18,0.155,0.16,0.126,0.118,0.156,0.206
"P57","Muy mala",0.3,0.257,0.255,0.316,0.344,0.22,0.088
"P57","No sabe",0.033,0.045,0.06,0.012,0.021,0.131,0.042
"P58","Muy buena",0.27,0.271,0.195,0.199,0.169,0.133,0.4
"P58","Buena",0.14,0.158,0.173,0.159,0.163,0.127,0
"P58","Ni buena ni mala",0.165,0.16,0.248,0.168,0.191,0.27,0.052
"P58","Mala",0.126,0.135,0.152,0.133,0.115,0.101,0.261
"P58","Muy mala",0.284,0.242,0.223,0.305,0.314,0.285,0.128
"P58","No sabe",0.015,0.034,0.009,0.036,0.048,0.084,0.159
"P59","Muy buena",0.165,0.092,0.135,0.09,0.072,0.043,0.232
"P59","Buena",0.162,0.177,0.149,0.14,0.094,0.102,0.043
"P59","Ni buena ni mala",0.35,0.361,0.461,0.358,0.288,0.356,0.324
"P59","Mala",0.146,0.119,0.126,0.113,0.121,0.128,0.293
"P59","Muy mala",0.099,0.115,0.084,0.19,0.237,0.135,0.088
"P59","No sabe",0.078,0.136,0.045,0.109,0.188,0.236,0.02
"P60","Muy buena",0.18,0.134,0.095,0.119,0.144,0.082,0.277
"P60","Buena",0.111,0.1,0.07,0.115,0.063,0.062,0.164
"P60","Ni buena ni mala",0.243,0.23,0.349,0.235,0.216,0.204,0.081
"P60","Mala",0.138,0.139,0.182,0.158,0.099,0.138,0.328
"P60","Muy mala",0.244,0.269,0.222,0.287,0.305,0.266,0.13
"P60","No sabe",0.084,0.128,0.082,0.086,0.173,0.248,0.02
"P61","Muy buena",0.129,0.136,0.083,0.093,0.106,0.077,0.136
"P61","Buena",0.121,0.11,0.065,0.09,0.051,0.089,0.38
"P61","Ni buena ni mala",0.137,0.118,0.303,0.117,0.113,0.169,0
"P61","Mala",0.123,0.102,0.091,0.119,0.158,0.098,0.137
"P61","Muy mala",0.45,0.478,0.441,0.532,0.52,0.444,0.327
"P61","No sabe",0.04,0.056,0.017,0.049,0.052,0.123,0.02
"P62","Muy buena",0.053,0.042,0.032,0.038,0.036,0.005,0.12
"P62","Buena",0.1,0.096,0.053,0.055,0.047,0.076,0.139
"P62","Ni buena ni mala",0.233,0.249,0.367,0.292,0.214,0.273,0
"P62","Mala",0.17,0.133,0.099,0.123,0.09,0.086,0.377
"P62","Muy mala",0.342,0.337,0.308,0.346,0.351,0.303,0.344
"P62","No sabe",0.102,0.143,0.141,0.146,0.262,0.257,0.02
"P63","Muy buena",0.092,0.087,0.074,0.039,0.021,0.063,0.039
"P63","Buena",0.167,0.135,0.109,0.097,0.059,0.108,0.192
"P63","Ni buena ni mala",0.245,0.254,0.383,0.237,0.227,0.239,0.077
"P63","Mala",0.213,0.201,0.176,0.192,0.163,0.139,0.429
"P63","Muy mala",0.246,0.259,0.204,0.378,0.457,0.299,0.263
"P63","No sabe",0.037,0.064,0.054,0.057,0.073,0.152,0
"P64","Muy buena",0.081,0.095,0.065,0.053,0.026,0.047,0.055
"P64","Buena",0.179,0.183,0.187,0.145,0.068,0.09,0.083
"P64","Ni buena ni mala",0.338,0.322,0.412,0.228,0.24,0.319,0.184
"P64","Mala",0.174,0.145,0.15,0.226,0.176,0.161,0.309
"P64","Muy mala",0.158,0.17,0.108,0.28,0.349,0.206,0.28
"P64","No sabe",0.07,0.085,0.078,0.068,0.141,0.177,0.089
"P65","Muy buena",0.075,0.056,0.072,0.039,0.027,0.036,0.039
"P65","Buena",0.13,0.165,0.119,0.076,0.053,0.056,0.111
"P65","Ni buena ni mala",0.334,0.33,0.47,0.312,0.2,0.302,0.063
"P65","Mala",0.171,0.125,0.14,0.182,0.127,0.123,0.29
"P65","Muy mala",0.214,0.181,0.085,0.253,0.351,0.205,0.246
"P65","No sabe",0.076,0.143,0.114,0.138,0.242,0.278,0.251
"P66","Muy buena",0.097,0.038,0.019,0.022,0.035,0.012,0.039
"P66","Buena",0.087,0.11,0.057,0.069,0.057,0.034,0.061
"P66","Ni buena ni mala",0.335,0.327,0.675,0.293,0.196,0.279,0.044
"P66","Mala",0.181,0.175,0.09,0.258,0.108,0.151,0.309
"P66","Muy mala",0.203,0.189,0.054,0.214,0.398,0.195,0.296
"P66","No sabe",0.097,0.161,0.105,0.144,0.206,0.329,0.251
"P68","Muy buena",0.168,0.041,0.056,0.014,0.038,0.026,0.04
"P68","Buena",0.113,0.204,0.076,0.076,0.056,0.021,0
"P68","Ni buena ni mala",0.256,0.256,0.395,0.218,0.251,0.25,0.232
"P68","Mala",0.27,0.248,0.27,0.358,0.159,0.198,0.28
"P68","Muy mala",0.17,0.209,0.2,0.309,0.443,0.316,0.31
"P68","No sabe",0.023,0.042,0.003,0.025,0.053,0.189,0.138
"P69","Muy buena",0.067,0.063,0.058,0.033,0.027,0.021,0.039
"P69","Buena",0.12,0.115,0.078,0.069,0.055,0.067,0.043
"P69","Ni buena ni mala",0.218,0.244,0.37,0.187,0.204,0.249,0.159
"P69","Mala",0.231,0.254,0.192,0.278,0.212,0.162,0.283
"P69","Muy mala",0.333,0.299,0.248,0.4,0.477,0.406,0.337
"P69","No sabe",0.031,0.025,0.054,0.033,0.025,0.095,0.139
"P75","Mucho",0.441,0.36,0.372,0.387,0.383,0.244,0.339
"P75","Bastante",0.275,0.304,0.337,0.344,0.29,0.259,0.081
"P75","Poco",0.197,0.22,0.204,0.178,0.203,0.177,0
"P75","Nada",0.064,0.081,0.037,0.073,0.105,0.188,0.236
"P75","No sabe",0.023,0.035,0.05,0.018,0.019,0.132,0.344
"P76","Siempre",0.221,0.192,0.147,0.146,0.163,0.154,0.055
"P76","Casi siempre",0.314,0.291,0.362,0.323,0.216,0.263,0.581
"P76","Casi nunca",0.386,0.367,0.389,0.414,0.39,0.41,0.261
"P76","Nunca, pero esta es una excepción",0.079,0.15,0.102,0.117,0.231,0.173,0.103
"P77","Si",0.411,0.479,0.406,0.46,0.497,0.391,0.353
"P77","No",0.589,0.521,0.594,0.54,0.503,0.609,0.647
