"var","categoria","Muy buena","Buena","Ni buena ni mala","Mala","Muy mala","No sabe"
"P49","Muy buena",0.183,0.077,0.077,0.067,0.052,0.051
"P49","Buena",0.248,0.292,0.213,0.141,0.099,0.143
"P49","Ni buena ni mala",0.271,0.339,0.381,0.289,0.193,0.329
"P49","Mala",0.142,0.182,0.13,0.338,0.185,0.169
"P49","Muy mala",0.156,0.089,0.157,0.144,0.445,0.007
"P49","No sabe",0,0.021,0.042,0.021,0.026,0.301
"P50","Muy buena",0.131,0.046,0.061,0.065,0.065,0.013
"P50","Buena",0.177,0.122,0.093,0.131,0.142,0.143
"P50","Ni buena ni mala",0.147,0.134,0.278,0.195,0.223,0.134
"P50","Mala",0.088,0.154,0.173,0.246,0.137,0.152
"P50","Muy mala",0.457,0.515,0.375,0.353,0.412,0.208
"P50","No sabe",0,0.029,0.02,0.01,0.021,0.35
"P51","Muy buena",0.29,0.201,0.141,0.111,0.078,0.158
"P51","Buena",0.258,0.313,0.225,0.163,0.088,0.045
"P51","Ni buena ni mala",0.201,0.227,0.349,0.22,0.155,0.198
"P51","Mala",0.113,0.122,0.137,0.335,0.175,0.151
"P51","Muy mala",0.138,0.114,0.116,0.156,0.477,0.139
"P51","No sabe",0,0.023,0.032,0.015,0.027,0.309
"P52","Muy buena",0.182,0.035,0.082,0.135,0.263,0.034
"P52","Buena",0.118,0.079,0.079,0.11,0.097,0.143
"P52","Ni buena ni mala",0.13,0.153,0.198,0.154,0.098,0.179
"P52","Mala",0.114,0.12,0.16,0.164,0.05,0.138
"P52","Muy mala",0.428,0.596,0.449,0.409,0.476,0.183
"P52","No sabe",0.028,0.017,0.032,0.028,0.016,0.323
"P54","Muy buena",0.15,0.036,0.037,0.053,0.068,0.061
"P54","Buena",0.108,0.116,0.089,0.131,0.121,0.056
"P54","Ni buena ni mala",0.185,0.171,0.331,0.276,0.241,0.284
"P54","Mala",0.131,0.218,0.17,0.221,0.125,0.085
"P54","Muy mala",0.426,0.416,0.334,0.296,0.418,0.158
"P54","No sabe",0,0.043,0.039,0.023,0.027,0.356
"P57","Muy buena",0.197,0.181,0.152,0.179,0.203,0.094
"P57","Buena",0.177,0.208,0.14,0.143,0.077,0.105
"P57","Ni buena ni mala",0.211,0.294,0.329,0.222,0.127,0.293
"P57","Mala",0.225,0.144,0.147,0.249,0.076,0.093
"P57","Muy mala",0.187,0.142,0.185,0.181,0.483,0.138
"P57","No sabe",0.003,0.031,0.047,0.026,0.034,0.277
"P58","Muy buena",0.346,0.395,0.268,0.219,0.159,0.052
"P58","Buena",0.189,0.246,0.192,0.18,0.096,0.133
"P58","Ni buena ni mala",0.208,0.181,0.231,0.159,0.145,0.324
"P58","Mala",0.085,0.078,0.116,0.244,0.087,0.087
"P58","Muy mala",0.137,0.058,0.146,0.181,0.499,0.141
"P58","No sabe",0.035,0.042,0.047,0.017,0.014,0.263
"P59","Muy buena",0.133,0.161,0.097,0.112,0.076,0.08
"P59","Buena",0.23,0.268,0.159,0.142,0.098,0.043
"P59","Ni buena ni mala",0.314,0.347,0.399,0.414,0.314,0.192
"P59","Mala",0.075,0.098,0.123,0.182,0.117,0.018
"P59","Muy mala",0.142,0.069,0.086,0.067,0.272,0.044
"P59","No sabe",0.106,0.057,0.136,0.083,0.123,0.623
"P60","Muy buena",0.115,0.063,0.079,0.111,0.223,0.035
"P60","Buena",0.103,0.111,0.059,0.1,0.112,0.038
"P60","Ni buena ni mala",0.242,0.242,0.29,0.271,0.176,0.215
"P60","Mala",0.105,0.166,0.173,0.215,0.078,0.099
"P60","Muy mala",0.333,0.358,0.252,0.203,0.317,0.074
"P60","No sabe",0.102,0.06,0.147,0.1,0.094,0.539
"P61","Muy buena",0.176,0.03,0.07,0.087,0.183,0.028
"P61","Buena",0.072,0.095,0.061,0.1,0.112,0.114
"P61","Ni buena ni mala",0.158,0.096,0.18,0.122,0.132,0.124
"P61","Mala",0.059,0.17,0.131,0.205,0.051,0.065
"P61","Muy mala",0.503,0.582,0.495,0.463,0.49,0.278
"P61","No sabe",0.032,0.027,0.063,0.023,0.032,0.391
"P62","Muy buena",0.078,0.023,0.038,0.021,0.055,0.004
"P62","Buena",0.088,0.082,0.032,0.06,0.12,0.043
"P62","Ni buena ni mala",0.211,0.23,0.264,0.3,0.244,0.169
"P62","Mala",0.14,0.149,0.17,0.183,0.062,0.039
"P62","Muy mala",0.418,0.441,0.344,0.307,0.35,0.104
"P62","No sabe",0.065,0.075,0.152,0.129,0.169,0.641
"P63","Muy buena",0.182,0.088,0.077,0.058,0.039,0.068
"P63","Buena",0.181,0.219,0.165,0.112,0.067,0.033
"P63","Ni buena ni mala",0.246,0.384,0.34,0.259,0.151,0.338
"P63","Mala",0.121,0.17,0.165,0.298,0.162,0.135
"P63","Muy mala",0.236,0.102,0.166,0.242,0.542,0.088
"P63","No sabe",0.034,0.037,0.087,0.031,0.039,0.338
"P64","Muy buena",0.169,0.112,0.075,0.07,0.036,0.028
"P64","Buena",0.269,0.28,0.177,0.165,0.083,0.078
"P64","Ni buena ni mala",0.263,0.345,0.42,0.317,0.209,0.252
"P64","Mala",0.094,0.161,0.113,0.268,0.174,0.054
"P64","Muy mala",0.114,0.053,0.116,0.128,0.425,0.083
"P64","No sabe",0.091,0.049,0.099,0.052,0.073,0.505
"P65","Muy buena",0.12,0.092,0.047,0.054,0.034,0.025
"P65","Buena",0.199,0.279,0.146,0.107,0.05,0.028
"P65","Ni buena ni mala",0.331,0.373,0.428,0.35,0.207,0.213
"P65","Mala",0.092,0.114,0.096,0.24,0.132,0.029
"P65","Muy mala",0.133,0.084,0.113,0.11,0.455,0.03
"P65","No sabe",0.125,0.058,0.17,0.139,0.122,0.675
"P66","Muy buena",0.071,0.064,0.037,0.038,0.034,0.06
"P66","Buena",0.157,0.132,0.092,0.086,0.051,0.015
"P66","Ni buena ni mala",0.325,0.38,0.392,0.366,0.234,0.159
"P66","Mala",0.135,0.161,0.157,0.245,0.158,0.045
"P66","Muy mala",0.174,0.18,0.152,0.117,0.394,0.046
"P66","No sabe",0.138,0.083,0.17,0.148,0.129,0.675
"P67","Radio",0.217,0.207,0.145,0.154,0.144,0.133
"P67","Televisión",0.436,0.423,0.346,0.359,0.274,0.226
"P67","Diario",0.088,0.064,0.117,0.06,0.051,0.109
"P67","Medio digital",0.11,0.121,0.127,0.188,0.176,0.145
"P67","Redes Sociales",0.105,0.116,0.166,0.171,0.25,0.133
"P67","Ninguno en particular",0.039,0.066,0.095,0.061,0.1,0.233
