"var","categoria","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos","Javier Milei presidente - José Luis Espert vice por los liberales","Nicolás del Caño – Myriam Bregman","Otros candidatos"
"P18","No sabe",0.04,0.047,0.186,0.043,0.101,0.102,0.208
"P19","Lo votaría",0.157,0.256,0.127,0.027,0.058,0.024,0.148
"P19","Puede que lo vote",0.339,0.399,0.116,0.101,0.24,0.244,0.227
"P19","Nunca lo votaría",0.426,0.231,0.513,0.761,0.579,0.63,0.406
"P19","No sabe",0.078,0.114,0.244,0.111,0.123,0.102,0.219
"P20","La votaría",0.558,0.324,0.085,0.006,0.257,0.064,0.196
"P20","Puede que la vote",0.273,0.36,0.08,0.026,0.316,0.048,0.145
"P20","Nunca la votaría",0.123,0.238,0.702,0.92,0.357,0.79,0.489
"P20","No sabe",0.046,0.078,0.133,0.048,0.07,0.098,0.17
"P21","Lo votaría",0.173,0.143,0.045,0.014,0.729,0.079,0.07
"P21","Puede que lo vote",0.357,0.247,0.151,0.045,0.181,0.073,0.168
"P21","Nunca lo votaría",0.415,0.529,0.617,0.876,0.056,0.784,0.594
"P21","No sabe",0.055,0.081,0.187,0.065,0.034,0.064,0.168
"P22","La votaría",0.328,0.215,0.065,0.015,0.128,0.013,0.068
"P22","Puede que la vote",0.387,0.37,0.101,0.028,0.206,0.122,0.195
"P22","Nunca la votaría",0.209,0.33,0.692,0.879,0.566,0.831,0.571
"P22","No sabe",0.076,0.085,0.142,0.078,0.1,0.034,0.166
"P23","Lo votaría",0.056,0.047,0.229,0.162,0.022,0.036,0.005
"P23","Puede que lo vote",0.074,0.093,0.283,0.402,0.047,0.183,0.093
"P23","Nunca lo votaría",0.821,0.827,0.357,0.322,0.9,0.612,0.749
"P23","No sabe",0.049,0.033,0.131,0.114,0.031,0.169,0.153
"P24","Lo votaría",0.04,0.121,0.057,0.026,0.014,0.007,0.042
"P24","Puede que lo vote",0.264,0.308,0.143,0.093,0.085,0.144,0.15
"P24","Nunca lo votaría",0.578,0.453,0.541,0.766,0.777,0.752,0.591
"P24","No sabe",0.118,0.118,0.259,0.115,0.124,0.097,0.217
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.016,0.033,0.536,0.929,0.013,0.126,0.043
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.88,0.519,0.05,0.01,0.023,0.013,0.111
"P29","Javier Milei – José Luis Espert por los liberales",0.066,0.123,0.115,0.023,0.904,0.04,0.094
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.001,0.025,0.04,0.007,0.006,0.756,0.014
"P29","Otro candidato",0.037,0.3,0.259,0.031,0.054,0.065,0.738
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.548,0.739,0.109,0.081,0.021,0.051,0.14
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.12,0.1,0.609,0.594,0.005,0.117,0.06
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.147,0.057,0.12,0.023,0.906,0.049,0.085
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.004,0.011,0.03,0.055,0.009,0.741,0.023
"P31","Otro candidato",0.181,0.093,0.132,0.247,0.059,0.042,0.692
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.05,0.064,0.508,0.636,0.006,0.065,0.09
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.747,0.598,0.13,0.04,0.111,0.131,0.198
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.096,0.101,0.041,0.019,0.842,0.027,0.077
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.001,0.029,0.035,0.055,0.003,0.705,0.049
"P33","Otro candidato",0.106,0.208,0.286,0.25,0.038,0.072,0.586
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.074,0.058,0.457,0.614,0.021,0.054,0.121
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.586,0.766,0.115,0.083,0.04,0.093,0.159
"P35","Javier Milei – José Luis Espert por los liberales",0.172,0.061,0.067,0.015,0.906,0.056,0.111
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.003,0.011,0.025,0.056,0.001,0.734,0.022
"P35","Otro candidato",0.165,0.104,0.336,0.232,0.032,0.063,0.587
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.053,0.053,0.617,0.887,0.009,0.157,0.069
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.606,0.811,0.082,0.046,0.029,0.123,0.139
"P37","Javier Milei – José Luis Espert por los liberales",0.165,0.069,0.073,0.008,0.927,0.043,0.081
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.001,0.003,0.031,0.012,0.001,0.635,0.026
"P37","Otro candidato",0.175,0.064,0.197,0.047,0.034,0.042,0.685
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.015,0.027,0.409,0.721,0.003,0.071,0.085
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.853,0.602,0.17,0.018,0.036,0.071,0.102
"P38","Javier Milei – José Luis Espert por los liberales",0.061,0.148,0.081,0.012,0.91,0.036,0.084
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.005,0.015,0.067,0.037,0.006,0.713,0.044
"P38","Otro candidato",0.066,0.208,0.273,0.212,0.045,0.109,0.685
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.064,0.044,0.623,0.935,0.021,0.33,0.124
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.903,0.682,0.167,0.031,0.407,0.19,0.227
"P39","No sabe",0.033,0.274,0.21,0.034,0.572,0.48,0.649
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.016,0.019,0.709,0.762,0.023,0.251,0.092
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.825,0.887,0.15,0.013,0.419,0.195,0.278
"P40","No sabe",0.159,0.094,0.141,0.225,0.558,0.554,0.63
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.01,0.018,0.423,0.786,0.018,0.254,0.162
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.902,0.758,0.182,0.009,0.553,0.076,0.317
"P41","No sabe",0.088,0.224,0.395,0.205,0.429,0.67,0.521
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.01,0.011,0.528,0.942,0.024,0.39,0.1
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.835,0.901,0.188,0.008,0.452,0.104,0.286
"P42","No sabe",0.155,0.088,0.284,0.05,0.524,0.506,0.614
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.021,0.017,0.497,0.783,0.024,0.293,0.131
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.805,0.922,0.138,0.008,0.451,0.131,0.27
"P43","No sabe",0.174,0.061,0.365,0.209,0.525,0.576,0.599
"P44","Mauricio Macri – María Eugenia Vidal",0.829,0.567,0.182,0.137,0.41,0.246,0.234
"P44","Sergio Massa – Wado de Pedro",0.115,0.196,0.564,0.672,0.107,0.206,0.166
"P44","No sabe",0.056,0.237,0.254,0.191,0.483,0.548,0.6
"P45","Sergio Massa – Wado de Pedro",0.116,0.138,0.502,0.731,0.052,0.303,0.166
"P45","Javier Milei – José Luis Espert",0.424,0.282,0.127,0.087,0.824,0.209,0.232
"P45","No sabe",0.46,0.58,0.371,0.182,0.124,0.488,0.602
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.555,0.735,0.32,0.147,0.03,0.168,0.229
"P46","Javier Milei – José Luis Espert",0.272,0.092,0.042,0.036,0.876,0.164,0.153
"P46","No sabe",0.173,0.173,0.638,0.817,0.094,0.668,0.618
"P47","Muy buena",0.075,0.106,0.314,0.155,0.014,0.042,0.033
"P47","Buena",0.044,0.046,0.118,0.357,0.084,0.117,0.046
"P47","Ni buena ni mala",0.027,0.059,0.346,0.369,0.042,0.337,0.152
"P47","Mala",0.094,0.109,0.08,0.093,0.07,0.237,0.145
"P47","Muy mala",0.758,0.677,0.115,0.015,0.789,0.262,0.603
"P47","No sabe",0.002,0.003,0.027,0.011,0.001,0.005,0.021
"P48","Muy buena",0.003,0.015,0.422,0.14,0.007,0.032,0.003
"P48","Buena",0.007,0.027,0.169,0.365,0.016,0.224,0.043
"P48","Ni buena ni mala",0.021,0.072,0.229,0.364,0.048,0.318,0.152
"P48","Mala",0.11,0.174,0.091,0.104,0.068,0.173,0.153
"P48","Muy mala",0.856,0.7,0.089,0.022,0.857,0.253,0.616
"P48","No sabe",0.003,0.012,0,0.005,0.004,0,0.033
"P49","Muy buena",0.003,0.01,0.447,0.728,0.013,0.109,0.021
"P49","Buena",0.009,0.026,0.095,0.148,0.01,0.174,0.022
"P49","Ni buena ni mala",0.017,0.055,0.243,0.1,0.053,0.324,0.097
"P49","Mala",0.077,0.088,0.018,0.015,0.035,0.038,0.103
"P49","Muy mala",0.891,0.817,0.17,0.008,0.887,0.35,0.719
"P49","No sabe",0.003,0.004,0.027,0.001,0.002,0.005,0.038
"P50","Muy buena",0.431,0.088,0.059,0.106,0.057,0.038,0.051
"P50","Buena",0.303,0.264,0.121,0.018,0.181,0.072,0.115
"P50","Ni buena ni mala",0.085,0.298,0.171,0.036,0.328,0.146,0.217
"P50","Mala",0.028,0.131,0.248,0.175,0.135,0.19,0.181
"P50","Muy mala",0.153,0.21,0.401,0.663,0.298,0.554,0.407
"P50","No sabe",0,0.009,0,0.002,0.001,0,0.029
"P51","Muy buena",0.305,0.369,0.061,0.012,0.044,0.007,0.075
"P51","Buena",0.413,0.463,0.03,0.008,0.166,0.087,0.163
"P51","Ni buena ni mala",0.21,0.131,0.258,0.095,0.401,0.28,0.325
"P51","Mala",0.038,0.022,0.255,0.199,0.168,0.248,0.17
"P51","Muy mala",0.03,0.015,0.365,0.67,0.209,0.378,0.228
"P51","No sabe",0.004,0,0.031,0.016,0.012,0,0.039
"P52","Muy buena",0.033,0.076,0.216,0.15,0.016,0.01,0.066
"P52","Buena",0.077,0.115,0.212,0.298,0.049,0.105,0.103
"P52","Ni buena ni mala",0.076,0.107,0.305,0.334,0.1,0.342,0.167
"P52","Mala",0.125,0.184,0.053,0.094,0.166,0.215,0.115
"P52","Muy mala",0.683,0.508,0.187,0.114,0.668,0.328,0.523
"P52","No sabe",0.006,0.01,0.027,0.01,0.001,0,0.026
"P53","Muy buena",0.547,0.255,0.036,0.027,0.292,0.039,0.196
"P53","Buena",0.249,0.303,0.062,0.05,0.201,0.062,0.145
"P53","Ni buena ni mala",0.087,0.229,0.215,0.061,0.218,0.205,0.191
"P53","Mala",0.042,0.104,0.236,0.13,0.12,0.114,0.13
"P53","Muy mala",0.072,0.1,0.415,0.722,0.166,0.58,0.323
"P53","No sabe",0.003,0.009,0.036,0.01,0.003,0,0.015
"P54","Muy buena",0.156,0.108,0.057,0.009,0.594,0.023,0.034
"P54","Buena",0.206,0.188,0.037,0.016,0.257,0.043,0.119
"P54","Ni buena ni mala",0.433,0.385,0.259,0.067,0.115,0.29,0.308
"P54","Mala",0.121,0.153,0.15,0.127,0.023,0.087,0.144
"P54","Muy mala",0.074,0.136,0.452,0.76,0.009,0.542,0.366
"P54","No sabe",0.01,0.03,0.045,0.021,0.002,0.015,0.029
"P55","Muy buena",0.429,0.233,0.05,0.003,0.156,0.01,0.101
"P55","Buena",0.342,0.363,0.044,0.007,0.211,0.07,0.139
"P55","Ni buena ni mala",0.156,0.231,0.247,0.055,0.261,0.123,0.231
"P55","Mala",0.042,0.099,0.194,0.138,0.15,0.164,0.209
"P55","Muy mala",0.024,0.071,0.442,0.785,0.22,0.581,0.302
"P55","No sabe",0.007,0.003,0.023,0.012,0.002,0.052,0.018
"P56","Muy buena",0.073,0.039,0.109,0.131,0.032,0,0.017
"P56","Buena",0.071,0.072,0.398,0.348,0.052,0.164,0.085
"P56","Ni buena ni mala",0.06,0.162,0.269,0.322,0.134,0.204,0.164
"P56","Mala",0.132,0.207,0.059,0.066,0.142,0.264,0.153
"P56","Muy mala",0.654,0.518,0.138,0.129,0.632,0.368,0.558
"P56","No sabe",0.01,0.002,0.027,0.004,0.008,0,0.023
"P57","Muy buena",0.098,0.19,0.027,0.029,0.085,0.039,0.149
"P57","Buena",0.151,0.242,0.047,0.126,0.119,0.291,0.148
"P57","Ni buena ni mala",0.348,0.35,0.567,0.371,0.354,0.178,0.365
"P57","Mala",0.151,0.048,0.167,0.189,0.137,0.318,0.1
"P57","Muy mala",0.229,0.118,0.082,0.225,0.262,0.106,0.207
"P57","No sabe",0.023,0.052,0.11,0.06,0.043,0.068,0.031
"P58","Muy buena",0.046,0.146,0.02,0.012,0.036,0.008,0.107
"P58","Buena",0.253,0.362,0.009,0.044,0.086,0.136,0.141
"P58","Ni buena ni mala",0.426,0.349,0.535,0.158,0.388,0.188,0.305
"P58","Mala",0.104,0.037,0.1,0.174,0.114,0.186,0.164
"P58","Muy mala",0.132,0.026,0.237,0.542,0.299,0.41,0.227
"P58","No sabe",0.039,0.08,0.099,0.07,0.077,0.072,0.056
"P59","Siempre",0.343,0.289,0.336,0.371,0.233,0.264,0.272
"P59","Casi siempre",0.403,0.427,0.343,0.344,0.377,0.422,0.369
"P59","Casi nunca",0.187,0.17,0.119,0.183,0.299,0.263,0.259
"P59","Nunca, pero esta es una excepción",0.067,0.114,0.202,0.102,0.091,0.051,0.1
"P60","Si",0.614,0.519,0.463,0.592,0.58,0.599,0.491
"P60","No",0.386,0.481,0.537,0.408,0.42,0.401,0.509
