"var","categoria","Alberto Fernández presidente – Daniel Scioli vice","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.842,0.011,0.253
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.014,0.18,0.333
"P25","Nicolás del Caño – Myriam Bregman",0.024,0.014,0.054
"P25","Otros candidatos",0.027,0.06,0.187
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.885,0.019,0.242
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.01,0.606,0.126
"P29","Javier Milei – José Luis Espert por los liberales",0.025,0.227,0.355
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.023,0.016,0.052
"P29","Otro candidato",0.057,0.132,0.225
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.073,0.561,0.069
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.696,0.091,0.087
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.029,0.236,0.366
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.049,0.014,0.082
"P31","Otro candidato",0.153,0.098,0.396
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.712,0.043,0.122
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.046,0.615,0.143
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.02,0.216,0.342
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.051,0.01,0.077
"P33","Otro candidato",0.171,0.116,0.316
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.666,0.063,0.125
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.09,0.592,0.062
"P35","Javier Milei – José Luis Espert por los liberales",0.025,0.251,0.373
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.061,0.012,0.075
"P35","Otro candidato",0.158,0.082,0.365
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.858,0.046,0.235
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.052,0.6,0.06
"P37","Javier Milei – José Luis Espert por los liberales",0.022,0.253,0.374
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.021,0.01,0.054
"P37","Otro candidato",0.047,0.091,0.277
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.775,0.013,0.118
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.018,0.622,0.13
"P38","Javier Milei – José Luis Espert por los liberales",0.022,0.233,0.352
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.048,0.017,0.072
"P38","Otro candidato",0.137,0.115,0.328
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.929,0.045,0.259
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.029,0.826,0.187
"P39","No sabe",0.042,0.129,0.554
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.858,0.019,0.126
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.017,0.87,0.239
"P41","No sabe",0.125,0.111,0.635
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.925,0.016,0.247
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.016,0.914,0.127
"P42","No sabe",0.059,0.07,0.626
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.842,0.025,0.144
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.019,0.901,0.129
"P43","No sabe",0.139,0.074,0.727
"P44","Mauricio Macri – María Eugenia Vidal",0.152,0.717,0.237
"P44","Sergio Massa – Wado de Pedro",0.71,0.16,0.167
"P44","No sabe",0.138,0.123,0.596
"P45","Sergio Massa – Wado de Pedro",0.755,0.122,0.179
"P45","Javier Milei – José Luis Espert",0.108,0.49,0.353
"P45","No sabe",0.137,0.388,0.468
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.166,0.58,0.063
"P46","Javier Milei – José Luis Espert",0.034,0.321,0.403
"P46","No sabe",0.8,0.099,0.534
"P47","Muy buena",0.192,0.075,0.027
"P47","Buena",0.339,0.052,0.121
"P47","Ni buena ni mala",0.364,0.027,0.184
"P47","Mala",0.08,0.102,0.116
"P47","Muy mala",0.021,0.742,0.534
"P47","No sabe",0.004,0.002,0.018
"P48","Muy buena",0.19,0.006,0.009
"P48","Buena",0.365,0.015,0.091
"P48","Ni buena ni mala",0.342,0.03,0.189
"P48","Mala",0.083,0.122,0.135
"P48","Muy mala",0.02,0.822,0.557
"P48","No sabe",0,0.005,0.019
"P49","Muy buena",0.704,0.005,0.158
"P49","Buena",0.134,0.015,0.062
"P49","Ni buena ni mala",0.11,0.031,0.109
"P49","Mala",0.024,0.067,0.054
"P49","Muy mala",0.028,0.88,0.6
"P49","No sabe",0,0.002,0.017
"P50","Muy buena",0.1,0.239,0.108
"P50","Buena",0.028,0.289,0.098
"P50","Ni buena ni mala",0.045,0.21,0.194
"P50","Mala",0.171,0.078,0.168
"P50","Muy mala",0.655,0.183,0.418
"P50","No sabe",0.001,0.001,0.014
"P51","Muy buena",0.015,0.28,0.058
"P51","Buena",0.013,0.405,0.11
"P51","Ni buena ni mala",0.098,0.228,0.299
"P51","Mala",0.215,0.06,0.158
"P51","Muy mala",0.649,0.027,0.342
"P51","No sabe",0.01,0,0.033
"P52","Muy buena",0.166,0.05,0.036
"P52","Buena",0.298,0.093,0.098
"P52","Ni buena ni mala",0.299,0.083,0.228
"P52","Mala",0.107,0.158,0.112
"P52","Muy mala",0.125,0.611,0.507
"P52","No sabe",0.005,0.005,0.019
"P53","Muy buena",0.033,0.424,0.179
"P53","Buena",0.052,0.261,0.139
"P53","Ni buena ni mala",0.068,0.144,0.195
"P53","Mala",0.151,0.07,0.116
"P53","Muy mala",0.691,0.097,0.355
"P53","No sabe",0.005,0.004,0.016
"P54","Muy buena",0.02,0.208,0.251
"P54","Buena",0.018,0.221,0.131
"P54","Ni buena ni mala",0.077,0.372,0.19
"P54","Mala",0.128,0.111,0.094
"P54","Muy mala",0.744,0.074,0.307
"P54","No sabe",0.013,0.014,0.027
"P55","Muy buena",0.011,0.315,0.115
"P55","Buena",0.016,0.337,0.125
"P55","Ni buena ni mala",0.065,0.21,0.185
"P55","Mala",0.151,0.079,0.153
"P55","Muy mala",0.746,0.056,0.405
"P55","No sabe",0.011,0.003,0.017
"P56","Muy buena",0.151,0.06,0.015
"P56","Buena",0.385,0.073,0.087
"P56","Ni buena ni mala",0.27,0.102,0.232
"P56","Mala",0.049,0.159,0.158
"P56","Muy mala",0.138,0.599,0.498
"P56","No sabe",0.007,0.007,0.01
"P57","Muy buena",0.033,0.139,0.066
"P57","Buena",0.112,0.189,0.132
"P57","Ni buena ni mala",0.419,0.354,0.307
"P57","Mala",0.179,0.116,0.161
"P57","Muy mala",0.205,0.173,0.269
"P57","No sabe",0.052,0.029,0.065
"P58","Muy buena",0.016,0.087,0.03
"P58","Buena",0.04,0.282,0.073
"P58","Ni buena ni mala",0.196,0.41,0.279
"P58","Mala",0.167,0.083,0.151
"P58","Muy mala",0.522,0.086,0.376
"P58","No sabe",0.059,0.052,0.091
"P59","Siempre",0.371,0.315,0.263
"P59","Casi siempre",0.338,0.41,0.374
"P59","Casi nunca",0.173,0.199,0.265
"P59","Nunca, pero esta es una excepción",0.118,0.076,0.098
"P60","Si",0.58,0.59,0.544
"P60","No",0.42,0.41,0.456
