"var","categoria","Mauricio Macri – María Eugenia Vidal","Sergio Massa – Wado de Pedro","No sabe"
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.474,0.143,0.135
"P37","Javier Milei – José Luis Espert por los liberales",0.265,0.071,0.351
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.015,0.013,0.061
"P37","Otro candidato",0.111,0.053,0.246
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.116,0.633,0.08
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.581,0.135,0.06
"P38","Javier Milei – José Luis Espert por los liberales",0.219,0.074,0.35
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.019,0.04,0.083
"P38","Otro candidato",0.065,0.118,0.427
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.143,0.744,0.248
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.783,0.183,0.099
"P39","No sabe",0.074,0.073,0.653
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.111,0.648,0.154
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.717,0.2,0.187
"P40","No sabe",0.172,0.152,0.659
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.122,0.712,0.082
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.788,0.178,0.214
"P41","No sabe",0.09,0.11,0.704
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.123,0.741,0.223
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.733,0.201,0.209
"P42","No sabe",0.144,0.058,0.568
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.137,0.717,0.053
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.736,0.218,0.157
"P43","No sabe",0.127,0.065,0.79
"P45","Sergio Massa – Wado de Pedro",0.239,0.666,0.052
"P45","Javier Milei – José Luis Espert",0.446,0.207,0.321
"P45","No sabe",0.315,0.127,0.627
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.545,0.15,0.12
"P46","Javier Milei – José Luis Espert",0.31,0.138,0.328
"P46","No sabe",0.145,0.712,0.552
"P47","Muy buena",0.078,0.157,0.047
"P47","Buena",0.081,0.303,0.099
"P47","Ni buena ni mala",0.065,0.296,0.197
"P47","Mala",0.095,0.09,0.118
"P47","Muy mala",0.68,0.149,0.519
"P47","No sabe",0.001,0.005,0.02
"P48","Muy buena",0.023,0.126,0.043
"P48","Buena",0.047,0.305,0.088
"P48","Ni buena ni mala",0.054,0.286,0.208
"P48","Mala",0.111,0.113,0.12
"P48","Muy mala",0.763,0.163,0.524
"P48","No sabe",0.002,0.007,0.017
"P49","Muy buena",0.083,0.548,0.173
"P49","Buena",0.024,0.12,0.06
"P49","Ni buena ni mala",0.026,0.114,0.114
"P49","Mala",0.048,0.04,0.068
"P49","Muy mala",0.815,0.178,0.569
"P49","No sabe",0.004,0,0.016
"P50","Muy buena",0.296,0.062,0.064
"P50","Buena",0.291,0.057,0.063
"P50","Ni buena ni mala",0.2,0.057,0.209
"P50","Mala",0.068,0.16,0.199
"P50","Muy mala",0.145,0.662,0.45
"P50","No sabe",0,0.002,0.015
"P51","Muy buena",0.234,0.058,0.077
"P51","Buena",0.314,0.114,0.134
"P51","Ni buena ni mala",0.24,0.107,0.292
"P51","Mala",0.086,0.194,0.139
"P51","Muy mala",0.12,0.523,0.325
"P51","No sabe",0.006,0.004,0.033
"P52","Muy buena",0.041,0.169,0.033
"P52","Buena",0.06,0.334,0.086
"P52","Ni buena ni mala",0.086,0.297,0.222
"P52","Mala",0.137,0.087,0.17
"P52","Muy mala",0.671,0.111,0.465
"P52","No sabe",0.005,0.002,0.024
"P53","Muy buena",0.427,0.084,0.121
"P53","Buena",0.244,0.08,0.137
"P53","Ni buena ni mala",0.133,0.079,0.213
"P53","Mala",0.05,0.138,0.162
"P53","Muy mala",0.144,0.618,0.341
"P53","No sabe",0.002,0.001,0.026
"P54","Muy buena",0.194,0.068,0.238
"P54","Buena",0.2,0.067,0.114
"P54","Ni buena ni mala",0.329,0.114,0.221
"P54","Mala",0.118,0.117,0.093
"P54","Muy mala",0.15,0.619,0.301
"P54","No sabe",0.009,0.015,0.033
"P55","Muy buena",0.295,0.061,0.091
"P55","Buena",0.307,0.079,0.1
"P55","Ni buena ni mala",0.192,0.08,0.209
"P55","Mala",0.087,0.142,0.153
"P55","Muy mala",0.116,0.629,0.425
"P55","No sabe",0.003,0.009,0.022
"P56","Muy buena",0.029,0.159,0.041
"P56","Buena",0.085,0.329,0.107
"P56","Ni buena ni mala",0.088,0.295,0.222
"P56","Mala",0.137,0.085,0.158
"P56","Muy mala",0.656,0.13,0.451
"P56","No sabe",0.005,0.002,0.021
"P57","Muy buena",0.121,0.047,0.079
"P57","Buena",0.162,0.123,0.164
"P57","Ni buena ni mala",0.344,0.399,0.335
"P57","Mala",0.15,0.169,0.118
"P57","Muy mala",0.204,0.207,0.224
"P57","No sabe",0.019,0.055,0.08
"P58","Muy buena",0.064,0.029,0.052
"P58","Buena",0.233,0.094,0.087
"P58","Ni buena ni mala",0.373,0.23,0.303
"P58","Mala",0.122,0.153,0.103
"P58","Muy mala",0.168,0.429,0.349
"P58","No sabe",0.04,0.065,0.106
"P59","Siempre",0.309,0.353,0.285
"P59","Casi siempre",0.407,0.349,0.368
"P59","Casi nunca",0.202,0.201,0.234
"P59","Nunca, pero esta es una excepción",0.082,0.097,0.113
"P60","Si",0.614,0.565,0.521
"P60","No",0.386,0.435,0.479
