"var","categoria","Cristina Fernández de Kirchner presidenta – Sergio Massa vice","Mauricio Macri presidente – María Eugenia Vidal vice","No sabe"
"P17","La votaría",0.761,0.019,0.035
"P17","Puede que la vote",0.138,0.021,0.069
"P17","Nunca la votaría",0.079,0.956,0.828
"P17","No sabe",0.022,0.004,0.068
"P18","Lo votaría",0.117,0.285,0.102
"P18","Puede que lo vote",0.062,0.386,0.21
"P18","Nunca lo votaría",0.791,0.281,0.548
"P18","No sabe",0.03,0.048,0.14
"P19","Lo votaría",0.034,0.171,0.118
"P19","Puede que lo vote",0.136,0.339,0.224
"P19","Nunca lo votaría",0.727,0.425,0.463
"P19","No sabe",0.103,0.065,0.195
"P20","La votaría",0.034,0.487,0.157
"P20","Puede que la vote",0.042,0.309,0.261
"P20","Nunca la votaría",0.886,0.163,0.458
"P20","No sabe",0.038,0.041,0.124
"P21","Lo votaría",0.033,0.264,0.335
"P21","Puede que lo vote",0.056,0.298,0.191
"P21","Nunca lo votaría",0.861,0.396,0.361
"P21","No sabe",0.05,0.042,0.113
"P22","La votaría",0.029,0.28,0.079
"P22","Puede que la vote",0.055,0.369,0.17
"P22","Nunca la votaría",0.849,0.286,0.619
"P22","No sabe",0.067,0.065,0.132
"P23","Lo votaría",0.188,0.047,0.021
"P23","Puede que lo vote",0.411,0.079,0.074
"P23","Nunca lo votaría",0.306,0.851,0.812
"P23","No sabe",0.095,0.023,0.093
"P24","Lo votaría",0.029,0.067,0.027
"P24","Puede que lo vote",0.109,0.257,0.132
"P24","Nunca lo votaría",0.758,0.589,0.666
"P24","No sabe",0.104,0.087,0.175
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.038,0.493,0.031
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.015,0.225,0.155
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.053,0.014,0.029
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.83,0.026,0.048
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.01,0.179,0.433
"P25","Nicolás del Caño – Myriam Bregman",0.025,0.013,0.058
"P25","Otros candidatos",0.029,0.05,0.246
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.864,0.033,0.043
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.035,0.664,0.047
"P29","Javier Milei – José Luis Espert por los liberales",0.032,0.209,0.469
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.028,0.013,0.056
"P29","Otro candidato",0.041,0.081,0.385
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.087,0.513,0.151
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.591,0.104,0.044
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.036,0.239,0.453
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.069,0.015,0.054
"P31","Otro candidato",0.217,0.129,0.298
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.626,0.047,0.067
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.067,0.634,0.119
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.028,0.199,0.453
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.063,0.012,0.059
"P33","Otro candidato",0.216,0.108,0.302
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.589,0.073,0.058
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.104,0.537,0.155
"P35","Javier Milei – José Luis Espert por los liberales",0.025,0.263,0.455
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.071,0.012,0.058
"P35","Otro candidato",0.211,0.115,0.274
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.838,0.052,0.053
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.066,0.551,0.156
"P37","Javier Milei – José Luis Espert por los liberales",0.022,0.261,0.463
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.029,0.011,0.048
"P37","Otro candidato",0.045,0.125,0.28
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.667,0.026,0.054
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.06,0.666,0.041
"P38","Javier Milei – José Luis Espert por los liberales",0.024,0.217,0.481
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.061,0.014,0.06
"P38","Otro candidato",0.188,0.077,0.364
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.746,0.022,0.054
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.049,0.841,0.231
"P40","No sabe",0.205,0.137,0.715
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.746,0.023,0.067
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.043,0.885,0.266
"P41","No sabe",0.211,0.092,0.667
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.888,0.026,0.064
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.051,0.815,0.303
"P42","No sabe",0.061,0.159,0.633
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.738,0.036,0.068
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.049,0.811,0.285
"P43","No sabe",0.213,0.153,0.647
"P44","Mauricio Macri – María Eugenia Vidal",0.158,0.787,0.132
"P44","Sergio Massa – Wado de Pedro",0.661,0.148,0.103
"P44","No sabe",0.181,0.065,0.765
"P45","Sergio Massa – Wado de Pedro",0.712,0.109,0.103
"P45","Javier Milei – José Luis Espert",0.091,0.509,0.418
"P45","No sabe",0.197,0.382,0.479
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.164,0.521,0.144
"P46","Javier Milei – José Luis Espert",0.051,0.338,0.454
"P46","No sabe",0.785,0.141,0.402
"P47","Muy buena",0.162,0.072,0.03
"P47","Buena",0.337,0.05,0.061
"P47","Ni buena ni mala",0.355,0.035,0.134
"P47","Mala",0.097,0.091,0.118
"P47","Muy mala",0.038,0.751,0.644
"P47","No sabe",0.011,0.001,0.013
"P48","Muy buena",0.144,0.009,0.022
"P48","Buena",0.336,0.018,0.051
"P48","Ni buena ni mala",0.353,0.028,0.131
"P48","Mala",0.109,0.112,0.126
"P48","Muy mala",0.053,0.828,0.655
"P48","No sabe",0.005,0.005,0.015
"P49","Muy buena",0.681,0.011,0.024
"P49","Buena",0.135,0.017,0.036
"P49","Ni buena ni mala",0.106,0.031,0.114
"P49","Mala",0.028,0.058,0.073
"P49","Muy mala",0.049,0.879,0.735
"P49","No sabe",0.001,0.004,0.018
"P50","Muy buena",0.105,0.277,0.035
"P50","Buena",0.032,0.297,0.097
"P50","Ni buena ni mala",0.053,0.196,0.25
"P50","Mala",0.175,0.064,0.186
"P50","Muy mala",0.633,0.166,0.415
"P50","No sabe",0.002,0,0.017
"P51","Muy buena",0.028,0.255,0.095
"P51","Buena",0.022,0.382,0.164
"P51","Ni buena ni mala",0.108,0.226,0.347
"P51","Mala",0.202,0.065,0.154
"P51","Muy mala",0.626,0.067,0.216
"P51","No sabe",0.014,0.005,0.024
"P52","Muy buena",0.157,0.034,0.043
"P52","Buena",0.279,0.098,0.059
"P52","Ni buena ni mala",0.335,0.07,0.174
"P52","Mala",0.093,0.145,0.161
"P52","Muy mala",0.127,0.651,0.542
"P52","No sabe",0.009,0.002,0.021
"P53","Muy buena",0.035,0.462,0.148
"P53","Buena",0.055,0.262,0.158
"P53","Ni buena ni mala",0.077,0.126,0.251
"P53","Mala",0.133,0.063,0.149
"P53","Muy mala",0.691,0.086,0.276
"P53","No sabe",0.009,0.001,0.018
"P54","Muy buena",0.014,0.221,0.307
"P54","Buena",0.034,0.214,0.152
"P54","Ni buena ni mala",0.088,0.346,0.251
"P54","Mala",0.136,0.116,0.063
"P54","Muy mala",0.709,0.091,0.203
"P54","No sabe",0.019,0.012,0.024
"P55","Muy buena",0.014,0.327,0.119
"P55","Buena",0.026,0.334,0.143
"P55","Ni buena ni mala",0.071,0.206,0.218
"P55","Mala",0.151,0.066,0.177
"P55","Muy mala",0.726,0.063,0.327
"P55","No sabe",0.012,0.004,0.016
"P56","Muy buena",0.127,0.057,0.019
"P56","Buena",0.335,0.08,0.069
"P56","Ni buena ni mala",0.328,0.082,0.165
"P56","Mala",0.07,0.138,0.194
"P56","Muy mala",0.136,0.638,0.533
"P56","No sabe",0.004,0.005,0.02
"P57","Muy buena",0.034,0.119,0.11
"P57","Buena",0.112,0.167,0.179
"P57","Ni buena ni mala",0.375,0.355,0.342
"P57","Mala",0.196,0.127,0.109
"P57","Muy mala",0.22,0.203,0.208
"P57","No sabe",0.063,0.029,0.052
"P58","Muy buena",0.015,0.074,0.059
"P58","Buena",0.051,0.255,0.114
"P58","Ni buena ni mala",0.182,0.388,0.366
"P58","Mala",0.169,0.104,0.103
"P58","Muy mala",0.51,0.131,0.272
"P58","No sabe",0.073,0.048,0.086
"P59","Siempre",0.36,0.316,0.249
"P59","Casi siempre",0.343,0.411,0.374
"P59","Casi nunca",0.189,0.191,0.279
"P59","Nunca, pero esta es una excepción",0.108,0.082,0.098
"P60","Si",0.596,0.602,0.485
"P60","No",0.404,0.398,0.515
