"var","categoria","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P09","De los Liberales libertarios",0.009,0.06,0.635,0.018,0.056
"P09","De la Izquierda",0.017,0.017,0.025,0.568,0.015
"P09","No sabe",0.086,0.117,0.117,0.247,0.398
"P10","A Alberto Fernández",0.154,0.205,0.153,0.42,0.096
"P10","A Sergio Massa",0.139,0.17,0.074,0,0.166
"P10","A algún candidato del peronismo",0.136,0.31,0.634,0.083,0.331
"P10","A algún candidato del kirchnerismo",0.571,0.315,0.139,0.497,0.407
"P11","A Alberto Fernández",0.091,0.125,0.138,0,0.089
"P11","A Sergio Massa",0.073,0.186,0.045,0,0.125
"P11","A algún candidato del peronismo",0.068,0.334,0.659,0.083,0.346
"P11","A Cristina Fernández de Kirchner",0.768,0.355,0.158,0.917,0.44
"P12","A Horacio Rodriguez Larreta",0.187,0.317,0.159,0.35,0.104
"P12","A Mauricio Macri",0.343,0.328,0.449,0,0.343
"P12","A Patricia Bullrich",0.05,0.25,0.371,0.095,0.31
"P12","A Facundo Manes",0.262,0.078,0.017,0.555,0.215
"P12","A Gerardo Morales",0.158,0.027,0.004,0,0.028
"P13","Seguro lo votaria",0.141,0.173,0.427,0,0.092
"P13","Quizás lo votaría",0.229,0.333,0.436,0.15,0.311
"P13","Nunca lo votaría",0.63,0.494,0.137,0.85,0.597
"P14","Lo votaría",0.044,0.484,0.207,0.027,0.272
"P14","Puede que lo vote",0.03,0.272,0.317,0.034,0.179
"P14","Nunca lo votaría",0.829,0.188,0.355,0.705,0.393
"P14","No sabe",0.097,0.056,0.121,0.234,0.156
"P15","Lo votaría",0.232,0.106,0.059,0.081,0.061
"P15","Puede que lo vote",0.39,0.114,0.081,0.121,0.137
"P15","Nunca lo votaría",0.274,0.75,0.802,0.677,0.687
"P15","No sabe",0.104,0.03,0.058,0.121,0.115
"P16","Lo votaría",0.244,0.037,0.01,0.043,0.052
"P16","Puede que lo vote",0.455,0.057,0.018,0.243,0.083
"P16","Nunca lo votaría",0.186,0.878,0.956,0.584,0.761
"P16","No sabe",0.115,0.028,0.016,0.13,0.104
"P17","La votaría",0.767,0.048,0.016,0.293,0.101
"P17","Puede que la vote",0.142,0.039,0.011,0.178,0.06
"P17","Nunca la votaría",0.064,0.903,0.962,0.403,0.76
"P17","No sabe",0.027,0.01,0.011,0.126,0.079
"P18","Lo votaría",0.111,0.411,0.08,0.042,0.056
"P18","Puede que lo vote",0.043,0.385,0.277,0.101,0.297
"P18","Nunca lo votaría",0.807,0.162,0.558,0.725,0.498
"P18","No sabe",0.039,0.042,0.085,0.132,0.149
"P19","Lo votaría",0.037,0.218,0.079,0.093,0.107
"P19","Puede que lo vote",0.122,0.389,0.229,0.229,0.208
"P19","Nunca lo votaría",0.731,0.307,0.576,0.616,0.492
"P19","No sabe",0.11,0.086,0.116,0.062,0.193
"P20","La votaría",0.03,0.446,0.317,0.066,0.258
"P20","Puede que la vote",0.036,0.314,0.315,0.048,0.202
"P20","Nunca la votaría",0.893,0.183,0.308,0.759,0.415
"P20","No sabe",0.041,0.057,0.06,0.127,0.125
"P21","Lo votaría",0.027,0.129,0.649,0.013,0.065
"P21","Puede que lo vote",0.04,0.295,0.24,0.086,0.226
"P21","Nunca lo votaría",0.865,0.51,0.068,0.813,0.596
"P21","No sabe",0.068,0.066,0.043,0.088,0.113
"P22","La votaría",0.034,0.29,0.168,0.031,0.069
"P22","Puede que la vote",0.049,0.349,0.236,0.073,0.274
"P22","Nunca la votaría",0.858,0.275,0.504,0.784,0.523
"P22","No sabe",0.059,0.086,0.092,0.112,0.134
"P23","Lo votaría",0.177,0.068,0.03,0.024,0.023
"P23","Puede que lo vote",0.417,0.091,0.052,0.108,0.126
"P23","Nunca lo votaría",0.314,0.799,0.88,0.705,0.747
"P23","No sabe",0.092,0.042,0.038,0.163,0.104
"P24","Lo votaría",0.029,0.104,0.013,0.004,0.015
"P24","Puede que lo vote",0.108,0.319,0.089,0.128,0.162
"P24","Nunca lo votaría",0.752,0.474,0.783,0.733,0.645
"P24","No sabe",0.111,0.103,0.115,0.135,0.178
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.033,0.472,0.157,0.01,0.274
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.02,0.386,0.04,0.015,0.062
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.057,0.01,0.011,0.038,0.047
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.855,0.056,0.012,0.161,0.115
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.005,0.019,0.743,0.004,0.044
"P25","Nicolás del Caño – Myriam Bregman",0.012,0.012,0.005,0.68,0.008
"P25","Otros candidatos",0.018,0.045,0.032,0.092,0.45
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.885,0.065,0.008,0.122,0.113
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.043,0.716,0.129,0.014,0.291
"P29","Javier Milei – José Luis Espert por los liberales",0.021,0.05,0.817,0.007,0.053
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.016,0.014,0.003,0.694,0.007
"P29","Otro candidato",0.035,0.155,0.043,0.163,0.536
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.096,0.724,0.074,0.031,0.134
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.602,0.142,0.026,0.053,0.1
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.028,0.046,0.845,0,0.05
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.061,0.004,0.005,0.787,0.023
"P31","Otro candidato",0.213,0.084,0.05,0.129,0.693
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.643,0.087,0.011,0.04,0.101
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.077,0.698,0.174,0.037,0.3
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.004,0.055,0.784,0,0.045
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.054,0.013,0.003,0.801,0.01
"P33","Otro candidato",0.222,0.147,0.028,0.122,0.544
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.615,0.108,0.015,0.056,0.094
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.118,0.792,0.046,0.007,0.105
"P35","Javier Milei – José Luis Espert por los liberales",0.003,0.032,0.921,0.009,0.056
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.051,0.008,0.002,0.853,0.016
"P35","Otro candidato",0.213,0.06,0.016,0.075,0.729
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.709,0.049,0.013,0.009,0.058
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.048,0.773,0.142,0.009,0.225
"P38","Javier Milei – José Luis Espert por los liberales",0.009,0.056,0.832,0.007,0.038
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.041,0.016,0.002,0.875,0.003
"P38","Otro candidato",0.193,0.106,0.011,0.1,0.676
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.905,0.088,0.038,0.411,0.126
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.06,0.783,0.473,0.164,0.38
"P39","No sabe",0.035,0.129,0.489,0.425,0.494
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.745,0.056,0.031,0.238,0.106
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.055,0.88,0.468,0.154,0.278
"P40","No sabe",0.2,0.064,0.501,0.608,0.616
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.754,0.057,0.031,0.257,0.099
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.051,0.818,0.597,0.073,0.397
"P41","No sabe",0.195,0.125,0.372,0.67,0.504
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.901,0.05,0.017,0.371,0.131
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.058,0.887,0.509,0.107,0.258
"P42","No sabe",0.041,0.063,0.474,0.522,0.611
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.762,0.048,0.035,0.222,0.1
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.056,0.895,0.492,0.152,0.236
"P43","No sabe",0.182,0.057,0.473,0.626,0.664
"P44","Mauricio Macri – María Eugenia Vidal",0.16,0.7,0.479,0.223,0.352
"P44","Sergio Massa – Wado de Pedro",0.679,0.169,0.103,0.155,0.135
"P44","No sabe",0.161,0.131,0.418,0.622,0.513
"P45","Sergio Massa – Wado de Pedro",0.726,0.148,0.063,0.305,0.111
"P45","Javier Milei – José Luis Espert",0.086,0.338,0.831,0.149,0.193
"P45","No sabe",0.188,0.514,0.106,0.546,0.696
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.187,0.74,0.02,0.176,0.205
"P46","Javier Milei – José Luis Espert",0.035,0.098,0.907,0.05,0.137
"P46","No sabe",0.778,0.162,0.073,0.774,0.658
"P47","Muy buena",0.168,0.114,0.006,0.021,0.037
"P47","Buena",0.346,0.034,0.095,0.08,0.046
"P47","Ni buena ni mala",0.349,0.047,0.047,0.384,0.153
"P47","Mala",0.088,0.121,0.066,0.233,0.111
"P47","Muy mala",0.042,0.681,0.785,0.282,0.622
"P47","No sabe",0.007,0.003,0.001,0,0.031
"P48","Muy buena",0.146,0.025,0.003,0.021,0.024
"P48","Buena",0.341,0.037,0.016,0.168,0.044
"P48","Ni buena ni mala",0.349,0.046,0.051,0.316,0.127
"P48","Mala",0.097,0.151,0.084,0.199,0.115
"P48","Muy mala",0.061,0.739,0.843,0.296,0.658
"P48","No sabe",0.006,0.002,0.003,0,0.032
"P49","Muy buena",0.69,0.03,0.007,0.15,0.051
"P49","Buena",0.139,0.027,0.01,0.136,0.027
"P49","Ni buena ni mala",0.104,0.03,0.052,0.356,0.09
"P49","Mala",0.015,0.076,0.059,0.057,0.074
"P49","Muy mala",0.051,0.832,0.871,0.296,0.729
"P49","No sabe",0.001,0.005,0.001,0.005,0.029
"P50","Muy buena",0.114,0.258,0.128,0.041,0.149
"P50","Buena",0.027,0.282,0.205,0.041,0.164
"P50","Ni buena ni mala",0.047,0.174,0.28,0.186,0.187
"P50","Mala",0.166,0.09,0.128,0.191,0.126
"P50","Muy mala",0.646,0.193,0.256,0.541,0.348
"P50","No sabe",0,0.003,0.003,0,0.026
"P51","Muy buena",0.031,0.36,0.073,0.014,0.072
"P51","Buena",0.032,0.43,0.201,0.036,0.206
"P51","Ni buena ni mala",0.086,0.153,0.377,0.295,0.355
"P51","Mala",0.206,0.025,0.163,0.173,0.124
"P51","Muy mala",0.632,0.03,0.176,0.482,0.202
"P51","No sabe",0.013,0.002,0.01,0,0.041
"P52","Muy buena",0.153,0.072,0.011,0.038,0.035
"P52","Buena",0.288,0.093,0.059,0.157,0.105
"P52","Ni buena ni mala",0.331,0.105,0.096,0.172,0.16
"P52","Mala",0.092,0.151,0.167,0.249,0.093
"P52","Muy mala",0.124,0.575,0.662,0.384,0.585
"P52","No sabe",0.012,0.004,0.005,0,0.022
"P53","Muy buena",0.043,0.397,0.333,0.048,0.28
"P53","Buena",0.047,0.268,0.212,0.062,0.184
"P53","Ni buena ni mala",0.072,0.157,0.195,0.205,0.145
"P53","Mala",0.137,0.077,0.103,0.13,0.099
"P53","Muy mala",0.694,0.096,0.152,0.555,0.272
"P53","No sabe",0.007,0.005,0.005,0,0.02
"P54","Muy buena",0.022,0.098,0.543,0.023,0.053
"P54","Buena",0.016,0.18,0.285,0.026,0.115
"P54","Ni buena ni mala",0.084,0.442,0.145,0.215,0.327
"P54","Mala",0.132,0.138,0.018,0.143,0.154
"P54","Muy mala",0.723,0.128,0.007,0.578,0.314
"P54","No sabe",0.023,0.014,0.002,0.015,0.037
"P55","Muy buena",0.023,0.347,0.191,0.024,0.148
"P55","Buena",0.025,0.316,0.24,0.099,0.209
"P55","Ni buena ni mala",0.059,0.185,0.241,0.156,0.235
"P55","Mala",0.141,0.073,0.135,0.094,0.159
"P55","Muy mala",0.739,0.074,0.192,0.577,0.232
"P55","No sabe",0.013,0.005,0.001,0.05,0.017
"P56","Muy buena",0.124,0.068,0.029,0.015,0.044
"P56","Buena",0.348,0.074,0.062,0.1,0.105
"P56","Ni buena ni mala",0.299,0.107,0.136,0.33,0.143
"P56","Mala",0.07,0.171,0.147,0.156,0.131
"P56","Muy mala",0.155,0.573,0.613,0.399,0.563
"P56","No sabe",0.004,0.007,0.013,0,0.014
"P57","Muy buena",0.031,0.16,0.087,0.014,0.087
"P57","Buena",0.116,0.207,0.12,0.316,0.134
"P57","Ni buena ni mala",0.383,0.355,0.349,0.271,0.342
"P57","Mala",0.188,0.113,0.139,0.195,0.125
"P57","Muy mala",0.217,0.147,0.263,0.138,0.251
"P57","No sabe",0.065,0.018,0.042,0.066,0.061
"P58","Muy buena",0.015,0.108,0.04,0.005,0.04
"P58","Buena",0.061,0.319,0.098,0.114,0.119
"P58","Ni buena ni mala",0.174,0.395,0.388,0.245,0.353
"P58","Mala",0.175,0.061,0.119,0.082,0.168
"P58","Muy mala",0.506,0.067,0.287,0.458,0.244
"P58","No sabe",0.069,0.05,0.068,0.096,0.076
"P59","Siempre",0.368,0.338,0.25,0.258,0.263
"P59","Casi siempre",0.348,0.399,0.394,0.463,0.369
"P59","Casi nunca",0.177,0.181,0.271,0.2,0.257
"P59","Nunca, pero esta es una excepción",0.107,0.082,0.085,0.079,0.111
"P60","Si",0.589,0.562,0.594,0.53,0.531
"P60","No",0.411,0.438,0.406,0.47,0.469
