"var","categoria","Horacio Rodríguez Larreta – Gerardo Morales","Javier Milei – José Luis Espert","No sabe"
"P22","Nunca la votaría",0.341,0.48,0.789
"P22","No sabe",0.059,0.092,0.085
"P23","Lo votaría",0.065,0.033,0.148
"P23","Puede que lo vote",0.111,0.082,0.315
"P23","Nunca lo votaría",0.799,0.839,0.435
"P23","No sabe",0.025,0.046,0.102
"P24","Lo votaría",0.091,0.019,0.024
"P24","Puede que lo vote",0.335,0.122,0.086
"P24","Nunca lo votaría",0.478,0.747,0.766
"P24","No sabe",0.096,0.112,0.124
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.404,0.233,0.088
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.313,0.046,0.052
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.028,0.004,0.039
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.156,0.045,0.612
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.017,0.602,0.039
"P25","Nicolás del Caño – Myriam Bregman",0.016,0.018,0.045
"P25","Otros candidatos",0.066,0.052,0.125
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.167,0.046,0.629
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.614,0.203,0.118
"P29","Javier Milei – José Luis Espert por los liberales",0.04,0.672,0.037
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.02,0.014,0.048
"P29","Otro candidato",0.159,0.065,0.168
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.652,0.114,0.094
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.17,0.061,0.459
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.042,0.71,0.045
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.02,0.017,0.082
"P31","Otro candidato",0.116,0.098,0.32
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.16,0.043,0.467
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.645,0.252,0.117
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.035,0.638,0.036
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.02,0.01,0.083
"P33","Otro candidato",0.14,0.057,0.297
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.152,0.055,0.461
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.688,0.108,0.115
"P35","Javier Milei – José Luis Espert por los liberales",0.023,0.767,0.038
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.025,0.011,0.089
"P35","Otro candidato",0.112,0.059,0.297
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.21,0.046,0.614
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.673,0.105,0.104
"P37","Javier Milei – José Luis Espert por los liberales",0.014,0.776,0.037
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.016,0.005,0.049
"P37","Otro candidato",0.087,0.068,0.196
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.168,0.036,0.494
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.628,0.219,0.114
"P38","Javier Milei – José Luis Espert por los liberales",0.053,0.663,0.034
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.034,0.012,0.072
"P38","Otro candidato",0.117,0.07,0.286
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.195,0.071,0.659
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.698,0.534,0.132
"P39","No sabe",0.107,0.395,0.209
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.162,0.039,0.548
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.778,0.507,0.094
"P40","No sabe",0.06,0.454,0.358
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.175,0.051,0.539
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.717,0.642,0.126
"P41","No sabe",0.108,0.307,0.335
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.186,0.055,0.644
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.78,0.55,0.095
"P42","No sabe",0.034,0.395,0.261
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.178,0.065,0.526
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.778,0.531,0.092
"P43","No sabe",0.044,0.404,0.382
"P44","Mauricio Macri – María Eugenia Vidal",0.738,0.495,0.138
"P44","Sergio Massa – Wado de Pedro",0.159,0.172,0.528
"P44","No sabe",0.103,0.333,0.334
"P45","Sergio Massa – Wado de Pedro",0.302,0.087,0.491
"P45","Javier Milei – José Luis Espert",0.281,0.846,0.077
"P45","No sabe",0.417,0.067,0.432
"P47","Muy buena",0.15,0.005,0.112
"P47","Buena",0.059,0.123,0.247
"P47","Ni buena ni mala",0.084,0.043,0.315
"P47","Mala",0.113,0.081,0.101
"P47","Muy mala",0.593,0.747,0.209
"P47","No sabe",0.001,0.001,0.016
"P48","Muy buena",0.033,0.009,0.113
"P48","Buena",0.061,0.036,0.261
"P48","Ni buena ni mala",0.1,0.052,0.289
"P48","Mala",0.141,0.093,0.108
"P48","Muy mala",0.66,0.808,0.217
"P48","No sabe",0.005,0.002,0.012
"P49","Muy buena",0.131,0.018,0.49
"P49","Buena",0.028,0.032,0.109
"P49","Ni buena ni mala",0.056,0.054,0.106
"P49","Mala",0.057,0.062,0.039
"P49","Muy mala",0.725,0.833,0.246
"P49","No sabe",0.003,0.001,0.01
"P50","Muy buena",0.31,0.136,0.069
"P50","Buena",0.248,0.231,0.046
"P50","Ni buena ni mala",0.187,0.23,0.09
"P50","Mala",0.093,0.129,0.161
"P50","Muy mala",0.161,0.272,0.626
"P50","No sabe",0.001,0.002,0.008
"P51","Muy buena",0.307,0.088,0.046
"P51","Buena",0.356,0.236,0.074
"P51","Ni buena ni mala",0.167,0.343,0.161
"P51","Mala",0.078,0.155,0.162
"P51","Muy mala",0.087,0.169,0.537
"P51","No sabe",0.005,0.009,0.02
"P52","Muy buena",0.063,0.026,0.125
"P52","Buena",0.089,0.095,0.238
"P52","Ni buena ni mala",0.115,0.104,0.294
"P52","Mala",0.168,0.144,0.094
"P52","Muy mala",0.559,0.626,0.235
"P52","No sabe",0.006,0.005,0.014
"P53","Muy buena",0.374,0.33,0.083
"P53","Buena",0.231,0.234,0.073
"P53","Ni buena ni mala",0.147,0.159,0.115
"P53","Mala",0.082,0.094,0.134
"P53","Muy mala",0.164,0.179,0.581
"P53","No sabe",0.002,0.004,0.014
"P54","Muy buena",0.07,0.471,0.047
"P54","Buena",0.134,0.299,0.036
"P54","Ni buena ni mala",0.41,0.162,0.148
"P54","Mala",0.168,0.031,0.119
"P54","Muy mala",0.2,0.032,0.626
"P54","No sabe",0.018,0.005,0.024
"P55","Muy buena",0.308,0.188,0.055
"P55","Buena",0.271,0.258,0.068
"P55","Ni buena ni mala",0.162,0.231,0.116
"P55","Mala",0.106,0.141,0.12
"P55","Muy mala",0.149,0.179,0.623
"P55","No sabe",0.004,0.003,0.018
"P56","Muy buena",0.045,0.042,0.114
"P56","Buena",0.087,0.087,0.278
"P56","Ni buena ni mala",0.109,0.137,0.278
"P56","Mala",0.151,0.163,0.085
"P56","Muy mala",0.598,0.566,0.236
"P56","No sabe",0.01,0.005,0.009
"P57","Muy buena",0.144,0.085,0.046
"P57","Buena",0.197,0.134,0.126
"P57","Ni buena ni mala",0.361,0.319,0.383
"P57","Mala",0.122,0.154,0.163
"P57","Muy mala",0.147,0.264,0.222
"P57","No sabe",0.029,0.044,0.06
"P58","Muy buena",0.095,0.036,0.025
"P58","Buena",0.287,0.129,0.065
"P58","Ni buena ni mala",0.376,0.372,0.222
"P58","Mala",0.097,0.126,0.15
"P58","Muy mala",0.088,0.27,0.467
"P58","No sabe",0.057,0.067,0.071
"P59","Siempre",0.35,0.252,0.333
"P59","Casi siempre",0.387,0.416,0.349
"P59","Casi nunca",0.175,0.26,0.205
"P59","Nunca, pero esta es una excepción",0.088,0.072,0.113
"P60","Si",0.597,0.6,0.542
"P60","No",0.403,0.4,0.458
