"var","categoria","Cristina Fernández de Kirchner presidenta – Sergio Massa vice","Horacio Rodríguez Larreta presidente – Gerardo Morales vice","No sabe"
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.03,0.012,0.061
"P29","Otro candidato",0.038,0.131,0.294
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.072,0.553,0.06
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.603,0.089,0.08
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.029,0.252,0.439
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.073,0.01,0.065
"P31","Otro candidato",0.223,0.096,0.356
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.674,0.036,0.057
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.04,0.615,0.165
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.013,0.231,0.415
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.067,0.008,0.068
"P33","Otro candidato",0.206,0.11,0.295
"P35","Sergio Massa – Wado de Pedro por el Frente de Todos",0.635,0.059,0.06
"P35","Horacio Rodríguez Larreta - Gerardo Morales, por Cambiemos",0.077,0.58,0.082
"P35","Javier Milei – José Luis Espert por los liberales",0.015,0.269,0.454
"P35","Nicolás del Caño – Myriam Bregman por la izquierda",0.074,0.01,0.068
"P35","Otro candidato",0.199,0.082,0.336
"P37","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.874,0.048,0.061
"P37","Horacio Rodríguez Larreta- Gerardo Morales por Cambiemos",0.039,0.59,0.075
"P37","Javier Milei – José Luis Espert por los liberales",0.011,0.272,0.453
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.027,0.007,0.059
"P37","Otro candidato",0.049,0.083,0.352
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.72,0.009,0.068
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.013,0.613,0.156
"P38","Javier Milei – José Luis Espert por los liberales",0.017,0.249,0.42
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.059,0.015,0.065
"P38","Otro candidato",0.191,0.114,0.291
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.93,0.045,0.099
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.029,0.788,0.275
"P39","No sabe",0.041,0.167,0.626
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.777,0.012,0.076
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.018,0.897,0.123
"P40","No sabe",0.205,0.091,0.801
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.803,0.014,0.05
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.011,0.883,0.263
"P41","No sabe",0.186,0.103,0.687
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.808,0.02,0.043
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.009,0.92,0.102
"P43","No sabe",0.183,0.06,0.855
"P44","Mauricio Macri – María Eugenia Vidal",0.143,0.711,0.255
"P44","Sergio Massa – Wado de Pedro",0.687,0.156,0.083
"P44","No sabe",0.17,0.133,0.662
"P45","Sergio Massa – Wado de Pedro",0.738,0.118,0.082
"P45","Javier Milei – José Luis Espert",0.098,0.492,0.415
"P45","No sabe",0.164,0.39,0.503
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.162,0.564,0.045
"P46","Javier Milei – José Luis Espert",0.041,0.338,0.454
"P46","No sabe",0.797,0.098,0.501
"P47","Muy buena",0.166,0.075,0.024
"P47","Buena",0.338,0.054,0.07
"P47","Ni buena ni mala",0.373,0.024,0.143
"P47","Mala",0.093,0.097,0.116
"P47","Muy mala",0.019,0.748,0.636
"P47","No sabe",0.011,0.002,0.011
"P48","Muy buena",0.152,0.006,0.025
"P48","Buena",0.348,0.015,0.056
"P48","Ni buena ni mala",0.366,0.027,0.13
"P48","Mala",0.1,0.125,0.115
"P48","Muy mala",0.028,0.825,0.653
"P48","No sabe",0.006,0.002,0.021
"P49","Muy buena",0.702,0.001,0.048
"P49","Buena",0.152,0.014,0.024
"P49","Ni buena ni mala",0.116,0.022,0.12
"P49","Mala",0.015,0.069,0.071
"P49","Muy mala",0.014,0.892,0.717
"P49","No sabe",0.001,0.002,0.02
"P50","Muy buena",0.093,0.239,0.114
"P50","Buena",0.024,0.284,0.119
"P50","Ni buena ni mala",0.043,0.204,0.241
"P50","Mala",0.173,0.088,0.152
"P50","Muy mala",0.664,0.184,0.361
"P50","No sabe",0.003,0.001,0.013
"P51","Muy buena",0.012,0.275,0.068
"P51","Buena",0.011,0.399,0.13
"P51","Ni buena ni mala",0.101,0.243,0.319
"P51","Mala",0.216,0.055,0.16
"P51","Muy mala",0.645,0.027,0.292
"P51","No sabe",0.015,0.001,0.031
"P52","Muy buena",0.156,0.042,0.035
"P52","Buena",0.289,0.083,0.084
"P52","Ni buena ni mala",0.351,0.085,0.135
"P52","Mala",0.09,0.158,0.136
"P52","Muy mala",0.103,0.627,0.595
"P52","No sabe",0.011,0.005,0.015
"P53","Muy buena",0.03,0.427,0.198
"P53","Buena",0.046,0.26,0.163
"P53","Ni buena ni mala",0.075,0.146,0.215
"P53","Mala",0.138,0.068,0.136
"P53","Muy mala",0.702,0.096,0.274
"P53","No sabe",0.009,0.003,0.014
"P54","Muy buena",0.015,0.225,0.284
"P54","Buena",0.011,0.222,0.163
"P54","Ni buena ni mala",0.091,0.365,0.197
"P54","Mala",0.124,0.109,0.095
"P54","Muy mala",0.739,0.068,0.235
"P54","No sabe",0.02,0.011,0.026
"P55","Muy buena",0.006,0.326,0.115
"P55","Buena",0.008,0.339,0.145
"P55","Ni buena ni mala",0.06,0.203,0.234
"P55","Mala",0.143,0.084,0.159
"P55","Muy mala",0.772,0.044,0.33
"P55","No sabe",0.011,0.004,0.017
"P56","Muy buena",0.125,0.06,0.021
"P56","Buena",0.354,0.068,0.079
"P56","Ni buena ni mala",0.319,0.1,0.159
"P56","Mala",0.072,0.161,0.142
"P56","Muy mala",0.122,0.604,0.588
"P56","No sabe",0.008,0.007,0.011
"P57","Muy buena",0.036,0.137,0.068
"P57","Buena",0.11,0.189,0.136
"P57","Ni buena ni mala",0.381,0.355,0.334
"P57","Mala",0.205,0.116,0.122
"P57","Muy mala",0.206,0.177,0.28
"P57","No sabe",0.062,0.026,0.06
"P58","Muy buena",0.016,0.088,0.028
"P58","Buena",0.038,0.282,0.071
"P58","Ni buena ni mala",0.161,0.409,0.346
"P58","Mala",0.19,0.077,0.126
"P58","Muy mala",0.523,0.094,0.345
"P58","No sabe",0.072,0.05,0.084
"P59","Siempre",0.366,0.313,0.248
"P59","Casi siempre",0.337,0.412,0.377
"P59","Casi nunca",0.187,0.197,0.271
"P59","Nunca, pero esta es una excepción",0.11,0.078,0.104
"P60","Si",0.597,0.581,0.525
"P60","No",0.403,0.419,0.475
