"var","categoria","Sergio Massa – Wado de Pedro","Javier Milei – José Luis Espert","No sabe"
"P37","Javier Milei – José Luis Espert por los liberales",0.042,0.545,0.069
"P37","Nicolás del Caño – Myriam Bregman por la izquierda",0.025,0.012,0.044
"P37","Otro candidato",0.044,0.075,0.269
"P38","Sergio Massa – Wado de Pedro por el Frente de Todos",0.701,0.081,0.059
"P38","Mauricio Macri – María Eugenia Vidal por Cambiemos ",0.107,0.34,0.442
"P38","Javier Milei – José Luis Espert por los liberales",0.037,0.492,0.072
"P38","Nicolás del Caño – Myriam Bregman por la izquierda",0.054,0.016,0.061
"P38","Otro candidato",0.101,0.071,0.366
"P39","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.794,0.1,0.216
"P39","Mauricio Macri presidente – María Eugenia Vidal vice",0.135,0.619,0.462
"P39","No sabe",0.071,0.281,0.322
"P40","Alberto Fernández presidente – Daniel Scioli vice",0.691,0.097,0.123
"P40","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.151,0.597,0.472
"P40","No sabe",0.158,0.306,0.405
"P41","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.776,0.091,0.057
"P41","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.141,0.681,0.486
"P41","No sabe",0.083,0.228,0.457
"P42","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.793,0.104,0.172
"P42","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.15,0.613,0.485
"P42","No sabe",0.057,0.283,0.343
"P43","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.777,0.097,0.045
"P43","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.154,0.604,0.476
"P43","No sabe",0.069,0.299,0.479
"P44","Mauricio Macri – María Eugenia Vidal",0.297,0.546,0.385
"P44","Sergio Massa – Wado de Pedro",0.662,0.202,0.124
"P44","No sabe",0.041,0.252,0.491
"P46","Horacio Rodríguez Larreta – Gerardo Morales",0.281,0.253,0.383
"P46","Javier Milei – José Luis Espert",0.069,0.649,0.052
"P46","No sabe",0.65,0.098,0.565
"P47","Muy buena",0.188,0.039,0.061
"P47","Buena",0.328,0.07,0.078
"P47","Ni buena ni mala",0.305,0.075,0.146
"P47","Mala",0.09,0.069,0.14
"P47","Muy mala",0.086,0.745,0.558
"P47","No sabe",0.003,0.002,0.017
"P48","Muy buena",0.131,0.018,0.038
"P48","Buena",0.314,0.048,0.065
"P48","Ni buena ni mala",0.29,0.066,0.155
"P48","Mala",0.13,0.081,0.132
"P48","Muy mala",0.132,0.784,0.593
"P48","No sabe",0.003,0.003,0.017
"P49","Muy buena",0.602,0.051,0.127
"P49","Buena",0.11,0.04,0.044
"P49","Ni buena ni mala",0.092,0.048,0.092
"P49","Mala",0.046,0.042,0.063
"P49","Muy mala",0.15,0.816,0.659
"P49","No sabe",0,0.003,0.015
"P50","Muy buena",0.115,0.178,0.185
"P50","Buena",0.066,0.241,0.157
"P50","Ni buena ni mala",0.07,0.213,0.183
"P50","Mala",0.149,0.108,0.139
"P50","Muy mala",0.599,0.259,0.323
"P50","No sabe",0.001,0.001,0.013
"P51","Muy buena",0.06,0.14,0.208
"P51","Buena",0.067,0.278,0.259
"P51","Ni buena ni mala",0.122,0.269,0.238
"P51","Mala",0.183,0.135,0.086
"P51","Muy mala",0.559,0.17,0.188
"P51","No sabe",0.009,0.008,0.021
"P52","Muy buena",0.16,0.039,0.044
"P52","Buena",0.294,0.088,0.086
"P52","Ni buena ni mala",0.294,0.099,0.179
"P52","Mala",0.09,0.151,0.147
"P52","Muy mala",0.157,0.618,0.526
"P52","No sabe",0.005,0.005,0.018
"P53","Muy buena",0.073,0.372,0.261
"P53","Buena",0.069,0.244,0.174
"P53","Ni buena ni mala",0.074,0.153,0.181
"P53","Mala",0.133,0.084,0.107
"P53","Muy mala",0.649,0.144,0.259
"P53","No sabe",0.002,0.003,0.018
"P54","Muy buena",0.048,0.355,0.084
"P54","Buena",0.049,0.279,0.071
"P54","Ni buena ni mala",0.105,0.239,0.349
"P54","Mala",0.118,0.052,0.166
"P54","Muy mala",0.678,0.073,0.281
"P54","No sabe",0.002,0.002,0.049
"P55","Muy buena",0.039,0.213,0.248
"P55","Buena",0.063,0.255,0.219
"P55","Ni buena ni mala",0.073,0.226,0.179
"P55","Mala",0.156,0.116,0.093
"P55","Muy mala",0.659,0.188,0.244
"P55","No sabe",0.01,0.002,0.017
"P56","Muy buena",0.109,0.052,0.061
"P56","Buena",0.313,0.093,0.106
"P56","Ni buena ni mala",0.272,0.123,0.176
"P56","Mala",0.091,0.145,0.141
"P56","Muy mala",0.212,0.579,0.503
"P56","No sabe",0.003,0.008,0.013
"P57","Muy buena",0.043,0.114,0.101
"P57","Buena",0.106,0.17,0.171
"P57","Ni buena ni mala",0.377,0.34,0.363
"P57","Mala",0.193,0.14,0.111
"P57","Muy mala",0.244,0.203,0.184
"P57","No sabe",0.037,0.033,0.07
"P58","Muy buena",0.014,0.055,0.079
"P58","Buena",0.076,0.186,0.186
"P58","Ni buena ni mala",0.203,0.361,0.36
"P58","Mala",0.181,0.119,0.082
"P58","Muy mala",0.474,0.218,0.209
"P58","No sabe",0.052,0.061,0.084
"P59","Siempre",0.335,0.287,0.329
"P59","Casi siempre",0.36,0.413,0.36
"P59","Casi nunca",0.195,0.224,0.212
"P59","Nunca, pero esta es una excepción",0.11,0.076,0.099
"P60","Si",0.59,0.596,0.534
"P60","No",0.41,0.404,0.466
