"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P28","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.675,0.07,0.059,0.065
"P28","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.055,0.38,0.05,0.013
"P28","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.069,0.126,0.12,0.099
"P28","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.06,0.26,0.467,0.343
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.044,0.027,0.113,0.033
"P28","Otros",0.046,0.062,0.069,0.101
"P28","En blanco",0.003,0.01,0.097,0.041
"P28","No sabe",0.048,0.065,0.025,0.305
"P32","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.904,0.036,0.083,0.093
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.061,0.732,0.35,0.227
"P32","En blanco",0.006,0.112,0.402,0.079
"P32","No sabe",0.029,0.12,0.165,0.601
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.205,0.502,0.191,0.163
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.073,0.345,0.467,0.314
"P33","En blanco",0.48,0.086,0.307,0.067
"P33","No sabe",0.242,0.067,0.035,0.456
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.272,0.53,0.04,0.052
"P35","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.055,0.397,0.516,0.296
"P35","En blanco",0.456,0.048,0.426,0.073
"P35","No sabe",0.217,0.025,0.018,0.579
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.896,0.071,0.067,0.046
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.023,0.594,0.57,0.289
"P36","En blanco",0.044,0.202,0.33,0.028
"P36","No sabe",0.037,0.133,0.033,0.637
"P37","Lo votaría",0.796,0.044,0.072,0.079
"P37","Puede que lo vote",0.094,0.098,0.04,0.065
"P37","Nunca lo votaría",0.082,0.795,0.805,0.463
"P37","No sabe",0.028,0.063,0.083,0.393
"P38","Lo votaría",0.446,0.058,0.064,0.05
"P38","Puede que lo vote",0.209,0.026,0.048,0.096
"P38","Nunca lo votaría",0.218,0.87,0.779,0.524
"P38","No sabe",0.127,0.046,0.109,0.33
"P39","Lo votaría",0.109,0.535,0.22,0.228
"P39","Puede que lo vote",0.034,0.212,0.098,0.064
"P39","Nunca lo votaría",0.812,0.205,0.481,0.399
"P39","No sabe",0.045,0.048,0.201,0.309
"P40","Lo votaría",0.067,0.497,0.039,0.09
"P40","Puede que lo vote",0.093,0.351,0.101,0.135
"P40","Nunca lo votaría",0.807,0.101,0.672,0.499
"P40","No sabe",0.033,0.051,0.188,0.276
"P41","Lo votaría",0.107,0.174,0.07,0.039
"P41","Puede que lo vote",0.132,0.187,0.103,0.143
"P41","Nunca lo votaría",0.548,0.468,0.576,0.505
"P41","No sabe",0.213,0.171,0.251,0.313
"P42","Lo votaría",0.066,0.336,0.433,0.286
"P42","Puede que lo vote",0.074,0.229,0.123,0.169
"P42","Nunca lo votaría",0.762,0.369,0.362,0.352
"P42","No sabe",0.098,0.066,0.082,0.193
"P43","Lo votaría",0.152,0.132,0.107,0.028
"P43","Puede que lo vote",0.247,0.06,0.089,0.02
"P43","Nunca lo votaría",0.487,0.746,0.681,0.603
"P43","No sabe",0.114,0.062,0.123,0.349
"P44","Sí",0.458,0.441,0.379,0.254
"P44","No",0.542,0.559,0.621,0.746
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.55,0.078,0.041,0.078
"PRESIDENTE","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.225,0.014,0.051,0.034
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.051,0.384,0.172,0.173
"PRESIDENTE","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.023,0.197,0,0.014
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.055,0.289,0.465,0.258
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.022,0.001,0.083,0
"PRESIDENTE","En blanco",0.029,0.002,0.125,0.072
"PRESIDENTE","No sabe",0.045,0.035,0.063,0.371
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.506,0.097,0.101,0.173
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.077,0.328,0.129,0.152
"DIPUTADOS","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.024,0.152,0.022,0.105
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.219,0.142,0.189,0.239
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.087,0.237,0.393,0.173
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.055,0.026,0.094,0.006
"DIPUTADOS","En blanco",0.027,0.009,0.042,0.049
"DIPUTADOS","No sabe",0.005,0.009,0.03,0.103
