"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda","Otros","En blanco","No sabe"
"P10","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.021,0.073,0.17,0.749,0,0.029,0,0.01
"P10","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.004,0.003,0.006,0.002,0.355,0.003,0.017,0
"P10","En blanco",0.002,0.002,0.035,0,0,0.075,0.44,0.074
"P10","No sabe",0.016,0.003,0.069,0.011,0.265,0.117,0.229,0.629
"P14","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",0.115,0.438,0.241,0.043,0,0,0,0.561
"P14","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y por Unión por la Patria",0.014,0,0,0.05,0,0,0,0
"P14","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0.208,0.386,0.071,0.045,0,0,0,0
"P14","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.176,0.176,0.026,0.265,0,0,0,0
"P14","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.402,0,0.217,0,0,0,0,0.439
"P14","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente el Frente de Izquierda",0,0,0,0,0,0,0,0
"P14","En blanco",0.04,0,0.383,0.189,0,0.762,0,0
"P14","No sabe",0.045,0,0.062,0.408,0,0.238,0,0
"P17","Sí",0.465,0.547,0.596,0.583,0.898,0.741,0.795,0.625
"P17","No",0.535,0.453,0.404,0.417,0.102,0.259,0.205,0.375
"P18","Martín Soria a Diputado Nacional por Unión por la Patria",0.274,0.156,0.219,0.063,0.076,0.295,0.117,0.067
"P18","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.113,0.203,0.116,0.177,0.058,0.296,0.287,0.194
"P18","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.029,0.197,0.169,0.156,0.008,0.138,0.032,0.059
"P18","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.306,0.202,0.28,0.244,0.025,0.069,0.202,0.442
"P18","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.203,0.107,0.211,0.285,0.067,0.055,0.108,0.047
"P18","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.044,0.011,0,0.036,0.612,0.049,0.021,0.008
"P18","En blanco",0.006,0.099,0.005,0.009,0.023,0.071,0.115,0.095
"P18","No sabe",0.025,0.025,0,0.03,0.131,0.027,0.118,0.088
"P22","Totalmente seguro",0.641,0.679,0.656,0.7,0.583,0.521,0.565,0.299
"P22","Bastante seguro",0.237,0.169,0.173,0.208,0.158,0.182,0.019,0.076
"P22","Algo seguro",0.087,0.063,0.064,0.054,0.04,0.072,0.017,0.167
"P22","Para nada seguro",0.035,0.089,0.107,0.038,0.219,0.225,0.399,0.458
"P23","Tiene Decidido que va a ir a votar",0.954,0.88,0.951,0.939,0.89,0.877,0.514,0.79
"P23","Tiene dudas sobre si va a ir a  votar",0.036,0.113,0.028,0.02,0.11,0.105,0.085,0.115
"P23","Tiene Decidido que no va a ir a votar",0.01,0.007,0.021,0.041,0,0.018,0.401,0.095
"P24","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.798,0.053,0.131,0.095,0.021,0.052,0,0.044
"P24","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.04,0.58,0.268,0.114,0.027,0.362,0.266,0.212
"P24","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.072,0.099,0.434,0.019,0,0.047,0,0.017
"P24","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.04,0.056,0.142,0.747,0.048,0.041,0,0.033
"P24","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.004,0.006,0,0,0.649,0.068,0,0.009
"P24","Otros",0.032,0.131,0.025,0.005,0.123,0.365,0,0.008
"P24","En blanco",0,0.007,0,0,0,0.009,0.656,0.046
"P24","No sabe",0.014,0.068,0,0.02,0.132,0.056,0.078,0.631
"P32","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.874,0.138,0.284,0.114,0.334,0.211,0.041,0.196
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.059,0.722,0.471,0.434,0.02,0.43,0.298,0.241
"P32","En blanco",0.022,0.056,0.106,0.203,0.323,0.161,0.496,0.021
"P32","No sabe",0.045,0.084,0.139,0.249,0.323,0.198,0.165,0.542
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.158,0.636,0.438,0.161,0.026,0.491,0.282,0.303
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.11,0.168,0.234,0.75,0,0.044,0,0.033
"P33","En blanco",0.475,0.081,0.162,0.035,0.804,0.293,0.7,0.137
"P33","No sabe",0.257,0.115,0.166,0.054,0.17,0.172,0.018,0.527
"P34","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.855,0.136,0.252,0.094,0.339,0.264,0.041,0.189
"P34","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.075,0.798,0.397,0.35,0.176,0.306,0.119,0.22
"P34","En blanco",0.032,0.052,0.185,0.309,0.37,0.166,0.577,0.041
"P34","No sabe",0.038,0.014,0.166,0.247,0.115,0.264,0.263,0.55
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.216,0.771,0.307,0.062,0.062,0.376,0.177,0.262
"P35","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.074,0.133,0.265,0.789,0.034,0.128,0.103,0.094
"P35","En blanco",0.467,0.059,0.224,0.05,0.753,0.252,0.663,0.165
"P35","No sabe",0.243,0.037,0.204,0.099,0.151,0.244,0.057,0.479
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.871,0.153,0.257,0.097,0.411,0.237,0.045,0.18
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.038,0.374,0.391,0.799,0,0.184,0.135,0.198
"P36","En blanco",0.041,0.278,0.176,0.024,0.466,0.243,0.556,0.076
"P36","No sabe",0.05,0.195,0.176,0.08,0.123,0.336,0.264,0.546
"P37","Lo votaría",0.87,0.119,0.151,0.098,0.113,0.183,0,0.125
"P37","Puede que lo vote",0.072,0.055,0.173,0.058,0.031,0.126,0.045,0.139
"P37","Nunca lo votaría",0.039,0.773,0.582,0.714,0.58,0.618,0.759,0.407
"P37","No sabe",0.019,0.053,0.094,0.13,0.276,0.073,0.196,0.329
"P38","Lo votaría",0.454,0.09,0.101,0.082,0.369,0.207,0,0.018
"P38","Puede que lo vote",0.233,0.038,0.112,0.021,0.103,0.111,0.011,0.094
"P38","Nunca lo votaría",0.213,0.854,0.657,0.789,0.184,0.643,0.792,0.477
"P38","No sabe",0.1,0.018,0.13,0.108,0.344,0.039,0.197,0.411
"P39","Lo votaría",0.13,0.561,0.237,0.285,0.101,0.476,0.285,0.233
"P39","Puede que lo vote",0.041,0.153,0.084,0.208,0.099,0.041,0,0.04
"P39","Nunca lo votaría",0.792,0.222,0.528,0.389,0.634,0.472,0.546,0.338
"P39","No sabe",0.037,0.064,0.151,0.118,0.166,0.011,0.169,0.389
"P40","Lo votaría",0.079,0.576,0.163,0.168,0.101,0.265,0.13,0.081
"P40","Puede que lo vote",0.125,0.2,0.305,0.17,0.247,0.211,0.061,0.196
"P40","Nunca lo votaría",0.76,0.19,0.397,0.535,0.45,0.501,0.647,0.427
"P40","No sabe",0.036,0.034,0.135,0.127,0.202,0.023,0.162,0.296
"P41","Lo votaría",0.067,0.192,0.376,0.056,0.164,0.059,0,0.016
"P41","Puede que lo vote",0.124,0.127,0.28,0.144,0.198,0.138,0,0.123
"P41","Nunca lo votaría",0.633,0.491,0.176,0.602,0.267,0.662,0.777,0.326
"P41","No sabe",0.176,0.19,0.168,0.198,0.371,0.141,0.223,0.535
"P42","Lo votaría",0.095,0.079,0.238,0.684,0.107,0.053,0,0.051
"P42","Puede que lo vote",0.084,0.307,0.115,0.127,0,0.175,0.109,0.186
"P42","Nunca lo votaría",0.79,0.506,0.451,0.122,0.837,0.753,0.547,0.463
"P42","No sabe",0.031,0.108,0.196,0.067,0.056,0.019,0.344,0.3
"P43","Lo votaría",0.108,0.068,0.188,0.089,0.863,0.031,0,0
"P43","Puede que lo vote",0.273,0.043,0.09,0.073,0.11,0.058,0.07,0.077
"P43","Nunca lo votaría",0.508,0.829,0.535,0.703,0.008,0.879,0.738,0.528
"P43","No sabe",0.111,0.06,0.187,0.135,0.019,0.032,0.192,0.395
"P44","Sí",0.457,0.448,0.411,0.413,0.364,0.394,0.018,0.304
"P44","No",0.543,0.552,0.589,0.587,0.636,0.606,0.982,0.696
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.707,0.063,0.113,0.068,0.042,0.003,0,0.03
"PRESIDENTE","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.164,0.05,0.062,0.016,0.285,0.347,0,0.012
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.033,0.492,0.269,0.112,0.005,0.319,0.297,0.203
"PRESIDENTE","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.028,0.314,0.05,0.019,0.048,0.05,0.017,0.037
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.04,0.073,0.264,0.749,0,0.029,0,0.015
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.004,0.003,0.006,0.003,0.355,0.003,0.017,0
"PRESIDENTE","En blanco",0.004,0.002,0.144,0.009,0,0.114,0.44,0.074
"PRESIDENTE","No sabe",0.02,0.003,0.092,0.024,0.265,0.135,0.229,0.629
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.617,0.135,0.105,0.064,0.104,0.268,0.086,0.084
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.063,0.331,0.137,0.16,0.056,0.334,0.27,0.277
"DIPUTADOS","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.022,0.222,0.074,0.097,0.006,0.124,0.041,0.042
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.17,0.138,0.44,0.184,0.026,0.116,0.149,0.369
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.093,0.111,0.231,0.466,0.061,0.041,0.099,0.043
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.021,0.007,0,0.007,0.601,0.038,0.017,0.007
"DIPUTADOS","En blanco",0.003,0.044,0.013,0.006,0.022,0.053,0.235,0.113
"DIPUTADOS","No sabe",0.011,0.012,0,0.016,0.124,0.026,0.103,0.065
