"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P24","No sabe",0.002,0.019,0.005,0.142,0.037,0.108,0.037,0.598
"P28","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.829,0.438,0.05,0.109,0.049,0.06,0.027,0.05
"P28","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.038,0.07,0.383,0.623,0.046,0.022,0.006,0.004
"P28","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.045,0.057,0.139,0.066,0.112,0.031,0.31,0.079
"P28","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.067,0.036,0.142,0.062,0.776,0.031,0.049,0.051
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.008,0.121,0.001,0.029,0,0.822,0,0.107
"P28","Otros",0.001,0.267,0.139,0.056,0.01,0.013,0.206,0.098
"P28","En blanco",0,0,0.038,0.006,0,0.021,0.237,0.05
"P28","No sabe",0.012,0.011,0.108,0.049,0.007,0,0.165,0.561
"P32","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.877,0.805,0.064,0.1,0.124,0.324,0.236,0.174
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.03,0.053,0.901,0.643,0.411,0.052,0.065,0.061
"P32","En blanco",0.039,0.069,0.011,0.075,0.222,0.265,0.365,0.151
"P32","No sabe",0.054,0.073,0.024,0.182,0.243,0.359,0.334,0.614
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.135,0.26,0.801,0.437,0.108,0.021,0.167,0.132
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.104,0.036,0.141,0.21,0.811,0.031,0.007,0.055
"P33","En blanco",0.461,0.58,0.015,0.116,0.032,0.917,0.671,0.222
"P33","No sabe",0.3,0.124,0.043,0.237,0.049,0.031,0.155,0.591
"P34","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.821,0.822,0.095,0.118,0.089,0.381,0.248,0.164
"P34","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.1,0.042,0.619,0.85,0.402,0.022,0.012,0.112
"P34","En blanco",0.026,0.079,0.137,0,0.318,0.597,0.454,0.097
"P34","No sabe",0.053,0.057,0.149,0.032,0.191,0,0.286,0.627
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.229,0.253,0.542,0.816,0.07,0.108,0.209,0.072
"P35","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.028,0.096,0.247,0.09,0.849,0,0.019,0.115
"P35","En blanco",0.4,0.496,0.111,0.065,0.06,0.892,0.484,0.318
"P35","No sabe",0.343,0.155,0.1,0.029,0.021,0,0.288,0.495
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.852,0.812,0.093,0.228,0.044,0.369,0.294,0.12
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.046,0.025,0.493,0.169,0.861,0.021,0.012,0.078
"P36","En blanco",0.049,0.078,0.195,0.279,0.05,0.61,0.466,0.161
"P36","No sabe",0.053,0.085,0.219,0.324,0.045,0,0.228,0.641
"P37","Lo votaría",0.909,0.671,0.021,0.114,0.045,0.032,0.169,0.076
"P37","Puede que lo vote",0.01,0.171,0.103,0.026,0.103,0.074,0.059,0.137
"P37","Nunca lo votaría",0.065,0.125,0.797,0.764,0.742,0.683,0.526,0.367
"P37","No sabe",0.016,0.033,0.079,0.096,0.11,0.211,0.246,0.42
"P38","Lo votaría",0.359,0.808,0.054,0.081,0.027,0.192,0,0
"P38","Puede que lo vote",0.24,0.113,0.026,0.041,0.029,0.172,0.076,0.191
"P38","Nunca lo votaría",0.255,0.064,0.889,0.813,0.856,0.079,0.687,0.328
"P38","No sabe",0.146,0.015,0.031,0.065,0.088,0.557,0.237,0.481
"P39","Lo votaría",0.112,0.078,0.816,0.312,0.2,0.273,0.074,0.006
"P39","Puede que lo vote",0.014,0.022,0.025,0.437,0.245,0.038,0.059,0.061
"P39","Nunca lo votaría",0.834,0.841,0.134,0.204,0.402,0.378,0.686,0.477
"P39","No sabe",0.04,0.059,0.025,0.047,0.153,0.311,0.181,0.456
"P40","Lo votaría",0.087,0.052,0.45,0.694,0.118,0.271,0,0.023
"P40","Puede que lo vote",0.121,0.032,0.322,0.238,0.223,0,0.1,0.128
"P40","Nunca lo votaría",0.754,0.898,0.178,0.06,0.515,0.347,0.78,0.454
"P40","No sabe",0.038,0.018,0.05,0.008,0.144,0.382,0.12,0.395
"P41","Lo votaría",0.089,0.045,0.175,0.267,0.1,0.246,0.046,0.016
"P41","Puede que lo vote",0.133,0.183,0.179,0.163,0.125,0.1,0.072,0.145
"P41","Nunca lo votaría",0.554,0.562,0.464,0.409,0.615,0.211,0.767,0.301
"P41","No sabe",0.224,0.21,0.182,0.161,0.16,0.443,0.115,0.538
"P42","Lo votaría",0.041,0.032,0.191,0.079,0.773,0.208,0.009,0.025
"P42","Puede que lo vote",0.092,0.034,0.379,0.179,0.075,0.063,0.112,0.073
"P42","Nunca lo votaría",0.811,0.802,0.368,0.689,0.08,0.659,0.717,0.529
"P42","No sabe",0.056,0.132,0.062,0.053,0.072,0.07,0.162,0.373
"P43","Lo votaría",0.064,0.291,0.09,0.056,0.107,0.836,0,0.084
"P43","Puede que lo vote",0.226,0.307,0.039,0.081,0.057,0.14,0.057,0.083
"P43","Nunca lo votaría",0.554,0.354,0.809,0.797,0.723,0.024,0.809,0.325
"P43","No sabe",0.156,0.048,0.062,0.066,0.113,0,0.134,0.508
"P44","Sí",0.5,0.304,0.499,0.338,0.405,0.205,0.391,0.171
"P44","No",0.5,0.696,0.501,0.662,0.595,0.795,0.609,0.829
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.645,0.496,0.13,0.122,0.019,0.013,0.108,0.061
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.045,0.108,0.563,0.117,0.08,0,0.043,0.143
"DIPUTADOS","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.011,0.053,0.109,0.453,0.087,0.038,0,0.03
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.179,0.117,0.114,0.118,0.209,0.027,0.63,0.416
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.076,0.129,0.052,0.119,0.579,0.017,0,0.033
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.019,0.058,0,0.021,0.01,0.721,0.019,0.071
"DIPUTADOS","En blanco",0.016,0.025,0.023,0.037,0.004,0.092,0.175,0.093
"DIPUTADOS","No sabe",0.009,0.014,0.009,0.013,0.012,0.092,0.025,0.153
