"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P38","Puede que lo vote",0.254,0.113,0.015,0.046,0.109,0.029,0.172,0.039,0.187
"P38","Nunca lo votaría",0.204,0.064,0.915,0.859,0.608,0.869,0.079,0.781,0.315
"P38","No sabe",0.158,0.015,0.027,0.074,0.084,0.093,0.557,0.18,0.498
"P39","Lo votaría",0.105,0.078,0.848,0.277,0.211,0.194,0.273,0.099,0.006
"P39","Puede que lo vote",0.015,0.022,0.024,0.482,0.064,0.256,0.038,0,0.063
"P39","Nunca lo votaría",0.836,0.841,0.102,0.209,0.605,0.388,0.378,0.796,0.483
"P39","No sabe",0.044,0.059,0.026,0.032,0.12,0.162,0.311,0.105,0.448
"P40","Lo votaría",0.069,0.052,0.46,0.728,0.252,0.107,0.271,0,0.017
"P40","Puede que lo vote",0.098,0.032,0.327,0.209,0.269,0.23,0,0.049,0.133
"P40","Nunca lo votaría",0.792,0.898,0.176,0.054,0.342,0.511,0.347,0.938,0.46
"P40","No sabe",0.041,0.018,0.037,0.009,0.137,0.152,0.382,0.013,0.39
"P41","Lo votaría",0.056,0.045,0.157,0.213,0.517,0.059,0.246,0.011,0
"P41","Puede que lo vote",0.105,0.183,0.188,0.151,0.232,0.128,0.1,0,0.15
"P41","Nunca lo votaría",0.594,0.562,0.465,0.463,0.159,0.643,0.211,0.967,0.312
"P41","No sabe",0.245,0.21,0.19,0.173,0.092,0.17,0.443,0.022,0.538
"P42","Lo votaría",0.039,0.032,0.188,0.054,0.181,0.793,0.208,0.013,0.019
"P42","Puede que lo vote",0.093,0.034,0.394,0.176,0.119,0.079,0.063,0.018,0.075
"P42","Nunca lo votaría",0.807,0.802,0.357,0.71,0.625,0.051,0.659,0.834,0.538
"P42","No sabe",0.061,0.132,0.061,0.06,0.075,0.077,0.07,0.135,0.368
"P43","Lo votaría",0.068,0.291,0.071,0.013,0.19,0.094,0.836,0,0.087
"P43","Puede que lo vote",0.214,0.307,0.033,0.063,0.212,0.052,0.14,0.059,0.086
"P43","Nunca lo votaría",0.551,0.354,0.831,0.871,0.469,0.734,0.024,0.941,0.319
"P43","No sabe",0.167,0.048,0.065,0.053,0.129,0.12,0,0,0.508
"P44","Sí",0.491,0.304,0.494,0.341,0.561,0.387,0.205,0.377,0.141
"P44","No",0.509,0.696,0.506,0.659,0.439,0.613,0.795,0.623,0.859
