"var","categoria","Unión por la Patria","Juntos por el Cambio","Juntos Somos Río Negro","Liberales","Izquierda","Otro","No sabe"
"P32","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.876,0.077,0.313,0.06,0.386,0.322,0.261
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.052,0.79,0.347,0.471,0.077,0.208,0.137
"P32","En blanco",0.025,0.038,0.101,0.274,0.28,0.316,0.119
"P32","No sabe",0.047,0.095,0.239,0.195,0.257,0.154,0.483
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.201,0.683,0.32,0.096,0.132,0.131,0.117
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.094,0.183,0.21,0.86,0.163,0.26,0.174
"P33","En blanco",0.52,0.031,0.222,0.021,0.532,0.463,0.239
"P33","No sabe",0.185,0.103,0.248,0.023,0.173,0.146,0.47
"P34","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.843,0.108,0.301,0.043,0.363,0.384,0.269
"P34","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.054,0.737,0.2,0.397,0.231,0.169,0.176
"P34","En blanco",0.059,0.058,0.234,0.408,0.374,0.209,0.077
"P34","No sabe",0.044,0.097,0.265,0.152,0.032,0.238,0.478
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.211,0.607,0.253,0.058,0.263,0.294,0.124
"P35","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.051,0.242,0.27,0.855,0.124,0.271,0.215
"P35","En blanco",0.528,0.044,0.217,0.073,0.57,0.282,0.21
"P35","No sabe",0.21,0.107,0.26,0.014,0.043,0.153,0.451
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.853,0.133,0.293,0.022,0.333,0.484,0.263
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.013,0.477,0.367,0.906,0.108,0.04,0.2
"P36","En blanco",0.069,0.196,0.12,0.028,0.504,0.191,0.118
"P36","No sabe",0.065,0.194,0.22,0.044,0.055,0.285,0.419
"P37","Lo votaría",0.832,0.089,0.273,0.025,0.113,0.325,0.244
"P37","Puede que lo vote",0.067,0.043,0.087,0.103,0.146,0.076,0.128
"P37","Nunca lo votaría",0.056,0.794,0.401,0.827,0.625,0.535,0.358
"P37","No sabe",0.045,0.074,0.239,0.045,0.116,0.064,0.27
"P38","Lo votaría",0.516,0.069,0.116,0.024,0.307,0.073,0.051
"P38","Puede que lo vote",0.22,0.015,0.161,0.037,0.063,0.241,0.078
"P38","Nunca lo votaría",0.166,0.902,0.505,0.918,0.321,0.629,0.454
"P38","No sabe",0.098,0.014,0.218,0.021,0.309,0.057,0.417
"P39","Lo votaría",0.061,0.675,0.331,0.212,0.211,0.176,0.074
"P39","Puede que lo vote",0.043,0.154,0.072,0.256,0.02,0.028,0.043
"P39","Nunca lo votaría",0.862,0.123,0.398,0.418,0.521,0.724,0.6
"P39","No sabe",0.034,0.048,0.199,0.114,0.248,0.072,0.283
"P40","Lo votaría",0.044,0.503,0.269,0.124,0.079,0.072,0.08
"P40","Puede que lo vote",0.074,0.312,0.219,0.241,0.185,0.065,0.079
"P40","Nunca lo votaría",0.832,0.154,0.352,0.539,0.488,0.805,0.597
"P40","No sabe",0.05,0.031,0.16,0.096,0.248,0.058,0.244
"P41","Lo votaría",0.098,0.083,0.336,0.05,0.204,0.058,0.061
"P41","Puede que lo vote",0.156,0.163,0.27,0.094,0.188,0.042,0.057
"P41","Nunca lo votaría",0.556,0.525,0.245,0.681,0.36,0.752,0.48
"P41","No sabe",0.19,0.229,0.149,0.175,0.248,0.148,0.402
"P42","Lo votaría",0.035,0.205,0.208,0.786,0.229,0.266,0.128
"P42","Puede que lo vote",0.061,0.33,0.2,0.05,0.04,0.015,0.123
"P42","Nunca lo votaría",0.862,0.381,0.488,0.109,0.589,0.515,0.488
"P42","No sabe",0.042,0.084,0.104,0.055,0.142,0.204,0.261
"P43","Lo votaría",0.116,0.095,0.069,0.103,0.514,0.071,0.051
"P43","Puede que lo vote",0.296,0.031,0.132,0.061,0.099,0.032,0.073
"P43","Nunca lo votaría",0.493,0.823,0.515,0.773,0.267,0.783,0.509
"P43","No sabe",0.095,0.051,0.284,0.063,0.12,0.114,0.367
"P44","Sí",0.43,0.427,0.562,0.416,0.112,0.265,0.343
"P44","No",0.57,0.573,0.438,0.584,0.888,0.735,0.657
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.569,0.045,0.171,0.015,0.067,0.139,0.15
"PRESIDENTE","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.244,0.059,0.117,0.009,0.145,0.093,0.022
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.045,0.536,0.126,0.076,0.028,0.142,0.136
"PRESIDENTE","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.029,0.179,0.088,0.021,0.083,0.071,0.019
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.042,0.093,0.191,0.854,0.159,0.139,0.111
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.006,0.002,0.007,0,0.308,0.07,0.011
"PRESIDENTE","En blanco",0.039,0.03,0.201,0.005,0.022,0.14,0.107
"PRESIDENTE","No sabe",0.026,0.056,0.099,0.02,0.188,0.206,0.444
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.551,0.201,0.163,0,0.035,0.177,0.198
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.096,0.384,0.154,0.036,0.029,0.158,0.172
"DIPUTADOS","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.005,0.205,0.088,0.127,0.066,0.055,0.021
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.22,0.113,0.501,0.192,0.052,0.089,0.221
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.124,0.097,0.048,0.645,0.125,0.155,0.1
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.004,0,0,0,0.693,0,0
"DIPUTADOS","En blanco",0,0,0.046,0,0,0.212,0.155
"DIPUTADOS","No sabe",0,0,0,0,0,0.154,0.133
