"var","categoria","Martín Soria a Diputado Nacional por Unión por la Patria","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Roberto Brusa a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.253,0.57,0.471,0.253,0.206,0.007,0.121,0.127
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.068,0.252,0.324,0.226,0.645,0.047,0.142,0.079
"P33","En blanco",0.46,0.092,0.069,0.257,0.1,0.737,0.373,0.231
"P33","No sabe",0.219,0.086,0.136,0.264,0.049,0.209,0.364,0.563
"P34","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.717,0.16,0.113,0.417,0.163,0.457,0.371,0.073
"P34","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.12,0.593,0.634,0.237,0.386,0.185,0.107,0.119
"P34","En blanco",0.062,0.116,0.045,0.156,0.317,0.337,0.248,0.186
"P34","No sabe",0.101,0.131,0.208,0.19,0.134,0.021,0.274,0.622
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.275,0.446,0.526,0.263,0.133,0.172,0.342,0.044
"P35","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.052,0.267,0.374,0.23,0.674,0.083,0.045,0.187
"P35","En blanco",0.413,0.169,0.054,0.278,0.116,0.71,0.295,0.182
"P35","No sabe",0.26,0.118,0.046,0.229,0.077,0.035,0.318,0.587
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.732,0.147,0.116,0.485,0.157,0.448,0.44,0.196
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.082,0.43,0.471,0.279,0.686,0.035,0.04,0.141
"P36","En blanco",0.079,0.216,0.15,0.095,0.086,0.496,0.262,0.164
"P36","No sabe",0.107,0.207,0.263,0.141,0.071,0.021,0.258,0.499
"P37","Lo votaría",0.755,0.125,0.037,0.407,0.154,0.153,0.296,0.13
"P37","Puede que lo vote",0.067,0.06,0.063,0.083,0.109,0.034,0.144,0.171
"P37","Nunca lo votaría",0.145,0.673,0.848,0.352,0.681,0.69,0.342,0.365
"P37","No sabe",0.033,0.142,0.052,0.158,0.056,0.123,0.218,0.334
"P38","Lo votaría",0.404,0.073,0.009,0.233,0.124,0.427,0.061,0.185
"P38","Puede que lo vote",0.182,0.079,0.04,0.112,0.058,0.052,0.266,0.101
"P38","Nunca lo votaría",0.281,0.768,0.933,0.516,0.739,0.24,0.436,0.358
"P38","No sabe",0.133,0.08,0.018,0.139,0.079,0.281,0.237,0.356
"P39","Lo votaría",0.137,0.639,0.416,0.221,0.234,0.258,0.046,0.305
"P39","Puede que lo vote",0.045,0.076,0.295,0.072,0.187,0.033,0.093,0.089
"P39","Nunca lo votaría",0.751,0.263,0.249,0.579,0.474,0.57,0.648,0.298
"P39","No sabe",0.067,0.022,0.04,0.128,0.105,0.139,0.213,0.308
"P40","Lo votaría",0.124,0.379,0.456,0.215,0.127,0.13,0.036,0.089
"P40","Puede que lo vote",0.089,0.329,0.215,0.159,0.197,0.255,0.024,0.115
"P40","Nunca lo votaría",0.756,0.257,0.258,0.473,0.571,0.435,0.867,0.598
"P40","No sabe",0.031,0.035,0.071,0.153,0.105,0.18,0.073,0.198
"P41","Lo votaría",0.061,0.138,0.059,0.239,0.079,0.107,0.05,0.108
"P41","Puede que lo vote",0.16,0.162,0.178,0.143,0.123,0.202,0.035,0.098
"P41","Nunca lo votaría",0.566,0.497,0.558,0.387,0.643,0.348,0.776,0.442
"P41","No sabe",0.213,0.203,0.205,0.231,0.155,0.343,0.139,0.352
"P42","Lo votaría",0.032,0.16,0.299,0.242,0.61,0.133,0.065,0.249
"P42","Puede que lo vote",0.124,0.309,0.174,0.141,0.08,0,0.036,0.097
"P42","Nunca lo votaría",0.769,0.434,0.445,0.524,0.213,0.817,0.811,0.502
"P42","No sabe",0.075,0.097,0.082,0.093,0.097,0.05,0.088,0.152
"P43","Lo votaría",0.081,0.077,0.075,0.146,0.103,0.649,0.036,0.17
"P43","Puede que lo vote",0.251,0.065,0.029,0.129,0.103,0.132,0.11,0.046
"P43","Nunca lo votaría",0.556,0.767,0.82,0.53,0.695,0.202,0.77,0.415
"P43","No sabe",0.112,0.091,0.076,0.195,0.099,0.017,0.084,0.369
"P44","Sí",0.444,0.477,0.347,0.503,0.373,0.133,0.117,0.492
"P44","No",0.556,0.523,0.653,0.497,0.627,0.867,0.883,0.508
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.594,0.061,0.031,0.195,0.099,0.105,0.097,0.078
"PRESIDENTE","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.197,0.062,0.062,0.055,0.073,0.138,0.066,0.055
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.101,0.636,0.246,0.104,0.057,0,0.117,0.068
"PRESIDENTE","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.038,0.053,0.406,0.043,0.053,0.039,0.074,0.038
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.016,0.099,0.214,0.209,0.699,0.05,0.022,0.095
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.001,0,0.012,0.004,0.003,0.491,0.069,0.1
"PRESIDENTE","En blanco",0.032,0.019,0,0.224,0,0.034,0.347,0.072
"PRESIDENTE","No sabe",0.021,0.07,0.029,0.166,0.016,0.143,0.208,0.494
