"var","categoria","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P18","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.204,0.241,0.274,0.266
"P18","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.131,0.305,0.115,0.122
"P18","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.048,0.024,0.191,0.015
"P18","En blanco",0.064,0.005,0.027,0.046
"P18","No sabe",0.01,0.028,0.025,0.124
"P22","Totalmente seguro",0.674,0.726,0.568,0.412
"P22","Bastante seguro",0.185,0.181,0.21,0.183
"P22","Algo seguro",0.076,0.036,0.107,0.111
"P22","Para nada seguro",0.065,0.057,0.115,0.294
"P23","Tiene Decidido que va a ir a votar",0.922,0.936,0.878,0.866
"P23","Tiene dudas sobre si va a ir a  votar",0.077,0.035,0.043,0.098
"P23","Tiene Decidido que no va a ir a votar",0.001,0.029,0.079,0.036
"P24","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.203,0.053,0.499,0.441
"P24","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.439,0.187,0.071,0.079
"P24","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.131,0.031,0.084,0.096
"P24","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.04,0.667,0.035,0.061
"P24","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.022,0,0.121,0.015
"P24","Otros",0.097,0.015,0.072,0.081
"P24","En blanco",0.03,0,0.063,0
"P24","No sabe",0.038,0.047,0.055,0.227
"P28","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.222,0.078,0.516,0.374
"P28","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.423,0.075,0.035,0.03
"P28","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.104,0.092,0.082,0.104
"P28","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.052,0.678,0.045,0.125
"P28","Myriam Bregman a Presidente y Nicolás del Caño a Vicepresidente por el Frente de Izquierda",0.011,0.006,0.139,0.039
"P28","Otros",0.086,0.03,0.062,0.084
"P28","En blanco",0.016,0.009,0.063,0.008
"P28","No sabe",0.086,0.032,0.058,0.236
"P32","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.313,0.089,0.664,0.472
"P32","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.545,0.531,0.104,0.111
"P32","En blanco",0.074,0.199,0.123,0.026
"P32","No sabe",0.068,0.181,0.109,0.391
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.595,0.227,0.14,0.144
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.112,0.719,0.046,0.116
"P33","En blanco",0.185,0.025,0.719,0.094
"P33","No sabe",0.108,0.029,0.095,0.646
"P34","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.357,0.074,0.642,0.428
"P34","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.59,0.453,0.058,0.042
"P34","En blanco",0.022,0.293,0.253,0.015
"P34","No sabe",0.031,0.18,0.047,0.515
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.39,0.053,0.632,0.479
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.271,0.87,0.029,0.018
"P36","En blanco",0.197,0.014,0.298,0.004
"P36","No sabe",0.142,0.063,0.041,0.499
"P37","Lo votaría",0.288,0.055,0.57,0.507
"P37","Puede que lo vote",0.083,0.084,0.085,0.074
"P37","Nunca lo votaría",0.587,0.756,0.285,0.153
"P37","No sabe",0.042,0.105,0.06,0.266
"P38","Lo votaría",0.181,0.045,0.389,0.237
"P38","Puede que lo vote",0.094,0.038,0.19,0.134
"P38","Nunca lo votaría",0.678,0.855,0.306,0.253
"P38","No sabe",0.047,0.062,0.115,0.376
"P39","Lo votaría",0.485,0.312,0.082,0.162
"P39","Puede que lo vote",0.101,0.228,0.022,0.035
"P39","Nunca lo votaría",0.333,0.343,0.841,0.568
"P39","No sabe",0.081,0.117,0.055,0.235
"P40","Lo votaría",0.451,0.154,0.029,0.102
"P40","Puede que lo vote",0.225,0.262,0.07,0.14
"P40","Nunca lo votaría",0.285,0.458,0.836,0.546
"P40","No sabe",0.039,0.126,0.065,0.212
"P41","Lo votaría",0.179,0.103,0.095,0.038
"P41","Puede que lo vote",0.155,0.142,0.143,0.14
"P41","Nunca lo votaría",0.476,0.576,0.574,0.434
"P41","No sabe",0.19,0.179,0.188,0.388
"P42","Lo votaría",0.118,0.681,0.045,0.049
"P42","Puede que lo vote",0.197,0.184,0.036,0.15
"P42","Nunca lo votaría",0.59,0.083,0.829,0.608
"P42","No sabe",0.095,0.052,0.09,0.193
"P43","Lo votaría",0.093,0.107,0.187,0.088
"P43","Puede que lo vote",0.139,0.07,0.217,0.08
"P43","Nunca lo votaría",0.686,0.733,0.516,0.458
"P43","No sabe",0.082,0.09,0.08,0.374
"P44","Sí",0.418,0.431,0.439,0.319
"P44","No",0.582,0.569,0.561,0.681
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.202,0.025,0.379,0.453
"PRESIDENTE","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria",0.093,0.036,0.196,0.086
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.38,0.178,0.083,0.105
"PRESIDENTE","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente y Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.204,0.023,0.017,0.011
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.056,0.695,0.052,0.025
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.008,0,0.075,0
"PRESIDENTE","En blanco",0.032,0.003,0.081,0.067
"PRESIDENTE","No sabe",0.025,0.04,0.117,0.253
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.249,0.049,0.409,0.385
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.276,0.171,0.114,0.119
"DIPUTADOS","Roberto Brusa a Diputado Nacional por Juntos por el Cambio",0.141,0.104,0.016,0.02
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.176,0.158,0.203,0.249
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.093,0.484,0.088,0.088
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.027,0.013,0.122,0.009
"DIPUTADOS","En blanco",0.034,0.005,0.032,0.051
"DIPUTADOS","No sabe",0.004,0.016,0.016,0.079
