"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria","Juan Grabois a Presidente, Paula Abal Medina a Vicepresidente y por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio","Horacio Rodríguez Larreta a Presidente, Gerardo Morales a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente el Frente de Izquierda","En blanco","No sabe"
"P33","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.416,0,0.123,0.518,0.348,0,0.457,0.282
"P33","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.026,0.671,0,0.368,0.133,0,0,0
"P33","En blanco",0.558,0.329,0.423,0.114,0.152,0,0.234,0
"P33","No sabe",0,0,0.454,0,0.367,0,0.309,0.718
"P34","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.265,0,0.783,0.315,0.961,0,0.058,0
"P34","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.735,0,0,0.685,0,0,0,0
"P34","En blanco",0,1,0.044,0,0,0,0.454,0.433
"P34","No sabe",0,0,0.173,0,0.039,0,0.488,0.567
"P35","Horacio Rodríguez Larreta  a Presidente y Gerardo Morales a Vicepresidente por Juntos por el Cambio",0.827,0,0.066,0.963,0.418,0,0.029,0.103
"P35","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.026,0.68,0.072,0.037,0.037,0,0,0.327
"P35","En blanco",0.108,0.32,0.721,0,0.34,0,0.478,0.43
"P35","No sabe",0.039,0,0.141,0,0.205,0,0.493,0.14
"P36","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.317,0,0.841,0.856,0.781,0,0.106,0
"P36","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.483,0,0.098,0.084,0,0,0,0
"P36","En blanco",0.163,0,0,0.06,0,0,0.312,0.512
"P36","No sabe",0.037,0,0.061,0,0.219,0,0.582,0.488
"P37","Lo votaría",0.141,0,0.312,0.817,0.613,0,0,0
"P37","Puede que lo vote",0.054,0,0.522,0.039,0.257,0,0,0
"P37","Nunca lo votaría",0.717,0,0.105,0.144,0,0,0.36,1
"P37","No sabe",0.088,0,0.061,0,0.13,0,0.64,0
"P38","Lo votaría",0.078,0,0.33,0.689,0.392,0,0,0
"P38","Puede que lo vote",0.085,0,0.178,0,0.038,0,0.225,0.321
"P38","Nunca lo votaría",0.837,0,0.394,0.311,0.57,0,0.365,0.679
"P38","No sabe",0,0,0.098,0,0,0,0.41,0
"P39","Lo votaría",0.237,0,0.101,0.735,0.344,0,0,0
"P39","Puede que lo vote",0,0,0.071,0.08,0.048,0,0.274,0
"P39","Nunca lo votaría",0.763,0,0.828,0.12,0.608,0,0.316,0.321
"P39","No sabe",0,0,0,0.065,0,0,0.41,0.679
"P40","Lo votaría",0.319,0,0.302,0.431,0.344,0,0,0.179
"P40","Puede que lo vote",0.302,0,0.141,0.512,0.061,0,0.274,0
"P40","Nunca lo votaría",0.379,0,0.227,0.057,0.595,0,0.316,0.321
"P40","No sabe",0,0,0.33,0,0,0,0.41,0.5
"P41","Lo votaría",0.469,0,0.593,0.53,0.781,0,0.158,0.5
"P41","Puede que lo vote",0.403,0,0,0.407,0.085,0,0.313,0
"P41","Nunca lo votaría",0.128,0,0.407,0,0.134,0,0.18,0
"P41","No sabe",0,0,0,0.063,0,0,0.349,0.5
"P42","Lo votaría",0.07,0,0.302,0.407,0.478,0,0,0.179
"P42","Puede que lo vote",0.114,0,0.071,0.111,0,0,0.349,0
"P42","Nunca lo votaría",0.816,0,0.563,0.482,0.522,0,0.365,0.321
"P42","No sabe",0,0,0.064,0,0,0,0.286,0.5
"P43","Lo votaría",0.043,0,0.623,0.358,0.357,0,0,0
"P43","Puede que lo vote",0.278,0,0.142,0.378,0.179,0,0.083,0
"P43","Nunca lo votaría",0.645,0,0.235,0.203,0.464,0,0.39,0.481
"P43","No sabe",0.034,0,0,0.061,0,0,0.527,0.519
"P44","Sí",0.604,0,0.717,0.19,0.677,0,0.408,0.819
"P44","No",0.396,0,0.283,0.81,0.323,0,0.592,0.181
