"var","categoria","Martín Soria a Diputado Nacional por Unión por la Patria","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Roberto Brusa a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","En blanco","No sabe"
"P36","En blanco",0.125,0.166,0.16,0.083,0.057,0.435,0.274,0.152
"P36","No sabe",0.188,0.187,0.134,0.111,0.079,0.063,0.146,0.481
"P37","Lo votaría",0.493,0.258,0.065,0.424,0.26,0.156,0.455,0.118
"P37","Puede que lo vote",0.061,0.038,0.081,0.07,0.154,0.077,0.07,0.212
"P37","Nunca lo votaría",0.375,0.546,0.806,0.372,0.548,0.607,0.382,0.374
"P37","No sabe",0.071,0.158,0.048,0.134,0.038,0.16,0.093,0.296
"P38","Lo votaría",0.219,0.13,0.012,0.245,0.215,0.375,0.077,0.183
"P38","Puede que lo vote",0.177,0.144,0.024,0.107,0.057,0.01,0.345,0.124
"P38","Nunca lo votaría",0.494,0.622,0.95,0.509,0.677,0.299,0.497,0.345
"P38","No sabe",0.11,0.104,0.014,0.139,0.051,0.316,0.081,0.348
"P39","Lo votaría",0.277,0.426,0.428,0.223,0.259,0.303,0.035,0.286
"P39","Puede que lo vote",0.115,0.138,0.202,0.057,0.193,0.037,0.121,0.107
"P39","Nunca lo votaría",0.522,0.417,0.336,0.585,0.449,0.5,0.727,0.296
"P39","No sabe",0.086,0.019,0.034,0.135,0.099,0.16,0.117,0.311
"P40","Lo votaría",0.255,0.369,0.281,0.186,0.126,0.155,0.129,0.114
"P40","Puede que lo vote",0.131,0.18,0.249,0.149,0.228,0.272,0.037,0.154
"P40","Nunca lo votaría",0.582,0.408,0.394,0.482,0.575,0.413,0.771,0.563
"P40","No sabe",0.032,0.043,0.076,0.183,0.071,0.16,0.063,0.169
"P41","Lo votaría",0.125,0.215,0.125,0.136,0.09,0.154,0.149,0.136
"P41","Puede que lo vote",0.148,0.113,0.204,0.151,0.129,0.203,0.036,0.126
"P41","Nunca lo votaría",0.499,0.491,0.491,0.453,0.664,0.345,0.672,0.442
"P41","No sabe",0.228,0.181,0.18,0.26,0.117,0.298,0.143,0.296
"P42","Lo votaría",0.077,0.142,0.385,0.268,0.5,0.243,0.058,0.29
"P42","Puede que lo vote",0.174,0.197,0.17,0.125,0.054,0,0.036,0.121
"P42","Nunca lo votaría",0.694,0.53,0.356,0.491,0.388,0.736,0.798,0.46
"P42","No sabe",0.055,0.131,0.089,0.116,0.058,0.021,0.108,0.129
"P43","Lo votaría",0.084,0.096,0.109,0.137,0.17,0.614,0.035,0.181
"P43","Puede que lo vote",0.176,0.132,0.007,0.139,0.091,0.159,0.072,0.052
"P43","Nunca lo votaría",0.639,0.684,0.812,0.531,0.666,0.208,0.792,0.461
"P43","No sabe",0.101,0.088,0.072,0.193,0.073,0.019,0.101,0.306
"P44","Sí",0.477,0.453,0.405,0.492,0.403,0.091,0.199,0.503
"P44","No",0.523,0.547,0.595,0.508,0.597,0.909,0.801,0.497
