"var","categoria","Los cargos públicos","El empleo público","Los planes sociales","Las tarifas de los servicios públicos","No sabe"
"P47","No sabe",0.005,0,0.012,0.033,0.013
"P48","Muy buena",0.166,0.089,0.135,0.088,0.312
"P48","Buena",0.146,0.151,0.09,0.067,0.22
"P48","Ni buena ni mala",0.278,0.246,0.31,0.538,0.266
"P48","Mala",0.143,0.157,0.207,0.117,0.045
"P48","Muy mala",0.21,0.327,0.166,0.031,0.067
"P48","No sabe",0.057,0.03,0.092,0.159,0.09
"P49","Muy buena",0.094,0.034,0.043,0.087,0.179
"P49","Buena",0.116,0.091,0.106,0.071,0.205
"P49","Ni buena ni mala",0.262,0.32,0.373,0.472,0.299
"P49","Mala",0.11,0.161,0.153,0.142,0.108
"P49","Muy mala",0.36,0.383,0.25,0.094,0.081
"P49","No sabe",0.058,0.011,0.075,0.134,0.128
"P50","Muy buena",0.083,0.034,0.036,0.081,0.032
"P50","Buena",0.145,0.145,0.122,0.288,0.137
"P50","Ni buena ni mala",0.302,0.346,0.511,0.355,0.402
"P50","Mala",0.198,0.239,0.175,0.068,0.269
"P50","Muy mala",0.251,0.229,0.102,0.075,0.077
"P50","No sabe",0.021,0.007,0.054,0.133,0.083
"P52","Muy buena",0.3,0.287,0.24,0.062,0.017
"P52","Buena",0.132,0.193,0.108,0.23,0.044
"P52","Ni buena ni mala",0.161,0.245,0.376,0.236,0.156
"P52","Mala",0.13,0.123,0.097,0.169,0.209
"P52","Muy mala",0.26,0.149,0.153,0.206,0.526
"P52","No sabe",0.017,0.003,0.026,0.097,0.048
"P53","Muy buena",0.162,0.089,0.064,0.065,0.048
"P53","Buena",0.155,0.273,0.206,0.22,0.118
"P53","Ni buena ni mala",0.352,0.386,0.479,0.446,0.32
"P53","Mala",0.15,0.105,0.09,0.104,0.179
"P53","Muy mala",0.114,0.097,0.115,0.034,0.284
"P53","No sabe",0.067,0.05,0.046,0.131,0.051
"P54","Radio",0.161,0.134,0.103,0.057,0.133
"P54","Televisión",0.376,0.51,0.498,0.311,0.366
"P54","Diario",0.076,0.072,0.105,0.122,0.025
"P54","Medio digital",0.191,0.154,0.114,0.35,0.237
"P54","Redes Sociales",0.171,0.084,0.113,0.047,0.139
"P54","Ninguno en particular",0.024,0.046,0.067,0.096,0.096
"P54","No sabe",0.001,0,0,0.017,0.004
"P55","Muy buena",0.048,0.044,0.03,0.175,0.097
"P55","Buena",0.107,0.152,0.084,0.036,0.183
"P55","Ni buena ni mala",0.3,0.433,0.263,0.615,0.466
"P55","Mala",0.294,0.165,0.368,0.13,0.192
"P55","Muy mala",0.236,0.188,0.241,0.044,0.015
"P55","No sabe",0.015,0.018,0.014,0,0.047
"P56","Muy buena",0.043,0.064,0.003,0.04,0.042
"P56","Buena",0.062,0.116,0.036,0.132,0.062
"P56","Ni buena ni mala",0.209,0.29,0.182,0.275,0.367
"P56","Mala",0.304,0.394,0.379,0.321,0.266
"P56","Muy mala",0.372,0.136,0.385,0.216,0.227
"P56","No sabe",0.01,0,0.015,0.016,0.036
