"var","categoria","Mejor","Igual","Peor","No sabe"
"P23","Javier Milei",0.289,0.455,0.738,0.491
"P24","Si",0.658,0.492,0.195,0.401
"P24","No",0.342,0.508,0.805,0.599
"P25","Si",0.333,0.539,0.824,0.609
"P25","No",0.667,0.461,0.176,0.391
"P28","Inflación",0.441,0.384,0.313,0.396
"P28","Desempleo",0.069,0.085,0.05,0.045
"P28","Corrupción",0.144,0.251,0.425,0.327
"P28","Inseguridad",0.099,0.114,0.089,0.053
"P28","Precio del dólar",0.018,0.006,0.007,0.014
"P28","Pobreza",0.124,0.074,0.055,0.075
"P28","Narcotráfico",0.014,0.004,0.011,0.001
"P28","Tarifas",0.006,0.002,0.005,0.024
"P28","Otro",0.074,0.063,0.039,0.052
"P28","No sabe",0.011,0.017,0.006,0.013
"P32","Sin deuda",0.453,0.496,0.397,0.439
"P32","Menos de 10%",0.146,0.175,0.16,0.15
"P32","Entre 10 y 20%",0.105,0.149,0.132,0.151
"P32","Entre 20 y 30%",0.062,0.054,0.099,0.051
"P32","Entre 30 y 40%",0.072,0.038,0.046,0.054
"P32","Mas del 40%",0.125,0.063,0.12,0.107
"P32","No sabe",0.037,0.025,0.046,0.048
"P33","Gran excedente habitual",0.027,0.014,0.01,0.023
"P33","Gran excedente excepcional",0.004,0.009,0.009,0.002
"P33","Pequeño excedente habitual",0.082,0.104,0.064,0.107
"P33","Pequeño excedente excepcional",0.066,0.089,0.067,0.078
"P33","Alcanza gastos familia",0.191,0.167,0.141,0.171
"P33","No alcanza gastos familia",0.075,0.076,0.112,0.118
"P33","Solo NBFamiliares",0.199,0.303,0.273,0.279
"P33","No alcanza NBFamiliares",0.336,0.238,0.305,0.207
"P33","No sabe",0.02,0,0.019,0.015
"P34","Muy buena",0.092,0.063,0.077,0.043
"P34","Buena",0.243,0.314,0.181,0.25
"P34","Ni buena ni mala",0.447,0.459,0.427,0.445
"P34","Mala",0.129,0.11,0.252,0.194
"P34","Muy mala",0.073,0.042,0.05,0.031
"P34","No sabe",0.016,0.012,0.013,0.037
"P35","Mejor",0.21,0.11,0.084,0.086
"P35","Igual",0.35,0.38,0.125,0.301
"P35","Peor",0.403,0.493,0.758,0.582
"P35","No sabe",0.037,0.017,0.033,0.031
"P36","Mejor",0.61,0.124,0.049,0.059
"P36","Igual",0.21,0.652,0.137,0.174
"P36","Peor",0.085,0.146,0.727,0.107
"P36","No sabe",0.095,0.078,0.087,0.66
"P37","Muy buena",0.083,0.018,0.097,0.016
"P37","Buena",0.138,0.1,0.045,0.052
"P37","Ni buena ni mala",0.274,0.224,0.043,0.17
"P37","Mala",0.328,0.448,0.299,0.358
"P37","Muy mala",0.168,0.208,0.511,0.367
"P37","No sabe",0.009,0.002,0.005,0.037
"P38","Mejor",0.321,0.062,0.008,0.111
"P38","Igual",0.253,0.35,0.029,0.198
"P38","Peor",0.389,0.536,0.94,0.591
"P38","No sabe",0.037,0.052,0.023,0.1
"P40","Muy buena",0.107,0.033,0.083,0.035
"P40","Buena",0.205,0.121,0.01,0.042
"P40","Ni buena ni mala",0.339,0.216,0.048,0.18
"P40","Mala",0.158,0.385,0.24,0.324
"P40","Muy mala",0.19,0.242,0.611,0.4
"P40","No sabe",0.001,0.003,0.008,0.019
"P42","Muy buena",0.098,0.033,0.04,0.012
"P42","Buena",0.253,0.144,0.022,0.073
"P42","Ni buena ni mala",0.299,0.267,0.053,0.235
"P42","Mala",0.166,0.306,0.233,0.26
"P42","Muy mala",0.177,0.243,0.644,0.376
"P42","No sabe",0.007,0.007,0.008,0.044
"P43","Muy buena",0.188,0.116,0.045,0.079
"P43","Buena",0.35,0.258,0.05,0.174
"P43","Ni buena ni mala",0.196,0.172,0.104,0.211
"P43","Mala",0.108,0.249,0.258,0.216
"P43","Muy mala",0.157,0.201,0.537,0.3
"P43","No sabe",0.001,0.004,0.006,0.02
"P44","Muy buena",0.106,0.069,0.035,0.022
"P44","Buena",0.253,0.126,0.025,0.094
"P44","Ni buena ni mala",0.299,0.249,0.072,0.179
"P44","Mala",0.135,0.289,0.219,0.283
"P44","Muy mala",0.204,0.264,0.642,0.39
"P44","No sabe",0.003,0.003,0.007,0.032
"P45","Muy buena",0.11,0.051,0.04,0.021
"P45","Buena",0.139,0.061,0.025,0.052
"P45","Ni buena ni mala",0.277,0.198,0.052,0.207
"P45","Mala",0.226,0.387,0.226,0.276
"P45","Muy mala",0.248,0.299,0.656,0.433
"P45","No sabe",0,0.004,0.001,0.011
"P46","Muy buena",0.456,0.223,0.067,0.231
"P46","Buena",0.123,0.121,0.046,0.097
"P46","Ni buena ni mala",0.125,0.144,0.055,0.091
"P46","Mala",0.066,0.192,0.16,0.145
"P46","Muy mala",0.229,0.315,0.666,0.428
"P46","No sabe",0.001,0.005,0.006,0.008
"P47","Muy buena",0.083,0.158,0.28,0.137
"P47","Buena",0.092,0.187,0.214,0.163
"P47","Ni buena ni mala",0.153,0.133,0.205,0.179
"P47","Mala",0.285,0.208,0.144,0.159
"P47","Muy mala",0.385,0.314,0.155,0.347
"P47","No sabe",0.002,0,0.002,0.015
"P48","Muy buena",0.085,0.136,0.132,0.066
"P48","Buena",0.136,0.222,0.171,0.163
"P48","Ni buena ni mala",0.251,0.225,0.246,0.343
"P48","Mala",0.294,0.263,0.222,0.223
"P48","Muy mala",0.228,0.144,0.226,0.196
"P48","No sabe",0.006,0.01,0.003,0.009
"P49","Muy buena",0.336,0.186,0.05,0.121
"P49","Buena",0.242,0.198,0.05,0.164
"P49","Ni buena ni mala",0.125,0.174,0.09,0.19
"P49","Mala",0.089,0.201,0.21,0.121
"P49","Muy mala",0.204,0.241,0.591,0.394
"P49","No sabe",0.004,0,0.009,0.01
"P50","Muy buena",0.096,0.131,0.16,0.085
"P50","Buena",0.078,0.163,0.202,0.142
"P50","Ni buena ni mala",0.17,0.186,0.291,0.236
"P50","Mala",0.32,0.293,0.174,0.217
"P50","Muy mala",0.318,0.215,0.168,0.292
"P50","No sabe",0.018,0.012,0.005,0.028
"P51","Muy buena",0.467,0.267,0.069,0.272
"P51","Buena",0.14,0.109,0.041,0.108
"P51","Ni buena ni mala",0.086,0.163,0.079,0.122
"P51","Mala",0.105,0.159,0.181,0.128
"P51","Muy mala",0.2,0.29,0.614,0.348
"P51","No sabe",0.002,0.012,0.016,0.022
"P53","Muy buena",0.195,0.152,0.256,0.148
"P53","Buena",0.11,0.207,0.202,0.16
"P53","Ni buena ni mala",0.098,0.158,0.258,0.226
"P53","Mala",0.188,0.162,0.102,0.091
"P53","Muy mala",0.409,0.314,0.173,0.359
"P53","No sabe",0,0.007,0.009,0.016
"P54","Muy buena",0.121,0.184,0.338,0.157
"P54","Buena",0.109,0.209,0.275,0.211
"P54","Ni buena ni mala",0.101,0.122,0.184,0.156
"P54","Mala",0.237,0.169,0.101,0.143
"P54","Muy mala",0.43,0.303,0.098,0.328
"P54","No sabe",0.002,0.013,0.004,0.005
"P55","Muy buena",0.358,0.187,0.078,0.127
"P55","Buena",0.168,0.115,0.07,0.177
"P55","Ni buena ni mala",0.193,0.299,0.194,0.242
"P55","Mala",0.095,0.151,0.188,0.119
"P55","Muy mala",0.159,0.199,0.433,0.23
"P55","No sabe",0.027,0.049,0.037,0.105
"P56","Muy buena",0.148,0.079,0.02,0.044
"P56","Buena",0.261,0.111,0.035,0.125
"P56","Ni buena ni mala",0.281,0.355,0.168,0.314
"P56","Mala",0.121,0.185,0.184,0.131
"P56","Muy mala",0.158,0.239,0.545,0.287
"P56","No sabe",0.031,0.031,0.048,0.099
"P57","Muy buena",0.047,0.066,0.072,0.04
"P57","Buena",0.162,0.154,0.116,0.119
"P57","Ni buena ni mala",0.376,0.346,0.237,0.391
"P57","Mala",0.233,0.268,0.244,0.224
"P57","Muy mala",0.148,0.138,0.311,0.191
"P57","No sabe",0.034,0.028,0.02,0.035
"P58","Muy buena",0.386,0.273,0.051,0.206
"P58","Buena",0.215,0.185,0.099,0.205
"P58","Ni buena ni mala",0.196,0.24,0.266,0.257
"P58","Mala",0.062,0.142,0.213,0.101
"P58","Muy mala",0.122,0.136,0.347,0.169
"P58","No sabe",0.019,0.024,0.024,0.062
"P59","Radio",0.258,0.261,0.16,0.187
"P59","Televisión",0.35,0.392,0.329,0.315
"P59","Diario",0.052,0.04,0.073,0.047
"P59","Medio digital",0.155,0.144,0.205,0.204
"P59","Redes Sociales",0.118,0.101,0.16,0.146
"P59","Ninguno en particular",0.061,0.062,0.073,0.101
"P59","No sabe",0.006,0,0,0
"P60","Muy buena",0.135,0.106,0.048,0.042
"P60","Buena",0.242,0.175,0.091,0.198
"P60","Ni buena ni mala",0.308,0.275,0.179,0.276
"P60","Mala",0.15,0.321,0.339,0.333
"P60","Muy mala",0.133,0.123,0.33,0.116
"P60","No sabe",0.032,0,0.013,0.035
"P61","Muy buena",0.059,0.042,0.028,0.004
"P61","Buena",0.095,0.148,0.112,0.115
"P61","Ni buena ni mala",0.247,0.267,0.244,0.294
"P61","Mala",0.261,0.304,0.276,0.313
"P61","Muy mala",0.319,0.238,0.329,0.257
"P61","No sabe",0.019,0.001,0.011,0.017
