"var","categoria","Gran excedente habitual","Gran excedente excepcional","Pequeño excedente habitual","Pequeño excedente excepcional","Alcanza gastos familia","No alcanza gastos familia","Solo NBFamiliares","No alcanza NBFamiliares","No sabe"
"P39","Peor",0.284,0.598,0.359,0.422,0.401,0.517,0.473,0.492,0.571
"P39","No sabe",0.23,0.046,0.21,0.172,0.171,0.191,0.17,0.117,0.155
"P40","Muy buena",0.123,0.09,0.094,0.031,0.031,0.056,0.035,0.139,0.022
"P40","Buena",0.095,0.051,0.096,0.092,0.098,0.055,0.061,0.074,0.023
"P40","Ni buena ni mala",0.155,0.172,0.181,0.221,0.202,0.121,0.147,0.131,0.229
"P40","Mala",0.402,0.102,0.27,0.202,0.272,0.224,0.269,0.267,0.326
"P40","Muy mala",0.225,0.585,0.35,0.454,0.39,0.503,0.485,0.388,0.4
"P40","No sabe",0,0,0.009,0,0.007,0.041,0.003,0.001,0
"P42","Muy buena",0.144,0.113,0.039,0.021,0.008,0.02,0.024,0.101,0.035
"P42","Buena",0.087,0.114,0.191,0.099,0.126,0.049,0.071,0.105,0.029
"P42","Ni buena ni mala",0.329,0.088,0.201,0.276,0.193,0.173,0.151,0.125,0.209
"P42","Mala",0.194,0.091,0.207,0.168,0.259,0.235,0.276,0.214,0.329
"P42","Muy mala",0.246,0.594,0.344,0.427,0.4,0.494,0.469,0.444,0.375
"P42","No sabe",0,0,0.018,0.009,0.014,0.029,0.009,0.011,0.023
"P43","Muy buena",0.147,0.059,0.13,0.076,0.082,0.039,0.062,0.14,0.039
"P43","Buena",0.426,0.079,0.253,0.26,0.248,0.155,0.11,0.116,0.214
"P43","Ni buena ni mala",0.134,0.151,0.184,0.184,0.166,0.113,0.17,0.125,0.139
"P43","Mala",0.031,0.117,0.081,0.151,0.179,0.278,0.267,0.245,0.26
"P43","Muy mala",0.262,0.594,0.336,0.297,0.316,0.415,0.39,0.37,0.322
"P43","No sabe",0,0,0.016,0.032,0.009,0,0.001,0.004,0.026
"P44","Muy buena",0.182,0.105,0.058,0.019,0.035,0.02,0.027,0.104,0.025
"P44","Buena",0.246,0.079,0.134,0.134,0.123,0.056,0.089,0.094,0.014
"P44","Ni buena ni mala",0.25,0.101,0.251,0.243,0.211,0.145,0.137,0.124,0.254
"P44","Mala",0.067,0.121,0.146,0.24,0.222,0.266,0.245,0.219,0.253
"P44","Muy mala",0.245,0.594,0.38,0.355,0.396,0.493,0.502,0.452,0.454
"P44","No sabe",0.01,0,0.031,0.009,0.013,0.02,0,0.007,0
"P45","Muy buena",0.129,0.113,0.032,0.009,0.026,0.02,0.035,0.113,0.038
"P45","Buena",0.051,0,0.102,0.066,0.078,0.024,0.042,0.069,0
"P45","Ni buena ni mala",0.162,0.173,0.18,0.183,0.208,0.137,0.116,0.123,0.259
"P45","Mala",0.317,0,0.286,0.278,0.233,0.226,0.292,0.252,0.254
"P45","Muy mala",0.341,0.714,0.4,0.464,0.452,0.593,0.511,0.439,0.449
"P45","No sabe",0,0,0,0,0.003,0,0.004,0.004,0
"P46","Muy buena",0.432,0.239,0.279,0.239,0.237,0.159,0.137,0.207,0.204
"P46","Buena",0.066,0.123,0.081,0.106,0.123,0.061,0.087,0.058,0.067
"P46","Ni buena ni mala",0.039,0.087,0.125,0.088,0.076,0.117,0.088,0.089,0.025
"P46","Mala",0.061,0.057,0.119,0.111,0.118,0.076,0.18,0.165,0.26
"P46","Muy mala",0.402,0.494,0.387,0.456,0.446,0.565,0.505,0.478,0.423
"P46","No sabe",0,0,0.009,0,0,0.022,0.003,0.003,0.021
"P47","Muy buena",0.332,0.114,0.097,0.175,0.09,0.242,0.22,0.242,0.267
"P47","Buena",0.01,0.195,0.165,0.132,0.215,0.115,0.234,0.145,0.176
"P47","Ni buena ni mala",0.06,0.244,0.108,0.094,0.17,0.198,0.184,0.217,0.178
"P47","Mala",0.172,0.112,0.118,0.23,0.195,0.184,0.169,0.215,0.145
"P47","Muy mala",0.426,0.335,0.502,0.369,0.327,0.256,0.189,0.18,0.209
"P47","No sabe",0,0,0.01,0,0.003,0.005,0.004,0.001,0.025
"P48","Muy buena",0.252,0,0.062,0.078,0.08,0.174,0.111,0.127,0.147
"P48","Buena",0.289,0.118,0.149,0.183,0.152,0.124,0.215,0.156,0.187
"P48","Ni buena ni mala",0.101,0.361,0.228,0.153,0.254,0.306,0.283,0.257,0.362
"P48","Mala",0.147,0.259,0.274,0.336,0.303,0.211,0.219,0.22,0.223
"P48","Muy mala",0.211,0.262,0.277,0.24,0.207,0.18,0.172,0.23,0.056
"P48","No sabe",0,0,0.01,0.01,0.004,0.005,0,0.01,0.025
"P49","Muy buena",0.157,0.082,0.161,0.128,0.149,0.129,0.103,0.184,0.203
"P49","Buena",0.297,0.122,0.21,0.246,0.157,0.106,0.111,0.093,0.068
"P49","Ni buena ni mala",0.183,0.054,0.173,0.104,0.134,0.119,0.129,0.12,0.04
"P49","Mala",0,0.189,0.093,0.114,0.167,0.14,0.227,0.17,0.209
"P49","Muy mala",0.363,0.496,0.363,0.408,0.393,0.49,0.419,0.432,0.406
"P49","No sabe",0,0.057,0,0,0,0.016,0.011,0.001,0.074
"P50","Muy buena",0.212,0.117,0.076,0.103,0.06,0.119,0.153,0.171,0.111
"P50","Buena",0.045,0.057,0.066,0.119,0.183,0.2,0.175,0.164,0.22
"P50","Ni buena ni mala",0.114,0.309,0.199,0.156,0.202,0.223,0.285,0.263,0.22
"P50","Mala",0.261,0.126,0.193,0.314,0.255,0.279,0.196,0.228,0.189
"P50","Muy mala",0.368,0.391,0.454,0.308,0.275,0.172,0.185,0.156,0.236
"P50","No sabe",0,0,0.012,0,0.025,0.007,0.006,0.018,0.024
"P51","Muy buena",0.332,0.192,0.327,0.249,0.287,0.196,0.166,0.187,0.204
"P51","Buena",0.242,0.116,0.149,0.14,0.087,0.05,0.064,0.066,0.136
"P51","Ni buena ni mala",0,0.14,0.122,0.086,0.082,0.101,0.101,0.117,0.108
"P51","Mala",0.049,0.057,0.105,0.096,0.15,0.092,0.204,0.163,0.202
"P51","Muy mala",0.354,0.495,0.284,0.423,0.382,0.516,0.453,0.461,0.35
"P51","No sabe",0.023,0,0.013,0.006,0.012,0.045,0.012,0.006,0
"P53","Muy buena",0.32,0.279,0.103,0.136,0.11,0.119,0.228,0.323,0.251
"P53","Buena",0.101,0.179,0.138,0.141,0.203,0.192,0.2,0.164,0.1
"P53","Ni buena ni mala",0.098,0.073,0.118,0.191,0.17,0.285,0.257,0.175,0.201
"P53","Mala",0.037,0.11,0.055,0.159,0.123,0.142,0.122,0.155,0.095
"P53","Muy mala",0.444,0.302,0.578,0.371,0.385,0.251,0.186,0.181,0.255
"P53","No sabe",0,0.057,0.008,0.002,0.009,0.011,0.007,0.002,0.098
"P54","Muy buena",0.223,0.336,0.235,0.163,0.171,0.247,0.231,0.299,0.297
"P54","Buena",0.22,0.35,0.095,0.144,0.227,0.215,0.286,0.209,0.126
"P54","Ni buena ni mala",0,0,0.089,0.122,0.129,0.199,0.167,0.169,0.206
"P54","Mala",0.082,0.227,0.135,0.143,0.158,0.095,0.135,0.181,0.143
"P54","Muy mala",0.475,0.03,0.438,0.428,0.308,0.239,0.174,0.14,0.204
"P54","No sabe",0,0.057,0.008,0,0.007,0.005,0.007,0.002,0.024
"P55","Muy buena",0.387,0.054,0.249,0.207,0.233,0.125,0.113,0.134,0.21
"P55","Buena",0.101,0.174,0.151,0.201,0.102,0.12,0.106,0.097,0.069
"P55","Ni buena ni mala",0.158,0.196,0.269,0.116,0.201,0.258,0.232,0.223,0.129
"P55","Mala",0.023,0.196,0.107,0.105,0.129,0.097,0.179,0.181,0.311
"P55","Muy mala",0.305,0.347,0.208,0.289,0.297,0.356,0.31,0.318,0.281
"P55","No sabe",0.026,0.033,0.016,0.082,0.038,0.044,0.06,0.047,0
"P56","Muy buena",0.225,0,0.116,0.081,0.054,0.01,0.04,0.075,0.069
"P56","Buena",0.068,0.03,0.114,0.156,0.157,0.077,0.092,0.094,0.208
"P56","Ni buena ni mala",0.317,0.297,0.291,0.212,0.279,0.295,0.234,0.22,0.1
"P56","Mala",0.089,0.113,0.135,0.15,0.145,0.132,0.175,0.184,0.257
"P56","Muy mala",0.275,0.496,0.324,0.337,0.334,0.443,0.405,0.362,0.314
"P56","No sabe",0.026,0.064,0.02,0.064,0.031,0.043,0.054,0.065,0.052
"P57","Muy buena",0.205,0.058,0.083,0.053,0.036,0.078,0.055,0.061,0.077
"P57","Buena",0.039,0.057,0.113,0.11,0.179,0.126,0.129,0.123,0.26
"P57","Ni buena ni mala",0.228,0.106,0.278,0.333,0.285,0.321,0.333,0.315,0.143
"P57","Mala",0.22,0.186,0.255,0.278,0.267,0.219,0.257,0.205,0.345
"P57","Muy mala",0.282,0.496,0.271,0.226,0.203,0.221,0.21,0.25,0.15
"P57","No sabe",0.026,0.097,0,0,0.03,0.035,0.016,0.046,0.025
"P58","Muy buena",0.293,0.226,0.297,0.219,0.26,0.145,0.14,0.135,0.233
"P58","Buena",0.226,0.176,0.205,0.222,0.178,0.116,0.154,0.115,0.14
"P58","Ni buena ni mala",0.209,0.136,0.221,0.186,0.239,0.323,0.267,0.227,0.23
"P58","Mala",0.068,0.154,0.059,0.133,0.108,0.151,0.172,0.198,0.197
"P58","Muy mala",0.177,0.267,0.204,0.231,0.194,0.241,0.231,0.285,0.2
"P58","No sabe",0.027,0.041,0.014,0.009,0.021,0.024,0.036,0.04,0
"P59","Radio",0.202,0.115,0.174,0.159,0.242,0.192,0.163,0.247,0.167
"P59","Televisión",0.314,0.348,0.27,0.307,0.295,0.334,0.384,0.365,0.296
"P59","Diario",0.021,0.057,0.1,0.045,0.068,0.079,0.053,0.049,0
"P59","Medio digital",0.368,0.089,0.215,0.248,0.183,0.143,0.206,0.147,0.096
"P59","Redes Sociales",0.074,0.334,0.154,0.191,0.123,0.15,0.112,0.146,0.254
"P59","Ninguno en particular",0.021,0.057,0.087,0.05,0.089,0.102,0.082,0.041,0.187
"P59","No sabe",0,0,0,0,0,0,0,0.005,0
"P60","Muy buena",0.168,0.122,0.067,0.04,0.048,0.116,0.063,0.098,0.026
"P60","Buena",0.442,0,0.226,0.188,0.163,0.107,0.102,0.187,0.021
"P60","Ni buena ni mala",0.162,0.138,0.166,0.33,0.295,0.274,0.261,0.157,0.401
"P60","Mala",0.122,0.353,0.389,0.288,0.313,0.209,0.327,0.266,0.309
"P60","Muy mala",0.106,0.387,0.132,0.154,0.165,0.275,0.227,0.273,0.163
"P60","No sabe",0,0,0.02,0,0.016,0.019,0.02,0.019,0.08
"P61","Muy buena",0.07,0.06,0.045,0.008,0,0.026,0.026,0.065,0.014
"P61","Buena",0.216,0.056,0.127,0.128,0.092,0.081,0.096,0.159,0.028
"P61","Ni buena ni mala",0.201,0.28,0.123,0.297,0.214,0.245,0.318,0.246,0.412
"P61","Mala",0.133,0.117,0.272,0.331,0.383,0.35,0.271,0.216,0.221
"P61","Muy mala",0.38,0.487,0.428,0.236,0.31,0.278,0.274,0.3,0.244
"P61","No sabe",0,0,0.005,0,0.001,0.02,0.015,0.014,0.081
