"var","categoria","Mejor","Igual","Peor","No sabe"
"P33","No alcanza gastos familia",0.099,0.076,0.104,0.122
"P33","Solo NBFamiliares",0.224,0.263,0.283,0.273
"P33","No alcanza NBFamiliares",0.322,0.286,0.3,0.233
"P33","No sabe",0.004,0.004,0.014,0.044
"P34","Muy buena",0.117,0.052,0.076,0.041
"P34","Buena",0.222,0.307,0.174,0.215
"P34","Ni buena ni mala",0.474,0.459,0.428,0.436
"P34","Mala",0.113,0.131,0.258,0.211
"P34","Muy mala",0.056,0.038,0.054,0.053
"P34","No sabe",0.018,0.013,0.01,0.044
"P35","Mejor",0.208,0.153,0.055,0.097
"P35","Igual",0.371,0.39,0.089,0.252
"P35","Peor",0.381,0.447,0.833,0.581
"P35","No sabe",0.04,0.01,0.023,0.07
"P37","Muy buena",0.069,0.022,0.116,0.032
"P37","Buena",0.122,0.178,0.006,0.031
"P37","Ni buena ni mala",0.264,0.215,0.058,0.138
"P37","Mala",0.333,0.35,0.29,0.429
"P37","Muy mala",0.204,0.23,0.523,0.34
"P37","No sabe",0.008,0.005,0.007,0.03
"P38","Mejor",0.242,0.11,0.021,0.121
"P38","Igual",0.275,0.27,0.04,0.155
"P38","Peor",0.45,0.578,0.901,0.633
"P38","No sabe",0.033,0.042,0.038,0.091
"P39","Mejor",0.702,0.176,0.045,0.11
"P39","Igual",0.121,0.459,0.065,0.076
"P39","Peor",0.124,0.253,0.847,0.223
"P39","No sabe",0.053,0.112,0.043,0.591
"P40","Muy buena",0.102,0.057,0.082,0.039
"P40","Buena",0.192,0.106,0.013,0.05
"P40","Ni buena ni mala",0.265,0.232,0.058,0.171
"P40","Mala",0.183,0.327,0.243,0.29
"P40","Muy mala",0.255,0.276,0.594,0.437
"P40","No sabe",0.003,0.002,0.01,0.013
"P42","Muy buena",0.097,0.033,0.042,0.024
"P42","Buena",0.24,0.129,0.03,0.065
"P42","Ni buena ni mala",0.231,0.258,0.06,0.221
"P42","Mala",0.186,0.284,0.22,0.255
"P42","Muy mala",0.235,0.289,0.637,0.406
"P42","No sabe",0.011,0.007,0.011,0.029
"P43","Muy buena",0.199,0.09,0.053,0.072
"P43","Buena",0.325,0.234,0.056,0.158
"P43","Ni buena ni mala",0.169,0.204,0.1,0.175
"P43","Mala",0.13,0.225,0.252,0.228
"P43","Muy mala",0.175,0.242,0.532,0.354
"P43","No sabe",0.002,0.005,0.007,0.013
"P44","Muy buena",0.125,0.051,0.032,0.034
"P44","Buena",0.205,0.136,0.038,0.084
"P44","Ni buena ni mala",0.299,0.222,0.067,0.172
"P44","Mala",0.125,0.301,0.221,0.222
"P44","Muy mala",0.243,0.284,0.635,0.463
"P44","No sabe",0.003,0.006,0.007,0.025
"P45","Muy buena",0.106,0.057,0.038,0.029
"P45","Buena",0.119,0.076,0.031,0.038
"P45","Ni buena ni mala",0.256,0.186,0.065,0.17
"P45","Mala",0.234,0.324,0.229,0.275
"P45","Muy mala",0.285,0.35,0.636,0.484
"P45","No sabe",0,0.007,0.001,0.004
"P46","Muy buena",0.444,0.225,0.085,0.176
"P46","Buena",0.129,0.117,0.046,0.07
"P46","Ni buena ni mala",0.094,0.138,0.057,0.093
"P46","Mala",0.076,0.161,0.156,0.161
"P46","Muy mala",0.254,0.357,0.649,0.493
"P46","No sabe",0.003,0.002,0.007,0.007
"P47","Muy buena",0.098,0.141,0.282,0.182
"P47","Buena",0.126,0.182,0.199,0.169
"P47","Ni buena ni mala",0.116,0.143,0.205,0.225
"P47","Mala",0.255,0.216,0.15,0.158
"P47","Muy mala",0.404,0.312,0.162,0.26
"P47","No sabe",0.001,0.006,0.002,0.006
"P48","Muy buena",0.093,0.115,0.133,0.084
"P48","Buena",0.165,0.198,0.163,0.159
"P48","Ni buena ni mala",0.21,0.229,0.251,0.363
"P48","Mala",0.291,0.276,0.214,0.219
"P48","Muy mala",0.234,0.178,0.234,0.165
"P48","No sabe",0.007,0.004,0.005,0.01
"P49","Muy buena",0.328,0.157,0.056,0.135
"P49","Buena",0.228,0.214,0.04,0.13
"P49","Ni buena ni mala",0.118,0.155,0.114,0.129
"P49","Mala",0.09,0.197,0.21,0.121
"P49","Muy mala",0.236,0.27,0.572,0.477
"P49","No sabe",0,0.007,0.008,0.008
"P50","Muy buena",0.094,0.116,0.152,0.136
"P50","Buena",0.071,0.178,0.195,0.148
"P50","Ni buena ni mala",0.192,0.222,0.273,0.24
"P50","Mala",0.33,0.254,0.189,0.195
"P50","Muy mala",0.294,0.22,0.189,0.248
"P50","No sabe",0.019,0.01,0.002,0.033
"P51","Muy buena",0.464,0.259,0.079,0.215
"P51","Buena",0.082,0.14,0.049,0.083
"P51","Ni buena ni mala",0.116,0.121,0.078,0.112
"P51","Mala",0.114,0.146,0.175,0.156
"P51","Muy mala",0.217,0.32,0.605,0.418
"P51","No sabe",0.007,0.014,0.014,0.016
"P53","Muy buena",0.229,0.156,0.242,0.189
"P53","Buena",0.109,0.184,0.202,0.18
"P53","Ni buena ni mala",0.092,0.175,0.273,0.198
"P53","Mala",0.199,0.149,0.097,0.099
"P53","Muy mala",0.362,0.334,0.18,0.314
"P53","No sabe",0.009,0.002,0.006,0.02
"P54","Muy buena",0.136,0.204,0.335,0.178
"P54","Buena",0.105,0.197,0.259,0.273
"P54","Ni buena ni mala",0.117,0.133,0.183,0.145
"P54","Mala",0.242,0.165,0.093,0.148
"P54","Muy mala",0.395,0.293,0.125,0.252
"P54","No sabe",0.005,0.008,0.005,0.004
"P55","Muy buena",0.297,0.215,0.085,0.125
"P55","Buena",0.185,0.133,0.063,0.131
"P55","Ni buena ni mala",0.228,0.248,0.196,0.221
"P55","Mala",0.086,0.158,0.178,0.149
"P55","Muy mala",0.164,0.201,0.441,0.293
"P55","No sabe",0.04,0.045,0.037,0.081
"P56","Muy buena",0.117,0.076,0.023,0.063
"P56","Buena",0.221,0.14,0.037,0.108
"P56","Ni buena ni mala",0.337,0.284,0.177,0.254
"P56","Mala",0.109,0.211,0.162,0.152
"P56","Muy mala",0.157,0.237,0.558,0.371
"P56","No sabe",0.059,0.052,0.043,0.052
"P57","Muy buena",0.054,0.062,0.068,0.05
"P57","Buena",0.153,0.16,0.112,0.119
"P57","Ni buena ni mala",0.344,0.35,0.243,0.357
"P57","Mala",0.246,0.237,0.241,0.251
"P57","Muy mala",0.171,0.155,0.321,0.192
"P57","No sabe",0.032,0.036,0.015,0.031
"P58","Muy buena",0.365,0.231,0.062,0.195
"P58","Buena",0.171,0.215,0.108,0.154
"P58","Ni buena ni mala",0.225,0.23,0.267,0.243
"P58","Mala",0.062,0.166,0.199,0.119
"P58","Muy mala",0.157,0.13,0.342,0.235
"P58","No sabe",0.02,0.028,0.022,0.054
"P59","Radio",0.207,0.227,0.208,0.147
"P59","Televisión",0.352,0.385,0.312,0.336
"P59","Diario",0.033,0.066,0.07,0.051
"P59","Medio digital",0.201,0.171,0.196,0.16
"P59","Redes Sociales",0.148,0.092,0.142,0.189
"P59","Ninguno en particular",0.051,0.059,0.072,0.117
"P59","No sabe",0.008,0,0,0
"P60","Muy buena",0.138,0.077,0.065,0.034
"P60","Buena",0.213,0.209,0.09,0.156
"P60","Ni buena ni mala",0.296,0.25,0.179,0.288
"P60","Mala",0.174,0.302,0.356,0.278
"P60","Muy mala",0.154,0.143,0.302,0.213
"P60","No sabe",0.025,0.019,0.008,0.031
"P61","Muy buena",0.057,0.027,0.031,0.021
"P61","Buena",0.078,0.155,0.104,0.12
"P61","Ni buena ni mala",0.229,0.279,0.269,0.228
"P61","Mala",0.269,0.302,0.274,0.293
"P61","Muy mala",0.341,0.228,0.313,0.33
"P61","No sabe",0.026,0.009,0.009,0.008
