"fecha","t1 Positiva","t1 Negativa","t1 No sabe","s1 Positiva","s1 Negativa","s1 No sabe","s2 Positiva","s2 Negativa","s2 No sabe","e1 Positiva","e1 Negativa","e1 No sabe","e2 Positiva","e2 Negativa","e2 No sabe","e3 Positiva","e3 Negativa","e3 No sabe","e4 Positiva","e4 Negativa","e4 No sabe","ed1 Positiva","ed1 Negativa","ed1 No sabe","ed2 Positiva","ed2 Negativa","ed2 No sabe","ed3 Positiva","ed3 Negativa","ed3 No sabe","v1 Positiva","v1 Negativa","v1 No sabe","v2 Positiva","v2 Negativa","v2 No sabe","v3 Positiva","v3 Negativa","v3 No sabe","vp1 Positiva","vp1 Negativa","vp1 No sabe","vp2 Positiva","vp2 Negativa","vp2 No sabe","vp3 Positiva","vp3 Negativa","vp3 No sabe","vp4 Positiva","vp4 Negativa","vp4 No sabe","vp5 Positiva","vp5 Negativa","vp5 No sabe"
2019-12-09,0.341,0.596,0.063,0.277,0.637,0.086,0.394,0.562,0.044,0.251,0.65,0.099,0.314,0.625,0.061,0.345,0.624,0.031,0.506,0.443,0.051,0.397,0.429,0.174,0.402,0.52,0.078,0.274,0.714,0.012,0.146,0.787,0.067,0.653,0.326,0.021,0.069,0.691,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-10,0.362,0.577,0.061,0.312,0.633,0.055,0.404,0.53,0.066,0.338,0.611,0.051,0.316,0.61,0.074,0.347,0.614,0.039,0.492,0.433,0.075,0.462,0.439,0.099,0.437,0.476,0.087,0.267,0.706,0.027,0.203,0.735,0.062,0.66,0.322,0.018,0.064,0.661,0.275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-11,0.358,0.574,0.068,0.289,0.642,0.069,0.415,0.518,0.067,0.317,0.628,0.055,0.308,0.619,0.073,0.342,0.596,0.062,0.521,0.398,0.081,0.478,0.424,0.098,0.446,0.46,0.094,0.247,0.716,0.037,0.214,0.717,0.069,0.629,0.35,0.021,0.07,0.635,0.295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-12,0.362,0.557,0.081,0.304,0.619,0.077,0.409,0.507,0.084,0.39,0.572,0.038,0.297,0.621,0.082,0.312,0.588,0.1,0.491,0.394,0.115,0.479,0.377,0.144,0.453,0.451,0.096,0.247,0.707,0.046,0.229,0.678,0.093,0.646,0.329,0.025,0.037,0.776,0.187,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-13,0.371,0.525,0.104,0.326,0.585,0.089,0.408,0.476,0.116,0.419,0.519,0.062,0.285,0.607,0.108,0.311,0.568,0.121,0.524,0.342,0.134,0.48,0.37,0.15,0.486,0.386,0.128,0.241,0.69,0.069,0.294,0.602,0.104,0.581,0.359,0.06,0.091,0.668,0.241,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-14,0.369,0.506,0.125,0.342,0.571,0.087,0.391,0.453,0.156,0.42,0.51,0.07,0.303,0.552,0.145,0.333,0.526,0.141,0.455,0.399,0.146,0.479,0.366,0.155,0.46,0.401,0.139,0.257,0.64,0.103,0.326,0.554,0.12,0.543,0.388,0.069,0.185,0.513,0.302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-15,0.395,0.448,0.157,0.373,0.528,0.099,0.414,0.382,0.204,0.447,0.402,0.151,0.328,0.519,0.153,0.375,0.454,0.171,0.467,0.376,0.157,0.473,0.302,0.225,0.468,0.386,0.146,0.31,0.549,0.141,0.394,0.443,0.163,0.502,0.402,0.096,0.269,0.41,0.321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-16,0.426,0.413,0.161,0.413,0.48,0.107,0.436,0.359,0.205,0.533,0.329,0.138,0.345,0.468,0.187,0.394,0.457,0.149,0.461,0.383,0.156,0.518,0.244,0.238,0.486,0.368,0.146,0.345,0.51,0.145,0.489,0.34,0.171,0.426,0.458,0.116,0.277,0.502,0.221,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-17,0.43,0.383,0.187,0.408,0.469,0.123,0.448,0.313,0.239,0.532,0.317,0.151,0.402,0.391,0.207,0.357,0.422,0.221,0.421,0.417,0.162,0.561,0.145,0.294,0.431,0.371,0.198,0.382,0.479,0.139,0.565,0.233,0.202,0.309,0.541,0.15,0.303,0.519,0.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-18,0.438,0.386,0.176,0.431,0.459,0.11,0.444,0.326,0.23,0.523,0.312,0.165,0.438,0.396,0.166,0.398,0.393,0.209,0.368,0.457,0.175,0.583,0.171,0.246,0.43,0.372,0.198,0.391,0.474,0.135,0.588,0.229,0.183,0.296,0.56,0.144,0.267,0.539,0.194,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-19,0.437,0.4,0.163,0.42,0.471,0.109,0.45,0.343,0.207,0.472,0.36,0.168,0.45,0.389,0.161,0.446,0.389,0.165,0.356,0.485,0.159,0.572,0.242,0.186,0.431,0.391,0.178,0.393,0.463,0.144,0.605,0.235,0.16,0.248,0.611,0.141,0.296,0.433,0.271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-20,0.427,0.431,0.142,0.392,0.508,0.1,0.455,0.369,0.176,0.437,0.417,0.146,0.463,0.406,0.131,0.463,0.396,0.141,0.313,0.532,0.155,0.534,0.315,0.151,0.425,0.42,0.155,0.389,0.483,0.128,0.622,0.231,0.147,0.213,0.679,0.108,0.265,0.499,0.236,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-21,0.447,0.428,0.125,0.414,0.492,0.094,0.474,0.376,0.15,0.464,0.396,0.14,0.477,0.418,0.105,0.476,0.4,0.124,0.343,0.519,0.138,0.554,0.294,0.152,0.478,0.387,0.135,0.384,0.509,0.107,0.671,0.2,0.129,0.179,0.712,0.109,0.378,0.487,0.135,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-22,0.448,0.447,0.105,0.389,0.524,0.087,0.496,0.384,0.12,0.503,0.407,0.09,0.474,0.423,0.103,0.452,0.429,0.119,0.324,0.562,0.114,0.558,0.329,0.113,0.481,0.389,0.13,0.382,0.536,0.082,0.682,0.212,0.106,0.166,0.749,0.085,0.333,0.487,0.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-23,0.449,0.449,0.102,0.409,0.505,0.086,0.482,0.403,0.115,0.497,0.411,0.092,0.495,0.411,0.094,0.428,0.439,0.133,0.327,0.575,0.098,0.567,0.325,0.108,0.471,0.413,0.116,0.388,0.522,0.09,0.697,0.2,0.103,0.159,0.768,0.073,0.402,0.427,0.171,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-24,0.48,0.445,0.075,0.454,0.462,0.084,0.501,0.432,0.067,0.533,0.41,0.057,0.524,0.404,0.072,0.467,0.448,0.085,0.345,0.562,0.093,0.615,0.333,0.052,0.502,0.42,0.078,0.414,0.506,0.08,0.743,0.185,0.072,0.161,0.802,0.037,0.363,0.458,0.179,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-25,0.493,0.437,0.07,0.456,0.463,0.081,0.524,0.415,0.061,0.566,0.383,0.051,0.528,0.404,0.068,0.478,0.453,0.069,0.35,0.549,0.101,0.605,0.326,0.069,0.504,0.437,0.059,0.444,0.477,0.079,0.768,0.165,0.067,0.15,0.817,0.033,0.427,0.4,0.173,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-26,0.526,0.413,0.061,0.503,0.427,0.07,0.545,0.402,0.053,0.645,0.329,0.026,0.552,0.389,0.059,0.474,0.454,0.072,0.377,0.524,0.099,0.6,0.29,0.11,0.572,0.382,0.046,0.463,0.483,0.054,0.813,0.133,0.054,0.172,0.795,0.033,0.459,0.45,0.091,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-27,0.54,0.395,0.065,0.527,0.41,0.063,0.552,0.382,0.066,0.668,0.301,0.031,0.571,0.36,0.069,0.464,0.459,0.077,0.398,0.512,0.09,0.636,0.248,0.116,0.595,0.353,0.052,0.462,0.481,0.057,0.824,0.123,0.053,0.171,0.791,0.038,0.503,0.341,0.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-28,0.547,0.39,0.063,0.524,0.418,0.058,0.566,0.367,0.067,0.656,0.318,0.026,0.604,0.323,0.073,0.426,0.505,0.069,0.431,0.48,0.089,0.641,0.276,0.083,0.554,0.39,0.056,0.508,0.431,0.061,0.84,0.117,0.043,0.182,0.772,0.046,0.334,0.488,0.178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-29,0.54,0.394,0.066,0.533,0.4,0.067,0.546,0.389,0.065,0.606,0.345,0.049,0.603,0.328,0.069,0.483,0.479,0.038,0.403,0.484,0.113,0.656,0.265,0.079,0.55,0.378,0.072,0.492,0.452,0.056,0.852,0.114,0.034,0.143,0.789,0.068,0.291,0.597,0.112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-30,0.544,0.386,0.07,0.504,0.428,0.068,0.579,0.35,0.071,0.576,0.363,0.061,0.609,0.329,0.062,0.489,0.462,0.049,0.448,0.435,0.117,0.608,0.274,0.118,0.588,0.332,0.08,0.488,0.468,0.044,0.872,0.095,0.033,0.13,0.781,0.089,0.221,0.699,0.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-12-31,0.554,0.376,0.07,0.525,0.404,0.071,0.578,0.353,0.069,0.542,0.369,0.089,0.617,0.32,0.063,0.56,0.409,0.031,0.452,0.452,0.096,0.593,0.287,0.12,0.606,0.325,0.069,0.499,0.448,0.053,0.859,0.104,0.037,0.174,0.737,0.089,0.334,0.58,0.086,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-01,0.553,0.369,0.078,0.528,0.386,0.086,0.574,0.355,0.071,0.526,0.368,0.106,0.641,0.289,0.07,0.548,0.411,0.041,0.44,0.468,0.092,0.611,0.255,0.134,0.628,0.289,0.083,0.474,0.472,0.054,0.834,0.106,0.06,0.179,0.728,0.093,0.521,0.418,0.061,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-02,0.547,0.374,0.079,0.508,0.406,0.086,0.579,0.348,0.073,0.549,0.334,0.117,0.622,0.304,0.074,0.51,0.437,0.053,0.451,0.483,0.066,0.661,0.247,0.092,0.594,0.316,0.09,0.47,0.465,0.065,0.831,0.113,0.056,0.155,0.752,0.093,0.474,0.455,0.071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-03,0.554,0.373,0.073,0.5,0.42,0.08,0.599,0.334,0.067,0.58,0.321,0.099,0.593,0.346,0.061,0.548,0.404,0.048,0.456,0.459,0.085,0.68,0.241,0.079,0.582,0.332,0.086,0.487,0.453,0.06,0.838,0.115,0.047,0.144,0.753,0.103,0.493,0.468,0.039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-04,0.567,0.357,0.076,0.506,0.414,0.08,0.617,0.31,0.073,0.586,0.307,0.107,0.597,0.345,0.058,0.615,0.337,0.048,0.439,0.464,0.097,0.687,0.211,0.102,0.589,0.328,0.083,0.507,0.432,0.061,0.836,0.105,0.059,0.134,0.776,0.09,0.565,0.399,0.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-05,0.559,0.37,0.071,0.519,0.42,0.061,0.592,0.329,0.079,0.575,0.332,0.093,0.614,0.327,0.059,0.557,0.399,0.044,0.443,0.466,0.091,0.685,0.201,0.114,0.554,0.383,0.063,0.518,0.42,0.062,0.816,0.125,0.059,0.149,0.772,0.079,0.584,0.353,0.063,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-06,0.563,0.359,0.078,0.522,0.4,0.078,0.596,0.325,0.079,0.621,0.273,0.106,0.598,0.319,0.083,0.559,0.42,0.021,0.427,0.48,0.093,0.687,0.199,0.114,0.543,0.379,0.078,0.534,0.4,0.066,0.821,0.106,0.073,0.15,0.775,0.075,0.679,0.245,0.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-07,0.556,0.368,0.076,0.508,0.42,0.072,0.597,0.324,0.079,0.614,0.291,0.095,0.605,0.312,0.083,0.533,0.436,0.031,0.417,0.497,0.086,0.649,0.237,0.114,0.557,0.363,0.08,0.522,0.419,0.059,0.837,0.097,0.066,0.111,0.816,0.073,0.554,0.34,0.106,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2020-01-08,0.549,0.382,0.069,0.507,0.434,0.059,0.583,0.339,0.078,0.628,0.302,0.07,0.566,0.353,0.081,0.53,0.43,0.04,0.433,0.488,0.079,0.662,0.252,0.086,0.534,0.395,0.071,0.519,0.419,0.062,0.846,0.104,0.05,0.105,0.823,0.072,0.378,0.466,0.156,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
