"var","categoria","Sin deuda","Menos de 10%","Entre 10 y 20%","Entre 20 y 30%","Entre 30 y 40%","Mas del 40%","No sabe"
"P46","Muy buena",0.24,0.191,0.178,0.105,0.11,0.209,0.156
"P46","Buena",0.088,0.099,0.078,0.115,0.063,0.035,0.059
"P46","Ni buena ni mala",0.099,0.079,0.074,0.097,0.084,0.089,0.098
"P46","Mala",0.135,0.155,0.152,0.18,0.154,0.137,0.105
"P46","Muy mala",0.434,0.476,0.515,0.482,0.589,0.521,0.573
"P46","No sabe",0.004,0,0.003,0.021,0,0.009,0.009
"P47","Muy buena",0.16,0.161,0.245,0.233,0.23,0.279,0.224
"P47","Buena",0.161,0.258,0.134,0.154,0.192,0.169,0.207
"P47","Ni buena ni mala",0.17,0.149,0.222,0.224,0.18,0.167,0.144
"P47","Mala",0.208,0.184,0.213,0.116,0.188,0.144,0.109
"P47","Muy mala",0.298,0.245,0.186,0.273,0.21,0.229,0.297
"P47","No sabe",0.003,0.003,0,0,0,0.012,0.019
"P48","Muy buena",0.114,0.069,0.11,0.128,0.071,0.186,0.123
"P48","Buena",0.168,0.241,0.201,0.122,0.166,0.123,0.05
"P48","Ni buena ni mala",0.226,0.269,0.322,0.247,0.218,0.239,0.497
"P48","Mala",0.269,0.251,0.213,0.253,0.226,0.199,0.156
"P48","Muy mala",0.222,0.163,0.147,0.241,0.305,0.241,0.154
"P48","No sabe",0.001,0.007,0.007,0.009,0.014,0.012,0.02
"P49","Muy buena",0.184,0.092,0.148,0.076,0.111,0.132,0.093
"P49","Buena",0.14,0.163,0.088,0.13,0.122,0.145,0.092
"P49","Ni buena ni mala",0.144,0.163,0.09,0.13,0.101,0.066,0.13
"P49","Mala",0.137,0.205,0.21,0.213,0.176,0.178,0.114
"P49","Muy mala",0.392,0.37,0.461,0.43,0.49,0.475,0.53
"P49","No sabe",0.003,0.007,0.003,0.021,0,0.004,0.041
"P50","Muy buena",0.139,0.084,0.113,0.134,0.087,0.216,0.093
"P50","Buena",0.138,0.235,0.193,0.125,0.202,0.121,0.105
"P50","Ni buena ni mala",0.214,0.241,0.303,0.212,0.287,0.239,0.296
"P50","Mala",0.258,0.206,0.235,0.211,0.285,0.185,0.111
"P50","Muy mala",0.242,0.227,0.133,0.309,0.139,0.236,0.308
"P50","No sabe",0.009,0.007,0.023,0.009,0,0.003,0.087
"P51","Muy buena",0.26,0.228,0.167,0.127,0.092,0.239,0.135
"P51","Buena",0.082,0.068,0.086,0.107,0.079,0.073,0.152
"P51","Ni buena ni mala",0.107,0.119,0.111,0.061,0.144,0.07,0.046
"P51","Mala",0.147,0.176,0.169,0.136,0.158,0.118,0.194
"P51","Muy mala",0.391,0.409,0.446,0.528,0.527,0.489,0.465
"P51","No sabe",0.013,0,0.021,0.041,0,0.011,0.008
"P53","Muy buena",0.19,0.173,0.194,0.178,0.321,0.331,0.211
"P53","Buena",0.161,0.201,0.192,0.193,0.136,0.21,0.145
"P53","Ni buena ni mala",0.194,0.22,0.287,0.174,0.243,0.099,0.216
"P53","Mala",0.128,0.144,0.145,0.124,0.124,0.105,0.076
"P53","Muy mala",0.323,0.254,0.177,0.326,0.176,0.247,0.271
"P53","No sabe",0.004,0.008,0.005,0.005,0,0.008,0.081
"P54","Muy buena",0.22,0.218,0.276,0.238,0.26,0.333,0.12
"P54","Buena",0.184,0.24,0.234,0.264,0.244,0.225,0.349
"P54","Ni buena ni mala",0.143,0.162,0.188,0.184,0.141,0.109,0.145
"P54","Mala",0.169,0.146,0.102,0.102,0.182,0.126,0.176
"P54","Muy mala",0.28,0.219,0.2,0.212,0.173,0.201,0.191
"P54","No sabe",0.004,0.015,0,0,0,0.006,0.019
"P55","Muy buena",0.194,0.133,0.099,0.116,0.151,0.216,0.11
"P55","Buena",0.114,0.1,0.119,0.09,0.125,0.141,0.137
"P55","Ni buena ni mala",0.209,0.25,0.278,0.176,0.202,0.212,0.119
"P55","Mala",0.165,0.163,0.108,0.169,0.147,0.09,0.239
"P55","Muy mala",0.288,0.289,0.313,0.42,0.309,0.322,0.242
"P55","No sabe",0.03,0.065,0.083,0.029,0.066,0.019,0.153
"P56","Muy buena",0.072,0.033,0.022,0.045,0.056,0.128,0.057
"P56","Buena",0.128,0.103,0.092,0.083,0.105,0.07,0.132
"P56","Ni buena ni mala",0.255,0.283,0.244,0.229,0.255,0.206,0.121
"P56","Mala",0.165,0.214,0.133,0.112,0.151,0.16,0.151
"P56","Muy mala",0.342,0.326,0.419,0.491,0.374,0.417,0.373
"P56","No sabe",0.038,0.041,0.09,0.04,0.059,0.019,0.166
"P57","Muy buena",0.065,0.046,0.027,0.085,0.059,0.097,0.052
"P57","Buena",0.146,0.167,0.119,0.081,0.066,0.137,0.062
"P57","Ni buena ni mala",0.293,0.348,0.377,0.294,0.339,0.247,0.236
"P57","Mala",0.251,0.245,0.214,0.305,0.213,0.204,0.262
"P57","Muy mala",0.219,0.189,0.224,0.209,0.315,0.302,0.254
"P57","No sabe",0.026,0.005,0.039,0.026,0.008,0.013,0.134
"P58","Muy buena",0.215,0.16,0.106,0.124,0.162,0.231,0.178
"P58","Buena",0.162,0.173,0.16,0.147,0.163,0.102,0.11
"P58","Ni buena ni mala",0.232,0.284,0.336,0.238,0.193,0.176,0.182
"P58","Mala",0.141,0.155,0.184,0.171,0.162,0.121,0.184
"P58","Muy mala",0.222,0.2,0.18,0.296,0.311,0.336,0.3
"P58","No sabe",0.028,0.028,0.034,0.024,0.009,0.034,0.046
"P59","Radio",0.216,0.17,0.216,0.211,0.136,0.236,0.098
"P59","Televisión",0.348,0.357,0.348,0.331,0.342,0.293,0.337
"P59","Diario",0.052,0.052,0.05,0.138,0.088,0.052,0.02
"P59","Medio digital",0.175,0.25,0.178,0.164,0.263,0.149,0.053
"P59","Redes Sociales",0.131,0.127,0.148,0.125,0.073,0.166,0.288
"P59","Ninguno en particular",0.075,0.044,0.06,0.031,0.098,0.104,0.204
"P59","No sabe",0.003,0,0,0,0,0,0
"P60","Muy buena",0.095,0.037,0.067,0.072,0.023,0.095,0.051
"P60","Buena",0.188,0.165,0.15,0.081,0.085,0.122,0.028
"P60","Ni buena ni mala",0.227,0.297,0.228,0.299,0.186,0.175,0.268
"P60","Mala",0.26,0.329,0.365,0.251,0.374,0.317,0.263
"P60","Muy mala",0.219,0.152,0.18,0.273,0.332,0.27,0.272
"P60","No sabe",0.011,0.02,0.01,0.024,0,0.021,0.118
"P61","Muy buena",0.039,0.004,0.054,0.011,0.013,0.045,0.04
"P61","Buena",0.117,0.108,0.148,0.136,0.093,0.115,0
"P61","Ni buena ni mala",0.276,0.295,0.214,0.26,0.192,0.177,0.321
"P61","Mala",0.252,0.35,0.325,0.27,0.375,0.281,0.139
"P61","Muy mala",0.306,0.232,0.255,0.323,0.327,0.376,0.384
"P61","No sabe",0.01,0.011,0.004,0,0,0.006,0.116
