"var","categoria","Radio","Televisión","Diario","Medio digital","Redes Sociales","Ninguno en particular","No sabe"
"P17","No sabe",0.015,0.016,0.005,0.036,0.036,0.033,0
"P18","Lo votaría",0.462,0.506,0.422,0.449,0.515,0.494,1
"P18","Puede que lo vote",0.094,0.109,0.082,0.097,0.086,0.092,0
"P18","Nunca lo votaría",0.429,0.355,0.478,0.429,0.396,0.382,0
"P18","No sabe",0.015,0.03,0.018,0.025,0.003,0.032,0
"P19","Si",0.894,0.916,0.909,0.85,0.91,0.903,0
"P19","No",0.106,0.084,0.091,0.15,0.09,0.097,1
"P20","Sergio Massa",0.637,0.482,0.607,0.632,0.522,0.509,0
"P20","Javier Milei",0.363,0.518,0.393,0.368,0.478,0.491,1
"P21","Sergio Massa",0.551,0.421,0.448,0.542,0.411,0.36,0
"P21","Javier Milei",0.449,0.579,0.552,0.458,0.589,0.64,1
"P22","Sergio Massa",0.55,0.442,0.43,0.532,0.383,0.363,0
"P22","Javier Milei",0.45,0.558,0.57,0.468,0.617,0.637,1
"P23","Sergio Massa",0.545,0.408,0.418,0.519,0.385,0.352,0
"P23","Javier Milei",0.455,0.592,0.582,0.481,0.615,0.648,1
"P24","Si",0.487,0.347,0.311,0.431,0.313,0.232,0
"P24","No",0.513,0.653,0.689,0.569,0.687,0.768,1
"P25","Si",0.584,0.664,0.658,0.596,0.663,0.698,0
"P25","No",0.416,0.336,0.342,0.404,0.337,0.302,1
"P28","Inflación",0.365,0.376,0.292,0.441,0.377,0.258,1
"P28","Desempleo",0.038,0.058,0.13,0.044,0.058,0.018,0
"P28","Corrupción",0.311,0.339,0.32,0.293,0.268,0.447,0
"P28","Inseguridad",0.078,0.115,0.123,0.065,0.085,0.038,0
"P28","Precio del dólar",0.007,0.013,0,0.005,0.021,0.012,0
"P28","Pobreza",0.095,0.057,0.096,0.079,0.11,0.064,0
"P28","Narcotráfico",0.016,0.008,0.008,0.005,0,0.004,0
"P28","Tarifas",0.001,0.004,0,0.002,0.03,0.009,0
"P28","Otro",0.087,0.022,0.015,0.063,0.04,0.109,0
"P28","No sabe",0.002,0.008,0.016,0.003,0.011,0.041,0
"P32","Sin deuda",0.473,0.45,0.392,0.421,0.419,0.451,1
"P32","Menos de 10%",0.137,0.17,0.145,0.221,0.149,0.097,0
"P32","Entre 10 y 20%",0.145,0.137,0.116,0.13,0.145,0.111,0
"P32","Entre 20 y 30%",0.077,0.071,0.172,0.066,0.066,0.031,0
"P32","Entre 30 y 40%",0.033,0.05,0.074,0.071,0.026,0.067,0
"P32","Mas del 40%",0.117,0.086,0.089,0.081,0.119,0.142,0
"P32","No sabe",0.018,0.036,0.012,0.01,0.076,0.101,0
"P33","Gran excedente habitual",0.015,0.014,0.005,0.03,0.008,0.004,0
"P33","Gran excedente excepcional",0.003,0.006,0.006,0.003,0.014,0.005,0
"P33","Pequeño excedente habitual",0.072,0.066,0.142,0.098,0.093,0.099,0
"P33","Pequeño excedente excepcional",0.058,0.066,0.055,0.098,0.101,0.05,0
"P33","Alcanza gastos familia",0.193,0.138,0.185,0.16,0.142,0.195,0
"P33","No alcanza gastos familia",0.098,0.101,0.138,0.08,0.111,0.144,0
"P33","Solo NBFamiliares",0.226,0.315,0.251,0.313,0.226,0.315,0
"P33","No alcanza NBFamiliares",0.322,0.281,0.218,0.21,0.277,0.149,1
"P33","No sabe",0.013,0.013,0,0.008,0.028,0.039,0
"P34","Muy buena",0.075,0.084,0.053,0.083,0.047,0.026,0
"P34","Buena",0.324,0.201,0.221,0.258,0.176,0.189,0
"P34","Ni buena ni mala",0.426,0.472,0.398,0.436,0.459,0.459,0
"P34","Mala",0.134,0.174,0.27,0.175,0.263,0.221,0
"P34","Muy mala",0.034,0.053,0.032,0.039,0.031,0.079,1
"P34","No sabe",0.007,0.016,0.026,0.009,0.024,0.026,0
"P35","Mejor",0.127,0.102,0.191,0.142,0.104,0.091,1
"P35","Igual",0.307,0.245,0.171,0.305,0.172,0.214,0
"P35","Peor",0.54,0.634,0.606,0.507,0.681,0.674,0
"P35","No sabe",0.026,0.019,0.032,0.046,0.043,0.021,0
"P36","Mejor",0.181,0.182,0.1,0.193,0.189,0.123,1
"P36","Igual",0.286,0.286,0.283,0.236,0.168,0.204,0
"P36","Peor",0.399,0.352,0.46,0.411,0.393,0.38,0
"P36","No sabe",0.134,0.18,0.157,0.16,0.25,0.293,0
"P37","Muy buena",0.112,0.032,0.058,0.103,0.064,0.019,0
"P37","Buena",0.096,0.08,0.067,0.09,0.07,0.038,0
"P37","Ni buena ni mala",0.167,0.153,0.145,0.134,0.119,0.119,0
"P37","Mala",0.366,0.338,0.338,0.333,0.278,0.302,0
"P37","Muy mala",0.25,0.391,0.392,0.338,0.454,0.522,1
"P37","No sabe",0.009,0.006,0,0.002,0.015,0,0
"P38","Mejor",0.181,0.078,0.133,0.097,0.076,0.066,0
"P38","Igual",0.208,0.15,0.099,0.189,0.097,0.138,0
"P38","Peor",0.573,0.744,0.714,0.669,0.779,0.733,1
"P38","No sabe",0.038,0.028,0.054,0.045,0.048,0.063,0
"P39","Mejor",0.264,0.212,0.183,0.174,0.175,0.172,1
"P39","Igual",0.22,0.195,0.115,0.133,0.124,0.143,0
"P39","Peor",0.368,0.446,0.575,0.515,0.532,0.464,0
"P39","No sabe",0.148,0.147,0.127,0.178,0.169,0.221,0
"P40","Muy buena",0.092,0.059,0.076,0.084,0.045,0.014,0
"P40","Buena",0.12,0.06,0.102,0.061,0.081,0.049,0
"P40","Ni buena ni mala",0.173,0.154,0.142,0.196,0.121,0.11,1
"P40","Mala",0.273,0.281,0.268,0.298,0.152,0.187,0
"P40","Muy mala",0.333,0.446,0.383,0.361,0.588,0.629,0
"P40","No sabe",0.009,0,0.029,0,0.013,0.011,0
"P42","Muy buena",0.065,0.041,0.008,0.054,0.022,0.005,0
"P42","Buena",0.171,0.078,0.113,0.109,0.045,0.069,0
"P42","Ni buena ni mala",0.219,0.145,0.149,0.206,0.177,0.096,1
"P42","Mala",0.228,0.252,0.223,0.255,0.143,0.19,0
"P42","Muy mala",0.314,0.477,0.479,0.374,0.594,0.592,0
"P42","No sabe",0.003,0.007,0.028,0.002,0.019,0.048,0
"P43","Muy buena",0.156,0.07,0.041,0.113,0.041,0.071,0
"P43","Buena",0.224,0.125,0.154,0.22,0.225,0.081,0
"P43","Ni buena ni mala",0.139,0.138,0.17,0.184,0.132,0.153,0
"P43","Mala",0.205,0.251,0.203,0.192,0.133,0.206,0
"P43","Muy mala",0.273,0.413,0.416,0.284,0.469,0.469,1
"P43","No sabe",0.003,0.003,0.016,0.007,0,0.02,0
"P44","Muy buena",0.102,0.028,0.047,0.069,0.029,0.006,0
"P44","Buena",0.166,0.083,0.063,0.102,0.111,0.058,0
"P44","Ni buena ni mala",0.187,0.138,0.13,0.244,0.132,0.127,0
"P44","Mala",0.196,0.226,0.234,0.233,0.135,0.198,0
"P44","Muy mala",0.343,0.523,0.51,0.344,0.578,0.569,1
"P44","No sabe",0.006,0.002,0.016,0.008,0.015,0.042,0
"P45","Muy buena",0.088,0.046,0.034,0.041,0.045,0.007,0
"P45","Buena",0.076,0.058,0.053,0.074,0.042,0.024,0
"P45","Ni buena ni mala",0.189,0.137,0.247,0.138,0.118,0.125,0
"P45","Mala",0.271,0.244,0.219,0.344,0.181,0.223,0
"P45","Muy mala",0.374,0.511,0.447,0.403,0.61,0.616,1
"P45","No sabe",0.002,0.004,0,0,0.004,0.005,0
"P46","Muy buena",0.325,0.155,0.115,0.246,0.155,0.088,0
"P46","Buena",0.095,0.059,0.03,0.133,0.09,0.078,0
"P46","Ni buena ni mala",0.075,0.081,0.13,0.102,0.101,0.087,1
"P46","Mala",0.143,0.158,0.198,0.143,0.024,0.135,0
"P46","Muy mala",0.356,0.545,0.527,0.374,0.617,0.607,0
"P46","No sabe",0.006,0.002,0,0.002,0.013,0.005,0
"P47","Muy buena",0.206,0.236,0.149,0.15,0.192,0.17,0
"P47","Buena",0.135,0.219,0.174,0.16,0.113,0.204,0
"P47","Ni buena ni mala",0.167,0.171,0.234,0.161,0.204,0.222,1
"P47","Mala",0.152,0.182,0.212,0.236,0.165,0.112,0
"P47","Muy mala",0.336,0.188,0.215,0.293,0.326,0.283,0
"P47","No sabe",0.004,0.004,0.016,0,0,0.009,0
"P48","Muy buena",0.156,0.138,0.137,0.078,0.06,0.038,0
"P48","Buena",0.159,0.199,0.143,0.146,0.137,0.171,0
"P48","Ni buena ni mala",0.256,0.253,0.289,0.263,0.202,0.365,1
"P48","Mala",0.21,0.245,0.263,0.28,0.23,0.235,0
"P48","Muy mala",0.219,0.156,0.152,0.233,0.371,0.186,0
"P48","No sabe",0,0.009,0.016,0,0,0.005,0
"P49","Muy buena",0.193,0.158,0.098,0.112,0.124,0.062,0
"P49","Buena",0.165,0.11,0.109,0.185,0.119,0.127,0
"P49","Ni buena ni mala",0.151,0.097,0.166,0.162,0.098,0.083,1
"P49","Mala",0.163,0.177,0.184,0.204,0.094,0.121,0
"P49","Muy mala",0.322,0.454,0.435,0.335,0.552,0.581,0
"P49","No sabe",0.006,0.004,0.008,0.002,0.013,0.026,0
"P50","Muy buena",0.173,0.167,0.102,0.065,0.077,0.104,0
"P50","Buena",0.173,0.198,0.195,0.131,0.098,0.105,0
"P50","Ni buena ni mala",0.193,0.243,0.285,0.237,0.23,0.357,1
"P50","Mala",0.217,0.214,0.22,0.307,0.224,0.161,0
"P50","Muy mala",0.241,0.17,0.198,0.26,0.33,0.241,0
"P50","No sabe",0.003,0.008,0,0,0.041,0.032,0
"P51","Muy buena",0.337,0.172,0.123,0.217,0.237,0.145,0
"P51","Buena",0.099,0.063,0.09,0.131,0.034,0.11,0
"P51","Ni buena ni mala",0.093,0.088,0.147,0.104,0.109,0.102,0
"P51","Mala",0.139,0.166,0.217,0.191,0.093,0.057,1
"P51","Muy mala",0.327,0.499,0.416,0.349,0.491,0.576,0
"P51","No sabe",0.005,0.012,0.007,0.008,0.036,0.01,0
"P53","Muy buena",0.177,0.207,0.151,0.203,0.267,0.187,0
"P53","Buena",0.151,0.204,0.174,0.169,0.181,0.2,0
"P53","Ni buena ni mala",0.218,0.263,0.232,0.11,0.133,0.213,1
"P53","Mala",0.132,0.139,0.166,0.151,0.059,0.055,0
"P53","Muy mala",0.319,0.185,0.257,0.362,0.352,0.3,0
"P53","No sabe",0.003,0.002,0.02,0.005,0.008,0.045,0
"P54","Muy buena",0.243,0.286,0.209,0.178,0.202,0.266,0
"P54","Buena",0.164,0.245,0.281,0.187,0.248,0.211,0
"P54","Ni buena ni mala",0.152,0.151,0.143,0.152,0.135,0.172,1
"P54","Mala",0.11,0.168,0.141,0.182,0.1,0.156,0
"P54","Muy mala",0.329,0.15,0.194,0.295,0.307,0.185,0
"P54","No sabe",0.002,0,0.032,0.006,0.008,0.01,0
"P55","Muy buena",0.27,0.12,0.108,0.197,0.124,0.113,0
"P55","Buena",0.153,0.079,0.089,0.128,0.148,0.098,0
"P55","Ni buena ni mala",0.124,0.222,0.29,0.267,0.228,0.189,1
"P55","Mala",0.161,0.181,0.161,0.139,0.069,0.147,0
"P55","Muy mala",0.282,0.342,0.319,0.235,0.357,0.345,0
"P55","No sabe",0.01,0.056,0.033,0.034,0.074,0.108,0
"P56","Muy buena",0.111,0.045,0.027,0.075,0.05,0.021,0
"P56","Buena",0.167,0.106,0.059,0.116,0.083,0.046,0
"P56","Ni buena ni mala",0.216,0.225,0.322,0.298,0.216,0.258,0
"P56","Mala",0.158,0.179,0.198,0.166,0.123,0.133,0
"P56","Muy mala",0.336,0.399,0.367,0.3,0.435,0.449,0
"P56","No sabe",0.012,0.046,0.027,0.045,0.093,0.093,1
"P57","Muy buena",0.088,0.069,0.096,0.042,0.039,0.021,0
"P57","Buena",0.133,0.173,0.182,0.092,0.052,0.156,0
"P57","Ni buena ni mala",0.34,0.324,0.298,0.305,0.267,0.239,0
"P57","Mala",0.235,0.206,0.25,0.326,0.195,0.29,0
"P57","Muy mala",0.188,0.206,0.163,0.229,0.397,0.22,0
"P57","No sabe",0.016,0.022,0.011,0.006,0.05,0.074,1
"P58","Muy buena",0.315,0.155,0.083,0.172,0.134,0.14,0
"P58","Buena",0.156,0.142,0.181,0.199,0.1,0.146,0
"P58","Ni buena ni mala",0.237,0.261,0.544,0.153,0.249,0.194,0
"P58","Mala",0.115,0.174,0.054,0.238,0.08,0.16,0
"P58","Muy mala",0.171,0.243,0.132,0.212,0.385,0.281,0
"P58","No sabe",0.006,0.025,0.006,0.026,0.052,0.079,1
"P60","Muy buena",0.176,0.048,0.021,0.048,0.07,0.027,1
"P60","Buena",0.226,0.176,0.081,0.135,0.096,0.072,0
"P60","Ni buena ni mala",0.186,0.259,0.364,0.264,0.195,0.199,0
"P60","Mala",0.243,0.287,0.391,0.377,0.245,0.304,0
"P60","Muy mala",0.169,0.216,0.138,0.175,0.369,0.27,0
"P60","No sabe",0,0.014,0.005,0.001,0.025,0.128,0
"P61","Muy buena",0.055,0.034,0.032,0.034,0,0.006,1
"P61","Buena",0.172,0.11,0.134,0.095,0.087,0.077,0
"P61","Ni buena ni mala",0.241,0.271,0.341,0.297,0.177,0.222,0
"P61","Mala",0.251,0.306,0.281,0.258,0.34,0.236,0
"P61","Muy mala",0.276,0.272,0.2,0.31,0.366,0.426,0
"P61","No sabe",0.005,0.007,0.012,0.006,0.03,0.033,0
