"var","categoria","A Julio Zamora por el Frente de Todos","A Malena Galmarini por el Frente de Todos","A Segundo Cernadas por Cambiemos","A Nicolás Massot por Cambiemos","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P32","A Gerardo Morales",0.136,0.072,0.004,0.05,0.007,0.49,0.275
"P33","Seguro lo votaria",0.121,0.218,0.362,0.059,0.71,0.038,0.065
"P33","Quizás lo votaría",0.239,0.197,0.263,0.392,0.234,0.399,0.316
"P33","Nunca lo votaría",0.64,0.585,0.375,0.549,0.056,0.563,0.619
"P34","Muy buena",0.165,0.201,0.13,0.052,0.004,0.009,0.039
"P34","Buena",0.208,0.195,0.075,0.038,0.006,0.184,0.045
"P34","Ni buena ni mala",0.328,0.168,0.031,0.107,0.03,0.354,0.118
"P34","Mala",0.161,0.085,0.103,0.068,0.013,0.152,0.198
"P34","Muy mala",0.126,0.282,0.661,0.735,0.947,0.279,0.548
"P34","No sabe",0.012,0.069,0,0,0,0.022,0.052
"P35","Muy buena",0.057,0.037,0.329,0.281,0.154,0.045,0.136
"P35","Buena",0.08,0.043,0.214,0.298,0.174,0.048,0.225
"P35","Ni buena ni mala",0.106,0.11,0.203,0.295,0.21,0.104,0.144
"P35","Mala",0.227,0.234,0.086,0.098,0.311,0.151,0.219
"P35","Muy mala",0.518,0.576,0.168,0.028,0.151,0.576,0.247
"P35","No sabe",0.012,0,0,0,0,0.076,0.029
"P36","Muy buena",0.389,0.441,0.079,0.115,0.003,0.227,0.07
"P36","Buena",0.144,0.086,0.031,0.024,0.01,0.248,0.052
"P36","Ni buena ni mala",0.096,0.101,0.015,0.066,0.024,0.145,0.094
"P36","Mala",0.085,0.12,0.075,0.041,0.012,0.057,0.178
"P36","Muy mala",0.263,0.191,0.8,0.754,0.951,0.323,0.529
"P36","No sabe",0.023,0.061,0,0,0,0,0.077
"P37","Muy buena",0.075,0.096,0.249,0.191,0.018,0.022,0.128
"P37","Buena",0.089,0.146,0.355,0.387,0.156,0.298,0.165
"P37","Ni buena ni mala",0.194,0.173,0.184,0.208,0.205,0.088,0.321
"P37","Mala",0.226,0.249,0.106,0.141,0.128,0.164,0.102
"P37","Muy mala",0.368,0.275,0.101,0.073,0.48,0.352,0.215
"P37","No sabe",0.048,0.061,0.005,0,0.013,0.076,0.069
"P38","Muy buena",0.066,0.318,0.032,0.049,0,0.056,0.014
"P38","Buena",0.248,0.286,0.109,0.155,0.004,0.255,0.106
"P38","Ni buena ni mala",0.321,0.128,0.064,0.073,0.105,0.141,0.202
"P38","Mala",0.153,0.058,0.164,0.269,0.293,0.151,0.287
"P38","Muy mala",0.193,0.149,0.621,0.454,0.598,0.322,0.334
"P38","No sabe",0.019,0.061,0.01,0,0,0.075,0.057
"P39","Muy buena",0.066,0.198,0.458,0.51,0.296,0.097,0.173
"P39","Buena",0.067,0.1,0.278,0.29,0.419,0.044,0.216
"P39","Ni buena ni mala",0.117,0.049,0.056,0.103,0.158,0.201,0.206
"P39","Mala",0.175,0.239,0.072,0.032,0.046,0.137,0.041
"P39","Muy mala",0.517,0.353,0.129,0.065,0.074,0.433,0.259
"P39","No sabe",0.058,0.061,0.007,0,0.007,0.088,0.105
"P40","Muy buena",0.066,0.034,0.222,0.146,0.721,0.009,0.098
"P40","Buena",0.075,0.09,0.218,0.229,0.168,0.044,0.231
"P40","Ni buena ni mala",0.121,0.148,0.335,0.434,0.084,0.306,0.313
"P40","Mala",0.148,0.184,0.099,0.108,0.01,0.165,0.072
"P40","Muy mala",0.529,0.453,0.102,0.073,0.01,0.388,0.228
"P40","No sabe",0.061,0.091,0.024,0.01,0.007,0.088,0.058
