"var","categoria","Es kirchnerista","Forma parte del Frente de Todos","Es un hombre de Massa","Es un peronista independiente de centro","Es un oportunista y está donde le conviene","No sabe"
"P35","Ni buena ni mala",0.192,0.109,0.22,0.073,0.192,0.179
"P35","Mala",0.224,0.186,0.135,0.253,0.137,0.192
"P35","Muy mala",0.235,0.464,0.394,0.26,0.263,0.186
"P35","No sabe",0,0.012,0.019,0,0,0.032
"P36","Muy buena",0.208,0.303,0.213,0.372,0.066,0.093
"P36","Buena",0.056,0.119,0.101,0.023,0.049,0.073
"P36","Ni buena ni mala",0.1,0.052,0.109,0.062,0.006,0.095
"P36","Mala",0.073,0.051,0.084,0.132,0.075,0.171
"P36","Muy mala",0.549,0.463,0.436,0.404,0.804,0.511
"P36","No sabe",0.014,0.012,0.057,0.007,0,0.057
"P37","Muy buena",0.135,0.128,0.129,0.2,0.122,0.132
"P37","Buena",0.182,0.162,0.226,0.267,0.284,0.251
"P37","Ni buena ni mala",0.243,0.161,0.19,0.163,0.229,0.202
"P37","Mala",0.157,0.205,0.153,0.226,0.081,0.186
"P37","Muy mala",0.263,0.307,0.266,0.139,0.267,0.13
"P37","No sabe",0.02,0.037,0.036,0.005,0.017,0.099
"P38","Muy buena",0.077,0.062,0.131,0.078,0.008,0.108
"P38","Buena",0.174,0.208,0.219,0.093,0.1,0.156
"P38","Ni buena ni mala",0.19,0.261,0.121,0.143,0.05,0.182
"P38","Mala",0.238,0.138,0.209,0.259,0.115,0.225
"P38","Muy mala",0.315,0.291,0.3,0.427,0.727,0.24
"P38","No sabe",0.006,0.04,0.02,0,0,0.089
"P39","Muy buena",0.303,0.143,0.177,0.377,0.42,0.229
"P39","Buena",0.228,0.171,0.23,0.11,0.251,0.117
"P39","Ni buena ni mala",0.091,0.074,0.145,0.047,0.075,0.295
"P39","Mala",0.15,0.127,0.098,0.148,0.046,0.144
"P39","Muy mala",0.201,0.42,0.328,0.318,0.202,0.088
"P39","No sabe",0.027,0.065,0.022,0,0.006,0.127
"P40","Muy buena",0.181,0.164,0.13,0.359,0.202,0.106
"P40","Buena",0.146,0.143,0.083,0.151,0.223,0.159
"P40","Ni buena ni mala",0.27,0.164,0.296,0.155,0.267,0.242
"P40","Mala",0.096,0.12,0.12,0.084,0.101,0.181
"P40","Muy mala",0.282,0.349,0.347,0.238,0.189,0.146
"P40","No sabe",0.025,0.06,0.024,0.013,0.018,0.166
