"var","categoria","A Malena Galmarini por el Frente de Todos","A Segundo Cernadas por Cambiemos","Al candidato de los liberales libertarios","A Paula Akerfeld por el Frente de Izquierda","No sabe"
"P15","Ni buena ni mala",0.204,0.247,0.265,0.132,0.221
"P15","Mala",0.067,0.212,0.224,0.284,0.166
"P15","Muy mala",0.027,0.214,0.264,0.216,0.08
"P15","No sabe",0.044,0.026,0.089,0.041,0.066
"P16","Muy buena",0.123,0.346,0.048,0.054,0.084
"P16","Buena",0.061,0.294,0.156,0.045,0.042
"P16","Ni buena ni mala",0.289,0.254,0.367,0.187,0.332
"P16","Mala",0.232,0.038,0.107,0.179,0.139
"P16","Muy mala",0.202,0.055,0.188,0.399,0.173
"P16","No sabe",0.093,0.013,0.134,0.136,0.23
"P17","Muy buena",0.028,0.032,0.02,0,0.015
"P17","Buena",0.069,0.063,0.041,0.033,0.018
"P17","Ni buena ni mala",0.351,0.339,0.381,0.205,0.247
"P17","Mala",0.063,0.105,0.045,0.123,0.072
"P17","Muy mala",0.036,0.057,0.14,0.206,0.126
"P17","No sabe",0.453,0.404,0.373,0.433,0.522
"P18","Muy buena",0.068,0.126,0.031,0.061,0.016
"P18","Buena",0.068,0.188,0.075,0.06,0.087
"P18","Ni buena ni mala",0.367,0.272,0.462,0.151,0.269
"P18","Mala",0.116,0.083,0.057,0.127,0.105
"P18","Muy mala",0.124,0.066,0.144,0.364,0.107
"P18","No sabe",0.257,0.265,0.231,0.237,0.416
"P19","Muy buena",0.318,0.095,0.046,0.079,0.19
"P19","Buena",0.426,0.149,0.105,0.134,0.202
"P19","Ni buena ni mala",0.119,0.306,0.269,0.281,0.332
"P19","Mala",0.077,0.244,0.249,0.208,0.117
"P19","Muy mala",0.037,0.183,0.227,0.253,0.134
"P19","No sabe",0.023,0.023,0.104,0.045,0.025
"P20","Que continúe el intendente Julio Zamora",0.326,0.058,0.091,0.066,0.304
"P20","Que continúe Julio Zamora pero con mejoras",0.421,0.141,0.105,0.303,0.284
"P20","Que cambie Julio Zamora pero que se mantengan los avances",0.101,0.188,0.179,0.155,0.162
"P20","Que cambie el intendente Julio Zamora",0.152,0.613,0.625,0.476,0.25
"P21","Es kirchnerista",0.216,0.144,0.195,0.079,0.156
"P21","Forma parte del Frente de Todos",0.412,0.207,0.243,0.162,0.244
"P21","Es un hombre de Massa",0.154,0.155,0.054,0.185,0.135
"P21","Es un peronista independiente de centro",0.055,0.136,0.083,0.097,0.079
"P21","Es un oportunista y está donde le conviene",0.088,0.247,0.29,0.437,0.112
"P21","No sabe",0.075,0.111,0.135,0.04,0.274
"P22","Son lo mismo aunque estén en espacios politoca diferentes",0.149,0.074,0.315,0.225,0.148
"P22","Son aliados tácticos pero lo ocultan",0.117,0.118,0.164,0.239,0.113
"P22","Son adversarios políticos",0.511,0.515,0.306,0.203,0.26
"P22","No sabe",0.223,0.293,0.215,0.333,0.479
"P23","Son lo mismo, ambos son de Massa",0.139,0.327,0.301,0.283,0.108
"P23","Son aliados en el Frente de Todos pero compiten",0.527,0.228,0.31,0.316,0.262
"P23","Son enemigos porque Zamora traicionó a Massa",0.213,0.283,0.275,0.224,0.134
"P23","No sabe",0.121,0.162,0.114,0.177,0.496
"P24","La seguridad",0.168,0.279,0.32,0.076,0.217
"P24","El tránsito",0.134,0.087,0.047,0,0.009
"P24","El arreglo de las calles",0.22,0.095,0.07,0.087,0.076
"P24","El estado de las escuelas y la educación",0.098,0.025,0.064,0.054,0.074
"P24","El sistema de salud",0.125,0.089,0.028,0.025,0.025
"P24","El deporte y la cultura",0.072,0.095,0.076,0.166,0.059
"P24","La obra pública",0.061,0.029,0.013,0.036,0.061
"P24","La luminaria",0.013,0.068,0.111,0.236,0.192
"P24","No sabe",0.109,0.233,0.271,0.32,0.287
"P25","La seguridad",0.228,0.162,0.134,0.059,0.12
"P25","El tránsito",0.071,0.181,0.134,0.066,0.099
"P25","El arreglo de las calles",0.152,0.176,0.228,0,0.105
"P25","El estado de las escuelas y la educación",0.166,0.146,0.167,0.18,0.06
"P25","El sistema de salud",0.159,0.173,0.146,0.319,0.266
"P25","El deporte y la cultura",0.015,0.005,0.012,0.122,0.039
"P25","La obra pública",0.01,0.058,0.097,0,0.024
"P25","La luminaria",0.003,0.01,0.017,0.07,0.074
"P25","No sabe",0.196,0.089,0.065,0.184,0.213
"P26","Agua corriente y cloacas",0.445,0.468,0.489,0.404,0.404
"P26","Energía eléctrica",0.097,0.14,0.133,0.081,0.049
"P26","Red de gas natural",0.102,0.095,0.058,0.093,0.081
"P26","Recolección de residuos",0.093,0.105,0.11,0.172,0.123
"P26","Ninguno",0.263,0.192,0.21,0.25,0.343
"P27","Los robos",0.294,0.31,0.222,0.201,0.325
"P27","El narcotráfico",0.278,0.338,0.381,0.136,0.207
"P27","La ausencia de patrulleros y personal policial",0.152,0.126,0.144,0.226,0.115
"P27","Otro",0.154,0.14,0.132,0.401,0.243
"P27","Ninguno",0.122,0.086,0.121,0.036,0.11
"P28","Frente de Todos y el peronismo",0.692,0.128,0.066,0.504,0.248
"P28","Cambiemos",0.147,0.677,0.082,0.026,0.136
"P28","Liberales Libertarios",0.039,0.1,0.733,0.049,0.079
"P28","Izquierda",0.041,0.009,0,0.348,0.04
"P28","No sabe",0.081,0.086,0.119,0.073,0.497
"P30","A Alberto Fernández",0.185,0.103,0.02,0,0.159
"P30","A Sergio Massa",0.245,0.249,0.388,0,0.07
"P30","A algún candidato del peronismo",0.191,0.539,0.556,0.129,0.665
"P30","A algún candidato del kirchnerismo",0.379,0.109,0.036,0.871,0.106
"P31","A Alberto Fernández",0.179,0.018,0,0,0.087
"P31","A Sergio Massa",0.219,0.154,0.467,0,0.274
"P31","A algún candidato del peronismo",0.138,0.657,0.533,0.12,0.477
"P31","A Cristina Fernández de Kirchner",0.464,0.171,0,0.88,0.162
"P32","A Horacio Rodriguez Larreta",0.264,0.279,0.079,0.276,0.437
"P32","A Mauricio Macri",0.125,0.335,0.132,0.026,0.062
"P32","A Patricia Bullrich",0.04,0.302,0.567,0,0.179
"P32","A Facundo Manes",0.433,0.071,0.117,0.554,0.142
"P32","A Gerardo Morales",0.138,0.013,0.105,0.144,0.18
"P33","Seguro lo votaria",0.06,0.293,0.603,0.139,0.208
"P33","Quizás lo votaría",0.202,0.294,0.288,0.123,0.307
"P33","Nunca lo votaría",0.738,0.413,0.109,0.738,0.485
"P34","Muy buena",0.178,0.101,0.089,0.041,0.085
"P34","Buena",0.214,0.071,0.006,0.294,0.125
"P34","Ni buena ni mala",0.278,0.076,0.019,0.325,0.221
"P34","Mala",0.14,0.134,0.039,0.126,0.111
"P34","Muy mala",0.151,0.618,0.847,0.188,0.43
"P34","No sabe",0.039,0,0,0.026,0.028
"P35","Muy buena",0.077,0.281,0.163,0.011,0.112
"P35","Buena",0.056,0.251,0.13,0.009,0.151
"P35","Ni buena ni mala",0.093,0.197,0.25,0.098,0.142
"P35","Mala",0.144,0.154,0.207,0.082,0.288
"P35","Muy mala",0.606,0.117,0.25,0.8,0.292
"P35","No sabe",0.024,0,0,0,0.015
"P36","Muy buena",0.468,0.104,0.067,0.256,0.125
"P36","Buena",0.148,0.011,0.009,0.29,0.121
"P36","Ni buena ni mala",0.115,0.033,0.017,0.089,0.088
"P36","Mala",0.067,0.073,0.042,0.122,0.152
"P36","Muy mala",0.178,0.746,0.865,0.243,0.503
"P36","No sabe",0.024,0.033,0,0,0.011
"P37","Muy buena",0.041,0.225,0.102,0.026,0.138
"P37","Buena",0.111,0.367,0.212,0.152,0.098
"P37","Ni buena ni mala",0.179,0.199,0.167,0.07,0.277
"P37","Mala",0.216,0.098,0.13,0.144,0.238
"P37","Muy mala",0.391,0.102,0.384,0.555,0.191
"P37","No sabe",0.062,0.009,0.005,0.053,0.058
"P38","Muy buena",0.161,0.058,0.011,0.011,0.017
"P38","Buena",0.375,0.095,0.074,0.112,0.082
"P38","Ni buena ni mala",0.2,0.076,0.143,0.181,0.305
"P38","Mala",0.071,0.191,0.204,0.247,0.291
"P38","Muy mala",0.141,0.569,0.568,0.449,0.276
"P38","No sabe",0.052,0.011,0,0,0.029
"P39","Muy buena",0.101,0.444,0.322,0.011,0.152
"P39","Buena",0.053,0.289,0.328,0.009,0.166
"P39","Ni buena ni mala",0.05,0.09,0.171,0.047,0.184
"P39","Mala",0.199,0.051,0.058,0.315,0.116
"P39","Muy mala",0.537,0.12,0.116,0.533,0.289
"P39","No sabe",0.06,0.006,0.005,0.085,0.093
"P40","Muy buena",0.029,0.165,0.608,0.011,0.135
"P40","Buena",0.068,0.229,0.16,0.025,0.149
"P40","Ni buena ni mala",0.125,0.362,0.144,0.069,0.237
"P40","Mala",0.117,0.101,0.075,0.204,0.148
"P40","Muy mala",0.567,0.122,0.008,0.645,0.28
"P40","No sabe",0.094,0.021,0.005,0.046,0.051
