"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"Juan Schiaretti","No sabe",0.039,0.036,0.042,0.023,0.048,0.049,0.026,0.062,0.032,0.023,0.026,0.025,0.023,0.006,0.041,0.027,0.056,0.024
"Marcos Koopmann","Positiva",0.349,0.359,0.339,0.416,0.31,0.335,0.367,0.397,0.352,0.291,0.419,0.52,0.22,0.118,0.439,0.326,0.339,0.359
"Marcos Koopmann","Neutra",0.305,0.31,0.301,0.229,0.335,0.321,0.352,0.287,0.316,0.31,0.314,0.283,0.39,0.294,0.277,0.326,0.313,0.299
"Marcos Koopmann","Negativa",0.279,0.279,0.278,0.297,0.286,0.267,0.223,0.245,0.269,0.332,0.235,0.162,0.32,0.503,0.218,0.292,0.282,0.275
"Marcos Koopmann","No sabe",0.067,0.052,0.082,0.058,0.069,0.077,0.058,0.071,0.063,0.067,0.032,0.035,0.07,0.085,0.066,0.056,0.066,0.067
"Karina Milei","Positiva",0.395,0.418,0.37,0.537,0.359,0.315,0.328,0.389,0.426,0.354,0.371,0.598,0.247,0.488,0.246,0.521,0.402,0.39
"Karina Milei","Neutra",0.237,0.241,0.233,0.174,0.245,0.307,0.236,0.255,0.239,0.215,0.271,0.22,0.138,0.263,0.142,0.287,0.201,0.269
"Karina Milei","Negativa",0.319,0.316,0.322,0.229,0.343,0.352,0.391,0.291,0.283,0.407,0.327,0.154,0.513,0.249,0.556,0.155,0.352,0.289
"Karina Milei","No sabe",0.049,0.025,0.075,0.06,0.053,0.026,0.045,0.065,0.052,0.024,0.031,0.028,0.102,0,0.056,0.037,0.045,0.052
"Ramon Rioseco","Positiva",0.376,0.377,0.375,0.476,0.307,0.355,0.415,0.442,0.374,0.297,0.461,0.434,0.326,0.302,0.538,0.32,0.387,0.366
"Ramon Rioseco","Neutra",0.256,0.271,0.242,0.189,0.275,0.293,0.296,0.23,0.287,0.239,0.258,0.213,0.313,0.265,0.224,0.27,0.273,0.243
"Ramon Rioseco","Negativa",0.308,0.319,0.296,0.283,0.36,0.274,0.236,0.25,0.277,0.432,0.257,0.3,0.302,0.415,0.192,0.366,0.289,0.324
"Ramon Rioseco","No sabe",0.06,0.033,0.087,0.052,0.058,0.078,0.053,0.078,0.062,0.032,0.024,0.053,0.059,0.018,0.046,0.044,0.051,0.067
"Omar Gutierrez","Positiva",0.371,0.393,0.35,0.436,0.333,0.339,0.427,0.454,0.355,0.309,0.475,0.42,0.251,0.176,0.471,0.35,0.389,0.356
"Omar Gutierrez","Neutra",0.272,0.275,0.269,0.217,0.286,0.308,0.285,0.241,0.286,0.283,0.24,0.318,0.325,0.34,0.257,0.285,0.295,0.251
"Omar Gutierrez","Negativa",0.304,0.307,0.298,0.282,0.327,0.309,0.248,0.255,0.291,0.376,0.266,0.226,0.367,0.438,0.222,0.324,0.274,0.33
"Omar Gutierrez","No sabe",0.053,0.025,0.083,0.065,0.054,0.044,0.04,0.05,0.068,0.032,0.019,0.036,0.057,0.046,0.05,0.041,0.042,0.063
"Mariano Gaido","Positiva",0.291,0.29,0.292,0.342,0.249,0.273,0.346,0.342,0.286,0.236,0.354,0.383,0.136,0.196,0.426,0.253,0.339,0.248
"Mariano Gaido","Neutra",0.302,0.346,0.255,0.241,0.303,0.373,0.329,0.272,0.315,0.315,0.317,0.26,0.455,0.272,0.296,0.307,0.266,0.333
"Mariano Gaido","Negativa",0.326,0.323,0.331,0.336,0.361,0.282,0.252,0.287,0.317,0.393,0.301,0.258,0.317,0.514,0.189,0.375,0.323,0.33
"Mariano Gaido","No sabe",0.081,0.041,0.122,0.081,0.087,0.072,0.073,0.099,0.082,0.056,0.028,0.099,0.092,0.018,0.089,0.065,0.072,0.089
"Sergio Massa","Positiva",0.338,0.335,0.341,0.422,0.289,0.306,0.366,0.438,0.294,0.292,0.427,0.328,0.257,0.276,0.585,0.224,0.357,0.322
"Sergio Massa","Neutra",0.194,0.198,0.189,0.161,0.206,0.218,0.186,0.2,0.205,0.166,0.176,0.18,0.332,0.154,0.249,0.145,0.21,0.179
"Sergio Massa","Negativa",0.431,0.453,0.408,0.392,0.463,0.437,0.397,0.303,0.47,0.52,0.383,0.456,0.402,0.532,0.144,0.598,0.389,0.468
"Sergio Massa","No sabe",0.037,0.014,0.062,0.025,0.042,0.039,0.051,0.059,0.031,0.022,0.014,0.036,0.009,0.038,0.022,0.033,0.044,0.031
"Mauricio Macri","Positiva",0.298,0.287,0.31,0.388,0.263,0.229,0.333,0.381,0.248,0.287,0.326,0.482,0.054,0.265,0.266,0.357,0.325,0.274
"Mauricio Macri","Neutra",0.221,0.203,0.242,0.227,0.238,0.214,0.159,0.174,0.274,0.189,0.211,0.26,0.213,0.316,0.09,0.281,0.2,0.24
"Mauricio Macri","Negativa",0.462,0.509,0.41,0.362,0.483,0.557,0.455,0.396,0.471,0.52,0.455,0.238,0.733,0.419,0.622,0.356,0.447,0.475
"Mauricio Macri","No sabe",0.019,0.001,0.038,0.023,0.016,0,0.053,0.049,0.007,0.004,0.008,0.02,0,0,0.022,0.006,0.028,0.011
"CFK","Positiva",0.337,0.324,0.352,0.428,0.281,0.288,0.407,0.428,0.288,0.313,0.382,0.296,0.424,0.174,0.668,0.184,0.377,0.302
"CFK","Neutra",0.103,0.094,0.113,0.149,0.077,0.109,0.067,0.074,0.131,0.088,0.074,0.11,0.173,0.19,0.157,0.061,0.089,0.114
"CFK","Negativa",0.551,0.581,0.519,0.4,0.64,0.603,0.511,0.473,0.581,0.594,0.54,0.594,0.403,0.636,0.171,0.755,0.518,0.582
"CFK","No sabe",0.009,0.001,0.016,0.023,0.002,0,0.015,0.025,0,0.005,0.004,0,0,0,0.004,0,0.016,0.002
