"var","categoria","Julio Alak a intendente por Unión por la Patria","Guillermo Escudero a intendente por Unión por la Patria","Gaston Castagneto a intendente por Unión por la Patria","Juan Pablo Allan a intendente por Juntos por el Cambio","Julio Garro a intendente por Juntos por el Cambio","Luciano Guma a intendente por la Libertad Avanza","A los candidatos a intendente del Frente de Izquierda","Otro","No sabe"
"P23","Puede que lo vote",0.121,0,0.062,0.318,0.25,0.216,0,0.337,0.22
"P23","Nunca lo votaría",0.691,0.878,0.637,0.228,0.357,0.412,0.781,0.57,0.448
"P23","No sabe",0.096,0.122,0.194,0.047,0.039,0.071,0.219,0.036,0.098
"P24","Lo votaría",0.13,0,0.105,0.294,0.267,0.079,0.029,0.012,0.036
"P24","Puede que lo vote",0.117,0.383,0.081,0.418,0.419,0.111,0.032,0.314,0.416
"P24","Nunca lo votaría",0.645,0.588,0.617,0.231,0.275,0.673,0.79,0.65,0.458
"P24","No sabe",0.108,0.029,0.197,0.057,0.039,0.137,0.149,0.024,0.09
"P25","Lo votaría",0.088,0.275,0.062,0.161,0.166,0.546,0.017,0.045,0.041
"P25","Puede que lo vote",0.095,0.029,0.124,0.158,0.162,0.081,0.302,0.188,0.136
"P25","Nunca lo votaría",0.785,0.696,0.643,0.623,0.624,0.334,0.681,0.709,0.741
"P25","No sabe",0.032,0,0.171,0.058,0.048,0.039,0,0.058,0.082
"P26","Si",0.402,0.279,0.258,0.642,0.528,0.463,0.39,0.407,0.258
"P26","No",0.598,0.721,0.742,0.358,0.472,0.537,0.61,0.593,0.742
