"var","categoria","Sergio Massa a presidente, Axel Kicillof a gobernador y Julio Alak a intendente por Unión por la Patria","Sergio Massa a presidente, Axel Kicillof a gobernador y Guillermo Escudero a intendente por Unión por la Patria","Sergio Massa a presidente, Axel Kicillof a gobernador y Gaston Castagneto a intendente por Unión por la Patria","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador y Juan Pablo Allan a intendente por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador y Julio Garro a intendente por Juntos por el Cambio","Javier Milei a presidente, Carolina Piparo a gobernadora y Luciano Guma a intendente por la Libertad Avanza","A los candidatos a presidente, a gobernador y a intendente del Frente de Izquierda","Otro","No sabe"
"P08","Otro",0.022,0.118,0.02,0.026,0.023,0.012,0.012,0.007,0.351,0.044
"P08","En blanco",0.006,0,0,0.004,0.009,0.018,0.015,0.022,0.126,0.21
"P08","No sabe",0.019,0.111,0.036,0.022,0.036,0.059,0.027,0.234,0.199,0.457
"P12","Si",0.333,0.536,0.558,NA,0.608,0.505,0.614,0.476,0.68,0.634
"P12","No",0.667,0.464,0.442,NA,0.392,0.495,0.386,0.524,0.32,0.366
"P13","Julio Alak a intendente por Unión por la Patria",0.501,0.297,0.047,NA,0.11,0.126,0.083,0.093,0.148,0.174
"P13","Guillermo Escudero a intendente por Unión por la Patria",0.049,0.122,0,NA,0.011,0.014,0.051,0.019,0,0.035
"P13","Gaston Castagneto a intendente por Unión por la Patria",0.042,0.01,0.297,NA,0.025,0.004,0.046,0.073,0,0
"P13","Juan Pablo Allan a intendente por Juntos por el Cambio",0.119,0.183,0.04,NA,0.227,0.195,0.052,0.048,0.046,0.031
"P13","Julio Garro a intendente por Juntos por el Cambio",0.062,0.166,0.214,NA,0.409,0.464,0.301,0.142,0.083,0.12
"P13","Luciano Guma a intendente por la Libertad Avanza",0.053,0.039,0.288,NA,0.032,0.061,0.364,0.014,0.041,0.077
"P13","A los candidatos a intendente del Frente de Izquierda",0.045,0,0,NA,0.026,0.004,0.013,0.54,0.09,0.038
"P13","Otro",0.089,0.117,0,NA,0.051,0.021,0.033,0,0.359,0.042
"P13","No sabe",0.04,0.066,0.114,NA,0.109,0.111,0.057,0.071,0.233,0.483
"P19","Lo votaría",0.76,0.203,0.385,0.505,0.067,0.036,0.076,0.073,0,0.048
"P19","Puede que lo vote",0.151,0.192,0.219,0.28,0.063,0.081,0.182,0.156,0.122,0.194
"P19","Nunca lo votaría",0.057,0.54,0.266,0.113,0.845,0.821,0.66,0.541,0.638,0.484
"P19","No sabe",0.032,0.065,0.13,0.102,0.025,0.062,0.082,0.23,0.24,0.274
"P20","Lo votaría",0.233,0.386,0.229,0.197,0.048,0.046,0.088,0.024,0,0.025
"P20","Puede que lo vote",0.302,0.096,0.234,0.272,0.025,0.034,0.108,0.226,0.011,0.089
"P20","Nunca lo votaría",0.365,0.431,0.259,0.271,0.894,0.879,0.747,0.57,0.747,0.615
"P20","No sabe",0.1,0.087,0.278,0.26,0.033,0.041,0.057,0.18,0.242,0.271
"P21","Lo votaría",0.189,0.137,0.44,0.236,0.027,0.014,0.028,0.099,0,0.015
"P21","Puede que lo vote",0.324,0.264,0.263,0.374,0.026,0.063,0.081,0.128,0,0.118
"P21","Nunca lo votaría",0.371,0.512,0.201,0.239,0.919,0.878,0.803,0.607,0.869,0.618
"P21","No sabe",0.116,0.087,0.096,0.151,0.028,0.045,0.088,0.166,0.131,0.249
"P22","Lo votaría",0.361,0.149,0.405,0.808,0.052,0.042,0.043,0.073,0.012,0.012
"P22","Puede que lo vote",0.265,0.149,0.329,0.074,0.025,0.021,0.089,0.223,0.088,0.135
"P22","Nunca lo votaría",0.312,0.564,0.228,0.098,0.913,0.901,0.812,0.471,0.845,0.583
"P22","No sabe",0.062,0.138,0.038,0.02,0.01,0.036,0.056,0.233,0.055,0.27
"P23","Lo votaría",0.074,0.223,0.131,0.123,0.667,0.137,0.136,0.072,0.048,0.023
"P23","Puede que lo vote",0.067,0.09,0.049,0.038,0.16,0.385,0.259,0.012,0.074,0.135
"P23","Nunca lo votaría",0.829,0.531,0.788,0.824,0.166,0.401,0.536,0.739,0.805,0.562
"P23","No sabe",0.03,0.156,0.032,0.015,0.007,0.077,0.069,0.177,0.073,0.28
"P24","Lo votaría",0.038,0.101,0.016,0.004,0.271,0.611,0.093,0.066,0.018,0.005
"P24","Puede que lo vote",0.069,0.251,0.085,0.038,0.394,0.284,0.187,0.009,0.105,0.198
"P24","Nunca lo votaría",0.857,0.566,0.778,0.954,0.298,0.087,0.666,0.763,0.8,0.57
"P24","No sabe",0.036,0.082,0.121,0.004,0.037,0.018,0.054,0.162,0.077,0.227
"P25","Lo votaría",0.013,0.185,0.027,0.033,0.089,0.055,0.601,0.008,0.018,0.015
"P25","Puede que lo vote",0.027,0.173,0.076,0.034,0.17,0.206,0.164,0.097,0.211,0.155
"P25","Nunca lo votaría",0.942,0.535,0.897,0.933,0.704,0.675,0.185,0.827,0.74,0.755
"P25","No sabe",0.018,0.107,0,0,0.037,0.064,0.05,0.068,0.031,0.075
"P26","Si",0.417,0.509,0.706,0.468,0.452,0.498,0.439,0.286,0.167,0.173
"P26","No",0.583,0.491,0.294,0.532,0.548,0.502,0.561,0.714,0.833,0.827
