"var","categoria","Julio Alak a intendente por Unión por la Patria","Guillermo Escudero a intendente por Unión por la Patria","Gaston Castagneto a intendente por Unión por la Patria","Juan Pablo Allan a intendente por Juntos por el Cambio","Julio Garro a intendente por Juntos por el Cambio","Luciano Guma a intendente por la Libertad Avanza","A los candidatos a intendente del Frente de Izquierda","Otro","En blanco","No sabe"
"P19","Puede que lo vote",0.133,0.336,0.187,0.064,0.093,0.212,0.167,0.174,0.218,0.2
"P19","Nunca lo votaría",0.1,0.405,0.19,0.761,0.81,0.63,0.513,0.581,0.071,0.536
"P19","No sabe",0.032,0.04,0.27,0.064,0.062,0.017,0.156,0.182,0.15,0.213
"P20","Lo votaría",0.225,0.567,0.241,0.07,0.04,0.098,0.061,0.042,0.032,0.032
"P20","Puede que lo vote",0.275,0.051,0.207,0.036,0.071,0.113,0.208,0.097,0.447,0.094
"P20","Nunca lo votaría",0.394,0.327,0.228,0.848,0.852,0.715,0.597,0.685,0.291,0.607
"P20","No sabe",0.106,0.055,0.324,0.046,0.037,0.074,0.134,0.176,0.23,0.267
"P21","Lo votaría",0.159,0.158,0.566,0.064,0.009,0.066,0.095,0.046,0.083,0.056
"P21","Puede que lo vote",0.31,0.23,0.121,0.042,0.087,0.133,0.128,0.136,0.459,0.119
"P21","Nunca lo votaría",0.43,0.449,0.139,0.859,0.85,0.767,0.645,0.685,0.244,0.586
"P21","No sabe",0.101,0.163,0.174,0.035,0.054,0.034,0.132,0.133,0.214,0.239
"P22","Lo votaría",0.335,0.261,0.492,0.117,0.032,0.114,0.159,0.155,0.758,0.089
"P22","Puede que lo vote",0.259,0.189,0.307,0.031,0.033,0.071,0.213,0.106,0.079,0.062
"P22","Nunca lo votaría",0.339,0.463,0.056,0.824,0.903,0.782,0.513,0.69,0.163,0.651
"P22","No sabe",0.067,0.087,0.145,0.028,0.032,0.033,0.115,0.049,0,0.198
"P23","Lo votaría",0.072,0.108,0.095,0.609,0.276,0.202,0.064,0.055,0.033,0.167
"P23","Puede que lo vote",0.086,0.064,0.038,0.196,0.261,0.215,0.026,0.257,0,0.144
"P23","Nunca lo votaría",0.804,0.73,0.777,0.167,0.394,0.52,0.788,0.649,0.954,0.531
"P23","No sabe",0.038,0.098,0.09,0.028,0.069,0.063,0.122,0.039,0.013,0.158
"P24","Lo votaría",0.065,0.077,0.066,0.266,0.452,0.087,0.078,0.008,0,0.025
"P24","Puede que lo vote",0.066,0.249,0.045,0.375,0.299,0.128,0.018,0.213,0,0.3
"P24","Nunca lo votaría",0.828,0.665,0.788,0.32,0.212,0.71,0.822,0.737,0.988,0.527
"P24","No sabe",0.041,0.009,0.101,0.039,0.037,0.075,0.082,0.042,0.012,0.148
"P25","Lo votaría",0.037,0.267,0.035,0.087,0.14,0.533,0.012,0.062,0.046,0.027
"P25","Puede que lo vote",0.051,0.147,0.073,0.134,0.173,0.165,0.178,0.227,0.029,0.13
"P25","Nunca lo votaría",0.9,0.523,0.802,0.723,0.633,0.282,0.81,0.657,0.925,0.748
"P25","No sabe",0.012,0.063,0.09,0.056,0.054,0.02,0,0.054,0,0.095
"P26","Si",0.409,0.386,0.422,0.542,0.528,0.392,0.401,0.33,0.384,0.256
"P26","No",0.591,0.614,0.578,0.458,0.472,0.608,0.599,0.67,0.616,0.744
"PRESIDENTE","Sergio Massa a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.821,0.747,0.672,0.117,0.071,0.101,0.1,0.245,0,0.085
"PRESIDENTE","Juan Grabois a presidente, Axel Kicillof a gobernador por Unión por la Patria",0.051,0.039,0.117,0.048,0.01,0.028,0.036,0.076,1,0.093
"PRESIDENTE","Patricia Bullrich a presidenta, Néstor Grindetti a gobernador por Juntos por el Cambio",0.041,0.036,0.075,0.69,0.239,0.03,0.055,0.131,0,0.127
"PRESIDENTE","Horacio Rodríguez Larreta a presidente, Diego Santilli a gobernador por Juntos por el Cambio",0.027,0.028,0.007,0.09,0.496,0.04,0.006,0.035,0,0.078
"PRESIDENTE","Javier Milei a presidente, Carolina Piparo a gobernadora por la Libertad Avanza",0.024,0.106,0.091,0.031,0.137,0.763,0.029,0.072,0,0.051
"PRESIDENTE","A los candidatos a presidente, a gobernador del Frente de Izquierda",0.005,0.009,0.038,0.007,0.013,0.002,0.698,0,0,0.017
"PRESIDENTE","Otro",0.009,0,0,0.008,0.009,0.008,0.042,0.4,0,0.052
"PRESIDENTE","No sabe",0.022,0.035,0,0.009,0.025,0.028,0.034,0.041,0,0.497
