"var","categoria","Eduardo Costa por Cambia Santa Cruz","Javier Belloni por el Frente de Todos","Pablo Grasso por el Frente de Todos","Pablo González por el Frente de Todos","Fernando Cotillo por el Frente de Todos","Claudio Vidal por Somos Energía para Renovar Santa Cruz-SER","Roxana Reyes por Cambia Santa Cruz","No sabe"
"P13","Nunca lo votaría",0.762,0.449,0.414,0.27,0.3,0.733,0.853,0.547
"P13","No sabe",0.019,0.147,0.105,0.062,0.027,0.115,0.038,0.214
"P14","Lo votaría",0.068,0.186,0.305,0.529,0.462,0.07,0.03,0.129
"P14","Puede que lo vote",0.006,0.168,0.201,0.176,0.237,0.129,0.087,0.113
"P14","Nunca lo votaría",0.889,0.495,0.402,0.238,0.25,0.649,0.784,0.57
"P14","No sabe",0.037,0.151,0.092,0.057,0.051,0.152,0.099,0.188
"P15","Lo votaría",0.378,0.072,0.103,0.145,0,0.073,0.367,0.076
"P15","Puede que lo vote",0.271,0.124,0.08,0.066,0.14,0.189,0.162,0.124
"P15","Nunca lo votaría",0.302,0.626,0.675,0.739,0.539,0.516,0.423,0.527
"P15","No sabe",0.049,0.178,0.142,0.05,0.321,0.222,0.048,0.273
"P16","Lo votaría",0.152,0.065,0.115,0.089,0.104,0.774,0.359,0.067
"P16","Puede que lo vote",0.152,0.181,0.224,0.147,0.212,0.145,0.146,0.143
"P16","Nunca lo votaría",0.661,0.616,0.614,0.678,0.436,0.058,0.429,0.529
"P16","No sabe",0.035,0.138,0.047,0.086,0.248,0.023,0.066,0.261
"P17","Lo votaría",0.063,0.04,0.131,0.617,0.268,0.06,0.034,0.04
"P17","Puede que lo vote",0.039,0.203,0.189,0.127,0.324,0.09,0.101,0.115
"P17","Nunca lo votaría",0.853,0.559,0.619,0.208,0.356,0.7,0.805,0.592
"P17","No sabe",0.045,0.198,0.061,0.048,0.052,0.15,0.06,0.253
"P18","Lo votaría",0.052,0.689,0.1,0.367,0.165,0.07,0.056,0.056
"P18","Puede que lo vote",0.149,0.131,0.245,0.275,0.157,0.117,0.21,0.136
"P18","Nunca lo votaría",0.761,0.132,0.557,0.27,0.479,0.649,0.66,0.543
"P18","No sabe",0.038,0.048,0.098,0.088,0.199,0.164,0.074,0.265
"P19","Lo votaría",0.739,0.165,0.049,0.081,0,0.028,0.136,0.06
"P19","Puede que lo vote",0.107,0.04,0.049,0.036,0.055,0.133,0.189,0.169
"P19","Nunca lo votaría",0.128,0.69,0.852,0.827,0.801,0.73,0.615,0.585
"P19","No sabe",0.026,0.105,0.05,0.056,0.144,0.109,0.06,0.186
"P20","Lo votaría",0.093,0.173,0.673,0.164,0.034,0.045,0.047,0.055
"P20","Puede que lo vote",0.111,0.247,0.14,0.288,0.133,0.129,0.104,0.188
"P20","Nunca lo votaría",0.757,0.407,0.148,0.479,0.657,0.664,0.8,0.536
"P20","No sabe",0.039,0.173,0.039,0.069,0.176,0.162,0.049,0.221
"P21","Lo votaría",0.03,0.032,0.091,0.103,0.493,0.027,0,0.003
"P21","Puede que lo vote",0.008,0.117,0.107,0.155,0,0.039,0.044,0.121
"P21","Nunca lo votaría",0.926,0.675,0.674,0.628,0.407,0.755,0.914,0.668
"P21","No sabe",0.036,0.176,0.128,0.114,0.1,0.179,0.042,0.208
"P22","Muy buena",0.026,0.076,0.133,0.473,0.207,0.004,0.002,0.022
"P22","Buena",0.039,0.122,0.144,0.115,0.132,0.039,0.06,0.052
"P22","Ni buena ni mala",0.392,0.554,0.42,0.313,0.344,0.37,0.31,0.307
"P22","Mala",0.354,0.068,0.164,0.041,0.193,0.185,0.275,0.137
"P22","Muy mala",0.151,0.038,0.037,0.026,0,0.236,0.221,0.208
"P22","No sabe",0.038,0.142,0.102,0.032,0.124,0.166,0.132,0.274
"P23","Muy buena",0.071,0.178,0.326,0.491,0.46,0.017,0.012,0.062
"P23","Buena",0,0.069,0.12,0.217,0.16,0.082,0.046,0.134
"P23","Ni buena ni mala",0.189,0.246,0.258,0.155,0.122,0.147,0.179,0.146
"P23","Mala",0.274,0.305,0.185,0.1,0.117,0.159,0.28,0.167
"P23","Muy mala",0.466,0.18,0.111,0.019,0.141,0.509,0.438,0.38
"P23","No sabe",0,0.022,0,0.018,0,0.086,0.045,0.111
"P24","Muy buena",0.354,0.072,0.017,0.164,0.187,0.047,0.082,0.021
"P24","Buena",0.239,0.015,0.038,0.027,0.061,0.075,0.216,0.063
"P24","Ni buena ni mala",0.172,0.129,0.19,0.283,0.17,0.273,0.254,0.238
"P24","Mala",0.152,0.428,0.436,0.245,0.408,0.229,0.187,0.19
"P24","Muy mala",0.083,0.278,0.294,0.263,0.174,0.294,0.14,0.28
"P24","No sabe",0,0.078,0.025,0.018,0,0.082,0.121,0.208
"P25","Muy buena",0.101,0.118,0.277,0.322,0.474,0.036,0,0.06
"P25","Buena",0.06,0.186,0.136,0.278,0.033,0.138,0.059,0.065
"P25","Ni buena ni mala",0.046,0.187,0.19,0.252,0.277,0.114,0.086,0.188
"P25","Mala",0.188,0.167,0.217,0.066,0.129,0.082,0.242,0.078
"P25","Muy mala",0.605,0.28,0.178,0.064,0.087,0.563,0.567,0.477
"P25","No sabe",0,0.062,0.002,0.018,0,0.067,0.046,0.132
"P26","Muy buena",0.069,0.073,0.137,0.157,0.09,0.582,0.187,0.015
"P26","Buena",0.062,0.055,0.161,0.136,0.277,0.221,0.195,0.073
"P26","Ni buena ni mala",0.219,0.495,0.235,0.356,0.192,0.13,0.267,0.221
"P26","Mala",0.216,0.194,0.242,0.178,0.276,0.007,0.069,0.2
"P26","Muy mala",0.424,0.093,0.208,0.134,0.165,0.042,0.254,0.282
"P26","No sabe",0.01,0.09,0.017,0.039,0,0.018,0.028,0.209
"P27","Muy buena",0.049,0.477,0.132,0.319,0.09,0.107,0.069,0.047
"P27","Buena",0.047,0.296,0.237,0.354,0.24,0.126,0.167,0.077
"P27","Ni buena ni mala",0.264,0.129,0.246,0.255,0.201,0.289,0.298,0.327
"P27","Mala",0.274,0.032,0.162,0.03,0.28,0.133,0.178,0.171
"P27","Muy mala",0.356,0,0.108,0.023,0.09,0.241,0.197,0.215
"P27","No sabe",0.01,0.066,0.115,0.019,0.099,0.104,0.091,0.163
"P28","Muy buena",0.334,0.099,0.073,0.141,0,0.045,0.287,0.03
"P28","Buena",0.176,0.059,0.054,0.05,0.069,0.135,0.127,0.1
"P28","Ni buena ni mala",0.227,0.313,0.201,0.341,0.181,0.316,0.22,0.25
"P28","Mala",0.103,0.151,0.309,0.136,0.376,0.204,0.137,0.177
"P28","Muy mala",0.152,0.195,0.266,0.313,0.261,0.207,0.141,0.236
"P28","No sabe",0.008,0.183,0.097,0.019,0.113,0.093,0.088,0.207
"P29","Muy buena",0.069,0.042,0.093,0.109,0.131,0.021,0.014,0.01
"P29","Buena",0.014,0.083,0.037,0.072,0.176,0.083,0.068,0.078
"P29","Ni buena ni mala",0.147,0.404,0.356,0.429,0.177,0.193,0.25,0.251
"P29","Mala",0.293,0.146,0.202,0.138,0.234,0.123,0.166,0.227
"P29","Muy mala",0.472,0.164,0.184,0.2,0.1,0.377,0.375,0.26
"P29","No sabe",0.005,0.161,0.128,0.052,0.182,0.203,0.127,0.174
"P30","Muy buena",0.069,0.131,0.65,0.111,0,0.042,0.019,0.05
"P30","Buena",0.032,0.249,0.122,0.242,0.16,0.108,0.062,0.126
"P30","Ni buena ni mala",0.129,0.311,0.105,0.52,0.228,0.256,0.27,0.197
"P30","Mala",0.212,0.114,0.045,0.09,0.237,0.155,0.227,0.165
"P30","Muy mala",0.558,0.084,0.051,0.007,0.193,0.31,0.299,0.306
"P30","No sabe",0,0.111,0.027,0.03,0.182,0.129,0.123,0.156
