"var","categoria","Sergio Massa por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P48","Ni buena ni mala",0.268,0.071,0.06,0.394,0.257
"P48","Mala",0.047,0.15,0.144,0.281,0.137
"P48","Muy mala",0.061,0.662,0.652,0.203,0.443
"P48","No sabe",0.017,0.007,0.033,0.013,0.009
"P49","Muy buena",0.025,0.55,0.279,0.001,0.108
"P49","Buena",0.051,0.262,0.296,0.005,0.097
"P49","Ni buena ni mala",0.073,0.081,0.214,0.094,0.181
"P49","Mala",0.111,0.035,0.046,0.205,0.061
"P49","Muy mala",0.727,0.067,0.144,0.695,0.535
"P49","No sabe",0.013,0.005,0.021,0,0.018
"P50","Muy buena",0.014,0.108,0.514,0,0.025
"P50","Buena",0.019,0.198,0.324,0.001,0.059
"P50","Ni buena ni mala",0.077,0.406,0.113,0,0.237
"P50","Mala",0.13,0.154,0.002,0.11,0.17
"P50","Muy mala",0.738,0.108,0.044,0.889,0.48
"P50","No sabe",0.022,0.026,0.003,0,0.029
"P51","Muy buena",0.014,0.298,0.095,0,0.066
"P51","Buena",0.014,0.401,0.239,0.075,0.12
"P51","Ni buena ni mala",0.051,0.209,0.272,0.061,0.189
"P51","Mala",0.128,0.052,0.141,0.215,0.094
"P51","Muy mala",0.783,0.029,0.251,0.649,0.516
"P51","No sabe",0.01,0.011,0.002,0,0.015
"P52","Muy buena",0.028,0.111,0.069,0.015,0.08
"P52","Buena",0.09,0.228,0.143,0.087,0.09
"P52","Ni buena ni mala",0.41,0.32,0.351,0.459,0.404
"P52","Mala",0.138,0.204,0.142,0.21,0.155
"P52","Muy mala",0.29,0.121,0.267,0.229,0.202
"P52","No sabe",0.044,0.016,0.028,0,0.069
"P53","Siempre",0.372,0.308,0.309,0.134,0.252
"P53","Casi siempre",0.388,0.464,0.402,0.677,0.481
"P53","Casi nunca",0.179,0.172,0.212,0.189,0.176
"P53","Nunca, pero esta es una excepción",0.061,0.056,0.077,0,0.091
"P54","Si",0.574,0.58,0.622,0.471,0.552
"P54","No",0.426,0.42,0.378,0.529,0.448
