"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P20","No sabe",0.01,0.024,0.066
"P21","Lo votaría",0.036,0.287,0.215
"P21","Puede que lo vote",0.03,0.307,0.145
"P21","Nunca lo votaría",0.916,0.353,0.551
"P21","No sabe",0.018,0.053,0.089
"P22","La votaría",0.029,0.213,0.133
"P22","Puede que la vote",0.031,0.388,0.116
"P22","Nunca la votaría",0.899,0.306,0.673
"P22","No sabe",0.041,0.093,0.078
"P23","Mauricio Macri por Juntos por el Cambio",0.009,0.201,0.037
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.006,0.084,0.081
"P23","Patricia Bullrich por Juntos por el Cambio",0.006,0.413,0.043
"P23","María Eugenia Vidal por Juntos por el Cambio",0.004,0.058,0.026
"P23","Facundo Manes por Juntos por el Cambio",0.029,0.033,0.083
"P23","Alberto Fernández por el Frente de Todos",0.26,0.016,0.128
"P23","Sergio Massa por el Frente de Todos",0.476,0.005,0.015
"P23","Javier Milei por los liberales libertarios",0.011,0.17,0.262
"P23","Al candidato del Frente de Izquierda",0.076,0.001,0.092
"P23","No sabe",0.123,0.019,0.233
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.006,0.167,0.095
"P24","Mauricio Macri por Juntos por el Cambio",0.001,0.458,0.061
"P24","Alberto Fernández por el Frente de Todos",0.236,0.04,0.111
"P24","Sergio Massa por el Frente de Todos",0.495,0.006,0.042
"P24","Javier Milei por los liberales libertarios",0.024,0.243,0.301
"P24","Al candidato del Frente de Izquierda",0.1,0.009,0.063
"P24","No sabe",0.138,0.077,0.327
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.004,0.154,0.102
"P25","Patricia Bullrich por Juntos por el Cambio",0.006,0.59,0.046
"P25","Alberto Fernández por el Frente de Todos",0.255,0.012,0.104
"P25","Sergio Massa por el Frente de Todos",0.539,0.008,0.049
"P25","Javier Milei por los liberales libertarios",0.024,0.196,0.296
"P25","Al candidato del Frente de Izquierda",0.073,0.006,0.09
"P25","No sabe",0.099,0.034,0.313
"P26","Sergio Massa por el Frente de Todos",0.751,0.013,0.052
"P26","Mauricio Macri por Juntos por el Cambio",0.016,0.616,0.068
"P26","Javier Milei por los liberales libertarios",0.03,0.277,0.334
"P26","Al candidato del Frente de Izquierda",0.087,0.005,0.075
"P26","No sabe",0.116,0.089,0.471
"P27","Alberto Fernández por el Frente de Todos",0.7,0.025,0.131
"P27","Mauricio Macri por Juntos por el Cambio",0.024,0.633,0.066
"P27","Javier Milei por los liberales libertarios",0.031,0.271,0.308
"P27","Al candidato del Frente de Izquierda",0.096,0.005,0.084
"P27","No sabe",0.149,0.066,0.411
"P28","Alberto Fernández por el Frente de Todos",0.698,0.01,0.114
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.021,0.546,0.109
"P28","Javier Milei por los liberales libertarios",0.041,0.341,0.3
"P28","Al candidato del Frente de Izquierda",0.09,0.005,0.089
"P28","No sabe",0.15,0.098,0.388
"P29","Sergio Massa por el Frente de Todos",0.764,0.009,0.045
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.01,0.576,0.095
"P29","Javier Milei por los liberales libertarios",0.041,0.329,0.301
"P29","Al candidato del Frente de Izquierda",0.082,0.009,0.1
"P29","No sabe",0.103,0.077,0.459
"P30","Sergio Massa por el Frente de Todos",0.709,0.026,0.025
"P30","Patricia Bullrich por Juntos por el Cambio",0.063,0.712,0.041
"P30","Javier Milei por los liberales libertarios",0.041,0.211,0.318
"P30","Al candidato del Frente de Izquierda",0.089,0.004,0.066
"P30","No sabe",0.098,0.047,0.55
"P32","Alberto Fernández por el Frente de Todos",0.657,0.045,0.12
"P32","Patricia Bullrich por Juntos por el Cambio",0.059,0.686,0.055
"P32","Javier Milei por los liberales libertarios",0.032,0.223,0.314
"P32","Al candidato del Frente de Izquierda",0.109,0.003,0.106
"P32","No sabe",0.143,0.043,0.405
"P34","Sergio Massa por el Frente de Todos",0.944,0.019,0.034
"P34","Mauricio Macri por Juntos por el Cambio",0.014,0.856,0.154
"P34","No sabe",0.042,0.125,0.812
"P35","Sergio Massa",0.944,0.017,0.05
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.025,0.799,0.13
"P35","No sabe",0.031,0.184,0.82
"P36","Alberto Fernández por el Frente de Todos",0.867,0.019,0.167
"P36","Mauricio Macri por Juntos por el Cambio",0.033,0.879,0.151
"P36","No sabe",0.1,0.102,0.682
"P37","Alberto Fernández",0.867,0.014,0.177
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.042,0.819,0.139
"P37","No sabe",0.091,0.167,0.684
"P39","Alberto Fernández por el Frente de Todos",0.902,0.013,0.157
"P39","Patricia Bullrich por Juntos por el Cambio",0.018,0.973,0.09
"P39","No sabe",0.08,0.014,0.753
"P40","Mauricio Macri por Juntos por el Cambio",0.108,0.589,0.089
"P40","Javier Milei por los liberales libertarios",0.073,0.342,0.282
"P40","No sabe",0.819,0.069,0.629
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.105,0.608,0.093
"P41","Javier Milei por los liberales libertarios",0.071,0.314,0.354
"P41","No sabe",0.824,0.078,0.553
"P42","Patricia Bullrich por Juntos por el Cambio",0.038,0.708,0.063
"P42","Javier Milei por los liberales libertarios",0.088,0.24,0.374
"P42","No sabe",0.874,0.052,0.563
"P43","Muy buena",0.111,0.083,0.041
"P43","Buena",0.362,0.02,0.145
"P43","Ni buena ni mala",0.386,0.01,0.228
"P43","Mala",0.099,0.053,0.153
"P43","Muy mala",0.041,0.83,0.409
"P43","No sabe",0.001,0.004,0.024
"P44","Muy buena",0.107,0.013,0.031
"P44","Buena",0.362,0.002,0.057
"P44","Ni buena ni mala",0.355,0.01,0.211
"P44","Mala",0.131,0.086,0.218
"P44","Muy mala",0.039,0.884,0.479
"P44","No sabe",0.006,0.005,0.004
"P45","Muy buena",0.662,0.005,0.188
"P45","Buena",0.146,0.003,0.093
"P45","Ni buena ni mala",0.091,0.004,0.075
"P45","Mala",0.046,0.025,0.079
"P45","Muy mala",0.052,0.956,0.517
"P45","No sabe",0.003,0.007,0.048
"P46","Muy buena",0.061,0.255,0.027
"P46","Buena",0.018,0.311,0.066
"P46","Ni buena ni mala",0.055,0.2,0.208
"P46","Mala",0.132,0.074,0.167
"P46","Muy mala",0.73,0.155,0.511
"P46","No sabe",0.004,0.005,0.021
"P47","Muy buena",0.03,0.183,0.072
"P47","Buena",0.019,0.383,0.103
"P47","Ni buena ni mala",0.094,0.268,0.242
"P47","Mala",0.237,0.078,0.144
"P47","Muy mala",0.61,0.083,0.422
"P47","No sabe",0.01,0.005,0.017
"P48","Muy buena",0.183,0.035,0
"P48","Buena",0.362,0.053,0.114
"P48","Ni buena ni mala",0.306,0.058,0.231
"P48","Mala",0.06,0.153,0.176
"P48","Muy mala",0.083,0.693,0.422
"P48","No sabe",0.006,0.008,0.057
"P49","Muy buena",0.023,0.482,0.037
"P49","Buena",0.039,0.293,0.098
"P49","Ni buena ni mala",0.054,0.128,0.262
"P49","Mala",0.12,0.023,0.12
"P49","Muy mala",0.754,0.071,0.423
"P49","No sabe",0.01,0.003,0.06
"P50","Muy buena",0.028,0.231,0.137
"P50","Buena",0.014,0.228,0.137
"P50","Ni buena ni mala",0.051,0.325,0.201
"P50","Mala",0.127,0.112,0.114
"P50","Muy mala",0.772,0.086,0.363
"P50","No sabe",0.008,0.018,0.048
"P51","Muy buena",0.006,0.226,0.091
"P51","Buena",0.032,0.332,0.142
"P51","Ni buena ni mala",0.038,0.258,0.171
"P51","Mala",0.123,0.1,0.101
"P51","Muy mala",0.792,0.077,0.481
"P51","No sabe",0.009,0.007,0.014
"P52","Muy buena",0.033,0.097,0.08
"P52","Buena",0.093,0.185,0.11
"P52","Ni buena ni mala",0.392,0.347,0.409
"P52","Mala",0.156,0.196,0.077
"P52","Muy mala",0.29,0.15,0.247
"P52","No sabe",0.036,0.025,0.077
"P53","Siempre",0.352,0.304,0.23
"P53","Casi siempre",0.417,0.463,0.437
"P53","Casi nunca",0.18,0.16,0.251
"P53","Nunca, pero esta es una excepción",0.051,0.073,0.082
"P54","Si",0.567,0.58,0.528
"P54","No",0.433,0.42,0.472
