"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Mauricio Macri","Muy mala",0.42,0.373,0.46,0.496,0.477,0.38,0.313,0.334,0.455,0.442,0.405,0.451,0.672,0.177,0.33
"Mauricio Macri","No sabe",0.007,0.003,0.011,0,0.003,0.004,0.025,0.012,0.005,0.007,0.008,0.006,0.002,0.005,0.016
"Sergio Massa","Muy buena",0.082,0.068,0.093,0.07,0.083,0.08,0.091,0.082,0.08,0.084,0.086,0.074,0.129,0.058,0.077
"Sergio Massa","Buena",0.173,0.154,0.19,0.11,0.165,0.183,0.218,0.177,0.178,0.163,0.158,0.205,0.299,0.071,0.168
"Sergio Massa","Ni buena ni mala",0.175,0.148,0.199,0.151,0.197,0.167,0.16,0.145,0.197,0.17,0.17,0.187,0.279,0.073,0.141
"Sergio Massa","Mala",0.123,0.152,0.099,0.1,0.13,0.102,0.156,0.098,0.136,0.127,0.112,0.146,0.073,0.166,0.078
"Sergio Massa","Muy mala",0.431,0.477,0.391,0.544,0.406,0.462,0.361,0.468,0.398,0.447,0.46,0.37,0.208,0.622,0.505
"Sergio Massa","No sabe",0.016,0.001,0.028,0.025,0.019,0.006,0.014,0.03,0.011,0.009,0.014,0.018,0.012,0.01,0.031
"CFK","Muy buena",0.27,0.222,0.311,0.247,0.266,0.279,0.281,0.219,0.286,0.292,0.249,0.313,0.574,0.048,0.028
"CFK","Buena",0.069,0.079,0.06,0.087,0.065,0.071,0.062,0.059,0.064,0.085,0.076,0.055,0.138,0.009,0.015
"CFK","Ni buena ni mala",0.047,0.054,0.041,0.025,0.069,0.033,0.038,0.05,0.053,0.035,0.048,0.045,0.063,0.006,0.18
"CFK","Mala",0.042,0.04,0.044,0.023,0.042,0.046,0.049,0.053,0.034,0.044,0.032,0.062,0.039,0.032,0.029
"CFK","Muy mala",0.559,0.603,0.522,0.618,0.556,0.555,0.532,0.586,0.557,0.539,0.58,0.517,0.177,0.888,0.726
"CFK","No sabe",0.013,0.002,0.022,0,0.002,0.016,0.038,0.033,0.006,0.005,0.015,0.008,0.009,0.017,0.022
"Alberto Fernandez","Muy buena",0.05,0.039,0.059,0.101,0.032,0.033,0.075,0.052,0.041,0.06,0.047,0.055,0.093,0.02,0
"Alberto Fernandez","Buena",0.139,0.125,0.152,0.057,0.117,0.175,0.19,0.134,0.144,0.137,0.142,0.132,0.294,0.021,0.039
"Alberto Fernandez","Ni buena ni mala",0.167,0.136,0.193,0.109,0.229,0.144,0.113,0.143,0.179,0.171,0.149,0.204,0.305,0.03,0.197
"Alberto Fernandez","Mala",0.124,0.143,0.108,0.151,0.134,0.12,0.094,0.129,0.111,0.14,0.126,0.121,0.138,0.103,0.094
"Alberto Fernandez","Muy mala",0.515,0.557,0.479,0.582,0.486,0.526,0.511,0.533,0.522,0.488,0.531,0.482,0.167,0.823,0.654
"Alberto Fernandez","No sabe",0.005,0,0.009,0,0.002,0.002,0.017,0.009,0.003,0.004,0.005,0.006,0.003,0.003,0.016
