"var","categoria","Sergio Massa por el Frente de Todos","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P36","Mauricio Macri por Juntos por el Cambio",0.022,0.892,0.725,0.007,0.191
"P36","No sabe",0.088,0.091,0.228,0.341,0.528
"P37","Alberto Fernández",0.872,0.016,0.049,0.698,0.288
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.034,0.929,0.538,0.126,0.128
"P37","No sabe",0.094,0.055,0.413,0.176,0.584
"P38","Sergio Massa por el Frente de Todos",0.958,0.012,0.066,0.585,0.244
"P38","Patricia Bullrich por Juntos por el Cambio",0.015,0.932,0.7,0.078,0.238
"P38","No sabe",0.027,0.056,0.234,0.337,0.518
"P39","Alberto Fernández por el Frente de Todos",0.907,0.023,0.042,0.656,0.308
"P39","Patricia Bullrich por Juntos por el Cambio",0.011,0.932,0.76,0.069,0.245
"P39","No sabe",0.082,0.045,0.198,0.275,0.447
"P40","Mauricio Macri por Juntos por el Cambio",0.108,0.779,0.193,0.083,0.185
"P40","Javier Milei por los liberales libertarios",0.043,0.145,0.717,0.148,0.108
"P40","No sabe",0.849,0.076,0.09,0.769,0.707
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.089,0.917,0.093,0.228,0.116
"P41","Javier Milei por los liberales libertarios",0.052,0.028,0.864,0.074,0.108
"P41","No sabe",0.859,0.055,0.043,0.698,0.776
"P42","Patricia Bullrich por Juntos por el Cambio",0.036,0.89,0.245,0.101,0.213
"P42","Javier Milei por los liberales libertarios",0.064,0.063,0.692,0.148,0.07
"P42","No sabe",0.9,0.047,0.063,0.751,0.717
"P43","Muy buena",0.123,0.098,0.035,0.108,0.061
"P43","Buena",0.406,0.014,0.072,0.16,0.126
"P43","Ni buena ni mala",0.358,0.008,0.015,0.408,0.343
"P43","Mala",0.089,0.073,0.067,0.202,0.095
"P43","Muy mala",0.023,0.803,0.81,0.122,0.345
"P43","No sabe",0.001,0.004,0.001,0,0.03
"P44","Muy buena",0.13,0.022,0.003,0,0.041
"P44","Buena",0.419,0.004,0.005,0.156,0.069
"P44","Ni buena ni mala",0.333,0.007,0.021,0.343,0.314
"P44","Mala",0.094,0.109,0.106,0.381,0.147
"P44","Muy mala",0.02,0.85,0.865,0.12,0.418
"P44","No sabe",0.004,0.008,0,0,0.011
"P45","Muy buena",0.678,0.004,0.022,0.45,0.314
"P45","Buena",0.158,0.005,0.008,0.181,0.074
"P45","Ni buena ni mala",0.079,0.008,0.014,0.13,0.082
"P45","Mala",0.04,0.037,0.032,0.105,0.047
"P45","Muy mala",0.038,0.927,0.924,0.134,0.447
"P45","No sabe",0.007,0.019,0,0,0.036
"P46","Muy buena",0.055,0.307,0.109,0.066,0.101
"P46","Buena",0.019,0.302,0.288,0.015,0.05
"P46","Ni buena ni mala",0.032,0.208,0.225,0.119,0.159
"P46","Mala",0.154,0.043,0.11,0.111,0.155
"P46","Muy mala",0.732,0.135,0.262,0.689,0.518
"P46","No sabe",0.008,0.005,0.006,0,0.017
"P47","Muy buena",0.01,0.299,0.06,0.052,0.028
"P47","Buena",0.021,0.462,0.231,0.024,0.09
"P47","Ni buena ni mala",0.084,0.213,0.282,0.213,0.279
"P47","Mala",0.244,0.008,0.16,0.261,0.166
"P47","Muy mala",0.631,0.011,0.262,0.45,0.419
"P47","No sabe",0.01,0.007,0.005,0,0.018
"P48","Muy buena",0.194,0.052,0.03,0.052,0.015
"P48","Buena",0.415,0.075,0.057,0.046,0.122
"P48","Ni buena ni mala",0.268,0.067,0.073,0.34,0.305
"P48","Mala",0.046,0.165,0.135,0.251,0.129
"P48","Muy mala",0.071,0.638,0.677,0.237,0.413
"P48","No sabe",0.006,0.003,0.028,0.074,0.016
"P49","Muy buena",0.017,0.467,0.368,0,0.144
"P49","Buena",0.054,0.287,0.232,0.065,0.106
"P49","Ni buena ni mala",0.049,0.127,0.197,0.123,0.156
"P49","Mala",0.099,0.041,0.054,0.191,0.08
"P49","Muy mala",0.773,0.073,0.132,0.621,0.467
"P49","No sabe",0.008,0.005,0.017,0,0.047
"P50","Muy buena",0.002,0.089,0.497,0,0.031
"P50","Buena",0.019,0.17,0.333,0.073,0.024
"P50","Ni buena ni mala",0.065,0.406,0.13,0,0.28
"P50","Mala",0.129,0.175,0.005,0.103,0.159
"P50","Muy mala",0.779,0.138,0.033,0.759,0.457
"P50","No sabe",0.006,0.022,0.002,0.065,0.049
"P51","Muy buena",0.006,0.292,0.131,0,0.064
"P51","Buena",0.013,0.374,0.269,0.073,0.117
"P51","Ni buena ni mala",0.05,0.211,0.262,0.035,0.194
"P51","Mala",0.119,0.066,0.115,0.231,0.117
"P51","Muy mala",0.805,0.046,0.221,0.661,0.485
"P51","No sabe",0.007,0.011,0.002,0,0.023
"P52","Muy buena",0.027,0.128,0.067,0.006,0.072
"P52","Buena",0.094,0.204,0.175,0.068,0.077
"P52","Ni buena ni mala",0.393,0.359,0.315,0.504,0.407
"P52","Mala",0.135,0.192,0.159,0.214,0.142
"P52","Muy mala",0.307,0.088,0.26,0.208,0.227
"P52","No sabe",0.044,0.029,0.024,0,0.075
"P53","Siempre",0.389,0.286,0.301,0.12,0.273
"P53","Casi siempre",0.407,0.505,0.381,0.68,0.402
"P53","Casi nunca",0.162,0.147,0.238,0.2,0.201
"P53","Nunca, pero esta es una excepción",0.042,0.062,0.08,0,0.124
"P54","Si",0.577,0.591,0.59,0.397,0.512
"P54","No",0.423,0.409,0.41,0.603,0.488
