"var","categoria","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P42","No sabe",0.113,0.057,0.884
"P43","Muy buena",0.095,0.045,0.102
"P43","Buena",0.032,0.1,0.297
"P43","Ni buena ni mala",0.064,0.036,0.35
"P43","Mala",0.066,0.076,0.108
"P43","Muy mala",0.741,0.737,0.133
"P43","No sabe",0.002,0.006,0.01
"P44","Muy buena",0.019,0.009,0.096
"P44","Buena",0.034,0.04,0.275
"P44","Ni buena ni mala",0.049,0.045,0.326
"P44","Mala",0.116,0.11,0.139
"P44","Muy mala",0.777,0.791,0.159
"P44","No sabe",0.005,0.005,0.005
"P45","Muy buena",0.061,0.058,0.548
"P45","Buena",0.013,0.013,0.143
"P45","Ni buena ni mala",0.02,0.03,0.077
"P45","Mala",0.049,0.038,0.039
"P45","Muy mala",0.845,0.858,0.174
"P45","No sabe",0.012,0.003,0.019
"P46","Muy buena",0.326,0.076,0.05
"P46","Buena",0.306,0.225,0.026
"P46","Ni buena ni mala",0.167,0.243,0.086
"P46","Mala",0.04,0.108,0.164
"P46","Muy mala",0.151,0.339,0.669
"P46","No sabe",0.01,0.009,0.005
"P47","Muy buena",0.232,0.092,0.026
"P47","Buena",0.383,0.26,0.042
"P47","Ni buena ni mala",0.247,0.243,0.144
"P47","Mala",0.05,0.146,0.22
"P47","Muy mala",0.081,0.254,0.556
"P47","No sabe",0.007,0.005,0.012
"P48","Muy buena",0.041,0.064,0.123
"P48","Buena",0.064,0.113,0.29
"P48","Ni buena ni mala",0.087,0.102,0.283
"P48","Mala",0.152,0.121,0.103
"P48","Muy mala",0.647,0.573,0.187
"P48","No sabe",0.009,0.027,0.014
"P49","Muy buena",0.488,0.316,0.021
"P49","Buena",0.245,0.229,0.081
"P49","Ni buena ni mala",0.091,0.207,0.105
"P49","Mala",0.039,0.062,0.106
"P49","Muy mala",0.131,0.165,0.669
"P49","No sabe",0.006,0.021,0.018
"P50","Muy buena",0.09,0.443,0.019
"P50","Buena",0.154,0.295,0.037
"P50","Ni buena ni mala",0.388,0.159,0.097
"P50","Mala",0.153,0.04,0.133
"P50","Muy mala",0.191,0.056,0.692
"P50","No sabe",0.024,0.007,0.022
"P51","Muy buena",0.256,0.121,0.029
"P51","Buena",0.342,0.248,0.051
"P51","Ni buena ni mala",0.214,0.246,0.085
"P51","Mala",0.075,0.119,0.127
"P51","Muy mala",0.098,0.265,0.699
"P51","No sabe",0.015,0.001,0.009
"P52","Muy buena",0.103,0.079,0.043
"P52","Buena",0.183,0.191,0.079
"P52","Ni buena ni mala",0.355,0.359,0.395
"P52","Mala",0.198,0.155,0.139
"P52","Muy mala",0.147,0.193,0.28
"P52","No sabe",0.014,0.023,0.064
"P53","Siempre",0.29,0.311,0.321
"P53","Casi siempre",0.476,0.425,0.427
"P53","Casi nunca",0.176,0.201,0.177
"P53","Nunca, pero esta es una excepción",0.058,0.063,0.075
"P54","Si",0.545,0.628,0.549
"P54","No",0.455,0.372,0.451
