"var","categoria","1","2","3","4","5","6","7","8","9"
"P37","No sabe",0.224,0.301,0.28,0.185,0.282,0.156,0.166,0.172,0.222
"P38","Sergio Massa por el Frente de Todos",0.245,0.335,0.119,0.144,0.273,0.589,0.627,0.772,0.512
"P38","Patricia Bullrich por Juntos por el Cambio",0.593,0.621,0.707,0.731,0.517,0.295,0.154,0.105,0.274
"P38","No sabe",0.162,0.044,0.174,0.125,0.21,0.116,0.219,0.123,0.214
"P39","Alberto Fernández por el Frente de Todos",0.255,0.317,0.086,0.149,0.254,0.529,0.682,0.723,0.537
"P39","Patricia Bullrich por Juntos por el Cambio",0.605,0.63,0.738,0.737,0.518,0.291,0.156,0.174,0.289
"P39","No sabe",0.14,0.053,0.176,0.114,0.228,0.18,0.162,0.103,0.174
"P40","Mauricio Macri por Juntos por el Cambio",0.425,0.298,0.511,0.453,0.345,0.323,0.163,0.135,0.202
"P40","Javier Milei por los liberales libertarios",0.294,0.374,0.287,0.354,0.293,0.009,0.075,0.095,0.15
"P40","No sabe",0.281,0.328,0.202,0.193,0.362,0.668,0.762,0.77,0.648
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.435,0.268,0.472,0.507,0.366,0.331,0.221,0.1,0.217
"P41","Javier Milei por los liberales libertarios",0.316,0.365,0.31,0.282,0.289,0.017,0.083,0.146,0.116
"P41","No sabe",0.249,0.367,0.218,0.211,0.345,0.652,0.696,0.754,0.667
"P42","Patricia Bullrich por Juntos por el Cambio",0.467,0.314,0.56,0.598,0.395,0.351,0.159,0.074,0.187
"P42","Javier Milei por los liberales libertarios",0.276,0.36,0.188,0.212,0.25,0.041,0.08,0.145,0.137
"P42","No sabe",0.257,0.326,0.252,0.19,0.355,0.608,0.761,0.781,0.676
"P43","Muy buena",0.063,0.151,0.058,0.19,0.053,0.125,0.086,0.038,0.109
"P43","Buena",0.098,0.173,0.079,0.063,0.123,0.21,0.297,0.501,0.206
"P43","Ni buena ni mala",0.15,0.136,0.034,0.067,0.146,0.262,0.29,0.164,0.315
"P43","Mala",0.055,0.021,0.118,0.066,0.101,0.071,0.181,0.166,0.075
"P43","Muy mala",0.634,0.519,0.69,0.605,0.575,0.332,0.143,0.131,0.271
"P43","No sabe",0,0,0.021,0.009,0.002,0,0.003,0,0.024
"P44","Muy buena",0.044,0.074,0.005,0.029,0.029,0.008,0.061,0.054,0.114
"P44","Buena",0.088,0.107,0.074,0.116,0.078,0.229,0.259,0.421,0.178
"P44","Ni buena ni mala",0.113,0.147,0.025,0.01,0.16,0.286,0.337,0.156,0.257
"P44","Mala",0.096,0.108,0.109,0.058,0.147,0.164,0.169,0.196,0.12
"P44","Muy mala",0.659,0.564,0.766,0.778,0.577,0.313,0.174,0.173,0.323
"P44","No sabe",0,0,0.021,0.009,0.009,0,0,0,0.008
"P45","Muy buena",0.131,0.236,0.085,0.082,0.153,0.448,0.496,0.691,0.514
"P45","Buena",0.053,0.004,0.028,0.061,0.059,0.107,0.179,0.052,0.087
"P45","Ni buena ni mala",0.038,0.087,0.027,0,0.059,0.038,0.099,0.051,0.033
"P45","Mala",0.065,0.001,0.063,0.033,0.044,0.065,0.022,0.022,0.02
"P45","Muy mala",0.702,0.672,0.797,0.805,0.663,0.342,0.204,0.184,0.321
"P45","No sabe",0.011,0,0,0.019,0.022,0,0,0,0.025
"P46","Muy buena",0.266,0.253,0.191,0.163,0.087,0.039,0.045,0.082,0.088
"P46","Buena",0.168,0.2,0.257,0.283,0.22,0.115,0.072,0.063,0.085
"P46","Ni buena ni mala",0.164,0.153,0.213,0.147,0.175,0.127,0.081,0.022,0.148
"P46","Mala",0.089,0.057,0.054,0.124,0.146,0.14,0.083,0.181,0.113
"P46","Muy mala",0.3,0.337,0.285,0.264,0.36,0.579,0.719,0.652,0.564
"P46","No sabe",0.013,0,0,0.019,0.012,0,0,0,0.002
"P47","Muy buena",0.21,0.13,0.163,0.134,0.071,0.013,0.044,0.024,0.059
"P47","Buena",0.264,0.158,0.278,0.315,0.272,0.17,0.06,0.062,0.099
"P47","Ni buena ni mala",0.173,0.168,0.246,0.262,0.308,0.171,0.173,0.074,0.136
"P47","Mala",0.153,0.146,0.054,0.123,0.121,0.182,0.191,0.131,0.18
"P47","Muy mala",0.185,0.398,0.25,0.157,0.215,0.464,0.528,0.709,0.521
"P47","No sabe",0.015,0,0.009,0.009,0.013,0,0.004,0,0.005
"P48","Muy buena",0.108,0.126,0.033,0.075,0.04,0.127,0.122,0.073,0.063
"P48","Buena",0.106,0.145,0.051,0.104,0.182,0.244,0.244,0.313,0.251
"P48","Ni buena ni mala",0.081,0.159,0.121,0.135,0.173,0.179,0.315,0.377,0.246
"P48","Mala",0.133,0.131,0.15,0.152,0.133,0.041,0.119,0.05,0.128
"P48","Muy mala",0.542,0.439,0.645,0.525,0.461,0.4,0.2,0.187,0.284
"P48","No sabe",0.03,0,0,0.009,0.011,0.009,0,0,0.028
"P49","Muy buena",0.352,0.281,0.522,0.264,0.25,0.07,0.099,0.072,0.135
"P49","Buena",0.214,0.141,0.119,0.314,0.208,0.183,0.051,0.031,0.119
"P49","Ni buena ni mala",0.162,0.121,0.073,0.124,0.171,0.093,0.1,0.111,0.051
"P49","Mala",0.095,0.026,0.028,0.093,0.074,0.131,0.038,0.08,0.061
"P49","Muy mala",0.171,0.431,0.247,0.186,0.278,0.514,0.712,0.706,0.59
"P49","No sabe",0.006,0,0.011,0.019,0.019,0.009,0,0,0.044
"P50","Muy buena",0.246,0.206,0.141,0.163,0.14,0,0.048,0.035,0.09
"P50","Buena",0.177,0.223,0.303,0.216,0.125,0.039,0.028,0.11,0.064
"P50","Ni buena ni mala",0.248,0.244,0.275,0.286,0.281,0.102,0.123,0.047,0.102
"P50","Mala",0.132,0.028,0.068,0.151,0.125,0.185,0.134,0.053,0.108
"P50","Muy mala",0.163,0.286,0.208,0.14,0.307,0.664,0.663,0.755,0.629
"P50","No sabe",0.034,0.013,0.005,0.044,0.022,0.01,0.004,0,0.007
"P51","Muy buena",0.16,0.161,0.284,0.159,0.13,0.099,0.057,0.013,0.055
"P51","Buena",0.263,0.278,0.293,0.297,0.199,0.098,0.057,0.106,0.096
"P51","Ni buena ni mala",0.187,0.14,0.105,0.204,0.252,0.12,0.111,0.051,0.111
"P51","Mala",0.097,0.043,0.075,0.096,0.115,0.153,0.126,0.087,0.138
"P51","Muy mala",0.287,0.378,0.234,0.224,0.282,0.52,0.649,0.743,0.597
"P51","No sabe",0.006,0,0.009,0.02,0.022,0.01,0,0,0.003
"P52","Muy buena",0.109,0.019,0.124,0.044,0.103,0.026,0.03,0.04,0.028
"P52","Buena",0.13,0.124,0.233,0.29,0.165,0.128,0.094,0.124,0.066
"P52","Ni buena ni mala",0.389,0.361,0.251,0.332,0.414,0.419,0.433,0.199,0.361
"P52","Mala",0.184,0.189,0.138,0.149,0.098,0.196,0.193,0.19,0.183
"P52","Muy mala",0.125,0.274,0.236,0.152,0.195,0.231,0.242,0.447,0.297
"P52","No sabe",0.063,0.033,0.018,0.033,0.025,0,0.008,0,0.065
"P53","Siempre",0.354,0.332,0.338,0.245,0.274,0.257,0.249,0.282,0.345
"P53","Casi siempre",0.408,0.402,0.433,0.494,0.442,0.536,0.529,0.513,0.397
"P53","Casi nunca",0.151,0.213,0.179,0.206,0.21,0.141,0.191,0.152,0.195
"P53","Nunca, pero esta es una excepción",0.087,0.053,0.05,0.055,0.074,0.066,0.031,0.053,0.063
"P54","Si",0.601,0.65,0.62,0.568,0.509,0.574,0.594,0.626,0.498
"P54","No",0.399,0.35,0.38,0.432,0.491,0.426,0.406,0.374,0.502
