"var","categoria","Sergio Massa","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P39","Patricia Bullrich por Juntos por el Cambio",0.023,0.919,0.41
"P39","No sabe",0.098,0.064,0.428
"P40","Mauricio Macri por Juntos por el Cambio",0.104,0.647,0.127
"P40","Javier Milei por los liberales libertarios",0.072,0.271,0.421
"P40","No sabe",0.824,0.082,0.452
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.105,0.707,0.062
"P41","Javier Milei por los liberales libertarios",0.067,0.234,0.485
"P41","No sabe",0.828,0.059,0.453
"P42","Patricia Bullrich por Juntos por el Cambio",0.04,0.752,0.159
"P42","Javier Milei por los liberales libertarios",0.084,0.194,0.418
"P42","No sabe",0.876,0.054,0.423
"P43","Muy buena",0.112,0.091,0.038
"P43","Buena",0.367,0.031,0.086
"P43","Ni buena ni mala",0.371,0.009,0.195
"P43","Mala",0.105,0.057,0.111
"P43","Muy mala",0.044,0.801,0.563
"P43","No sabe",0.001,0.011,0.007
"P44","Muy buena",0.111,0.012,0.024
"P44","Buena",0.366,0.001,0.044
"P44","Ni buena ni mala",0.341,0.016,0.17
"P44","Mala",0.136,0.092,0.164
"P44","Muy mala",0.04,0.874,0.596
"P44","No sabe",0.006,0.005,0.002
"P45","Muy buena",0.663,0.002,0.145
"P45","Buena",0.145,0.004,0.066
"P45","Ni buena ni mala",0.082,0.01,0.058
"P45","Mala",0.044,0.03,0.06
"P45","Muy mala",0.058,0.949,0.637
"P45","No sabe",0.008,0.005,0.034
"P46","Muy buena",0.064,0.267,0.066
"P46","Buena",0.022,0.321,0.111
"P46","Ni buena ni mala",0.046,0.207,0.206
"P46","Mala",0.131,0.053,0.177
"P46","Muy mala",0.732,0.147,0.424
"P46","No sabe",0.005,0.005,0.016
"P47","Muy buena",0.022,0.228,0.036
"P47","Buena",0.024,0.43,0.091
"P47","Ni buena ni mala",0.094,0.266,0.251
"P47","Mala",0.237,0.026,0.217
"P47","Muy mala",0.613,0.043,0.395
"P47","No sabe",0.01,0.007,0.01
"P48","Muy buena",0.178,0.038,0.013
"P48","Buena",0.363,0.068,0.072
"P48","Ni buena ni mala",0.305,0.064,0.174
"P48","Mala",0.068,0.15,0.161
"P48","Muy mala",0.08,0.677,0.528
"P48","No sabe",0.006,0.003,0.052
"P49","Muy buena",0.014,0.485,0.173
"P49","Buena",0.047,0.262,0.195
"P49","Ni buena ni mala",0.063,0.121,0.224
"P49","Mala",0.119,0.039,0.066
"P49","Muy mala",0.749,0.08,0.313
"P49","No sabe",0.008,0.013,0.029
"P50","Muy buena",0.016,0.18,0.273
"P50","Buena",0.015,0.23,0.16
"P50","Ni buena ni mala",0.065,0.341,0.188
"P50","Mala",0.127,0.133,0.075
"P50","Muy mala",0.767,0.1,0.265
"P50","No sabe",0.01,0.016,0.039
"P51","Muy buena",0.009,0.264,0.059
"P51","Buena",0.023,0.373,0.137
"P51","Ni buena ni mala",0.047,0.224,0.243
"P51","Mala",0.124,0.091,0.112
"P51","Muy mala",0.79,0.038,0.437
"P51","No sabe",0.007,0.01,0.012
"P52","Muy buena",0.033,0.111,0.061
"P52","Buena",0.082,0.231,0.067
"P52","Ni buena ni mala",0.393,0.341,0.399
"P52","Mala",0.167,0.18,0.123
"P52","Muy mala",0.286,0.108,0.3
"P52","No sabe",0.039,0.029,0.05
"P53","Siempre",0.349,0.295,0.27
"P53","Casi siempre",0.438,0.454,0.429
"P53","Casi nunca",0.161,0.172,0.233
"P53","Nunca, pero esta es una excepción",0.052,0.079,0.068
"P54","Si",0.557,0.576,0.564
"P54","No",0.443,0.424,0.436
