"var","categoria","Sergio Massa por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P16","Nunca lo votaría",0.123,0.931,0.898,0.49,0.607
"P16","No sabe",0.139,0.017,0.016,0.153,0.105
"P17","La votaría",0.753,0.057,0.055,0.517,0.4
"P17","Puede que la vote",0.098,0.009,0.014,0.16,0.062
"P17","Nunca la votaría",0.121,0.934,0.916,0.259,0.494
"P17","No sabe",0.028,0,0.015,0.064,0.044
"P18","Lo votaría",0.082,0.232,0.107,0.015,0.106
"P18","Puede que lo vote",0.041,0.454,0.24,0.058,0.127
"P18","Nunca lo votaría",0.844,0.279,0.623,0.883,0.602
"P18","No sabe",0.033,0.035,0.03,0.044,0.165
"P19","Lo votaría",0.041,0.12,0.06,0.098,0.122
"P19","Puede que lo vote",0.128,0.314,0.255,0.19,0.156
"P19","Nunca lo votaría",0.666,0.501,0.64,0.606,0.549
"P19","No sabe",0.165,0.065,0.045,0.106,0.173
"P20","La votaría",0.025,0.644,0.176,0.079,0.051
"P20","Puede que la vote",0.059,0.215,0.455,0.054,0.118
"P20","Nunca la votaría",0.887,0.117,0.351,0.867,0.721
"P20","No sabe",0.029,0.024,0.018,0,0.11
"P21","Lo votaría",0.012,0.16,0.726,0,0.033
"P21","Puede que lo vote",0.024,0.34,0.214,0.071,0.091
"P21","Nunca lo votaría",0.92,0.454,0.05,0.886,0.744
"P21","No sabe",0.044,0.046,0.01,0.043,0.132
"P22","La votaría",0.019,0.256,0.148,0,0.078
"P22","Puede que la vote",0.04,0.401,0.252,0.036,0.095
"P22","Nunca la votaría",0.885,0.256,0.553,0.915,0.703
"P22","No sabe",0.056,0.087,0.047,0.049,0.124
"P23","Mauricio Macri por Juntos por el Cambio",0.008,0.237,0.043,0,0.052
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.016,0.078,0.046,0.004,0.096
"P23","Patricia Bullrich por Juntos por el Cambio",0.016,0.501,0.073,0,0.028
"P23","María Eugenia Vidal por Juntos por el Cambio",0.01,0.063,0.009,0,0.044
"P23","Facundo Manes por Juntos por el Cambio",0.022,0.019,0.041,0.111,0.103
"P23","Alberto Fernández por el Frente de Todos",0.294,0.029,0.025,0.037,0.183
"P23","Sergio Massa por el Frente de Todos",0.529,0.028,0.035,0.079,0.043
"P23","Javier Milei por los liberales libertarios",0.003,0.021,0.719,0,0.029
"P23","Al candidato del Frente de Izquierda",0.018,0,0,0.731,0.031
"P23","No sabe",0.084,0.024,0.009,0.038,0.391
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.017,0.184,0.065,0.004,0.104
"P24","Mauricio Macri por Juntos por el Cambio",0.018,0.528,0.061,0,0.055
"P24","Alberto Fernández por el Frente de Todos",0.248,0.053,0.032,0.159,0.166
"P24","Sergio Massa por el Frente de Todos",0.565,0.029,0.038,0.014,0.06
"P24","Javier Milei por los liberales libertarios",0.006,0.083,0.788,0.075,0.051
"P24","Al candidato del Frente de Izquierda",0.03,0.027,0.014,0.683,0.039
"P24","No sabe",0.116,0.096,0.002,0.065,0.525
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.024,0.148,0.068,0.004,0.138
"P25","Patricia Bullrich por Juntos por el Cambio",0.025,0.715,0.058,0.05,0.012
"P25","Alberto Fernández por el Frente de Todos",0.251,0.027,0.028,0.174,0.184
"P25","Sergio Massa por el Frente de Todos",0.621,0.034,0.034,0.024,0.069
"P25","Javier Milei por los liberales libertarios",0.001,0.035,0.801,0,0.054
"P25","Al candidato del Frente de Izquierda",0.008,0.012,0.011,0.713,0.063
"P25","No sabe",0.07,0.029,0,0.035,0.48
"P26","Sergio Massa por el Frente de Todos",0.89,0.062,0.019,0.024,0.087
"P26","Mauricio Macri por Juntos por el Cambio",0.042,0.74,0.045,0.019,0.083
"P26","Javier Milei por los liberales libertarios",0.006,0.11,0.882,0,0.033
"P26","Al candidato del Frente de Izquierda",0.004,0.004,0,0.905,0.011
"P26","No sabe",0.058,0.084,0.054,0.052,0.786
"P27","Alberto Fernández por el Frente de Todos",0.787,0.059,0.035,0.168,0.224
"P27","Mauricio Macri por Juntos por el Cambio",0.039,0.764,0.064,0.018,0.085
"P27","Javier Milei por los liberales libertarios",0.001,0.097,0.863,0,0.026
"P27","Al candidato del Frente de Izquierda",0.039,0.003,0.003,0.782,0.01
"P27","No sabe",0.134,0.077,0.035,0.032,0.655
"P28","Alberto Fernández por el Frente de Todos",0.8,0.061,0.033,0.112,0.187
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.054,0.627,0.064,0.031,0.147
"P28","Javier Milei por los liberales libertarios",0.003,0.194,0.865,0.014,0.022
"P28","Al candidato del Frente de Izquierda",0.027,0.007,0,0.811,0.019
"P28","No sabe",0.116,0.111,0.038,0.032,0.625
"P29","Sergio Massa por el Frente de Todos",0.904,0.07,0.025,0.041,0.06
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.052,0.647,0.065,0.028,0.148
"P29","Javier Milei por los liberales libertarios",0.001,0.19,0.892,0.004,0.003
"P29","Al candidato del Frente de Izquierda",0.003,0,0.018,0.895,0.035
"P29","No sabe",0.04,0.093,0,0.032,0.754
"P32","Alberto Fernández por el Frente de Todos",0.769,0.104,0.016,0.067,0.182
"P32","Patricia Bullrich por Juntos por el Cambio",0.101,0.834,0.04,0.004,0.027
"P32","Javier Milei por los liberales libertarios",0.012,0.03,0.926,0.004,0.016
"P32","Al candidato del Frente de Izquierda",0.033,0.004,0,0.925,0.032
"P32","No sabe",0.085,0.028,0.018,0,0.743
"P34","Sergio Massa por el Frente de Todos",0.943,0.06,0.104,0.616,0.198
"P34","Mauricio Macri por Juntos por el Cambio",0.038,0.862,0.456,0.04,0.16
"P34","No sabe",0.019,0.078,0.44,0.344,0.642
"P35","Sergio Massa",0.949,0.063,0.095,0.601,0.204
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.044,0.829,0.382,0.068,0.169
"P35","No sabe",0.007,0.108,0.523,0.331,0.627
"P36","Alberto Fernández por el Frente de Todos",0.869,0.056,0.082,0.709,0.308
"P36","Mauricio Macri por Juntos por el Cambio",0.036,0.872,0.589,0.036,0.156
"P36","No sabe",0.095,0.072,0.329,0.255,0.536
"P37","Alberto Fernández",0.855,0.063,0.062,0.722,0.326
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.053,0.815,0.458,0.111,0.185
"P37","No sabe",0.092,0.122,0.48,0.167,0.489
"P38","Sergio Massa por el Frente de Todos",0.939,0.063,0.087,0.703,0.232
"P38","Patricia Bullrich por Juntos por el Cambio",0.045,0.918,0.589,0.048,0.145
"P38","No sabe",0.016,0.019,0.324,0.249,0.623
"P39","Alberto Fernández por el Frente de Todos",0.885,0.052,0.072,0.721,0.336
"P39","Patricia Bullrich por Juntos por el Cambio",0.024,0.935,0.652,0.012,0.172
"P39","No sabe",0.091,0.013,0.276,0.267,0.492
"P40","Mauricio Macri por Juntos por el Cambio",0.139,0.71,0.06,0.092,0.147
"P40","Javier Milei por los liberales libertarios",0.052,0.183,0.816,0.098,0.096
"P40","No sabe",0.809,0.107,0.124,0.81,0.757
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.125,0.704,0.073,0.293,0.178
"P41","Javier Milei por los liberales libertarios",0.058,0.159,0.87,0.016,0.09
"P41","No sabe",0.817,0.137,0.057,0.691,0.732
"P42","Patricia Bullrich por Juntos por el Cambio",0.068,0.856,0.038,0.147,0.12
"P42","Javier Milei por los liberales libertarios",0.072,0.056,0.897,0.098,0.084
"P42","No sabe",0.86,0.088,0.065,0.755,0.796
"P43","Muy buena",0.105,0.109,0.032,0.12,0.044
"P43","Buena",0.389,0.021,0.095,0.177,0.169
"P43","Ni buena ni mala",0.369,0.026,0.014,0.393,0.334
"P43","Mala",0.093,0.05,0.099,0.209,0.109
"P43","Muy mala",0.043,0.787,0.758,0.101,0.321
"P43","No sabe",0.001,0.007,0.002,0,0.023
"P44","Muy buena",0.107,0.021,0.031,0,0.053
"P44","Buena",0.403,0.016,0.007,0.173,0.103
"P44","Ni buena ni mala",0.351,0.02,0.026,0.362,0.286
"P44","Mala",0.104,0.076,0.139,0.374,0.18
"P44","Muy mala",0.035,0.856,0.797,0.091,0.371
"P44","No sabe",0,0.011,0,0,0.007
"P45","Muy buena",0.636,0.037,0.049,0.517,0.339
"P45","Buena",0.158,0.006,0.011,0.126,0.107
"P45","Ni buena ni mala",0.083,0.016,0.018,0.151,0.056
"P45","Mala",0.051,0.022,0.04,0.094,0.061
"P45","Muy mala",0.066,0.912,0.882,0.112,0.378
"P45","No sabe",0.006,0.007,0,0,0.059
"P46","Muy buena",0.058,0.313,0.046,0.073,0.045
"P46","Buena",0.019,0.313,0.224,0.016,0.052
"P46","Ni buena ni mala",0.047,0.165,0.282,0.137,0.154
"P46","Mala",0.162,0.054,0.142,0.061,0.131
"P46","Muy mala",0.713,0.147,0.298,0.713,0.598
"P46","No sabe",0.001,0.008,0.008,0,0.02
"P47","Muy buena",0.018,0.214,0.071,0.058,0.084
"P47","Buena",0.034,0.384,0.228,0.032,0.117
"P47","Ni buena ni mala",0.107,0.265,0.218,0.117,0.226
"P47","Mala",0.224,0.067,0.166,0.295,0.128
"P47","Muy mala",0.61,0.066,0.311,0.468,0.426
"P47","No sabe",0.007,0.004,0.006,0.03,0.019
"P48","Muy buena",0.19,0.039,0.061,0.062,0.018
"P48","Buena",0.409,0.087,0.06,0.038,0.126
"P48","Ni buena ni mala",0.275,0.075,0.059,0.43,0.292
"P48","Mala",0.041,0.136,0.178,0.228,0.147
"P48","Muy mala",0.083,0.659,0.604,0.228,0.374
"P48","No sabe",0.002,0.004,0.038,0.014,0.043
"P49","Muy buena",0.02,0.56,0.188,0,0.02
"P49","Buena",0.048,0.27,0.258,0.005,0.098
"P49","Ni buena ni mala",0.073,0.063,0.277,0.064,0.213
"P49","Mala",0.092,0.018,0.08,0.245,0.117
"P49","Muy mala",0.758,0.082,0.174,0.686,0.51
"P49","No sabe",0.009,0.007,0.023,0,0.042
"P50","Muy buena",0.007,0.137,0.5,0,0.043
"P50","Buena",0.019,0.191,0.339,0.013,0.027
"P50","Ni buena ni mala",0.082,0.383,0.091,0,0.202
"P50","Mala",0.132,0.134,0.002,0.152,0.173
"P50","Muy mala",0.75,0.133,0.064,0.835,0.502
"P50","No sabe",0.01,0.022,0.004,0,0.053
"P51","Muy buena",0.018,0.254,0.098,0,0.074
"P51","Buena",0.017,0.357,0.238,0.081,0.101
"P51","Ni buena ni mala",0.059,0.23,0.233,0.058,0.157
"P51","Mala",0.123,0.075,0.139,0.197,0.099
"P51","Muy mala",0.764,0.081,0.29,0.664,0.552
"P51","No sabe",0.019,0.003,0.002,0,0.017
"P52","Muy buena",0.033,0.092,0.058,0.039,0.114
"P52","Buena",0.099,0.201,0.144,0.087,0.077
"P52","Ni buena ni mala",0.377,0.361,0.33,0.441,0.425
"P52","Mala",0.137,0.193,0.19,0.214,0.085
"P52","Muy mala",0.31,0.127,0.247,0.219,0.226
"P52","No sabe",0.044,0.026,0.031,0,0.073
"P53","Siempre",0.395,0.303,0.263,0.154,0.264
"P53","Casi siempre",0.402,0.449,0.443,0.679,0.427
"P53","Casi nunca",0.15,0.177,0.197,0.167,0.243
"P53","Nunca, pero esta es una excepción",0.053,0.071,0.097,0,0.066
"P54","Si",0.571,0.574,0.585,0.453,0.549
"P54","No",0.429,0.426,0.415,0.547,0.451
