"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Mauricio Macri por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P15","Nunca lo votaría",0.838,0.872,0.326,0.082,0.89,0.443,0.491
"P15","No sabe",0.039,0.017,0.13,0.06,0.017,0.094,0.223
"P16","Lo votaría",0.02,0.003,0.481,0.142,0.014,0.009,0.051
"P16","Puede que lo vote",0.03,0.011,0.334,0.518,0.022,0.279,0.222
"P16","Nunca lo votaría",0.907,0.981,0.117,0.193,0.941,0.643,0.581
"P16","No sabe",0.043,0.005,0.068,0.147,0.023,0.069,0.146
"P17","La votaría",0.017,0.003,0.813,0.693,0.025,0.406,0.41
"P17","Puede que la vote",0.02,0.005,0.051,0.136,0.011,0.096,0.064
"P17","Nunca la votaría",0.96,0.992,0.133,0.141,0.956,0.44,0.468
"P17","No sabe",0.003,0,0.003,0.03,0.008,0.058,0.058
"P18","Lo votaría",0.497,0.207,0.099,0.072,0.032,0.069,0.049
"P18","Puede que lo vote",0.413,0.518,0.04,0.069,0.275,0.125,0.128
"P18","Nunca lo votaría",0.067,0.255,0.813,0.816,0.626,0.753,0.656
"P18","No sabe",0.023,0.02,0.048,0.043,0.067,0.053,0.167
"P19","Lo votaría",0.297,0.109,0.016,0.06,0.027,0.041,0.095
"P19","Puede que lo vote",0.307,0.284,0.083,0.141,0.25,0.167,0.168
"P19","Nunca lo votaría",0.313,0.545,0.793,0.637,0.647,0.624,0.518
"P19","No sabe",0.083,0.062,0.108,0.162,0.076,0.168,0.219
"P20","La votaría",0.398,0.683,0.057,0.039,0.235,0.174,0.1
"P20","Puede que la vote",0.318,0.214,0.072,0.036,0.413,0.054,0.127
"P20","Nunca la votaría",0.24,0.081,0.836,0.904,0.303,0.698,0.645
"P20","No sabe",0.044,0.022,0.035,0.021,0.049,0.074,0.128
"P21","Lo votaría",0.077,0.148,0.022,0.05,0.696,0.099,0.048
"P21","Puede que lo vote",0.316,0.352,0.065,0.036,0.219,0.114,0.094
"P21","Nunca lo votaría",0.546,0.447,0.87,0.876,0.077,0.698,0.701
"P21","No sabe",0.061,0.053,0.043,0.038,0.008,0.089,0.157
"P22","La votaría",0.291,0.244,0.029,0.047,0.127,0.052,0.065
"P22","Puede que la vote",0.427,0.421,0.057,0.019,0.25,0.111,0.083
"P22","Nunca la votaría",0.196,0.265,0.853,0.869,0.573,0.787,0.667
"P22","No sabe",0.086,0.07,0.061,0.065,0.05,0.05,0.185
"P23","Mauricio Macri por Juntos por el Cambio",0.1,0.379,0.004,0,0.004,0.167,0.007
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.45,0.023,0.008,0.002,0.005,0,0.048
"P23","Patricia Bullrich por Juntos por el Cambio",0.28,0.511,0.069,0.005,0.135,0.064,0.114
"P23","María Eugenia Vidal por Juntos por el Cambio",0.065,0.041,0.008,0.028,0.024,0,0.025
"P23","Facundo Manes por Juntos por el Cambio",0.065,0.016,0.012,0.024,0.035,0.07,0.084
"P23","Alberto Fernández por el Frente de Todos",0.004,0.009,0.74,0.078,0.001,0.07,0.057
"P23","Sergio Massa por el Frente de Todos",0.006,0,0.086,0.796,0.02,0,0.093
"P23","Javier Milei por los liberales libertarios",0.009,0.014,0,0.014,0.739,0.02,0.002
"P23","Al candidato del Frente de Izquierda",0,0,0.028,0.01,0.009,0.577,0.021
"P23","No sabe",0.021,0.007,0.045,0.043,0.028,0.032,0.549
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.623,0.096,0.005,0.004,0.014,0.011,0.044
"P25","Patricia Bullrich por Juntos por el Cambio",0.31,0.818,0.089,0.015,0.121,0.036,0.125
"P25","Alberto Fernández por el Frente de Todos",0.04,0.004,0.797,0.06,0.011,0.067,0.039
"P25","Sergio Massa por el Frente de Todos",0.009,0.005,0.087,0.883,0.007,0.036,0.119
"P25","Javier Milei por los liberales libertarios",0.011,0.028,0,0.011,0.834,0.07,0.005
"P25","Al candidato del Frente de Izquierda",0.007,0.006,0.002,0,0.011,0.771,0.025
"P25","No sabe",0,0.043,0.02,0.027,0.002,0.009,0.643
"P26","Sergio Massa por el Frente de Todos",0.048,0.008,0.614,0.872,0.014,0.125,0.182
"P26","Mauricio Macri por Juntos por el Cambio",0.591,0.889,0.108,0.027,0.028,0.15,0.102
"P26","Javier Milei por los liberales libertarios",0.095,0.069,0.026,0.029,0.891,0.044,0.026
"P26","Al candidato del Frente de Izquierda",0.005,0.001,0.065,0.005,0.011,0.575,0.024
"P26","No sabe",0.261,0.033,0.187,0.067,0.056,0.106,0.666
"P27","Alberto Fernández por el Frente de Todos",0.048,0.008,0.848,0.705,0.023,0.15,0.199
"P27","Mauricio Macri por Juntos por el Cambio",0.676,0.91,0.079,0.023,0.038,0.15,0.094
"P27","Javier Milei por los liberales libertarios",0.094,0.051,0.014,0.05,0.864,0.043,0.011
"P27","Al candidato del Frente de Izquierda",0.002,0,0.024,0.044,0.02,0.56,0.03
"P27","No sabe",0.18,0.031,0.035,0.178,0.055,0.097,0.666
"P28","Alberto Fernández por el Frente de Todos",0.021,0.005,0.805,0.724,0.021,0.114,0.2
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.877,0.659,0.058,0.038,0.022,0.095,0.122
"P28","Javier Milei por los liberales libertarios",0.048,0.196,0.032,0.053,0.874,0.097,0.011
"P28","Al candidato del Frente de Izquierda",0.002,0.007,0.021,0.029,0.011,0.601,0.029
"P28","No sabe",0.052,0.133,0.084,0.156,0.072,0.093,0.638
"P29","Sergio Massa por el Frente de Todos",0.016,0.014,0.599,0.871,0.017,0.162,0.213
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.873,0.703,0.084,0.013,0.04,0.101,0.122
"P29","Javier Milei por los liberales libertarios",0.039,0.2,0.039,0.039,0.876,0.095,0.012
"P29","Al candidato del Frente de Izquierda",0,0,0.075,0.003,0.03,0.571,0.017
"P29","No sabe",0.072,0.083,0.203,0.074,0.037,0.071,0.636
"P30","Sergio Massa por el Frente de Todos",0.047,0.022,0.52,0.843,0.009,0.135,0.194
"P30","Patricia Bullrich por Juntos por el Cambio",0.66,0.885,0.15,0.058,0.165,0.164,0.216
"P30","Javier Milei por los liberales libertarios",0.111,0.049,0.044,0.037,0.757,0.042,0.002
"P30","Al candidato del Frente de Izquierda",0.002,0,0.06,0.004,0.02,0.547,0.019
"P30","No sabe",0.18,0.044,0.226,0.058,0.049,0.112,0.569
"P32","Alberto Fernández por el Frente de Todos",0.05,0.057,0.742,0.675,0.03,0.264,0.165
"P32","Patricia Bullrich por Juntos por el Cambio",0.654,0.853,0.131,0.095,0.141,0.06,0.184
"P32","Javier Milei por los liberales libertarios",0.14,0.044,0.012,0.048,0.777,0.045,0.012
"P32","Al candidato del Frente de Izquierda",0,0,0.042,0.041,0.019,0.623,0.048
"P32","No sabe",0.156,0.046,0.073,0.141,0.033,0.008,0.591
"P34","Sergio Massa por el Frente de Todos",0.045,0.011,0.712,0.948,0.055,0.555,0.316
"P34","Mauricio Macri por Juntos por el Cambio",0.784,0.981,0.109,0.017,0.484,0.151,0.151
"P34","No sabe",0.171,0.008,0.179,0.035,0.461,0.294,0.533
"P35","Sergio Massa",0.012,0.019,0.717,0.96,0.053,0.591,0.312
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.945,0.873,0.113,0.015,0.375,0.154,0.186
"P35","No sabe",0.043,0.108,0.17,0.025,0.572,0.255,0.502
"P36","Alberto Fernández por el Frente de Todos",0.013,0.001,0.868,0.802,0.055,0.66,0.333
"P36","Mauricio Macri por Juntos por el Cambio",0.782,0.974,0.087,0.042,0.617,0.132,0.166
"P36","No sabe",0.205,0.025,0.045,0.156,0.328,0.208,0.501
"P37","Alberto Fernández",0.01,0.004,0.863,0.806,0.056,0.721,0.292
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.944,0.884,0.089,0.057,0.456,0.119,0.174
"P37","No sabe",0.046,0.112,0.048,0.137,0.488,0.16,0.534
"P38","Sergio Massa por el Frente de Todos",0.023,0.002,0.691,0.946,0.05,0.706,0.349
"P38","Patricia Bullrich por Juntos por el Cambio",0.809,0.952,0.154,0.015,0.654,0.082,0.255
"P38","No sabe",0.168,0.046,0.155,0.039,0.296,0.212,0.396
"P39","Alberto Fernández por el Frente de Todos",0.01,0.006,0.859,0.844,0.031,0.664,0.344
"P39","Patricia Bullrich por Juntos por el Cambio",0.842,0.97,0.134,0.021,0.703,0.133,0.234
"P39","No sabe",0.148,0.024,0.007,0.135,0.266,0.203,0.422
"P40","Mauricio Macri por Juntos por el Cambio",0.689,0.81,0.112,0.096,0.08,0.148,0.208
"P40","Javier Milei por los liberales libertarios",0.17,0.167,0.111,0.095,0.791,0.111,0.067
"P40","No sabe",0.141,0.023,0.777,0.809,0.129,0.741,0.725
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.905,0.743,0.17,0.081,0.089,0.218,0.172
"P41","Javier Milei por los liberales libertarios",0.043,0.181,0.048,0.106,0.862,0.087,0.075
"P41","No sabe",0.052,0.076,0.782,0.813,0.049,0.695,0.753
"P42","Patricia Bullrich por Juntos por el Cambio",0.718,0.917,0.119,0.054,0.129,0.119,0.225
"P42","Javier Milei por los liberales libertarios",0.166,0.059,0.044,0.117,0.8,0.084,0.067
"P42","No sabe",0.116,0.024,0.837,0.829,0.071,0.797,0.708
"P43","Muy buena",0.073,0.118,0.181,0.09,0.019,0.1,0.033
"P43","Buena",0.018,0.012,0.419,0.363,0.08,0.113,0.128
"P43","Ni buena ni mala",0.004,0.004,0.239,0.387,0.026,0.437,0.349
"P43","Mala",0.141,0.037,0.021,0.116,0.073,0.189,0.12
"P43","Muy mala",0.731,0.829,0.13,0.043,0.8,0.161,0.36
"P43","No sabe",0.033,0,0.01,0.001,0.002,0,0.01
"P44","Muy buena",0.012,0.02,0.233,0.074,0,0.009,0.009
"P44","Buena",0.006,0.002,0.432,0.353,0.003,0.109,0.084
"P44","Ni buena ni mala",0.014,0.006,0.17,0.413,0.032,0.303,0.31
"P44","Mala",0.146,0.068,0.035,0.105,0.129,0.396,0.193
"P44","Muy mala",0.813,0.904,0.12,0.048,0.836,0.183,0.393
"P44","No sabe",0.009,0,0.01,0.007,0,0,0.011
"P45","Muy buena",0.003,0.003,0.603,0.611,0.021,0.482,0.354
"P45","Buena",0.006,0.001,0.16,0.163,0.026,0.069,0.066
"P45","Ni buena ni mala",0.006,0.011,0.035,0.109,0.013,0.146,0.063
"P45","Mala",0.057,0.024,0.016,0.056,0.037,0.115,0.042
"P45","Muy mala",0.918,0.938,0.159,0.061,0.903,0.188,0.448
"P45","No sabe",0.01,0.023,0.027,0,0,0,0.027
"P46","Muy buena",0.138,0.435,0.041,0.069,0.056,0.096,0.025
"P46","Buena",0.258,0.355,0.039,0.03,0.25,0.036,0.034
"P46","Ni buena ni mala",0.36,0.089,0.078,0.043,0.261,0.057,0.206
"P46","Mala",0.07,0.006,0.183,0.148,0.152,0.095,0.144
"P46","Muy mala",0.164,0.111,0.659,0.708,0.273,0.716,0.563
"P46","No sabe",0.01,0.004,0,0.002,0.008,0,0.028
"P47","Muy buena",0.378,0.247,0.011,0.034,0.033,0.068,0
"P47","Buena",0.514,0.369,0.04,0.022,0.229,0.079,0.145
"P47","Ni buena ni mala",0.075,0.307,0.177,0.124,0.252,0.069,0.237
"P47","Mala",0.009,0.038,0.269,0.233,0.168,0.224,0.132
"P47","Muy mala",0.024,0.037,0.494,0.587,0.303,0.56,0.453
"P47","No sabe",0,0.002,0.009,0,0.015,0,0.033
"P48","Muy buena",0.048,0.044,0.089,0.242,0.004,0.067,0.042
"P48","Buena",0.061,0.053,0.27,0.444,0.064,0.107,0.149
"P48","Ni buena ni mala",0.052,0.083,0.349,0.197,0.068,0.359,0.295
"P48","Mala",0.171,0.142,0.061,0.046,0.149,0.223,0.151
"P48","Muy mala",0.658,0.678,0.203,0.069,0.678,0.232,0.335
"P48","No sabe",0.01,0,0.028,0.002,0.037,0.012,0.028
"P49","Muy buena",0.334,0.613,0.037,0.025,0.285,0.096,0.076
"P49","Buena",0.261,0.233,0.124,0.049,0.264,0.03,0.146
"P49","Ni buena ni mala",0.181,0.051,0.084,0.075,0.259,0.03,0.175
"P49","Mala",0.051,0.029,0.114,0.109,0.057,0.153,0.067
"P49","Muy mala",0.118,0.074,0.641,0.731,0.113,0.691,0.51
"P49","No sabe",0.055,0,0,0.011,0.022,0,0.026
"P50","Muy buena",0.074,0.117,0.051,0.022,0.538,0.09,0.005
"P50","Buena",0.173,0.22,0.027,0.029,0.29,0.018,0.073
"P50","Ni buena ni mala",0.287,0.427,0.087,0.094,0.108,0.021,0.255
"P50","Mala",0.216,0.121,0.167,0.131,0.016,0.061,0.128
"P50","Muy mala",0.226,0.091,0.629,0.721,0.048,0.81,0.493
"P50","No sabe",0.024,0.024,0.039,0.003,0,0,0.046
"P51","Muy buena",0.349,0.291,0.021,0.01,0.094,0.012,0.03
"P51","Buena",0.304,0.377,0.038,0.025,0.231,0.166,0.155
"P51","Ni buena ni mala",0.228,0.226,0.047,0.064,0.265,0.057,0.183
"P51","Mala",0.064,0.061,0.136,0.14,0.163,0.104,0.077
"P51","Muy mala",0.048,0.045,0.729,0.758,0.245,0.661,0.526
"P51","No sabe",0.007,0,0.029,0.003,0.002,0,0.029
"P52","Muy buena",0.168,0.08,0.031,0.039,0.076,0.004,0.088
"P52","Buena",0.224,0.208,0.052,0.106,0.138,0.144,0.093
"P52","Ni buena ni mala",0.376,0.306,0.499,0.381,0.35,0.297,0.417
"P52","Mala",0.134,0.233,0.103,0.136,0.151,0.299,0.12
"P52","Muy mala",0.043,0.153,0.275,0.305,0.254,0.256,0.203
"P52","No sabe",0.055,0.02,0.04,0.033,0.031,0,0.079
"P53","Siempre",0.272,0.34,0.395,0.356,0.271,0.244,0.211
"P53","Casi siempre",0.545,0.46,0.334,0.435,0.434,0.513,0.429
"P53","Casi nunca",0.105,0.149,0.223,0.137,0.223,0.233,0.252
"P53","Nunca, pero esta es una excepción",0.078,0.051,0.048,0.072,0.072,0.01,0.108
"P54","Si",0.618,0.567,0.662,0.521,0.624,0.372,0.497
"P54","No",0.382,0.433,0.338,0.479,0.376,0.628,0.503
