"var","categoria","Alberto Fernández por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","No sabe"
"P12","A Mauricio Macri",0.162,0.334,0.085
"P12","A Patricia Bullrich",0,0.43,0
"P12","A Facundo Manes",0.509,0.027,0.253
"P12","A Gerardo Morales",0,0.027,0.055
"P13","Seguro lo votaria",0,0.087,0.1
"P13","Quizás lo votaría",0.254,0.39,0.198
"P13","Nunca lo votaría",0.746,0.523,0.702
"P14","Lo votaría",0.009,0.423,0.037
"P14","Puede que lo vote",0.036,0.325,0.091
"P14","Nunca lo votaría",0.88,0.188,0.684
"P14","No sabe",0.075,0.064,0.188
"P15","Lo votaría",0.284,0.07,0.077
"P15","Puede que lo vote",0.416,0.042,0.192
"P15","Nunca lo votaría",0.209,0.876,0.593
"P15","No sabe",0.091,0.012,0.138
"P16","Lo votaría",0.208,0.003,0.014
"P16","Puede que lo vote",0.552,0.007,0.09
"P16","Nunca lo votaría",0.11,0.985,0.752
"P16","No sabe",0.13,0.005,0.144
"P17","La votaría",0.806,0.006,0.195
"P17","Puede que la vote",0.101,0.002,0.076
"P17","Nunca la votaría",0.078,0.991,0.664
"P17","No sabe",0.015,0.001,0.065
"P18","Lo votaría",0.079,0.211,0.084
"P18","Puede que lo vote",0.031,0.421,0.138
"P18","Nunca lo votaría",0.857,0.337,0.672
"P18","No sabe",0.033,0.031,0.106
"P19","Lo votaría",0.023,0.127,0.099
"P19","Puede que lo vote",0.113,0.311,0.229
"P19","Nunca lo votaría",0.73,0.514,0.517
"P19","No sabe",0.134,0.048,0.155
"P20","La votaría",0.015,0.569,0.03
"P20","Puede que la vote",0.028,0.324,0.167
"P20","Nunca la votaría",0.944,0.083,0.741
"P20","No sabe",0.013,0.024,0.062
"P21","Lo votaría",0.02,0.302,0.178
"P21","Puede que lo vote",0.026,0.299,0.152
"P21","Nunca lo votaría",0.931,0.356,0.563
"P21","No sabe",0.023,0.043,0.107
"P22","La votaría",0.02,0.223,0.101
"P22","Puede que la vote",0.012,0.395,0.108
"P22","Nunca la votaría",0.921,0.304,0.696
"P22","No sabe",0.047,0.078,0.095
"P23","Mauricio Macri por Juntos por el Cambio",0.003,0.206,0.022
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.005,0.09,0.072
"P23","Patricia Bullrich por Juntos por el Cambio",0.005,0.412,0.021
"P23","María Eugenia Vidal por Juntos por el Cambio",0.002,0.055,0.028
"P23","Facundo Manes por Juntos por el Cambio",0.022,0.029,0.116
"P23","Alberto Fernández por el Frente de Todos",0.326,0.009,0.021
"P23","Sergio Massa por el Frente de Todos",0.434,0.004,0.125
"P23","Javier Milei por los liberales libertarios",0.001,0.181,0.233
"P23","Al candidato del Frente de Izquierda",0.08,0,0.097
"P23","No sabe",0.122,0.014,0.265
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.003,0.17,0.088
"P24","Mauricio Macri por Juntos por el Cambio",0.004,0.454,0.032
"P24","Alberto Fernández por el Frente de Todos",0.297,0.034,0.006
"P24","Sergio Massa por el Frente de Todos",0.447,0.008,0.157
"P24","Javier Milei por los liberales libertarios",0.015,0.25,0.281
"P24","Al candidato del Frente de Izquierda",0.097,0.014,0.065
"P24","No sabe",0.137,0.07,0.371
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.004,0.157,0.095
"P25","Patricia Bullrich por Juntos por el Cambio",0.011,0.576,0.027
"P25","Alberto Fernández por el Frente de Todos",0.309,0.011,0
"P25","Sergio Massa por el Frente de Todos",0.489,0.003,0.192
"P25","Javier Milei por los liberales libertarios",0.007,0.215,0.263
"P25","Al candidato del Frente de Izquierda",0.076,0.003,0.102
"P25","No sabe",0.104,0.035,0.321
"P26","Sergio Massa por el Frente de Todos",0.717,0.01,0.171
"P26","Mauricio Macri por Juntos por el Cambio",0.02,0.603,0.057
"P26","Javier Milei por los liberales libertarios",0.021,0.286,0.298
"P26","Al candidato del Frente de Izquierda",0.091,0.004,0.077
"P26","No sabe",0.151,0.097,0.397
"P27","Alberto Fernández por el Frente de Todos",0.758,0.016,0.054
"P27","Mauricio Macri por Juntos por el Cambio",0.014,0.634,0.059
"P27","Javier Milei por los liberales libertarios",0.021,0.282,0.269
"P27","Al candidato del Frente de Izquierda",0.092,0.003,0.115
"P27","No sabe",0.115,0.065,0.503
"P28","Alberto Fernández por el Frente de Todos",0.753,0.002,0.044
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.013,0.536,0.129
"P28","Javier Milei por los liberales libertarios",0.025,0.356,0.269
"P28","Al candidato del Frente de Izquierda",0.088,0.006,0.103
"P28","No sabe",0.121,0.1,0.455
"P29","Sergio Massa por el Frente de Todos",0.73,0.007,0.145
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.563,0.081
"P29","Javier Milei por los liberales libertarios",0.026,0.345,0.267
"P29","Al candidato del Frente de Izquierda",0.094,0.007,0.087
"P29","No sabe",0.131,0.078,0.42
"P30","Sergio Massa por el Frente de Todos",0.678,0.014,0.152
"P30","Patricia Bullrich por Juntos por el Cambio",0.053,0.707,0.029
"P30","Javier Milei por los liberales libertarios",0.033,0.224,0.281
"P30","Al candidato del Frente de Izquierda",0.093,0.001,0.076
"P30","No sabe",0.143,0.054,0.462
"P32","Alberto Fernández por el Frente de Todos",0.709,0.044,0.034
"P32","Patricia Bullrich por Juntos por el Cambio",0.06,0.679,0.021
"P32","Javier Milei por los liberales libertarios",0.024,0.233,0.289
"P32","Al candidato del Frente de Izquierda",0.107,0,0.132
"P32","No sabe",0.1,0.044,0.524
"P34","Sergio Massa por el Frente de Todos",0.868,0.02,0.215
"P34","Mauricio Macri por Juntos por el Cambio",0.02,0.854,0.1
"P34","No sabe",0.112,0.126,0.685
"P35","Sergio Massa",0.873,0.017,0.215
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.782,0.161
"P35","No sabe",0.108,0.201,0.624
"P36","Alberto Fernández por el Frente de Todos",0.943,0.009,0.055
"P36","Mauricio Macri por Juntos por el Cambio",0.02,0.881,0.133
"P36","No sabe",0.037,0.11,0.812
"P37","Alberto Fernández",0.93,0.013,0.068
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.033,0.801,0.189
"P37","No sabe",0.037,0.186,0.743
"P38","Sergio Massa por el Frente de Todos",0.909,0.013,0.178
"P38","Patricia Bullrich por Juntos por el Cambio",0.017,0.955,0.041
"P38","No sabe",0.074,0.032,0.781
"P40","Mauricio Macri por Juntos por el Cambio",0.115,0.582,0.068
"P40","Javier Milei por los liberales libertarios",0.064,0.349,0.274
"P40","No sabe",0.821,0.069,0.658
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.104,0.586,0.135
"P41","Javier Milei por los liberales libertarios",0.061,0.326,0.335
"P41","No sabe",0.835,0.088,0.53
"P42","Patricia Bullrich por Juntos por el Cambio",0.041,0.697,0.054
"P42","Javier Milei por los liberales libertarios",0.077,0.252,0.36
"P42","No sabe",0.882,0.051,0.586
"P43","Muy buena",0.117,0.081,0.035
"P43","Buena",0.388,0.019,0.101
"P43","Ni buena ni mala",0.387,0.006,0.253
"P43","Mala",0.079,0.066,0.164
"P43","Muy mala",0.027,0.825,0.422
"P43","No sabe",0.002,0.003,0.025
"P44","Muy buena",0.125,0.01,0.006
"P44","Buena",0.371,0.002,0.047
"P44","Ni buena ni mala",0.352,0.007,0.239
"P44","Mala",0.134,0.083,0.225
"P44","Muy mala",0.016,0.893,0.469
"P44","No sabe",0.002,0.005,0.014
"P45","Muy buena",0.663,0.004,0.208
"P45","Buena",0.163,0.004,0.057
"P45","Ni buena ni mala",0.082,0.004,0.098
"P45","Mala",0.037,0.031,0.084
"P45","Muy mala",0.041,0.947,0.535
"P45","No sabe",0.014,0.01,0.018
"P46","Muy buena",0.067,0.251,0.017
"P46","Buena",0.016,0.318,0.034
"P46","Ni buena ni mala",0.052,0.204,0.199
"P46","Mala",0.142,0.072,0.153
"P46","Muy mala",0.72,0.15,0.573
"P46","No sabe",0.003,0.005,0.024
"P47","Muy buena",0.029,0.184,0.063
"P47","Buena",0.017,0.375,0.114
"P47","Ni buena ni mala",0.109,0.263,0.218
"P47","Mala",0.24,0.08,0.14
"P47","Muy mala",0.599,0.096,0.431
"P47","No sabe",0.006,0.002,0.034
"P48","Muy buena",0.17,0.031,0.042
"P48","Buena",0.323,0.055,0.201
"P48","Ni buena ni mala",0.318,0.063,0.2
"P48","Mala",0.069,0.149,0.166
"P48","Muy mala",0.105,0.694,0.351
"P48","No sabe",0.015,0.008,0.04
"P49","Muy buena",0.009,0.492,0.013
"P49","Buena",0.047,0.288,0.081
"P49","Ni buena ni mala",0.069,0.127,0.238
"P49","Mala",0.109,0.023,0.15
"P49","Muy mala",0.76,0.067,0.449
"P49","No sabe",0.006,0.003,0.069
"P50","Muy buena",0.014,0.239,0.137
"P50","Buena",0.014,0.233,0.116
"P50","Ni buena ni mala",0.055,0.318,0.204
"P50","Mala",0.13,0.107,0.121
"P50","Muy mala",0.766,0.089,0.391
"P50","No sabe",0.021,0.014,0.031
"P51","Muy buena",0.008,0.225,0.08
"P51","Buena",0.018,0.352,0.1
"P51","Ni buena ni mala",0.033,0.248,0.205
"P51","Mala",0.129,0.101,0.084
"P51","Muy mala",0.798,0.073,0.508
"P51","No sabe",0.014,0.001,0.023
"P52","Muy buena",0.018,0.098,0.106
"P52","Buena",0.085,0.19,0.109
"P52","Ni buena ni mala",0.406,0.347,0.382
"P52","Mala",0.15,0.196,0.085
"P52","Muy mala",0.303,0.148,0.232
"P52","No sabe",0.038,0.021,0.086
"P53","Siempre",0.365,0.298,0.219
"P53","Casi siempre",0.399,0.455,0.498
"P53","Casi nunca",0.18,0.183,0.185
"P53","Nunca, pero esta es una excepción",0.056,0.064,0.098
"P54","Si",0.563,0.596,0.48
"P54","No",0.437,0.404,0.52
