"var","categoria","Unión por la Patria","Juntos por el Cambio","Juntos Somos Río Negro","Liberales","Izquierda","Otro","No sabe"
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0.01,0.007,0.014,0.001,0.308,0.018,0.016
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0.012,0.009,0.003,0.003,0.04,0.182,0.027
"PRESIDENTE","En blanco",0.031,0.023,0.097,0,0.012,0.032,0.049
"PRESIDENTE","No sabe",0.002,0.021,0.065,0.007,0.157,0.116,0.336
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.802,0.319,0.128,0.04,0.229,0.237,0.293
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.016,0.315,0.065,0.076,0.285,0.018,0.02
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.083,0.199,0.621,0.116,0.266,0.168,0.101
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.074,0.08,0.12,0.492,0.151,0.266,0.309
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.004,0.018,0.061,0.017,0.018,0,0
"DIPUTADOS","En blanco",0.014,0,0,0.054,0.033,0.193,0.036
"DIPUTADOS","No sabe",0.007,0.069,0.005,0.205,0.018,0.118,0.241
