"var","categoria","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente y Martín Soria a Diputado Nacional por Unión por la Patria","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente y Sergio Capozzi a Diputado Nacional por Juntos por el Cambio","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro","Javier Milei a Presidente, Victoria Villarruel a Vicepresidente y Lorena Villaverde a Diputada Nacional por la Libertad Avanza","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente y Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente","En blanco","No sabe"
"P29","Lo votaría",0.951,0.054,0.346,0.043,0.463,0.423,0,0.261
"P29","Puede que lo vote",0.016,0.182,0.199,0.111,0.372,0.065,0.294,0.497
"P29","Nunca lo votaría",0.004,0.692,0.374,0.774,0.02,0.512,0.361,0.173
"P29","No sabe",0.029,0.072,0.081,0.072,0.145,0,0.345,0.069
"P30","Lo votaría",0.072,0.675,0.373,0.077,0,0.731,0,0
"P30","Puede que lo vote",0.018,0.06,0.219,0.342,0.422,0,0,0.219
"P30","Nunca lo votaría",0.837,0.235,0.35,0.42,0.123,0.269,0.646,0.599
"P30","No sabe",0.073,0.03,0.058,0.161,0.455,0,0.354,0.182
"P31","Lo votaría",0.04,0.152,0.29,0.058,0.29,0.726,0,0
"P31","Puede que lo vote",0.145,0.199,0.319,0.201,0.585,0,0,0.034
"P31","Nunca lo votaría",0.674,0.514,0.241,0.478,0.125,0.274,0.643,0.81
"P31","No sabe",0.141,0.135,0.15,0.263,0,0,0.357,0.156
"P32","Lo votaría",0.014,0.197,0.207,0.892,0.437,0.884,0.337,0
"P32","Puede que lo vote",0.039,0.287,0.418,0.055,0,0,0,0.395
"P32","Nunca lo votaría",0.869,0.413,0.339,0.024,0.563,0.116,0.306,0.472
"P32","No sabe",0.078,0.103,0.036,0.029,0,0,0.357,0.133
"P33","Lo votaría",0.062,0.12,0.02,0.059,1,0.796,0,0
"P33","Puede que lo vote",0.242,0.17,0.244,0.07,0,0.119,0,0.127
"P33","Nunca lo votaría",0.579,0.62,0.536,0.766,0,0.085,0.643,0.738
"P33","No sabe",0.117,0.09,0.2,0.105,0,0,0.357,0.135
"P34","Si",0.411,0.435,0.379,0.323,0,0.922,0,0.464
"P34","No",0.589,0.565,0.621,0.677,1,0.078,1,0.536
"PRESIDENTE","Sergio Massa a Presidente, Agustín Rossi a Vicepresidente por Unión por la Patria",1,0,0.227,0,0,0,0,0
"PRESIDENTE","Patricia Bullrich a Presidente, Luis Petri a Vicepresidente por Juntos por el Cambio",0,1,0.26,0,0,0,0,0
"PRESIDENTE","Javier Milei a Presidente, Victoria Villarruel a Vicepresident por la Libertad Avanza",0,0,0.132,1,0,0,0,0
"PRESIDENTE","Myriam Bregman a Presidente, Nicolas del Caño a Vicepresidente por el Frente de Izquierda",0,0,0.016,0,1,0,0,0
"PRESIDENTE","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente",0,0,0.006,0,0,1,0,0
"PRESIDENTE","En blanco",0,0,0.314,0,0,0,1,0
"PRESIDENTE","No sabe",0,0,0.045,0,0,0,0,1
"DIPUTADOS","Martín Soria a Diputado Nacional por Unión por la Patria",0.971,0.059,0,0.035,0,0.434,0,0
"DIPUTADOS","Sergio Capozzi a Diputado Nacional por Juntos por el Cambio",0.001,0.711,0,0.071,0.278,0,0,0
"DIPUTADOS","Luis Di Giacomo a Diputado Nacional por Juntos somos Rio Negro",0.02,0.041,1,0.109,0,0,0,0.101
"DIPUTADOS","Lorena Villaverde a Diputada Nacional por la Libertad Avanza",0.001,0.098,0,0.516,0,0.419,0,0
"DIPUTADOS","Alhue Gavuzzo a Diputada Nacional por el Frente de Izquierda",0.001,0,0,0.028,0.722,0,0,0
"DIPUTADOS","En blanco",0,0.008,0,0.066,0,0.11,1,0
"DIPUTADOS","No sabe",0.006,0.083,0,0.175,0,0.037,0,0.899
