"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P50","Buena",0.15,0.315,0.028
"P50","Ni buena ni mala",0.357,0.165,0.111
"P50","Mala",0.186,0.008,0.123
"P50","Muy mala",0.184,0.043,0.712
"P50","No sabe",0.024,0.008,0.022
"P51","Muy buena",0.258,0.114,0.026
"P51","Buena",0.335,0.246,0.053
"P51","Ni buena ni mala",0.205,0.258,0.083
"P51","Mala",0.101,0.114,0.11
"P51","Muy mala",0.086,0.264,0.721
"P51","No sabe",0.015,0.004,0.007
"P52","Muy buena",0.113,0.062,0.043
"P52","Buena",0.209,0.176,0.065
"P52","Ni buena ni mala",0.363,0.326,0.407
"P52","Mala",0.182,0.15,0.153
"P52","Muy mala",0.101,0.26,0.284
"P52","No sabe",0.032,0.026,0.048
"P53","Siempre",0.295,0.322,0.311
"P53","Casi siempre",0.486,0.406,0.428
"P53","Casi nunca",0.159,0.199,0.192
"P53","Nunca, pero esta es una excepción",0.06,0.073,0.069
"P54","Si",0.565,0.613,0.543
"P54","No",0.435,0.387,0.457
