"var","categoria","Mauricio Macri por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","María Eugenia Vidal por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P11","A algún candidato del peronismo",0.813,0.282,0.616,0.226,0.109,0.089,0.087,0.129,0.106,0.092
"P11","A Cristina Fernández de Kirchner",0,0.118,0.064,0.631,0.776,0.58,0.599,0.742,0.894,0.893
"P12","A Horacio Rodriguez Larreta",0.09,0.718,0.089,0.373,0.073,0.136,0.103,0,0,0.242
"P12","A Mauricio Macri",0.793,0.153,0.123,0.206,0.055,0.414,0.24,0.055,0,0.093
"P12","A Patricia Bullrich",0.061,0.041,0.781,0.397,0.024,0.115,0.126,0.897,0,0.293
"P12","A Facundo Manes",0.024,0.055,0,0.014,0.766,0.153,0.405,0.048,0,0.069
"P12","A Gerardo Morales",0.032,0.033,0.007,0.01,0.082,0.182,0.126,0,0,0.303
"P13","Seguro lo votaria",0.115,0.115,0.082,0.164,0.253,0.182,0,0.174,0,0
"P13","Quizás lo votaría",0.405,0.32,0.41,0.313,0.137,0.114,0.408,0.041,0,0.601
"P13","Nunca lo votaría",0.48,0.565,0.508,0.523,0.61,0.704,0.592,0.785,0,0.399
"P14","Lo votaría",0.795,0.227,0.43,0.368,0.066,0.06,0.009,0.066,0,0.018
"P14","Puede que lo vote",0.103,0.334,0.383,0.387,0.247,0.031,0.051,0.319,0,0.057
"P14","Nunca lo votaría",0.097,0.215,0.127,0.109,0.56,0.866,0.875,0.485,0.919,0.723
"P14","No sabe",0.005,0.224,0.06,0.136,0.127,0.043,0.065,0.13,0.081,0.202
"P15","Lo votaría",0.13,0.034,0.078,0.081,0.044,0.273,0.462,0.015,0.043,0.029
"P15","Puede que lo vote",0.021,0.151,0.044,0.216,0.279,0.327,0.387,0.043,0.264,0.271
"P15","Nunca lo votaría",0.844,0.736,0.835,0.614,0.592,0.242,0.103,0.928,0.55,0.467
"P15","No sabe",0.005,0.079,0.043,0.089,0.085,0.158,0.048,0.014,0.143,0.233
"P16","Lo votaría",0.012,0.029,0.015,0.014,0.025,0.482,0.156,0.015,0.03,0.017
"P16","Puede que lo vote",0.005,0.074,0.011,0.039,0.11,0.366,0.527,0.01,0.345,0.242
"P16","Nunca lo votaría",0.967,0.833,0.962,0.898,0.829,0.06,0.181,0.966,0.57,0.529
"P16","No sabe",0.016,0.064,0.012,0.049,0.036,0.092,0.136,0.009,0.055,0.212
"P17","La votaría",0.009,0.029,0.02,0.02,0.135,0.856,0.724,0.022,0.502,0.473
"P17","Puede que la vote",0.002,0.056,0,0.026,0.066,0.052,0.128,0.003,0.149,0.062
"P17","Nunca la votaría",0.989,0.915,0.974,0.905,0.785,0.087,0.124,0.952,0.281,0.385
"P17","No sabe",0,0,0.006,0.049,0.014,0.005,0.024,0.023,0.068,0.08
"P18","Lo votaría",0.205,0.692,0.168,0.173,0.109,0.093,0.052,0.037,0.013,0.062
"P18","Puede que lo vote",0.477,0.206,0.536,0.41,0.346,0.032,0.061,0.229,0,0.11
"P18","Nunca lo votaría",0.286,0.058,0.269,0.199,0.527,0.802,0.851,0.678,0.936,0.67
"P18","No sabe",0.032,0.044,0.027,0.218,0.018,0.073,0.036,0.056,0.051,0.158
"P19","Lo votaría",0.08,0.296,0.124,0.065,0.49,0.014,0.047,0.013,0.041,0.029
"P19","Puede que lo vote",0.267,0.308,0.299,0.416,0.29,0.057,0.125,0.254,0.134,0.106
"P19","Nunca lo votaría",0.58,0.268,0.513,0.321,0.121,0.782,0.657,0.661,0.67,0.644
"P19","No sabe",0.073,0.128,0.064,0.198,0.099,0.147,0.171,0.072,0.155,0.221
"P20","La votaría",0.509,0.206,0.781,0.352,0.123,0.035,0.02,0.182,0.041,0.015
"P20","Puede que la vote",0.312,0.401,0.142,0.316,0.254,0.057,0.032,0.426,0.044,0.071
"P20","Nunca la votaría",0.143,0.324,0.057,0.202,0.508,0.859,0.919,0.336,0.905,0.763
"P20","No sabe",0.036,0.069,0.02,0.13,0.115,0.049,0.029,0.056,0.01,0.151
"P21","Lo votaría",0.176,0.076,0.204,0.108,0.045,0.016,0.034,0.805,0,0.012
"P21","Puede que lo vote",0.297,0.273,0.409,0.15,0.221,0.025,0.051,0.15,0,0.094
"P21","Nunca lo votaría",0.476,0.596,0.334,0.572,0.633,0.897,0.878,0.042,0.958,0.706
"P21","No sabe",0.051,0.055,0.053,0.17,0.101,0.062,0.037,0.003,0.042,0.188
"P22","La votaría",0.225,0.297,0.211,0.449,0.046,0.024,0.035,0.128,0,0.021
"P22","Puede que la vote",0.442,0.372,0.407,0.133,0.231,0.034,0.024,0.227,0.033,0.031
"P22","Nunca la votaría",0.269,0.218,0.285,0.236,0.662,0.851,0.878,0.601,0.919,0.777
"P22","No sabe",0.064,0.113,0.097,0.182,0.061,0.091,0.063,0.044,0.048,0.171
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.103,0.76,0.153,0.23,0.17,0.004,0.004,0.007,0,0.02
"P24","Mauricio Macri por Juntos por el Cambio",0.766,0.077,0.551,0.289,0.084,0.014,0,0.021,0,0.012
"P24","Alberto Fernández por el Frente de Todos",0.005,0.018,0.048,0.037,0.04,0.768,0.067,0,0.078,0.054
"P24","Sergio Massa por el Frente de Todos",0,0.006,0.005,0.164,0.103,0.107,0.821,0.017,0.038,0.068
"P24","Javier Milei por los liberales libertarios",0.008,0.016,0.127,0.147,0.158,0.002,0.021,0.944,0.034,0.045
"P24","Al candidato del Frente de Izquierda",0.107,0,0.022,0,0.113,0.035,0,0.009,0.78,0.019
"P24","No sabe",0.011,0.123,0.094,0.133,0.332,0.07,0.087,0.002,0.07,0.782
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.201,0.836,0.041,0.154,0.228,0,0.004,0.008,0,0.015
"P25","Patricia Bullrich por Juntos por el Cambio",0.615,0.032,0.855,0.481,0.098,0.042,0.007,0.035,0.035,0.025
"P25","Alberto Fernández por el Frente de Todos",0.005,0.07,0.011,0.031,0.02,0.763,0.09,0,0.066,0.071
"P25","Sergio Massa por el Frente de Todos",0.004,0.028,0,0.056,0.153,0.16,0.854,0.015,0.082,0.093
"P25","Javier Milei por los liberales libertarios",0.063,0.004,0.059,0.138,0.101,0.002,0.015,0.937,0,0.03
"P25","Al candidato del Frente de Izquierda",0.042,0,0.008,0,0.159,0.004,0,0.005,0.795,0.033
"P25","No sabe",0.07,0.03,0.026,0.14,0.241,0.029,0.03,0,0.022,0.733
"P26","Sergio Massa por el Frente de Todos",0.008,0.084,0.016,0.065,0.144,0.685,0.866,0.014,0.104,0.197
"P26","Mauricio Macri por Juntos por el Cambio",0.904,0.504,0.672,0.586,0.187,0.06,0.018,0.008,0,0.044
"P26","Javier Milei por los liberales libertarios",0.048,0.085,0.193,0.194,0.191,0.012,0.032,0.926,0,0.031
"P26","Al candidato del Frente de Izquierda",0,0.006,0.005,0,0.093,0.014,0.021,0,0.771,0.038
"P26","No sabe",0.04,0.321,0.114,0.155,0.385,0.229,0.063,0.052,0.125,0.69
"P27","Alberto Fernández por el Frente de Todos",0.005,0.104,0.005,0.07,0.056,0.895,0.745,0.009,0.149,0.248
"P27","Mauricio Macri por Juntos por el Cambio",0.904,0.585,0.712,0.641,0.204,0.023,0.02,0.008,0.006,0.036
"P27","Javier Milei por los liberales libertarios",0.039,0.092,0.175,0.059,0.172,0,0.052,0.934,0,0.006
"P27","Al candidato del Frente de Izquierda",0,0.004,0.005,0,0.165,0.004,0.037,0.003,0.731,0.037
"P27","No sabe",0.052,0.215,0.103,0.23,0.403,0.078,0.146,0.046,0.114,0.673
"P28","Alberto Fernández por el Frente de Todos",0.011,0.038,0.022,0.043,0.061,0.857,0.759,0.004,0.081,0.238
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.646,0.917,0.545,0.612,0.283,0.008,0.026,0.002,0,0.061
"P28","Javier Milei por los liberales libertarios",0.172,0.008,0.303,0.057,0.176,0.002,0.043,0.931,0.011,0.006
"P28","Al candidato del Frente de Izquierda",0.005,0.003,0.008,0,0.132,0.004,0.021,0,0.823,0.035
"P28","No sabe",0.166,0.034,0.122,0.288,0.348,0.129,0.151,0.063,0.085,0.66
"P29","Sergio Massa por el Frente de Todos",0.016,0.017,0.027,0.04,0.145,0.693,0.885,0.006,0.122,0.236
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.693,0.886,0.559,0.636,0.266,0.044,0.008,0.023,0,0.054
"P29","Javier Milei por los liberales libertarios",0.165,0.024,0.305,0.04,0.155,0.008,0.036,0.93,0,0.007
"P29","Al candidato del Frente de Izquierda",0,0,0,0,0.098,0.034,0.018,0.022,0.815,0.013
"P29","No sabe",0.126,0.073,0.109,0.284,0.336,0.221,0.053,0.019,0.063,0.69
"P30","Sergio Massa por el Frente de Todos",0.022,0.075,0.021,0.08,0.138,0.619,0.838,0.006,0.104,0.218
"P30","Patricia Bullrich por Juntos por el Cambio",0.82,0.493,0.892,0.656,0.157,0.083,0.059,0.055,0,0.086
"P30","Javier Milei por los liberales libertarios",0.072,0.139,0.063,0.043,0.165,0.034,0.036,0.903,0,0.016
"P30","Al candidato del Frente de Izquierda",0,0.003,0,0,0.123,0.014,0.022,0,0.776,0.018
"P30","No sabe",0.086,0.29,0.024,0.221,0.417,0.25,0.045,0.036,0.12,0.662
"P32","Alberto Fernández por el Frente de Todos",0.102,0.116,0.052,0.029,0.099,0.78,0.708,0.011,0.111,0.21
"P32","Patricia Bullrich por Juntos por el Cambio",0.755,0.46,0.843,0.647,0.165,0.101,0.065,0.037,0.006,0.076
"P32","Javier Milei por los liberales libertarios",0.066,0.199,0.059,0.057,0.202,0.01,0.045,0.95,0,0.003
"P32","Al candidato del Frente de Izquierda",0,0,0,0,0.174,0.004,0.059,0,0.877,0.024
"P32","No sabe",0.077,0.225,0.046,0.267,0.36,0.105,0.123,0.002,0.006,0.687
"P34","Sergio Massa por el Frente de Todos",0.003,0.091,0.016,0.051,0.301,0.754,0.988,0.062,0.538,0.388
"P34","Mauricio Macri por Juntos por el Cambio",0.983,0.675,0.892,0.676,0.244,0.032,0.006,0.45,0.029,0.071
"P34","No sabe",0.014,0.234,0.092,0.273,0.455,0.214,0.006,0.488,0.433,0.541
"P35","Sergio Massa",0.031,0.043,0.015,0.051,0.262,0.77,0.99,0.052,0.583,0.4
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.851,0.885,0.816,0.765,0.444,0.035,0.003,0.317,0,0.105
"P35","No sabe",0.118,0.072,0.169,0.184,0.294,0.195,0.007,0.631,0.417,0.495
"P36","Alberto Fernández por el Frente de Todos",0,0.019,0.012,0.03,0.187,0.926,0.851,0.053,0.646,0.437
"P36","Mauricio Macri por Juntos por el Cambio",0.967,0.645,0.905,0.79,0.36,0.023,0.025,0.584,0,0.054
"P36","No sabe",0.033,0.336,0.083,0.18,0.453,0.051,0.124,0.363,0.354,0.509
"P37","Alberto Fernández",0.034,0.019,0.008,0.017,0.146,0.93,0.833,0.032,0.729,0.411
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.849,0.89,0.822,0.775,0.465,0.009,0.057,0.385,0.026,0.11
"P37","No sabe",0.117,0.091,0.17,0.208,0.389,0.061,0.11,0.583,0.245,0.479
"P38","Sergio Massa por el Frente de Todos",0.032,0.04,0.011,0.04,0.26,0.761,0.972,0.03,0.625,0.476
"P38","Patricia Bullrich por Juntos por el Cambio",0.906,0.71,0.953,0.825,0.384,0.061,0.014,0.621,0.012,0.095
"P38","No sabe",0.062,0.25,0.036,0.135,0.356,0.178,0.014,0.349,0.363,0.429
"P39","Alberto Fernández por el Frente de Todos",0.011,0.029,0.008,0.026,0.191,0.94,0.875,0.002,0.646,0.465
"P39","Patricia Bullrich por Juntos por el Cambio",0.954,0.763,0.975,0.834,0.346,0.033,0.01,0.696,0,0.074
"P39","No sabe",0.035,0.208,0.017,0.14,0.463,0.027,0.115,0.302,0.354,0.461
"P40","Mauricio Macri por Juntos por el Cambio",0.852,0.6,0.648,0.664,0.248,0.086,0.103,0.008,0.057,0.167
"P40","Javier Milei por los liberales libertarios",0.125,0.166,0.261,0.166,0.27,0.055,0.104,0.895,0.025,0.039
"P40","No sabe",0.023,0.234,0.091,0.17,0.482,0.859,0.793,0.097,0.918,0.794
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.756,0.837,0.636,0.754,0.389,0.093,0.099,0.023,0.124,0.118
"P41","Javier Milei por los liberales libertarios",0.164,0.042,0.252,0.042,0.229,0.064,0.087,0.958,0.012,0.059
"P41","No sabe",0.08,0.121,0.112,0.204,0.382,0.843,0.814,0.019,0.864,0.823
"P42","Patricia Bullrich por Juntos por el Cambio",0.904,0.551,0.846,0.769,0.294,0.047,0.036,0.028,0.11,0.074
"P42","Javier Milei por los liberales libertarios",0.071,0.233,0.112,0.052,0.247,0.034,0.131,0.924,0.024,0.066
"P42","No sabe",0.025,0.216,0.042,0.179,0.459,0.919,0.833,0.048,0.866,0.86
"P43","Muy buena",0.113,0.039,0.095,0.162,0.037,0.197,0.085,0,0.125,0.012
"P43","Buena",0.012,0.047,0.018,0.02,0.04,0.424,0.386,0.094,0.096,0.175
"P43","Ni buena ni mala",0.003,0.014,0.011,0.135,0.206,0.292,0.381,0.002,0.494,0.428
"P43","Mala",0.027,0.167,0.059,0.065,0.085,0.034,0.109,0.086,0.222,0.135
"P43","Muy mala",0.845,0.675,0.808,0.618,0.632,0.053,0.039,0.816,0.063,0.237
"P43","No sabe",0,0.058,0.009,0,0,0,0,0.002,0,0.013
"P44","Muy buena",0.047,0.01,0,0,0.007,0.246,0.072,0,0.011,0.004
"P44","Buena",0,0.015,0.006,0.025,0.016,0.384,0.393,0.002,0.128,0.14
"P44","Ni buena ni mala",0.005,0.034,0.015,0.109,0.227,0.254,0.384,0.002,0.337,0.382
"P44","Mala",0.041,0.155,0.069,0.176,0.189,0.088,0.104,0.139,0.404,0.21
"P44","Muy mala",0.898,0.786,0.904,0.69,0.561,0.028,0.04,0.857,0.12,0.246
"P44","No sabe",0.009,0,0.006,0,0,0,0.007,0,0,0.018
"P45","Muy buena",0.005,0.003,0.006,0.017,0.115,0.615,0.64,0.013,0.508,0.543
"P45","Buena",0,0.012,0.004,0,0.015,0.215,0.153,0.005,0.147,0.064
"P45","Ni buena ni mala",0,0.038,0.01,0.111,0.118,0.051,0.085,0.006,0.145,0.068
"P45","Mala",0.015,0.065,0.029,0.058,0.082,0.03,0.055,0.046,0.076,0.029
"P45","Muy mala",0.955,0.882,0.933,0.814,0.67,0.066,0.066,0.93,0.124,0.256
"P45","No sabe",0.025,0,0.018,0,0,0.023,0.001,0,0,0.04
"P46","Muy buena",0.626,0.12,0.206,0.161,0.069,0.034,0.056,0.036,0.101,0.029
"P46","Buena",0.181,0.229,0.413,0.334,0.077,0.014,0.019,0.207,0.017,0.032
"P46","Ni buena ni mala",0.042,0.415,0.183,0.336,0.239,0.056,0.04,0.286,0.066,0.121
"P46","Mala",0,0.115,0.037,0.086,0.194,0.186,0.154,0.171,0.084,0.104
"P46","Muy mala",0.138,0.121,0.156,0.083,0.421,0.707,0.731,0.29,0.732,0.673
"P46","No sabe",0.013,0,0.005,0,0,0.003,0,0.01,0,0.041
"P47","Muy buena",0.282,0.528,0.155,0.178,0.069,0,0.034,0.016,0.06,0
"P47","Buena",0.405,0.378,0.381,0.489,0.17,0.012,0.026,0.211,0.028,0.095
"P47","Ni buena ni mala",0.203,0.061,0.366,0.307,0.268,0.172,0.08,0.229,0.075,0.151
"P47","Mala",0.057,0.01,0.035,0.009,0.201,0.255,0.261,0.187,0.221,0.131
"P47","Muy mala",0.05,0.023,0.062,0.017,0.247,0.552,0.595,0.349,0.616,0.582
"P47","No sabe",0.003,0,0.001,0,0.045,0.009,0.004,0.008,0,0.041
"P48","Muy buena",0.049,0.076,0.025,0.02,0.022,0.098,0.277,0,0.06,0.016
"P48","Buena",0.049,0.083,0.056,0.113,0.102,0.275,0.436,0.075,0.097,0.212
"P48","Ni buena ni mala",0.029,0.135,0.089,0.15,0.293,0.391,0.181,0.038,0.321,0.348
"P48","Mala",0.107,0.209,0.148,0.21,0.188,0.05,0.039,0.171,0.225,0.123
"P48","Muy mala",0.756,0.497,0.682,0.507,0.387,0.158,0.066,0.67,0.283,0.256
"P48","No sabe",0.01,0,0,0,0.008,0.028,0.001,0.046,0.014,0.045
"P49","Muy buena",0.551,0.219,0.646,0.208,0.021,0.007,0.024,0.225,0,0.006
"P49","Buena",0.235,0.224,0.231,0.427,0.174,0.098,0.043,0.3,0,0.071
"P49","Ni buena ni mala",0.081,0.333,0.042,0.228,0.226,0.12,0.04,0.256,0.071,0.165
"P49","Mala",0.01,0.072,0.019,0.052,0.238,0.1,0.131,0.052,0.119,0.066
"P49","Muy mala",0.113,0.085,0.059,0.085,0.341,0.673,0.754,0.137,0.81,0.646
"P49","No sabe",0.01,0.067,0.003,0,0,0.002,0.008,0.03,0,0.046
"P50","Muy buena",0.141,0.058,0.172,0.102,0.03,0.027,0.027,0.591,0,0
"P50","Buena",0.189,0.19,0.221,0.11,0.179,0.005,0.022,0.303,0,0.074
"P50","Ni buena ni mala",0.337,0.294,0.44,0.368,0.297,0.104,0.059,0.072,0.013,0.102
"P50","Mala",0.13,0.262,0.104,0.095,0.184,0.146,0.144,0,0.051,0.134
"P50","Muy mala",0.153,0.195,0.056,0.255,0.31,0.673,0.748,0.034,0.936,0.633
"P50","No sabe",0.05,0.001,0.007,0.07,0,0.045,0,0,0,0.057
"P51","Muy buena",0.343,0.355,0.172,0.486,0.095,0.007,0.006,0.094,0,0.014
"P51","Buena",0.326,0.298,0.413,0.305,0.22,0.009,0.012,0.217,0.075,0.061
"P51","Ni buena ni mala",0.247,0.207,0.263,0.143,0.209,0.047,0.044,0.259,0.041,0.141
"P51","Mala",0.051,0.123,0.097,0,0.14,0.123,0.141,0.137,0.142,0.062
"P51","Muy mala",0.033,0.017,0.052,0.066,0.336,0.779,0.794,0.29,0.742,0.683
"P51","No sabe",0,0,0.003,0,0,0.035,0.003,0.003,0,0.039
"P52","Muy buena",0.035,0.167,0.088,0.16,0.481,0.005,0.035,0.04,0,0.043
"P52","Buena",0.202,0.22,0.215,0.184,0.283,0.044,0.096,0.114,0.032,0.074
"P52","Ni buena ni mala",0.294,0.355,0.372,0.478,0.178,0.448,0.417,0.365,0.345,0.358
"P52","Mala",0.254,0.133,0.183,0.098,0.058,0.123,0.121,0.183,0.244,0.166
"P52","Muy mala",0.186,0.042,0.13,0.059,0,0.314,0.313,0.258,0.379,0.241
"P52","No sabe",0.029,0.083,0.012,0.021,0,0.066,0.018,0.04,0,0.118
"P53","Siempre",0.355,0.268,0.283,0.216,0.321,0.461,0.348,0.253,0.177,0.216
"P53","Casi siempre",0.386,0.596,0.464,0.554,0.481,0.267,0.468,0.428,0.598,0.437
"P53","Casi nunca",0.174,0.066,0.193,0.192,0.171,0.21,0.116,0.234,0.225,0.247
"P53","Nunca, pero esta es una excepción",0.085,0.07,0.06,0.038,0.027,0.062,0.068,0.085,0,0.1
"P54","Si",0.652,0.683,0.519,0.392,0.61,0.621,0.529,0.653,0.372,0.498
"P54","No",0.348,0.317,0.481,0.608,0.39,0.379,0.471,0.347,0.628,0.502
