"var","categoria","Alberto Fernández","Horacio Rodríguez Larreta por Juntos por el Cambio","No sabe"
"P12","A Horacio Rodriguez Larreta",0.225,0.224,0.107
"P12","A Mauricio Macri",0.48,0.311,0.263
"P12","A Patricia Bullrich",0.047,0.404,0.421
"P12","A Facundo Manes",0.248,0.033,0.171
"P12","A Gerardo Morales",0,0.028,0.038
"P13","Seguro lo votaria",0,0.086,0.102
"P13","Quizás lo votaría",0.477,0.384,0.303
"P13","Nunca lo votaría",0.523,0.53,0.595
"P14","Lo votaría",0.015,0.432,0.117
"P14","Puede que lo vote",0.036,0.307,0.182
"P14","Nunca lo votaría",0.872,0.2,0.549
"P14","No sabe",0.077,0.061,0.152
"P15","Lo votaría",0.278,0.093,0.052
"P15","Puede que lo vote",0.419,0.054,0.124
"P15","Nunca lo votaría",0.215,0.839,0.706
"P15","No sabe",0.088,0.014,0.118
"P16","Lo votaría",0.224,0.002,0.019
"P16","Puede que lo vote",0.543,0.025,0.056
"P16","Nunca lo votaría",0.112,0.963,0.818
"P16","No sabe",0.121,0.01,0.107
"P17","La votaría",0.824,0.009,0.151
"P17","Puede que la vote",0.088,0.013,0.056
"P17","Nunca la votaría",0.076,0.975,0.747
"P17","No sabe",0.012,0.003,0.046
"P18","Lo votaría",0.071,0.267,0.032
"P18","Puede que lo vote",0.022,0.49,0.097
"P18","Nunca lo votaría",0.878,0.212,0.784
"P18","No sabe",0.029,0.031,0.087
"P19","Lo votaría",0.022,0.147,0.071
"P19","Puede que lo vote",0.11,0.353,0.171
"P19","Nunca lo votaría",0.733,0.442,0.639
"P19","No sabe",0.135,0.058,0.119
"P20","La votaría",0.026,0.552,0.197
"P20","Puede que la vote",0.032,0.28,0.259
"P20","Nunca la votaría",0.93,0.144,0.492
"P20","No sabe",0.012,0.024,0.052
"P21","Lo votaría",0.028,0.238,0.33
"P21","Puede que lo vote",0.025,0.322,0.149
"P21","Nunca lo votaría",0.926,0.397,0.43
"P21","No sabe",0.021,0.043,0.091
"P22","La votaría",0.016,0.24,0.119
"P22","Puede que la vote",0.022,0.409,0.139
"P22","Nunca la votaría",0.92,0.281,0.624
"P22","No sabe",0.042,0.07,0.118
"P23","Mauricio Macri por Juntos por el Cambio",0.01,0.209,0.053
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.003,0.116,0.022
"P23","Patricia Bullrich por Juntos por el Cambio",0.005,0.402,0.152
"P23","María Eugenia Vidal por Juntos por el Cambio",0.001,0.059,0.029
"P23","Facundo Manes por Juntos por el Cambio",0.017,0.044,0.067
"P23","Alberto Fernández por el Frente de Todos",0.328,0.002,0.032
"P23","Sergio Massa por el Frente de Todos",0.423,0.024,0.083
"P23","Javier Milei por los liberales libertarios",0.012,0.117,0.323
"P23","Al candidato del Frente de Izquierda",0.091,0.003,0.046
"P23","No sabe",0.11,0.024,0.193
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.003,0.215,0.019
"P24","Mauricio Macri por Juntos por el Cambio",0.003,0.473,0.109
"P24","Alberto Fernández por el Frente de Todos",0.305,0.026,0.026
"P24","Sergio Massa por el Frente de Todos",0.435,0.025,0.111
"P24","Javier Milei por los liberales libertarios",0.028,0.187,0.366
"P24","Al candidato del Frente de Izquierda",0.105,0.014,0.035
"P24","No sabe",0.121,0.06,0.334
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.002,0.202,0.017
"P25","Patricia Bullrich por Juntos por el Cambio",0.022,0.577,0.167
"P25","Alberto Fernández por el Frente de Todos",0.314,0.006,0.014
"P25","Sergio Massa por el Frente de Todos",0.472,0.027,0.131
"P25","Javier Milei por los liberales libertarios",0.019,0.144,0.36
"P25","Al candidato del Frente de Izquierda",0.077,0.015,0.049
"P25","No sabe",0.094,0.029,0.262
"P26","Sergio Massa por el Frente de Todos",0.702,0.037,0.115
"P26","Mauricio Macri por Juntos por el Cambio",0.028,0.638,0.125
"P26","Javier Milei por los liberales libertarios",0.029,0.228,0.398
"P26","Al candidato del Frente de Izquierda",0.093,0.008,0.044
"P26","No sabe",0.148,0.089,0.318
"P27","Alberto Fernández por el Frente de Todos",0.771,0.01,0.061
"P27","Mauricio Macri por Juntos por el Cambio",0.023,0.677,0.104
"P27","Javier Milei por los liberales libertarios",0.017,0.229,0.375
"P27","Al candidato del Frente de Izquierda",0.084,0.011,0.075
"P27","No sabe",0.105,0.073,0.385
"P28","Alberto Fernández por el Frente de Todos",0.762,0.007,0.044
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.007,0.633,0.049
"P28","Javier Milei por los liberales libertarios",0.031,0.295,0.391
"P28","Al candidato del Frente de Izquierda",0.095,0.008,0.061
"P28","No sabe",0.105,0.057,0.455
"P29","Sergio Massa por el Frente de Todos",0.729,0.023,0.118
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.013,0.635,0.068
"P29","Javier Milei por los liberales libertarios",0.031,0.281,0.394
"P29","Al candidato del Frente de Izquierda",0.101,0.015,0.038
"P29","No sabe",0.126,0.046,0.382
"P30","Sergio Massa por el Frente de Todos",0.668,0.034,0.108
"P30","Patricia Bullrich por Juntos por el Cambio",0.067,0.707,0.193
"P30","Javier Milei por los liberales libertarios",0.03,0.181,0.347
"P30","Al candidato del Frente de Izquierda",0.094,0.012,0.033
"P30","No sabe",0.141,0.066,0.319
"P32","Alberto Fernández por el Frente de Todos",0.721,0.048,0.027
"P32","Patricia Bullrich por Juntos por el Cambio",0.062,0.69,0.171
"P32","Javier Milei por los liberales libertarios",0.015,0.187,0.367
"P32","Al candidato del Frente de Izquierda",0.11,0.011,0.067
"P32","No sabe",0.092,0.064,0.368
"P34","Sergio Massa por el Frente de Todos",0.856,0.045,0.167
"P34","Mauricio Macri por Juntos por el Cambio",0.03,0.863,0.259
"P34","No sabe",0.114,0.092,0.574
"P35","Sergio Massa",0.868,0.038,0.169
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.027,0.913,0.057
"P35","No sabe",0.105,0.049,0.774
"P36","Alberto Fernández por el Frente de Todos",0.961,0.02,0.028
"P36","Mauricio Macri por Juntos por el Cambio",0.021,0.895,0.287
"P36","No sabe",0.018,0.085,0.685
"P38","Sergio Massa por el Frente de Todos",0.895,0.036,0.143
"P38","Patricia Bullrich por Juntos por el Cambio",0.018,0.908,0.343
"P38","No sabe",0.087,0.056,0.514
"P39","Alberto Fernández por el Frente de Todos",0.951,0.027,0.059
"P39","Patricia Bullrich por Juntos por el Cambio",0.018,0.901,0.401
"P39","No sabe",0.031,0.072,0.54
"P40","Mauricio Macri por Juntos por el Cambio",0.113,0.62,0.119
"P40","Javier Milei por los liberales libertarios",0.066,0.292,0.39
"P40","No sabe",0.821,0.088,0.491
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.094,0.698,0.043
"P41","Javier Milei por los liberales libertarios",0.055,0.253,0.473
"P41","No sabe",0.851,0.049,0.484
"P42","Patricia Bullrich por Juntos por el Cambio",0.05,0.72,0.151
"P42","Javier Milei por los liberales libertarios",0.075,0.215,0.4
"P42","No sabe",0.875,0.065,0.449
"P43","Muy buena",0.131,0.087,0.014
"P43","Buena",0.385,0.033,0.071
"P43","Ni buena ni mala",0.373,0.013,0.206
"P43","Mala",0.077,0.067,0.138
"P43","Muy mala",0.032,0.792,0.561
"P43","No sabe",0.002,0.008,0.01
"P44","Muy buena",0.126,0.014,0.002
"P44","Buena",0.379,0.002,0.034
"P44","Ni buena ni mala",0.339,0.016,0.191
"P44","Mala",0.13,0.093,0.176
"P44","Muy mala",0.021,0.873,0.587
"P44","No sabe",0.005,0.002,0.01
"P45","Muy buena",0.676,0.006,0.154
"P45","Buena",0.172,0.009,0.025
"P45","Ni buena ni mala",0.063,0.014,0.086
"P45","Mala",0.035,0.027,0.08
"P45","Muy mala",0.042,0.937,0.63
"P45","No sabe",0.012,0.007,0.025
"P46","Muy buena",0.056,0.256,0.078
"P46","Buena",0.022,0.317,0.096
"P46","Ni buena ni mala",0.052,0.204,0.196
"P46","Mala",0.143,0.048,0.179
"P46","Muy mala",0.724,0.17,0.432
"P46","No sabe",0.003,0.005,0.019
"P47","Muy buena",0.017,0.228,0.026
"P47","Buena",0.014,0.435,0.06
"P47","Ni buena ni mala",0.097,0.256,0.257
"P47","Mala",0.237,0.038,0.215
"P47","Muy mala",0.628,0.037,0.425
"P47","No sabe",0.007,0.006,0.017
"P48","Muy buena",0.161,0.05,0.022
"P48","Buena",0.319,0.076,0.138
"P48","Ni buena ni mala",0.309,0.072,0.169
"P48","Mala",0.068,0.152,0.153
"P48","Muy mala",0.128,0.648,0.476
"P48","No sabe",0.015,0.002,0.042
"P49","Muy buena",0.019,0.463,0.17
"P49","Buena",0.048,0.257,0.187
"P49","Ni buena ni mala",0.065,0.128,0.209
"P49","Mala",0.1,0.048,0.082
"P49","Muy mala",0.761,0.09,0.323
"P49","No sabe",0.007,0.014,0.029
"P50","Muy buena",0.017,0.197,0.233
"P50","Buena",0.011,0.223,0.164
"P50","Ni buena ni mala",0.05,0.337,0.197
"P50","Mala",0.13,0.122,0.09
"P50","Muy mala",0.774,0.102,0.294
"P50","No sabe",0.018,0.019,0.022
"P51","Muy buena",0.003,0.258,0.056
"P51","Buena",0.025,0.356,0.138
"P51","Ni buena ni mala",0.027,0.229,0.256
"P51","Mala",0.132,0.1,0.085
"P51","Muy mala",0.799,0.055,0.449
"P51","No sabe",0.014,0.002,0.016
"P52","Muy buena",0.02,0.107,0.081
"P52","Buena",0.082,0.223,0.068
"P52","Ni buena ni mala",0.411,0.362,0.336
"P52","Mala",0.149,0.171,0.165
"P52","Muy mala",0.301,0.105,0.301
"P52","No sabe",0.037,0.032,0.049
"P53","Siempre",0.373,0.295,0.235
"P53","Casi siempre",0.4,0.476,0.443
"P53","Casi nunca",0.183,0.157,0.231
"P53","Nunca, pero esta es una excepción",0.044,0.072,0.091
"P54","Si",0.575,0.565,0.557
"P54","No",0.425,0.435,0.443
