"var","categoria","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P21","Nunca lo votaría",0.571,0.396,0.88,0.911,0.046,0.823,0.737
"P21","No sabe",0.059,0.06,0.04,0.022,0.004,0.107,0.19
"P22","La votaría",0.306,0.233,0.027,0.033,0.128,0.063,0.043
"P22","Puede que la vote",0.391,0.411,0.037,0.04,0.236,0.048,0.077
"P22","Nunca la votaría",0.19,0.262,0.871,0.89,0.595,0.838,0.697
"P22","No sabe",0.113,0.094,0.065,0.037,0.041,0.051,0.183
"P23","Mauricio Macri por Juntos por el Cambio",0.208,0.239,0.004,0.002,0.038,0.078,0.061
"P23","Horacio Rodríguez Larreta por Juntos por el Cambio",0.535,0.008,0.033,0.009,0.001,0,0.016
"P23","Patricia Bullrich por Juntos por el Cambio",0.08,0.621,0.016,0,0.067,0.026,0.043
"P23","María Eugenia Vidal por Juntos por el Cambio",0.048,0.056,0.007,0.009,0.025,0,0.036
"P23","Facundo Manes por Juntos por el Cambio",0.094,0.015,0.006,0.032,0.024,0.117,0.082
"P23","Alberto Fernández por el Frente de Todos",0,0.021,0.737,0.107,0.002,0.01,0.031
"P23","Sergio Massa por el Frente de Todos",0.007,0.005,0.115,0.757,0.016,0,0.043
"P23","Javier Milei por los liberales libertarios",0.011,0.019,0,0.012,0.808,0.013,0
"P23","Al candidato del Frente de Izquierda",0,0.006,0.024,0.02,0,0.689,0.009
"P23","No sabe",0.017,0.01,0.058,0.052,0.019,0.067,0.679
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.678,0.126,0.032,0.005,0.007,0.013,0
"P24","Mauricio Macri por Juntos por el Cambio",0.204,0.651,0.007,0.005,0.035,0.021,0.076
"P24","Alberto Fernández por el Frente de Todos",0.007,0.045,0.79,0.06,0,0.004,0.022
"P24","Sergio Massa por el Frente de Todos",0.008,0.01,0.08,0.815,0.012,0,0.041
"P24","Javier Milei por los liberales libertarios",0.027,0.085,0.014,0.007,0.917,0.037,0.003
"P24","Al candidato del Frente de Izquierda",0.007,0.008,0.031,0.011,0.025,0.853,0.004
"P24","No sabe",0.069,0.075,0.046,0.097,0.004,0.072,0.854
"P26","Sergio Massa por el Frente de Todos",0.047,0.013,0.661,0.88,0,0.029,0.132
"P26","Mauricio Macri por Juntos por el Cambio",0.58,0.788,0.031,0.022,0.035,0.096,0.104
"P26","Javier Milei por los liberales libertarios",0.085,0.13,0.031,0.012,0.912,0.046,0.011
"P26","Al candidato del Frente de Izquierda",0.005,0.012,0.058,0.009,0,0.637,0.024
"P26","No sabe",0.283,0.057,0.219,0.077,0.053,0.192,0.729
"P27","Alberto Fernández por el Frente de Todos",0.027,0.019,0.932,0.716,0.003,0.06,0.158
"P27","Mauricio Macri por Juntos por el Cambio",0.649,0.801,0.021,0.016,0.041,0.082,0.117
"P27","Javier Milei por los liberales libertarios",0.105,0.103,0.009,0.032,0.897,0.032,0
"P27","Al candidato del Frente de Izquierda",0.002,0.012,0.012,0.048,0.003,0.656,0.028
"P27","No sabe",0.217,0.065,0.026,0.188,0.056,0.17,0.697
"P28","Alberto Fernández por el Frente de Todos",0.003,0.026,0.871,0.714,0.005,0.027,0.164
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.914,0.603,0.022,0.032,0.004,0.09,0.062
"P28","Javier Milei por los liberales libertarios",0.031,0.236,0.01,0.036,0.92,0.033,0.002
"P28","Al candidato del Frente de Izquierda",0.002,0.013,0.022,0.035,0,0.684,0.017
"P28","No sabe",0.05,0.122,0.075,0.183,0.071,0.166,0.755
"P29","Sergio Massa por el Frente de Todos",0.009,0.024,0.674,0.884,0,0.055,0.152
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.868,0.645,0.019,0.012,0.016,0.097,0.086
"P29","Javier Milei por los liberales libertarios",0.045,0.225,0.01,0.028,0.92,0.036,0.004
"P29","Al candidato del Frente de Izquierda",0,0.009,0.083,0.006,0.019,0.651,0.009
"P29","No sabe",0.078,0.097,0.214,0.07,0.045,0.161,0.749
"P30","Sergio Massa por el Frente de Todos",0.067,0.024,0.55,0.841,0.002,0.04,0.164
"P30","Patricia Bullrich por Juntos por el Cambio",0.558,0.924,0.08,0.062,0.078,0.077,0.092
"P30","Javier Milei por los liberales libertarios",0.123,0.036,0.04,0.03,0.862,0.036,0
"P30","Al candidato del Frente de Izquierda",0.002,0.009,0.068,0.006,0,0.64,0.015
"P30","No sabe",0.25,0.007,0.262,0.061,0.058,0.207,0.729
"P32","Alberto Fernández por el Frente de Todos",0.061,0.046,0.835,0.687,0.028,0.09,0.128
"P32","Patricia Bullrich por Juntos por el Cambio",0.559,0.886,0.044,0.073,0.059,0.016,0.097
"P32","Javier Milei por los liberales libertarios",0.165,0.037,0,0.045,0.882,0.039,0
"P32","Al candidato del Frente de Izquierda",0,0.008,0.047,0.047,0.002,0.797,0.019
"P32","No sabe",0.215,0.023,0.074,0.148,0.029,0.058,0.756
"P34","Sergio Massa por el Frente de Todos",0.038,0.012,0.769,0.971,0.055,0.496,0.282
"P34","Mauricio Macri por Juntos por el Cambio",0.773,0.918,0.024,0.007,0.462,0.078,0.133
"P34","No sabe",0.189,0.07,0.207,0.022,0.483,0.426,0.585
"P35","Sergio Massa",0.018,0.016,0.802,0.968,0.041,0.516,0.292
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.944,0.859,0.018,0.011,0.331,0.124,0.112
"P35","No sabe",0.038,0.125,0.18,0.021,0.628,0.36,0.596
"P36","Alberto Fernández por el Frente de Todos",0.004,0.017,0.949,0.81,0.044,0.599,0.34
"P36","Mauricio Macri por Juntos por el Cambio",0.78,0.911,0.018,0.033,0.611,0.077,0.119
"P36","No sabe",0.216,0.072,0.033,0.157,0.345,0.324,0.541
"P37","Alberto Fernández",0.009,0.027,0.948,0.798,0.043,0.6,0.31
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.948,0.84,0.023,0.055,0.405,0.144,0.115
"P37","No sabe",0.043,0.133,0.029,0.147,0.552,0.256,0.575
"P38","Sergio Massa por el Frente de Todos",0.017,0.007,0.796,0.941,0.057,0.585,0.34
"P38","Patricia Bullrich por Juntos por el Cambio",0.792,0.965,0.049,0.018,0.608,0.069,0.151
"P38","No sabe",0.191,0.028,0.155,0.041,0.335,0.346,0.509
"P39","Alberto Fernández por el Frente de Todos",0.016,0.014,0.954,0.842,0.016,0.6,0.351
"P39","Patricia Bullrich por Juntos por el Cambio",0.817,0.971,0.046,0.008,0.697,0.033,0.157
"P39","No sabe",0.167,0.015,0,0.15,0.287,0.367,0.492
"P40","Mauricio Macri por Juntos por el Cambio",0.696,0.742,0.072,0.088,0.036,0.12,0.18
"P40","Javier Milei por los liberales libertarios",0.147,0.206,0.072,0.08,0.856,0.044,0.077
"P40","No sabe",0.157,0.052,0.856,0.832,0.108,0.836,0.743
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.894,0.714,0.115,0.084,0.024,0.223,0.106
"P41","Javier Milei por los liberales libertarios",0.04,0.183,0.046,0.089,0.959,0.019,0.075
"P41","No sabe",0.066,0.103,0.839,0.827,0.017,0.758,0.819
"P42","Patricia Bullrich por Juntos por el Cambio",0.699,0.914,0.025,0.036,0.04,0.111,0.128
"P42","Javier Milei por los liberales libertarios",0.175,0.061,0.056,0.099,0.905,0.031,0.083
"P42","No sabe",0.126,0.025,0.919,0.865,0.055,0.858,0.789
"P43","Muy buena",0.053,0.122,0.193,0.081,0.002,0.092,0.03
"P43","Buena",0.032,0.006,0.469,0.35,0.097,0.082,0.134
"P43","Ni buena ni mala",0.007,0.007,0.276,0.415,0.015,0.468,0.358
"P43","Mala",0.135,0.046,0.014,0.115,0.078,0.228,0.123
"P43","Muy mala",0.738,0.813,0.048,0.038,0.806,0.13,0.347
"P43","No sabe",0.035,0.006,0,0.001,0.002,0,0.008
"P44","Muy buena",0.02,0.014,0.233,0.077,0.002,0.016,0.006
"P44","Buena",0.003,0.002,0.48,0.352,0.004,0.061,0.076
"P44","Ni buena ni mala",0.023,0.013,0.219,0.415,0.017,0.286,0.334
"P44","Mala",0.126,0.081,0.019,0.116,0.135,0.44,0.216
"P44","Muy mala",0.818,0.884,0.049,0.034,0.842,0.197,0.358
"P44","No sabe",0.01,0.006,0,0.006,0,0,0.01
"P45","Muy buena",0,0.003,0.702,0.61,0.015,0.454,0.379
"P45","Buena",0.004,0.011,0.17,0.165,0.008,0.053,0.08
"P45","Ni buena ni mala",0.006,0.006,0.012,0.104,0.028,0.168,0.095
"P45","Mala",0.055,0.025,0.034,0.052,0.044,0.105,0.033
"P45","Muy mala",0.911,0.95,0.056,0.069,0.905,0.22,0.352
"P45","No sabe",0.024,0.005,0.026,0,0,0,0.061
"P46","Muy buena",0.189,0.348,0.031,0.07,0.04,0.086,0.023
"P46","Buena",0.258,0.33,0.024,0.017,0.211,0.042,0.069
"P46","Ni buena ni mala",0.327,0.151,0.082,0.029,0.281,0.086,0.143
"P46","Mala",0.073,0.042,0.121,0.155,0.173,0.087,0.15
"P46","Muy mala",0.142,0.123,0.742,0.728,0.287,0.699,0.586
"P46","No sabe",0.011,0.006,0,0.001,0.008,0,0.029
"P47","Muy buena",0.48,0.186,0.006,0.03,0.015,0.059,0.009
"P47","Buena",0.443,0.4,0.021,0.018,0.214,0.081,0.086
"P47","Ni buena ni mala",0.051,0.321,0.111,0.118,0.249,0.074,0.259
"P47","Mala",0.01,0.045,0.241,0.255,0.178,0.263,0.117
"P47","Muy mala",0.016,0.044,0.611,0.579,0.337,0.492,0.49
"P47","No sabe",0,0.004,0.01,0,0.007,0.031,0.039
"P48","Muy buena",0.062,0.033,0.066,0.263,0.002,0.07,0.009
"P48","Buena",0.067,0.06,0.259,0.441,0.073,0.08,0.135
"P48","Ni buena ni mala",0.096,0.066,0.434,0.193,0.057,0.286,0.363
"P48","Mala",0.183,0.136,0.042,0.047,0.165,0.269,0.15
"P48","Muy mala",0.581,0.703,0.168,0.055,0.662,0.281,0.311
"P48","No sabe",0.011,0.002,0.031,0.001,0.041,0.014,0.032
"P49","Muy buena",0.208,0.637,0.01,0.018,0.234,0.006,0.02
"P49","Buena",0.29,0.237,0.058,0.051,0.288,0.015,0.131
"P49","Ni buena ni mala",0.255,0.041,0.096,0.061,0.282,0.015,0.215
"P49","Mala",0.081,0.017,0.118,0.108,0.046,0.215,0.086
"P49","Muy mala",0.107,0.066,0.718,0.754,0.125,0.749,0.516
"P49","No sabe",0.059,0.002,0,0.008,0.025,0,0.032
"P50","Muy buena",0.061,0.152,0.029,0.017,0.561,0,0.006
"P50","Buena",0.154,0.219,0.015,0.017,0.314,0.02,0.054
"P50","Ni buena ni mala",0.302,0.41,0.082,0.084,0.096,0.013,0.199
"P50","Mala",0.219,0.119,0.124,0.137,0,0.111,0.154
"P50","Muy mala",0.222,0.088,0.707,0.743,0.029,0.835,0.528
"P50","No sabe",0.042,0.012,0.043,0.002,0,0.021,0.059
"P51","Muy buena",0.361,0.252,0.006,0.014,0.08,0.021,0.033
"P51","Buena",0.286,0.384,0.004,0.012,0.239,0.103,0.132
"P51","Ni buena ni mala",0.242,0.218,0.036,0.057,0.287,0.055,0.178
"P51","Mala",0.078,0.091,0.126,0.138,0.126,0.119,0.069
"P51","Muy mala",0.026,0.041,0.822,0.778,0.266,0.702,0.556
"P51","No sabe",0.007,0.014,0.006,0.001,0.002,0,0.032
"P52","Muy buena",0.21,0.087,0.017,0.046,0.044,0.062,0.06
"P52","Buena",0.236,0.193,0.047,0.105,0.167,0.036,0.084
"P52","Ni buena ni mala",0.312,0.343,0.467,0.39,0.332,0.302,0.47
"P52","Mala",0.118,0.22,0.128,0.126,0.158,0.242,0.122
"P52","Muy mala",0.047,0.145,0.282,0.308,0.264,0.358,0.17
"P52","No sabe",0.077,0.012,0.059,0.025,0.035,0,0.094
"P53","Siempre",0.262,0.303,0.464,0.345,0.274,0.175,0.225
"P53","Casi siempre",0.541,0.455,0.304,0.452,0.419,0.576,0.431
"P53","Casi nunca",0.12,0.163,0.192,0.143,0.236,0.238,0.26
"P53","Nunca, pero esta es una excepción",0.077,0.079,0.04,0.06,0.071,0.011,0.084
"P54","Si",0.615,0.555,0.602,0.557,0.67,0.332,0.461
"P54","No",0.385,0.445,0.398,0.443,0.33,0.668,0.539
