"var","categoria","Patricia Bullrich por Juntos por el Cambio","Javier Milei por los liberales libertarios","No sabe"
"P29","No sabe",0.089,0.051,0.254
"P30","Sergio Massa por el Frente de Todos",0.051,0.093,0.537
"P30","Patricia Bullrich por Juntos por el Cambio",0.863,0.098,0.075
"P30","Javier Milei por los liberales libertarios",0.018,0.727,0.026
"P30","Al candidato del Frente de Izquierda",0.019,0.022,0.083
"P30","No sabe",0.049,0.06,0.279
"P32","Alberto Fernández por el Frente de Todos",0.053,0.097,0.547
"P32","Patricia Bullrich por Juntos por el Cambio",0.855,0.089,0.067
"P32","Javier Milei por los liberales libertarios",0.02,0.729,0.029
"P32","Al candidato del Frente de Izquierda",0.018,0.026,0.11
"P32","No sabe",0.054,0.059,0.247
"P34","Sergio Massa por el Frente de Todos",0.033,0.156,0.714
"P34","Mauricio Macri por Juntos por el Cambio",0.895,0.45,0.052
"P34","No sabe",0.072,0.394,0.234
"P35","Sergio Massa",0.038,0.142,0.714
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.858,0.384,0.052
"P35","No sabe",0.104,0.474,0.234
"P36","Alberto Fernández por el Frente de Todos",0.04,0.117,0.71
"P36","Mauricio Macri por Juntos por el Cambio",0.899,0.554,0.042
"P36","No sabe",0.061,0.329,0.248
"P37","Alberto Fernández",0.047,0.124,0.698
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.859,0.445,0.066
"P37","No sabe",0.094,0.431,0.236
"P38","Sergio Massa por el Frente de Todos",0.037,0.149,0.721
"P38","Patricia Bullrich por Juntos por el Cambio",0.934,0.55,0.058
"P38","No sabe",0.029,0.301,0.221
"P39","Alberto Fernández por el Frente de Todos",0.039,0.13,0.721
"P39","Patricia Bullrich por Juntos por el Cambio",0.937,0.59,0.058
"P39","No sabe",0.024,0.28,0.221
"P40","Mauricio Macri por Juntos por el Cambio",0.774,0.077,0.088
"P40","Javier Milei por los liberales libertarios",0.141,0.833,0.032
"P40","No sabe",0.085,0.09,0.88
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.782,0.12,0.082
"P41","Javier Milei por los liberales libertarios",0.124,0.846,0.031
"P41","No sabe",0.094,0.034,0.887
"P43","Muy buena",0.122,0.008,0.093
"P43","Buena",0.01,0.134,0.304
"P43","Ni buena ni mala",0.021,0.044,0.38
"P43","Mala",0.054,0.098,0.108
"P43","Muy mala",0.791,0.715,0.102
"P43","No sabe",0.002,0.001,0.013
"P44","Muy buena",0.023,0.005,0.094
"P44","Buena",0.009,0.06,0.286
"P44","Ni buena ni mala",0.025,0.067,0.334
"P44","Mala",0.084,0.125,0.158
"P44","Muy mala",0.855,0.743,0.12
"P44","No sabe",0.004,0,0.008
"P45","Muy buena",0.015,0.084,0.574
"P45","Buena",0.013,0.012,0.143
"P45","Ni buena ni mala",0.012,0.049,0.075
"P45","Mala",0.028,0.039,0.055
"P45","Muy mala",0.913,0.813,0.14
"P45","No sabe",0.019,0.003,0.013
"P46","Muy buena",0.308,0.06,0.056
"P46","Buena",0.318,0.204,0.02
"P46","Ni buena ni mala",0.176,0.266,0.072
"P46","Mala",0.05,0.131,0.15
"P46","Muy mala",0.141,0.33,0.695
"P46","No sabe",0.007,0.009,0.007
"P47","Muy buena",0.227,0.078,0.027
"P47","Buena",0.413,0.206,0.034
"P47","Ni buena ni mala",0.275,0.243,0.121
"P47","Mala",0.044,0.133,0.238
"P47","Muy mala",0.034,0.335,0.569
"P47","No sabe",0.007,0.005,0.011
"P48","Muy buena",0.055,0.047,0.121
"P48","Buena",0.077,0.095,0.291
"P48","Ni buena ni mala",0.064,0.09,0.309
"P48","Mala",0.146,0.145,0.094
"P48","Muy mala",0.654,0.592,0.167
"P48","No sabe",0.004,0.031,0.018
"P49","Muy buena",0.524,0.219,0.026
"P49","Buena",0.271,0.23,0.059
"P49","Ni buena ni mala",0.095,0.231,0.097
"P49","Mala",0.03,0.093,0.1
"P49","Muy mala",0.072,0.205,0.701
"P49","No sabe",0.008,0.022,0.017
"P50","Muy buena",0.106,0.465,0.02
"P50","Buena",0.178,0.301,0.025
"P50","Ni buena ni mala",0.41,0.119,0.082
"P50","Mala",0.161,0.024,0.126
"P50","Muy mala",0.122,0.087,0.724
"P50","No sabe",0.023,0.004,0.023
"P51","Muy buena",0.256,0.102,0.029
"P51","Buena",0.374,0.221,0.031
"P51","Ni buena ni mala",0.241,0.215,0.079
"P51","Mala",0.075,0.132,0.124
"P51","Muy mala",0.041,0.328,0.727
"P51","No sabe",0.013,0.002,0.01
"P52","Muy buena",0.11,0.061,0.045
"P52","Buena",0.208,0.164,0.073
"P52","Ni buena ni mala",0.365,0.346,0.393
"P52","Mala",0.19,0.158,0.141
"P52","Muy mala",0.108,0.244,0.291
"P52","No sabe",0.019,0.027,0.057
"P53","Siempre",0.292,0.312,0.32
"P53","Casi siempre",0.481,0.418,0.423
"P53","Casi nunca",0.161,0.191,0.196
"P53","Nunca, pero esta es una excepción",0.066,0.079,0.061
"P54","Si",0.57,0.621,0.537
"P54","No",0.43,0.379,0.463
