"var","categoria","Sergio Massa por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","No sabe"
"P23","Patricia Bullrich por Juntos por el Cambio",0.009,0.425,0.084
"P23","María Eugenia Vidal por Juntos por el Cambio",0.005,0.056,0.043
"P23","Facundo Manes por Juntos por el Cambio",0.033,0.022,0.079
"P23","Alberto Fernández por el Frente de Todos",0.263,0.01,0.119
"P23","Sergio Massa por el Frente de Todos",0.483,0.002,0.005
"P23","Javier Milei por los liberales libertarios",0.023,0.14,0.29
"P23","Al candidato del Frente de Izquierda",0.064,0.003,0.083
"P23","No sabe",0.104,0.016,0.231
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.012,0.182,0.076
"P24","Mauricio Macri por Juntos por el Cambio",0.007,0.508,0.008
"P24","Alberto Fernández por el Frente de Todos",0.25,0.032,0.1
"P24","Sergio Massa por el Frente de Todos",0.492,0.007,0.029
"P24","Javier Milei por los liberales libertarios",0.028,0.201,0.366
"P24","Al candidato del Frente de Izquierda",0.08,0.018,0.068
"P24","No sabe",0.131,0.052,0.353
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.01,0.169,0.079
"P25","Patricia Bullrich por Juntos por el Cambio",0.01,0.611,0.089
"P25","Alberto Fernández por el Frente de Todos",0.255,0.007,0.11
"P25","Sergio Massa por el Frente de Todos",0.555,0.003,0.02
"P25","Javier Milei por los liberales libertarios",0.024,0.169,0.337
"P25","Al candidato del Frente de Izquierda",0.061,0.008,0.084
"P25","No sabe",0.085,0.033,0.281
"P26","Sergio Massa por el Frente de Todos",0.784,0.008,0.021
"P26","Mauricio Macri por Juntos por el Cambio",0.01,0.684,0.013
"P26","Javier Milei por los liberales libertarios",0.036,0.241,0.4
"P26","Al candidato del Frente de Izquierda",0.075,0.004,0.077
"P26","No sabe",0.095,0.063,0.489
"P27","Alberto Fernández por el Frente de Todos",0.694,0.022,0.127
"P27","Mauricio Macri por Juntos por el Cambio",0.017,0.701,0.028
"P27","Javier Milei por los liberales libertarios",0.04,0.228,0.367
"P27","Al candidato del Frente de Izquierda",0.09,0.002,0.08
"P27","No sabe",0.159,0.047,0.398
"P28","Alberto Fernández por el Frente de Todos",0.687,0.02,0.13
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.03,0.571,0.102
"P28","Javier Milei por los liberales libertarios",0.043,0.325,0.327
"P28","Al candidato del Frente de Izquierda",0.083,0.008,0.073
"P28","No sabe",0.157,0.076,0.368
"P29","Sergio Massa por el Frente de Todos",0.779,0.019,0.031
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.019,0.599,0.102
"P29","Javier Milei por los liberales libertarios",0.04,0.32,0.316
"P29","Al candidato del Frente de Izquierda",0.07,0.004,0.103
"P29","No sabe",0.092,0.058,0.448
"P30","Sergio Massa por el Frente de Todos",0.726,0.025,0.023
"P30","Patricia Bullrich por Juntos por el Cambio",0.061,0.733,0.128
"P30","Javier Milei por los liberales libertarios",0.049,0.18,0.333
"P30","Al candidato del Frente de Izquierda",0.078,0.004,0.07
"P30","No sabe",0.086,0.058,0.446
"P32","Alberto Fernández por el Frente de Todos",0.653,0.048,0.125
"P32","Patricia Bullrich por Juntos por el Cambio",0.064,0.704,0.104
"P32","Javier Milei por los liberales libertarios",0.049,0.187,0.338
"P32","Al candidato del Frente de Izquierda",0.101,0.002,0.093
"P32","No sabe",0.133,0.059,0.34
"P35","Sergio Massa",0.956,0.014,0.043
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.028,0.846,0.152
"P35","No sabe",0.016,0.14,0.805
"P36","Alberto Fernández por el Frente de Todos",0.854,0.013,0.189
"P36","Mauricio Macri por Juntos por el Cambio",0.036,0.959,0.112
"P36","No sabe",0.11,0.028,0.699
"P37","Alberto Fernández",0.837,0.024,0.188
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.054,0.838,0.184
"P37","No sabe",0.109,0.138,0.628
"P38","Sergio Massa por el Frente de Todos",0.958,0.012,0.071
"P38","Patricia Bullrich por Juntos por el Cambio",0.025,0.927,0.275
"P38","No sabe",0.017,0.061,0.654
"P39","Alberto Fernández por el Frente de Todos",0.875,0.017,0.188
"P39","Patricia Bullrich por Juntos por el Cambio",0.026,0.946,0.287
"P39","No sabe",0.099,0.037,0.525
"P40","Mauricio Macri por Juntos por el Cambio",0.099,0.656,0.054
"P40","Javier Milei por los liberales libertarios",0.079,0.292,0.384
"P40","No sabe",0.822,0.052,0.562
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.108,0.636,0.122
"P41","Javier Milei por los liberales libertarios",0.073,0.288,0.394
"P41","No sabe",0.819,0.076,0.484
"P42","Patricia Bullrich por Juntos por el Cambio",0.034,0.737,0.125
"P42","Javier Milei por los liberales libertarios",0.093,0.213,0.394
"P42","No sabe",0.873,0.05,0.481
"P43","Muy buena",0.111,0.085,0.044
"P43","Buena",0.367,0.032,0.092
"P43","Ni buena ni mala",0.374,0.003,0.226
"P43","Mala",0.104,0.058,0.116
"P43","Muy mala",0.043,0.819,0.5
"P43","No sabe",0.001,0.003,0.022
"P44","Muy buena",0.109,0.013,0.028
"P44","Buena",0.359,0.007,0.046
"P44","Ni buena ni mala",0.347,0.003,0.203
"P44","Mala",0.139,0.089,0.174
"P44","Muy mala",0.04,0.883,0.546
"P44","No sabe",0.006,0.005,0.003
"P45","Muy buena",0.655,0.002,0.178
"P45","Buena",0.147,0.004,0.073
"P45","Ni buena ni mala",0.09,0.004,0.064
"P45","Mala",0.047,0.034,0.05
"P45","Muy mala",0.058,0.939,0.615
"P45","No sabe",0.003,0.017,0.02
"P46","Muy buena",0.07,0.275,0.011
"P46","Buena",0.02,0.345,0.033
"P46","Ni buena ni mala",0.048,0.193,0.233
"P46","Mala",0.133,0.045,0.209
"P46","Muy mala",0.724,0.134,0.504
"P46","No sabe",0.005,0.008,0.01
"P47","Muy buena",0.022,0.21,0.049
"P47","Buena",0.027,0.377,0.151
"P47","Ni buena ni mala",0.095,0.271,0.235
"P47","Mala",0.247,0.057,0.161
"P47","Muy mala",0.599,0.078,0.393
"P47","No sabe",0.01,0.007,0.011
"P48","Muy buena",0.181,0.033,0.016
"P48","Buena",0.362,0.058,0.097
"P48","Ni buena ni mala",0.304,0.067,0.185
"P48","Mala",0.062,0.145,0.183
"P48","Muy mala",0.085,0.692,0.466
"P48","No sabe",0.006,0.005,0.053
"P49","Muy buena",0.025,0.514,0.049
"P49","Buena",0.043,0.274,0.168
"P49","Ni buena ni mala",0.058,0.106,0.278
"P49","Mala",0.119,0.027,0.095
"P49","Muy mala",0.745,0.076,0.362
"P49","No sabe",0.01,0.003,0.048
"P50","Muy buena",0.025,0.221,0.181
"P50","Buena",0.015,0.203,0.205
"P50","Ni buena ni mala",0.064,0.34,0.171
"P50","Mala",0.122,0.118,0.107
"P50","Muy mala",0.766,0.098,0.298
"P50","No sabe",0.008,0.02,0.038
"P51","Muy buena",0.006,0.249,0.066
"P51","Buena",0.032,0.365,0.107
"P51","Ni buena ni mala",0.046,0.253,0.184
"P51","Mala",0.123,0.079,0.143
"P51","Muy mala",0.784,0.046,0.488
"P51","No sabe",0.009,0.008,0.012
"P52","Muy buena",0.033,0.1,0.077
"P52","Buena",0.091,0.205,0.086
"P52","Ni buena ni mala",0.395,0.34,0.406
"P52","Mala",0.161,0.193,0.098
"P52","Muy mala",0.284,0.143,0.254
"P52","No sabe",0.036,0.019,0.079
"P53","Siempre",0.36,0.283,0.275
"P53","Casi siempre",0.42,0.466,0.431
"P53","Casi nunca",0.169,0.187,0.196
"P53","Nunca, pero esta es una excepción",0.051,0.064,0.098
"P54","Si",0.567,0.603,0.485
"P54","No",0.433,0.397,0.515
