"var","categoria","Empleado sector publico","Empleado sector privado","Changas o trabajos eventuales","Estudiante","Amas de casa","Profesional o independiente","Comerciante, emprendedor o empresario","Trabajador informal","No tengo trabajo"
"P24","No sabe",0.019,0.013,0,0.151,0.1,0.022,0.032,0,0.015
"P25","Muy de acuerdo",0.134,0.077,0.158,0.164,0.172,0.175,0.088,0.029,0.12
"P25","De acuerdo",0.127,0.2,0.075,0.128,0.195,0.262,0.322,0.035,0.085
"P25","Ni de acuerdo ni en desacuerdo",0.215,0.223,0.419,0.169,0.084,0.081,0.09,0.087,0.173
"P25","En desacuerdo",0.323,0.269,0.254,0.387,0.336,0.291,0.384,0.802,0.355
"P25","Muy en desacuerdo",0.188,0.231,0.083,0.152,0.205,0.191,0.116,0.047,0.251
"P25","No sabe",0.013,0,0.011,0,0.008,0,0,0,0.016
"P26","Si",0.764,0.683,0.459,0.843,0.726,0.633,0.698,0.29,0.53
"P26","No",0.236,0.317,0.541,0.157,0.274,0.367,0.302,0.71,0.47
"P27","Muy de acuerdo",0.225,0.182,0.115,0.606,0.087,0.196,0.181,0.03,0.069
"P27","De acuerdo",0.171,0.166,0.188,0,0.29,0.088,0.167,0.279,0.089
"P27","Ni de acuerdo ni en desacuerdo",0.195,0.255,0.316,0.017,0.326,0.277,0.322,0.284,0.222
"P27","En desacuerdo",0.278,0.218,0.219,0.377,0.241,0.24,0.205,0.126,0.312
"P27","Muy en desacuerdo",0.131,0.176,0.162,0,0.056,0.199,0.125,0.281,0.296
"P27","No sabe",0,0.003,0,0,0,0,0,0,0.012
"P28","Si",0.839,0.674,0.531,0.853,0.397,0.764,0.708,0.367,0.645
"P28","No",0.161,0.326,0.469,0.147,0.603,0.236,0.292,0.633,0.355
"P29","Muy de acuerdo",0.155,0.193,0.235,0.223,0.071,0.09,0.238,0.039,0.179
"P29","De acuerdo",0.294,0.297,0.114,0.38,0.183,0.432,0.184,0.039,0.061
"P29","Ni de acuerdo ni en desacuerdo",0.18,0.197,0.244,0.016,0.531,0.191,0.24,0.265,0.199
"P29","En desacuerdo",0.205,0.18,0.31,0.177,0.127,0.136,0.338,0.314,0.366
"P29","Muy en desacuerdo",0.157,0.116,0.097,0,0.088,0.122,0,0.051,0.189
"P29","No sabe",0.009,0.017,0,0.204,0,0.029,0,0.292,0.006
"P30","No estaba enterado",0.108,0.192,0.254,0,0.263,0.227,0.296,0.456,0.272
"P30","De acuerdo",0.448,0.389,0.343,0.795,0.348,0.544,0.438,0.086,0.175
"P30","En desacuerdo",0.358,0.336,0.369,0.205,0.348,0.195,0.185,0.12,0.508
"P30","No sabe",0.086,0.083,0.034,0,0.041,0.034,0.081,0.338,0.045
"P31","No tengo cable ni internet",0.123,0.116,0.266,0,0.285,0.055,0.086,0.323,0.216
"P31","Si tuve",0.478,0.571,0.435,0.706,0.333,0.631,0.558,0.572,0.659
"P31","No tuve",0.399,0.313,0.299,0.294,0.382,0.314,0.356,0.105,0.125
"P32","Reclamando directamente a la empresa",0.312,0.169,0.154,0,0.312,0.483,0.092,0.51,0.441
"P32","Reclamando en el Enacom porque la empresa nunca lo resolvió",0.298,0.49,0.235,0.523,0.555,0.273,0.534,0.102,0.326
"P32","Nunca se pudo resolver",0.39,0.341,0.611,0.477,0.133,0.244,0.374,0.388,0.233
"P33","1-Excelente",0.051,0.079,0.188,0.246,0.165,0.073,0.105,0,0.268
"P33","2",0.152,0.14,0.16,0,0.189,0.117,0,0.111,0.074
"P33","3",0.111,0.063,0,0,0.109,0.085,0.064,0.082,0.032
"P33","4",0.026,0.019,0.018,0,0,0.048,0.069,0.47,0.023
"P33","5",0.226,0.119,0.23,0.425,0.084,0.141,0.194,0.186,0.055
"P33","6",0.107,0.034,0.007,0,0.036,0.073,0.03,0.084,0.057
"P33","7",0.011,0.088,0.008,0,0.036,0.039,0.059,0,0.006
"P33","8",0.127,0.103,0.114,0.329,0.088,0.012,0.11,0,0.051
"P33","9-Pésimo",0.157,0.307,0.228,0,0.094,0.297,0.315,0.067,0.423
"P33","No sabe",0.032,0.048,0.047,0,0.199,0.115,0.054,0,0.011
"P34","1-Excelente",0.227,0.059,0.195,0.244,0.182,0.239,0.071,0,0.266
"P34","2",0.072,0.103,0.121,0,0.077,0.029,0.065,0.113,0.065
"P34","3",0.061,0.063,0.009,0,0.021,0.137,0.088,0,0.036
"P34","4",0.048,0.063,0.134,0,0.082,0.037,0.094,0.152,0.039
"P34","5",0.168,0.083,0.143,0.224,0.133,0.122,0.151,0.191,0.088
"P34","6",0.052,0.03,0.052,0,0.04,0.034,0.03,0.084,0.006
"P34","7",0.05,0.02,0.009,0,0,0.019,0.047,0,0.03
"P34","8",0.12,0.122,0.005,0.022,0.023,0.139,0.082,0.392,0.028
"P34","9-Pésimo",0.202,0.41,0.289,0.51,0.176,0.224,0.321,0.068,0.442
"P34","No sabe",0,0.047,0.043,0,0.266,0.02,0.051,0,0
"P35","1-Excelente",0.102,0.047,0.193,0.244,0.013,0.179,0.071,0,0.187
"P35","2",0.068,0.179,0.077,0,0.116,0.031,0.101,0.114,0.152
"P35","3",0.146,0.07,0.043,0,0.293,0.18,0.075,0.476,0.028
"P35","4",0.075,0.061,0.101,0,0.212,0.084,0.046,0,0.023
"P35","5",0.198,0.074,0.129,0.224,0.112,0.056,0.232,0.41,0.065
"P35","6",0.049,0.066,0.017,0.204,0.04,0.06,0,0,0.031
"P35","7",0.123,0.087,0.022,0,0,0.045,0.107,0,0.009
"P35","8",0.081,0.103,0.113,0,0.04,0.038,0.058,0,0.036
"P35","9-Pésimo",0.111,0.263,0.209,0.328,0.105,0.283,0.259,0,0.441
"P35","No sabe",0.047,0.05,0.096,0,0.069,0.044,0.051,0,0.028
"P36","1-Excelente",0.138,0.135,0.123,0.179,0.074,0.085,0.055,0,0.118
"P36","2",0.093,0.149,0.191,0,0.062,0.083,0,0.115,0.136
"P36","3",0.11,0.021,0.033,0,0.107,0.122,0.166,0.325,0.024
"P36","4",0.039,0.049,0.049,0,0.323,0.01,0.042,0.152,0.042
"P36","5",0.314,0.133,0.119,0.236,0.13,0.257,0.16,0,0.092
"P36","6",0.067,0.055,0.107,0,0.044,0.02,0.048,0,0.041
"P36","7",0.045,0.032,0.015,0,0.044,0.014,0,0,0.028
"P36","8",0.072,0.027,0.103,0.585,0.023,0.04,0.046,0.344,0.009
"P36","9-Pésimo",0.091,0.334,0.197,0,0.117,0.329,0.385,0.064,0.48
"P36","No sabe",0.031,0.065,0.063,0,0.076,0.04,0.098,0,0.03
"P37","Oponerse totalmente y elevar un recurso de amparo ante la corte",0.54,0.406,0.417,0.252,0.598,0.297,0.301,0.361,0.682
"P37","Oponerse y tratar de negociar con el gobierno nacional a cambio de apoyo legislativo en otros temas",0.075,0.238,0.263,0.339,0.185,0.25,0.162,0.06,0.114
"P37","Apoyar las iniciativas del gobierno nacional y así no tener problemas con la participación",0.158,0.176,0.172,0.409,0,0.244,0.264,0,0.034
"P37","Apoyar totalmente la iniciativa del gobierno nacional porque es lo que votó la mayoría del pueblo argentino",0.215,0.176,0.148,0,0.191,0.199,0.249,0.237,0.17
"P37","No sabe",0.012,0.004,0,0,0.026,0.01,0.024,0.342,0
"P38","Oponerse totalmente y no concurrir a la convocatoria",0.377,0.35,0.326,0.251,0.141,0.381,0.108,0.131,0.599
"P38","Oponerse parcialmente y concurrir a la convocatoria",0.186,0.182,0.118,0.338,0.484,0.078,0.251,0.41,0.091
"P38","Apoyar la iniciativa del gobierno nacional y negociar otros temas en discusión",0.24,0.355,0.463,0.015,0.132,0.382,0.473,0.34,0.102
"P38","Apoyar totalmente la iniciativa del gobierno nacional",0.197,0.076,0.093,0.396,0.243,0.136,0.139,0.119,0.18
"P38","No sabe",0,0.037,0,0,0,0.023,0.029,0,0.028
"P39","Oponerse totalmente",0.326,0.353,0.423,0.252,0.526,0.388,0.082,0.31,0.557
"P39","Oponerse parcialmente",0.116,0.166,0.032,0.336,0.226,0.057,0.251,0.23,0.11
"P39","Apoyar parcialmente",0.351,0.297,0.411,0.015,0.248,0.155,0.378,0.341,0.096
"P39","Apoyar totalmente",0.196,0.164,0.121,0.397,0,0.382,0.289,0.119,0.202
"P39","No sabe",0.011,0.02,0.013,0,0,0.018,0,0,0.035
"P40","Inseguridad y narcotráfico",0.272,0.184,0.621,0.311,0.523,0.29,0.372,0.217,0.425
"P40","Altos impuestos y tarifas",0.26,0.213,0.105,0.159,0.194,0.119,0,0.066,0.177
"P40","Educación y estado de las escuelas",0.186,0.166,0.106,0.311,0.245,0.345,0.125,0.205,0.134
"P40","Inflación",0.152,0.083,0.012,0.219,0.015,0.125,0.249,0,0.028
"P40","Estado de la salud",0.093,0.301,0.156,0,0.023,0.06,0.157,0,0.043
"P40","Corrupción",0.027,0.046,0,0,0,0.055,0,0,0.041
"P40","Pobreza",0,0,0,0,0,0.006,0,0,0.006
"P40","Medio ambiente, incendios y contaminación",0,0,0,0,0,0,0.097,0.175,0
"P40","Falta de trabajo",0.01,0.007,0,0,0,0,0,0,0.032
"P40","No sabe",0,0,0,0,0,0,0,0.337,0.114
"P44","Muy buena",0.012,0.003,0,0.163,0.093,0,0,0,0.087
"P44","Buena",0,0.147,0.047,0,0.12,0.197,0,0.179,0.035
"P44","Ni buena ni mala",0.463,0.276,0.358,0,0.305,0.343,0.282,0.29,0.271
"P44","Mala",0.408,0.244,0.214,0.604,0.432,0.323,0.54,0.471,0.186
"P44","Muy mala",0.106,0.33,0.352,0.233,0.05,0.137,0.122,0.06,0.393
"P44","No sabe",0.011,0,0.029,0,0,0,0.056,0,0.028
"P45","Peor",0.642,0.644,0.906,0.839,0.523,0.788,0.805,0.721,0.756
"P45","Igual",0.285,0.255,0.067,0.161,0.385,0.187,0.153,0.162,0.223
"P45","Mejor",0.014,0.037,0.027,0,0.092,0,0.042,0.058,0
"P45","No sabe",0.059,0.064,0,0,0,0.025,0,0.059,0.021
"P46","Peor",0.476,0.589,0.718,0.542,0.565,0.427,0.757,0.859,0.644
"P46","Igual",0.287,0.239,0.223,0.148,0.233,0.335,0.051,0.078,0.233
"P46","Mejor",0.118,0.137,0.043,0.31,0.175,0.199,0.156,0.063,0.105
"P46","No sabe",0.119,0.035,0.016,0,0.027,0.039,0.036,0,0.018
"P47","Javier Milei",0.408,0.462,0.588,0.47,0.31,0.442,0.59,0.128,0.202
"P47","Los gobernadores",0.449,0.46,0.383,0.53,0.551,0.516,0.383,0.536,0.352
"P47","No sabe",0.143,0.078,0.029,0,0.139,0.042,0.027,0.336,0.446
"P48","Muy buena",0.142,0.043,0.011,0.221,0.271,0.021,0.072,0,0.039
"P48","Buena",0.179,0.21,0.06,0,0.139,0.042,0.33,0.47,0.157
"P48","Ni buena ni mala",0.294,0.235,0.32,0.011,0.376,0.371,0.283,0.466,0.114
"P48","Mala",0.307,0.275,0.37,0.459,0.167,0.476,0.191,0,0.173
"P48","Muy mala",0.078,0.237,0.239,0.309,0.047,0.09,0.124,0.064,0.517
"P48","No sabe",0,0,0,0,0,0,0,0,0
"P49","Muy buena",0.167,0.048,0.006,0,0,0.038,0.111,0.064,0.073
"P49","Buena",0.051,0.12,0.079,0,0.157,0.046,0.026,0.219,0.094
"P49","Ni buena ni mala",0.196,0.134,0.309,0,0.259,0.261,0.299,0.078,0.098
"P49","Mala",0.253,0.345,0.527,0.371,0.351,0.352,0.261,0.4,0.177
"P49","Muy mala",0.333,0.347,0.079,0.629,0.233,0.303,0.303,0.173,0.558
"P49","No sabe",0,0.006,0,0,0,0,0,0.066,0
"P50","Muy buena",0.15,0.06,0.099,0,0.166,0.009,0.159,0,0.16
"P50","Buena",0.195,0.28,0.065,0,0.308,0.105,0,0.066,0.058
"P50","Ni buena ni mala",0.201,0.187,0.258,0.531,0.209,0.328,0.364,0.297,0.146
"P50","Mala",0.151,0.139,0.462,0.149,0.293,0.294,0.086,0.064,0.097
"P50","Muy mala",0.303,0.328,0.116,0.309,0.024,0.259,0.391,0.237,0.455
"P50","No sabe",0,0.006,0,0.011,0,0.005,0,0.336,0.084
"P51","Muy buena",0.188,0.02,0.13,0.149,0.146,0.014,0.074,0,0.136
"P51","Buena",0.172,0.199,0.207,0,0.066,0.103,0.093,0.064,0.079
"P51","Ni buena ni mala",0.323,0.297,0.39,0,0.471,0.369,0.506,0.303,0.194
"P51","Mala",0.144,0.077,0.127,0.531,0.155,0.353,0.176,0.232,0.13
"P51","Muy mala",0.156,0.279,0.022,0.32,0.12,0.161,0.151,0,0.423
"P51","No sabe",0.017,0.128,0.124,0,0.042,0,0,0.401,0.038
"P54","Muy buena",0.289,0.107,0.118,0.222,0.163,0.239,0.068,0.239,0.225
"P54","Buena",0.091,0.234,0.092,0,0.366,0.093,0.188,0.078,0.03
"P54","Ni buena ni mala",0.107,0.104,0.123,0.309,0.081,0.063,0.128,0.401,0.046
"P54","Mala",0.141,0.059,0.327,0.149,0.155,0.249,0.06,0.154,0.186
"P54","Muy mala",0.372,0.496,0.34,0.32,0.235,0.32,0.556,0.128,0.513
"P54","No sabe",0,0,0,0,0,0.036,0,0,0
"P55","Muy buena",0.106,0.042,0,0.149,0.155,0.048,0.06,0.128,0.111
"P55","Buena",0.192,0.293,0.262,0,0.221,0.103,0.181,0,0.122
"P55","Ni buena ni mala",0.155,0.138,0.132,0.309,0.187,0.194,0.274,0,0.031
"P55","Mala",0.165,0.145,0.238,0.011,0.21,0.408,0.128,0.633,0.103
"P55","Muy mala",0.382,0.382,0.357,0.531,0.227,0.247,0.357,0.239,0.625
"P55","No sabe",0,0,0.011,0,0,0,0,0,0.008
"P56","Muy buena",0.04,0.027,0.025,0,0.124,0.015,0.094,0.066,0.085
"P56","Buena",0.154,0.16,0.221,0.531,0.105,0.272,0.089,0.317,0.061
"P56","Ni buena ni mala",0.194,0.181,0.109,0,0.267,0.072,0.193,0,0.193
"P56","Mala",0.189,0.228,0.336,0.149,0.294,0.284,0.223,0.154,0.147
"P56","Muy mala",0.423,0.398,0.309,0.32,0.21,0.321,0.401,0.128,0.514
"P56","No sabe",0,0.006,0,0,0,0.036,0,0.335,0
"P57","Muy buena",0.257,0.171,0.117,0.221,0.396,0.159,0.072,0.239,0.23
"P57","Buena",0.085,0.152,0.039,0.308,0.045,0.057,0.134,0,0.032
"P57","Ni buena ni mala",0.009,0.219,0.077,0,0.087,0.044,0.175,0.079,0.117
"P57","Mala",0.283,0.076,0.459,0.152,0.268,0.216,0.061,0.218,0.107
"P57","Muy mala",0.366,0.359,0.302,0.319,0.204,0.312,0.558,0.129,0.514
"P57","No sabe",0,0.023,0.006,0,0,0.212,0,0.335,0
"P58","Muy buena",0.196,0.112,0.277,0.46,0.225,0.438,0.308,0.129,0.195
"P58","Buena",0.236,0.283,0.194,0,0.216,0.081,0.164,0,0.064
"P58","Ni buena ni mala",0.144,0.208,0.123,0.011,0,0.032,0.147,0,0.074
"P58","Mala",0.065,0.143,0.119,0,0.252,0.055,0.106,0.079,0.045
"P58","Muy mala",0.359,0.254,0.287,0.529,0.307,0.385,0.275,0.457,0.614
"P58","No sabe",0,0,0,0,0,0.009,0,0.335,0.008
"P59","Muy buena",0.358,0.195,0.224,0.152,0.229,0.302,0.351,0.129,0.158
"P59","Buena",0.104,0.274,0.362,0,0.159,0.058,0.237,0,0.133
"P59","Ni buena ni mala",0.032,0.115,0.025,0.319,0.082,0.197,0.031,0,0.066
"P59","Mala",0.131,0.045,0.242,0,0.018,0.024,0.205,0.079,0.04
"P59","Muy mala",0.375,0.371,0.147,0.529,0.512,0.411,0.176,0.457,0.603
"P59","No sabe",0,0,0,0,0,0.008,0,0.335,0
"P60","Muy buena",0.352,0.201,0.461,0.459,0.229,0.525,0.29,0.129,0.167
"P60","Buena",0.1,0.295,0.133,0,0.159,0.018,0.303,0,0.101
"P60","Ni buena ni mala",0.073,0.091,0.121,0.308,0.187,0.013,0.026,0,0.089
"P60","Mala",0.127,0.044,0.038,0.233,0,0.046,0,0.145,0.039
"P60","Muy mala",0.348,0.355,0.247,0,0.425,0.389,0.381,0.392,0.604
"P60","No sabe",0,0.014,0,0,0,0.009,0,0.334,0
"P61","Muy buena",0.054,0.049,0.022,0.151,0.087,0.042,0.15,0,0.073
"P61","Buena",0.161,0.188,0.299,0,0.194,0.269,0.221,0.064,0.125
"P61","Ni buena ni mala",0.338,0.507,0.423,0.308,0.435,0.322,0.468,0.173,0.155
"P61","Mala",0.274,0.078,0.09,0.541,0.152,0.075,0.109,0.362,0.171
"P61","Muy mala",0.162,0.154,0.043,0,0.132,0.115,0.052,0.066,0.404
"P61","No sabe",0.011,0.024,0.123,0,0,0.177,0,0.335,0.072
