"var","categoria","Sergio Massa por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P28","Al candidato del Frente de Izquierda",0.025,0.006,0.003,0.804,0.025
"P28","No sabe",0.145,0.114,0.026,0.026,0.559
"P29","Sergio Massa por el Frente de Todos",0.897,0.027,0.01,0.148,0.096
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.034,0.754,0.101,0.031,0.195
"P29","Javier Milei por los liberales libertarios",0.015,0.118,0.861,0.046,0.036
"P29","Al candidato del Frente de Izquierda",0.008,0.004,0.013,0.75,0.015
"P29","No sabe",0.046,0.097,0.015,0.025,0.658
"P30","Sergio Massa por el Frente de Todos",0.864,0.07,0.009,0.083,0.088
"P30","Patricia Bullrich por Juntos por el Cambio",0.076,0.83,0.201,0.019,0.193
"P30","Javier Milei por los liberales libertarios",0.009,0.048,0.773,0.045,0.04
"P30","Al candidato del Frente de Izquierda",0.007,0.002,0.001,0.816,0.015
"P30","No sabe",0.044,0.05,0.016,0.037,0.664
"P32","Alberto Fernández por el Frente de Todos",0.738,0.1,0.038,0.114,0.191
"P32","Patricia Bullrich por Juntos por el Cambio",0.089,0.783,0.176,0.023,0.191
"P32","Javier Milei por los liberales libertarios",0.02,0.054,0.768,0.044,0.039
"P32","Al candidato del Frente de Izquierda",0.039,0.004,0.001,0.798,0.024
"P32","No sabe",0.114,0.059,0.017,0.021,0.555
"P34","Sergio Massa por el Frente de Todos",0.952,0.029,0.06,0.572,0.211
"P34","Mauricio Macri por Juntos por el Cambio",0.024,0.948,0.535,0.09,0.193
"P34","No sabe",0.024,0.023,0.405,0.338,0.596
"P35","Sergio Massa",0.938,0.029,0.072,0.575,0.21
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.041,0.877,0.465,0.094,0.255
"P35","No sabe",0.021,0.094,0.463,0.331,0.535
"P36","Alberto Fernández por el Frente de Todos",0.827,0.022,0.057,0.647,0.298
"P36","Mauricio Macri por Juntos por el Cambio",0.055,0.952,0.602,0.077,0.2
"P36","No sabe",0.118,0.026,0.341,0.276,0.502
"P37","Alberto Fernández",0.823,0.036,0.06,0.667,0.264
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.075,0.87,0.495,0.107,0.258
"P37","No sabe",0.102,0.094,0.445,0.226,0.478
"P38","Sergio Massa por el Frente de Todos",0.944,0.033,0.048,0.66,0.24
"P38","Patricia Bullrich por Juntos por el Cambio",0.027,0.92,0.671,0.091,0.278
"P38","No sabe",0.029,0.047,0.281,0.249,0.482
"P39","Alberto Fernández por el Frente de Todos",0.858,0.03,0.034,0.676,0.295
"P39","Patricia Bullrich por Juntos por el Cambio",0.029,0.938,0.717,0.092,0.31
