"var","categoria","Mauricio Macri por Juntos por el Cambio","Horacio Rodríguez Larreta por Juntos por el Cambio","Patricia Bullrich por Juntos por el Cambio","María Eugenia Vidal por Juntos por el Cambio","Facundo Manes por Juntos por el Cambio","Alberto Fernández por el Frente de Todos","Sergio Massa por el Frente de Todos","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P10","A Sergio Massa",0.227,0.318,0.009,0.247,0.183,0.143,0.417,0.032,0.032,0.039
"P10","A algún candidato del peronismo",0.644,0.405,0.699,0.293,0.212,0.091,0.112,0.649,0.092,0.233
"P10","A algún candidato del kirchnerismo",0.051,0.077,0.207,0.398,0.5,0.349,0.401,0.128,0.864,0.606
"P11","A Alberto Fernández",0.05,0.2,0.059,0.062,0.137,0.347,0.04,0,0.004,0.029
"P11","A Sergio Massa",0.262,0.318,0.082,0.108,0.052,0.089,0.283,0.053,0,0.012
"P11","A algún candidato del peronismo",0.637,0.381,0.674,0.139,0.149,0.092,0.086,0.569,0.083,0.151
"P11","A Cristina Fernández de Kirchner",0.051,0.101,0.185,0.691,0.662,0.472,0.591,0.378,0.913,0.808
"P12","A Horacio Rodriguez Larreta",0.099,0.743,0.098,0.426,0.085,0.159,0.226,0.223,0,0.138
"P12","A Mauricio Macri",0.787,0.14,0.143,0.239,0.104,0.345,0.316,0.043,0.444,0.28
"P12","A Patricia Bullrich",0.074,0.038,0.741,0.224,0.145,0.098,0.074,0.649,0,0.161
"P12","A Facundo Manes",0.012,0.034,0.001,0.017,0.569,0.062,0.322,0.067,0.556,0.085
"P12","A Gerardo Morales",0.028,0.045,0.017,0.094,0.097,0.336,0.062,0.018,0,0.336
"P13","Seguro lo votaria",0.177,0.182,0.108,0.332,0.171,0.167,0.2,0.343,0.334,0
"P13","Quizás lo votaría",0.327,0.261,0.36,0.296,0.247,0.254,0.394,0.228,0,0.405
"P13","Nunca lo votaría",0.496,0.557,0.532,0.372,0.582,0.579,0.406,0.429,0.666,0.595
"P14","Lo votaría",0.764,0.241,0.412,0.362,0.147,0.043,0.012,0.063,0.011,0.032
"P14","Puede que lo vote",0.115,0.421,0.357,0.424,0.22,0.059,0.063,0.345,0.017,0.051
"P14","Nunca lo votaría",0.1,0.236,0.174,0.129,0.527,0.817,0.849,0.502,0.897,0.689
"P14","No sabe",0.021,0.102,0.057,0.085,0.106,0.081,0.076,0.09,0.075,0.228
"P15","Lo votaría",0.114,0.081,0.065,0.081,0.041,0.246,0.477,0.024,0.036,0.043
"P15","Puede que lo vote",0.047,0.141,0.059,0.105,0.252,0.33,0.382,0.037,0.309,0.273
"P15","Nunca lo votaría",0.813,0.733,0.833,0.764,0.643,0.258,0.099,0.899,0.563,0.418
"P15","No sabe",0.026,0.045,0.043,0.05,0.064,0.166,0.042,0.04,0.092,0.266
"P16","Lo votaría",0.025,0.041,0.013,0.007,0.035,0.473,0.166,0.015,0.021,0.049
"P16","Puede que lo vote",0.016,0.065,0.017,0.029,0.106,0.399,0.529,0.013,0.311,0.244
"P16","Nunca lo votaría",0.942,0.857,0.954,0.941,0.829,0.069,0.201,0.961,0.603,0.478
"P16","No sabe",0.017,0.037,0.016,0.023,0.03,0.059,0.104,0.011,0.065,0.229
"P17","La votaría",0.028,0.033,0.018,0.02,0.115,0.786,0.699,0.015,0.462,0.405
"P17","Puede que la vote",0.024,0.052,0.002,0.02,0.07,0.101,0.14,0.019,0.183,0.075
"P17","Nunca la votaría",0.943,0.891,0.971,0.922,0.784,0.085,0.135,0.95,0.319,0.401
"P17","No sabe",0.005,0.024,0.009,0.038,0.031,0.028,0.026,0.016,0.036,0.119
"P18","Lo votaría",0.205,0.633,0.152,0.212,0.159,0.092,0.088,0.02,0.023,0.051
"P18","Puede que lo vote",0.452,0.239,0.506,0.439,0.364,0.057,0.067,0.215,0.029,0.101
"P18","Nunca lo votaría",0.299,0.087,0.313,0.244,0.423,0.749,0.806,0.708,0.913,0.672
"P18","No sabe",0.044,0.041,0.029,0.105,0.054,0.102,0.039,0.057,0.035,0.176
"P19","Lo votaría",0.06,0.202,0.084,0.078,0.493,0.022,0.036,0.018,0.025,0.019
"P19","Puede que lo vote",0.264,0.368,0.304,0.443,0.306,0.122,0.147,0.214,0.172,0.124
"P19","Nunca lo votaría",0.556,0.294,0.522,0.232,0.11,0.695,0.683,0.673,0.677,0.573
"P19","No sabe",0.12,0.136,0.09,0.247,0.091,0.161,0.134,0.095,0.126,0.284
"P20","La votaría",0.466,0.251,0.736,0.296,0.174,0.025,0.025,0.163,0.039,0.015
"P20","Puede que la vote",0.312,0.397,0.167,0.392,0.257,0.045,0.045,0.419,0.046,0.065
"P20","Nunca la votaría",0.187,0.262,0.082,0.22,0.463,0.818,0.91,0.366,0.881,0.701
"P20","No sabe",0.035,0.09,0.015,0.092,0.106,0.112,0.02,0.052,0.034,0.219
"P21","Lo votaría",0.195,0.085,0.221,0.124,0.05,0.032,0.03,0.801,0.019,0.012
"P21","Puede que lo vote",0.292,0.266,0.357,0.31,0.223,0.061,0.061,0.125,0.017,0.098
"P21","Nunca lo votaría",0.456,0.55,0.377,0.413,0.634,0.822,0.88,0.067,0.946,0.685
"P21","No sabe",0.057,0.099,0.045,0.153,0.093,0.085,0.029,0.007,0.018,0.205
"P22","La votaría",0.197,0.238,0.206,0.489,0.119,0.015,0.046,0.126,0.01,0.01
"P22","Puede que la vote",0.411,0.377,0.392,0.162,0.274,0.043,0.038,0.21,0.038,0.072
"P22","Nunca la votaría",0.293,0.287,0.313,0.178,0.53,0.834,0.855,0.612,0.888,0.693
"P22","No sabe",0.099,0.098,0.089,0.171,0.077,0.108,0.061,0.052,0.064,0.225
"P24","Horacio Rodríguez Larreta por Juntos por el Cambio",0.164,0.794,0.163,0.31,0.19,0.002,0.007,0.018,0.004,0.019
"P24","Mauricio Macri por Juntos por el Cambio",0.688,0.108,0.469,0.308,0.132,0.008,0.003,0.015,0.014,0.027
"P24","Alberto Fernández por el Frente de Todos",0.025,0.009,0.077,0.015,0.049,0.727,0.066,0,0.041,0.065
"P24","Sergio Massa por el Frente de Todos",0.004,0.003,0.012,0.099,0.073,0.136,0.825,0.007,0.074,0.083
"P24","Javier Milei por los liberales libertarios",0.03,0.005,0.162,0.133,0.213,0.015,0.015,0.933,0.048,0.045
"P24","Al candidato del Frente de Izquierda",0.078,0,0.014,0.015,0.086,0.042,0.019,0.006,0.746,0.02
"P24","No sabe",0.011,0.081,0.103,0.12,0.257,0.07,0.065,0.021,0.073,0.741
"P25","Horacio Rodríguez Larreta por Juntos por el Cambio",0.235,0.821,0.048,0.29,0.279,0,0.005,0.008,0.002,0.032
"P25","Patricia Bullrich por Juntos por el Cambio",0.565,0.079,0.823,0.324,0.121,0.027,0.005,0.032,0.043,0.029
"P25","Alberto Fernández por el Frente de Todos",0.012,0.031,0.012,0.013,0.039,0.735,0.096,0,0.037,0.078
"P25","Sergio Massa por el Frente de Todos",0.015,0.039,0.005,0.023,0.105,0.154,0.855,0.007,0.12,0.091
"P25","Javier Milei por los liberales libertarios",0.093,0.011,0.08,0.23,0.129,0.016,0.009,0.937,0.023,0.039
"P25","Al candidato del Frente de Izquierda",0.017,0,0.003,0,0.091,0.012,0.001,0.006,0.735,0.039
"P25","No sabe",0.063,0.019,0.029,0.12,0.236,0.056,0.029,0.01,0.04,0.692
"P26","Sergio Massa por el Frente de Todos",0.014,0.091,0.02,0.046,0.155,0.651,0.872,0.007,0.094,0.214
"P26","Mauricio Macri por Juntos por el Cambio",0.864,0.519,0.615,0.576,0.248,0.04,0.034,0.015,0.012,0.045
"P26","Javier Milei por los liberales libertarios",0.072,0.134,0.226,0.143,0.157,0.016,0.027,0.937,0.037,0.036
"P26","Al candidato del Frente de Izquierda",0.01,0.008,0.009,0.039,0.072,0.032,0.015,0.001,0.767,0.032
"P26","No sabe",0.04,0.248,0.13,0.196,0.368,0.261,0.052,0.04,0.09,0.673
"P27","Alberto Fernández por el Frente de Todos",0.008,0.053,0.013,0.031,0.074,0.868,0.703,0.005,0.11,0.25
"P27","Mauricio Macri por Juntos por el Cambio",0.871,0.609,0.652,0.675,0.283,0.013,0.024,0.014,0.018,0.047
"P27","Javier Milei por los liberales libertarios",0.057,0.121,0.207,0.126,0.148,0.009,0.042,0.944,0.029,0.029
"P27","Al candidato del Frente de Izquierda",0.014,0.007,0.004,0.004,0.098,0.026,0.038,0.011,0.74,0.034
"P27","No sabe",0.05,0.21,0.124,0.164,0.397,0.084,0.193,0.026,0.103,0.64
"P28","Alberto Fernández por el Frente de Todos",0.026,0.019,0.02,0.017,0.063,0.841,0.713,0.006,0.069,0.236
"P28","Horacio Rodríguez Larreta por Juntos por el Cambio",0.608,0.915,0.545,0.631,0.397,0.007,0.047,0.014,0.007,0.062
"P28","Javier Milei por los liberales libertarios",0.162,0.028,0.289,0.093,0.14,0.01,0.035,0.941,0.041,0.026
"P28","Al candidato del Frente de Izquierda",0.017,0.001,0.009,0.004,0.078,0.022,0.02,0.005,0.818,0.052
"P28","No sabe",0.187,0.037,0.137,0.255,0.322,0.12,0.185,0.034,0.065,0.624
"P29","Sergio Massa por el Frente de Todos",0.02,0.015,0.028,0.015,0.14,0.678,0.884,0.005,0.189,0.256
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.645,0.92,0.543,0.625,0.404,0.026,0.012,0.029,0.004,0.045
"P29","Javier Milei por los liberales libertarios",0.161,0.015,0.288,0.146,0.128,0.018,0.024,0.934,0.041,0.023
"P29","Al candidato del Frente de Izquierda",0.003,0,0.006,0,0.069,0.042,0.012,0.021,0.714,0.021
"P29","No sabe",0.171,0.05,0.135,0.214,0.259,0.236,0.068,0.011,0.052,0.655
"P30","Sergio Massa por el Frente de Todos",0.048,0.151,0.035,0.069,0.147,0.6,0.857,0.005,0.123,0.25
"P30","Patricia Bullrich por Juntos por el Cambio",0.747,0.505,0.847,0.605,0.264,0.081,0.063,0.048,0.031,0.057
"P30","Javier Milei por los liberales libertarios",0.105,0.101,0.078,0.178,0.17,0.021,0.024,0.919,0.023,0.022
"P30","Al candidato del Frente de Izquierda",0.008,0.004,0,0.008,0.082,0.031,0.017,0.004,0.743,0.024
"P30","No sabe",0.092,0.239,0.04,0.14,0.337,0.267,0.039,0.024,0.08,0.647
"P32","Alberto Fernández por el Frente de Todos",0.107,0.143,0.069,0.088,0.096,0.773,0.692,0.009,0.077,0.253
"P32","Patricia Bullrich por Juntos por el Cambio",0.697,0.459,0.823,0.494,0.265,0.084,0.068,0.039,0.023,0.063
"P32","Javier Milei por los liberales libertarios",0.097,0.15,0.074,0.182,0.182,0.013,0.035,0.941,0.021,0.012
"P32","Al candidato del Frente de Izquierda",0.016,0.009,0,0.024,0.096,0.008,0.053,0.005,0.844,0.026
"P32","No sabe",0.083,0.239,0.034,0.212,0.361,0.122,0.152,0.006,0.035,0.646
"P34","Sergio Massa por el Frente de Todos",0.025,0.096,0.027,0.025,0.259,0.74,0.961,0.05,0.591,0.401
"P34","Mauricio Macri por Juntos por el Cambio",0.946,0.711,0.839,0.73,0.356,0.026,0.014,0.492,0.041,0.122
"P34","No sabe",0.029,0.193,0.134,0.245,0.385,0.234,0.025,0.458,0.368,0.477
"P35","Sergio Massa",0.045,0.031,0.02,0.02,0.216,0.748,0.967,0.072,0.617,0.407
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.814,0.907,0.791,0.792,0.553,0.025,0.012,0.354,0.024,0.115
"P35","No sabe",0.141,0.062,0.189,0.188,0.231,0.227,0.021,0.574,0.359,0.478
"P36","Alberto Fernández por el Frente de Todos",0.007,0.022,0.015,0.013,0.138,0.881,0.828,0.05,0.633,0.448
"P36","Mauricio Macri por Juntos por el Cambio",0.939,0.761,0.859,0.847,0.464,0.041,0.039,0.536,0.03,0.081
"P36","No sabe",0.054,0.217,0.126,0.14,0.398,0.078,0.133,0.414,0.337,0.471
"P37","Alberto Fernández",0.055,0.011,0.016,0.005,0.094,0.85,0.812,0.053,0.672,0.438
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.788,0.907,0.817,0.814,0.594,0.022,0.054,0.382,0.059,0.105
"P37","No sabe",0.157,0.082,0.167,0.181,0.312,0.128,0.134,0.565,0.269,0.457
"P38","Sergio Massa por el Frente de Todos",0.054,0.078,0.013,0.024,0.231,0.773,0.957,0.036,0.655,0.448
"P38","Patricia Bullrich por Juntos por el Cambio",0.859,0.717,0.941,0.77,0.478,0.044,0.023,0.619,0.058,0.085
"P38","No sabe",0.087,0.205,0.046,0.206,0.291,0.183,0.02,0.345,0.287,0.467
"P39","Alberto Fernández por el Frente de Todos",0.032,0.054,0.007,0.013,0.133,0.89,0.859,0.015,0.653,0.441
"P39","Patricia Bullrich por Juntos por el Cambio",0.922,0.783,0.973,0.847,0.48,0.025,0.02,0.65,0.053,0.079
"P39","No sabe",0.046,0.163,0.02,0.14,0.387,0.085,0.121,0.335,0.294,0.48
"P40","Mauricio Macri por Juntos por el Cambio",0.835,0.555,0.626,0.553,0.288,0.097,0.126,0.012,0.049,0.151
"P40","Javier Milei por los liberales libertarios",0.137,0.252,0.272,0.295,0.279,0.07,0.072,0.919,0.042,0.043
"P40","No sabe",0.028,0.193,0.102,0.152,0.433,0.833,0.802,0.069,0.909,0.806
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.692,0.889,0.603,0.696,0.533,0.073,0.109,0.018,0.092,0.137
"P41","Javier Milei por los liberales libertarios",0.19,0.036,0.275,0.175,0.159,0.082,0.063,0.957,0.046,0.06
"P41","No sabe",0.118,0.075,0.122,0.129,0.308,0.845,0.828,0.025,0.862,0.803
"P42","Patricia Bullrich por Juntos por el Cambio",0.835,0.59,0.863,0.693,0.344,0.037,0.029,0.032,0.103,0.075
"P42","Javier Milei por los liberales libertarios",0.118,0.171,0.099,0.2,0.216,0.062,0.107,0.917,0.04,0.097
"P42","No sabe",0.047,0.239,0.038,0.107,0.44,0.901,0.864,0.051,0.857,0.828
"P43","Muy buena",0.104,0.071,0.126,0.079,0.033,0.176,0.096,0.002,0.109,0.017
"P43","Buena",0.022,0.057,0.02,0.009,0.057,0.379,0.349,0.101,0.059,0.19
"P43","Ni buena ni mala",0.019,0.024,0.025,0.094,0.15,0.347,0.423,0.017,0.406,0.421
"P43","Mala",0.059,0.172,0.095,0.088,0.131,0.054,0.105,0.1,0.31,0.119
"P43","Muy mala",0.796,0.646,0.729,0.73,0.629,0.044,0.027,0.77,0.116,0.239
"P43","No sabe",0,0.03,0.005,0,0,0,0,0.01,0,0.014
"P44","Muy buena",0.038,0.014,0.003,0,0.011,0.225,0.099,0.002,0.017,0.041
"P44","Buena",0.002,0.039,0.005,0.018,0.034,0.433,0.327,0.003,0.079,0.173
"P44","Ni buena ni mala",0.01,0.027,0.029,0.069,0.146,0.246,0.399,0.043,0.309,0.404
"P44","Mala",0.06,0.163,0.083,0.123,0.172,0.057,0.13,0.114,0.444,0.156
"P44","Muy mala",0.888,0.727,0.876,0.762,0.637,0.039,0.041,0.836,0.151,0.214
"P44","No sabe",0.002,0.03,0.004,0.028,0,0,0.004,0.002,0,0.012
"P45","Muy buena",0.02,0.04,0.012,0.005,0.065,0.618,0.62,0.009,0.409,0.472
"P45","Buena",0,0.005,0.007,0.008,0.021,0.187,0.174,0.009,0.215,0.088
"P45","Ni buena ni mala",0.013,0.037,0.008,0.064,0.082,0.079,0.095,0.016,0.134,0.155
"P45","Mala",0.028,0.077,0.042,0.064,0.109,0.047,0.064,0.064,0.072,0.035
"P45","Muy mala",0.93,0.84,0.926,0.849,0.719,0.059,0.047,0.899,0.17,0.215
"P45","No sabe",0.009,0.001,0.005,0.01,0.004,0.01,0,0.003,0,0.035
"P46","Muy buena",0.609,0.09,0.224,0.1,0.081,0.038,0.099,0.025,0.094,0.054
"P46","Buena",0.216,0.29,0.377,0.345,0.134,0.036,0.028,0.13,0.018,0.026
"P46","Ni buena ni mala",0.048,0.364,0.204,0.304,0.233,0.09,0.037,0.309,0.037,0.138
"P46","Mala",0.023,0.11,0.05,0.13,0.181,0.169,0.141,0.255,0.075,0.161
"P46","Muy mala",0.101,0.144,0.143,0.121,0.368,0.65,0.694,0.266,0.725,0.578
"P46","No sabe",0.003,0.002,0.002,0,0.003,0.017,0.001,0.015,0.051,0.043
"P47","Muy buena",0.285,0.478,0.155,0.173,0.068,0.01,0.031,0.03,0.022,0.011
"P47","Buena",0.377,0.432,0.408,0.463,0.324,0.036,0.029,0.14,0.026,0.101
"P47","Ni buena ni mala",0.183,0.055,0.318,0.264,0.245,0.191,0.101,0.241,0.053,0.161
"P47","Mala",0.081,0.012,0.062,0.05,0.151,0.235,0.257,0.213,0.295,0.157
"P47","Muy mala",0.053,0.014,0.056,0.006,0.193,0.465,0.575,0.367,0.604,0.494
"P47","No sabe",0.021,0.009,0.001,0.044,0.019,0.063,0.007,0.009,0,0.076
"P48","Muy buena",0.037,0.076,0.024,0.044,0.031,0.103,0.325,0.002,0.028,0.015
"P48","Buena",0.057,0.148,0.063,0.076,0.104,0.338,0.388,0.05,0.07,0.171
"P48","Ni buena ni mala",0.082,0.112,0.087,0.122,0.246,0.281,0.184,0.086,0.292,0.383
"P48","Mala",0.132,0.275,0.184,0.144,0.2,0.058,0.043,0.198,0.3,0.163
"P48","Muy mala",0.686,0.379,0.638,0.57,0.412,0.128,0.06,0.643,0.303,0.225
"P48","No sabe",0.006,0.01,0.004,0.044,0.007,0.092,0,0.021,0.007,0.043
"P49","Muy buena",0.487,0.19,0.636,0.201,0.069,0.019,0.042,0.17,0.034,0.013
"P49","Buena",0.244,0.293,0.213,0.35,0.248,0.098,0.047,0.282,0.012,0.072
"P49","Ni buena ni mala",0.126,0.311,0.041,0.235,0.231,0.103,0.051,0.274,0.081,0.186
"P49","Mala",0.026,0.086,0.026,0.122,0.163,0.094,0.113,0.107,0.098,0.125
"P49","Muy mala",0.111,0.09,0.083,0.092,0.289,0.592,0.735,0.153,0.775,0.559
"P49","No sabe",0.006,0.03,0.001,0,0,0.094,0.012,0.014,0,0.045
"P50","Muy buena",0.157,0.047,0.198,0.11,0.023,0.023,0.026,0.596,0.021,0.004
"P50","Buena",0.169,0.164,0.231,0.133,0.197,0.011,0.025,0.254,0.024,0.058
"P50","Ni buena ni mala",0.32,0.332,0.361,0.321,0.309,0.124,0.082,0.078,0.009,0.188
"P50","Mala",0.17,0.195,0.114,0.176,0.129,0.162,0.151,0.012,0.06,0.124
"P50","Muy mala",0.141,0.227,0.083,0.191,0.316,0.582,0.715,0.06,0.886,0.552
"P50","No sabe",0.043,0.035,0.013,0.069,0.026,0.098,0.001,0,0,0.074
"P51","Muy buena",0.256,0.282,0.185,0.486,0.095,0.007,0.014,0.109,0.005,0.016
"P51","Buena",0.395,0.32,0.437,0.295,0.359,0.042,0.011,0.147,0.085,0.072
"P51","Ni buena ni mala",0.227,0.251,0.235,0.137,0.164,0.079,0.056,0.279,0.04,0.163
"P51","Mala",0.062,0.08,0.078,0.02,0.154,0.153,0.158,0.177,0.196,0.093
"P51","Muy mala",0.053,0.036,0.054,0.027,0.218,0.626,0.75,0.284,0.674,0.569
"P51","No sabe",0.007,0.031,0.011,0.035,0.01,0.093,0.011,0.004,0,0.087
"P52","Muy buena",0.07,0.11,0.075,0.162,0.399,0.04,0.022,0.037,0,0.027
"P52","Buena",0.184,0.255,0.218,0.179,0.224,0.026,0.103,0.096,0.083,0.088
"P52","Ni buena ni mala",0.333,0.39,0.388,0.42,0.233,0.371,0.414,0.353,0.373,0.336
"P52","Mala",0.167,0.098,0.168,0.07,0.077,0.174,0.142,0.149,0.263,0.126
"P52","Muy mala",0.208,0.041,0.111,0.066,0.043,0.252,0.29,0.291,0.281,0.246
"P52","No sabe",0.038,0.106,0.04,0.103,0.024,0.137,0.029,0.074,0,0.177
"P53","Siempre",0.389,0.293,0.331,0.195,0.288,0.344,0.336,0.244,0.233,0.233
"P53","Casi siempre",0.398,0.471,0.416,0.59,0.484,0.352,0.442,0.325,0.537,0.44
"P53","Casi nunca",0.145,0.177,0.194,0.164,0.157,0.197,0.132,0.323,0.171,0.201
"P53","Nunca, pero esta es una excepción",0.068,0.059,0.059,0.051,0.071,0.107,0.09,0.108,0.059,0.126
"P54","Si",0.67,0.644,0.531,0.514,0.662,0.627,0.555,0.626,0.488,0.512
"P54","No",0.33,0.356,0.469,0.486,0.338,0.373,0.445,0.374,0.512,0.488
