"var","categoria","Alberto Fernández por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","No sabe"
"P43","Ni buena ni mala",0.396,0.024,0.212
"P43","Mala",0.094,0.078,0.182
"P43","Muy mala",0.029,0.781,0.45
"P43","No sabe",0.002,0,0.024
"P44","Muy buena",0.133,0.011,0.025
"P44","Buena",0.368,0.007,0.037
"P44","Ni buena ni mala",0.342,0.02,0.218
"P44","Mala",0.133,0.083,0.183
"P44","Muy mala",0.02,0.875,0.524
"P44","No sabe",0.004,0.004,0.013
"P45","Muy buena",0.644,0.011,0.15
"P45","Buena",0.184,0.003,0.048
"P45","Ni buena ni mala",0.097,0.011,0.097
"P45","Mala",0.032,0.045,0.106
"P45","Muy mala",0.036,0.925,0.587
"P45","No sabe",0.007,0.005,0.012
"P46","Muy buena",0.071,0.279,0.026
"P46","Buena",0.023,0.317,0.032
"P46","Ni buena ni mala",0.056,0.216,0.204
"P46","Mala",0.152,0.072,0.218
"P46","Muy mala",0.686,0.114,0.489
"P46","No sabe",0.012,0.002,0.031
"P47","Muy buena",0.017,0.209,0.05
"P47","Buena",0.024,0.376,0.153
"P47","Ni buena ni mala",0.124,0.232,0.222
"P47","Mala",0.253,0.091,0.154
"P47","Muy mala",0.554,0.078,0.395
"P47","No sabe",0.028,0.014,0.026
"P48","Muy buena",0.178,0.039,0.047
"P48","Buena",0.327,0.066,0.134
"P48","Ni buena ni mala",0.279,0.081,0.193
"P48","Mala",0.09,0.165,0.209
"P48","Muy mala",0.094,0.638,0.389
"P48","No sabe",0.032,0.011,0.028
"P49","Muy buena",0.016,0.453,0.097
"P49","Buena",0.042,0.274,0.158
"P49","Ni buena ni mala",0.075,0.135,0.242
"P49","Mala",0.113,0.044,0.129
"P49","Muy mala",0.716,0.088,0.342
"P49","No sabe",0.038,0.006,0.032
"P50","Muy buena",0.01,0.244,0.197
"P50","Buena",0.018,0.207,0.158
"P50","Ni buena ni mala",0.084,0.3,0.187
"P50","Mala",0.155,0.119,0.088
"P50","Muy mala",0.694,0.106,0.337
"P50","No sabe",0.039,0.024,0.033
"P51","Muy buena",0.006,0.223,0.077
"P51","Buena",0.018,0.376,0.144
"P51","Ni buena ni mala",0.058,0.247,0.186
"P51","Mala",0.163,0.078,0.15
"P51","Muy mala",0.708,0.068,0.405
"P51","No sabe",0.047,0.008,0.038
"P52","Muy buena",0.018,0.092,0.085
"P52","Buena",0.078,0.198,0.106
"P52","Ni buena ni mala",0.392,0.361,0.35
"P52","Mala",0.173,0.156,0.101
"P52","Muy mala",0.261,0.137,0.27
"P52","No sabe",0.078,0.056,0.088
"P53","Siempre",0.339,0.313,0.248
"P53","Casi siempre",0.411,0.429,0.39
"P53","Casi nunca",0.156,0.192,0.254
"P53","Nunca, pero esta es una excepción",0.094,0.066,0.108
"P54","Si",0.603,0.6,0.528
"P54","No",0.397,0.4,0.472
