"var","categoria","Alberto Fernández por el Frente de Todos","Mauricio Macri por Juntos por el Cambio","Javier Milei por los liberales libertarios","Al candidato del Frente de Izquierda","No sabe"
"P28","Javier Milei por los liberales libertarios",0.005,0.11,0.909,0.035,0.023
"P28","Al candidato del Frente de Izquierda",0.011,0.006,0.002,0.809,0.026
"P28","No sabe",0.063,0.118,0.017,0.05,0.694
"P29","Sergio Massa por el Frente de Todos",0.823,0.015,0.006,0.277,0.241
"P29","Horacio Rodríguez Larreta por Juntos por el Cambio",0.027,0.754,0.087,0.04,0.156
"P29","Javier Milei por los liberales libertarios",0.011,0.125,0.887,0.038,0.02
"P29","Al candidato del Frente de Izquierda",0.023,0.002,0.013,0.615,0.018
"P29","No sabe",0.116,0.104,0.007,0.03,0.565
"P30","Sergio Massa por el Frente de Todos",0.762,0.059,0.013,0.211,0.254
"P30","Patricia Bullrich por Juntos por el Cambio",0.082,0.827,0.171,0.048,0.163
"P30","Javier Milei por los liberales libertarios",0.014,0.057,0.798,0.005,0.02
"P30","Al candidato del Frente de Izquierda",0.018,0.001,0.001,0.696,0.015
"P30","No sabe",0.124,0.056,0.017,0.04,0.548
"P32","Alberto Fernández por el Frente de Todos",0.853,0.093,0.017,0.061,0.118
"P32","Patricia Bullrich por Juntos por el Cambio",0.082,0.783,0.165,0.058,0.156
"P32","Javier Milei por los liberales libertarios",0.001,0.06,0.805,0.036,0.03
"P32","Al candidato del Frente de Izquierda",0.015,0.004,0,0.794,0.04
"P32","No sabe",0.049,0.06,0.013,0.051,0.656
"P34","Sergio Massa por el Frente de Todos",0.881,0.024,0.067,0.634,0.36
"P34","Mauricio Macri por Juntos por el Cambio",0.027,0.952,0.539,0.03,0.139
"P34","No sabe",0.092,0.024,0.394,0.336,0.501
"P35","Sergio Massa",0.879,0.02,0.085,0.63,0.343
"P35","Horacio Rodríguez Larreta por Juntos por el Cambio",0.026,0.884,0.46,0.056,0.24
"P35","No sabe",0.095,0.096,0.455,0.314,0.417
"P36","Alberto Fernández por el Frente de Todos",0.936,0.007,0.046,0.549,0.24
"P36","Mauricio Macri por Juntos por el Cambio",0.022,0.967,0.607,0.034,0.175
"P36","No sabe",0.042,0.026,0.347,0.417,0.585
"P37","Alberto Fernández",0.923,0.021,0.049,0.585,0.209
"P37","Horacio Rodríguez Larreta por Juntos por el Cambio",0.025,0.893,0.501,0.078,0.245
"P37","No sabe",0.052,0.086,0.45,0.337,0.546
"P38","Sergio Massa por el Frente de Todos",0.898,0.027,0.055,0.695,0.349
"P38","Patricia Bullrich por Juntos por el Cambio",0.035,0.921,0.676,0.078,0.206
"P38","No sabe",0.067,0.052,0.269,0.227,0.445
"P39","Alberto Fernández por el Frente de Todos",0.946,0.014,0.033,0.661,0.235
"P39","Patricia Bullrich por Juntos por el Cambio",0.025,0.954,0.716,0.072,0.249
"P39","No sabe",0.029,0.032,0.251,0.267,0.516
"P40","Mauricio Macri por Juntos por el Cambio",0.131,0.838,0.038,0.062,0.126
"P40","Javier Milei por los liberales libertarios",0.06,0.13,0.882,0.068,0.113
"P40","No sabe",0.809,0.032,0.08,0.87,0.761
"P41","Horacio Rodríguez Larreta por Juntos por el Cambio",0.09,0.788,0.086,0.159,0.258
"P41","Javier Milei por los liberales libertarios",0.059,0.122,0.873,0.042,0.08
"P41","No sabe",0.851,0.09,0.041,0.799,0.662
"P42","Patricia Bullrich por Juntos por el Cambio",0.037,0.89,0.14,0.115,0.225
"P42","Javier Milei por los liberales libertarios",0.066,0.073,0.801,0.008,0.078
"P42","No sabe",0.897,0.037,0.059,0.877,0.697
"P43","Muy buena",0.15,0.105,0.015,0.092,0.051
"P43","Buena",0.377,0.021,0.101,0.08,0.113
"P43","Ni buena ni mala",0.393,0.01,0.036,0.401,0.32
"P43","Mala",0.051,0.081,0.094,0.297,0.203
"P43","Muy mala",0.028,0.78,0.747,0.13,0.307
"P43","No sabe",0.001,0.003,0.007,0,0.006
"P44","Muy buena",0.168,0.014,0.003,0.046,0.016
"P44","Buena",0.411,0.012,0.005,0.073,0.083
"P44","Ni buena ni mala",0.317,0.01,0.067,0.348,0.311
"P44","Mala",0.078,0.081,0.102,0.386,0.207
"P44","Muy mala",0.023,0.874,0.821,0.147,0.372
"P44","No sabe",0.003,0.009,0.002,0,0.011
"P45","Muy buena",0.679,0.017,0.017,0.39,0.263
"P45","Buena",0.181,0.002,0.017,0.159,0.075
"P45","Ni buena ni mala",0.069,0.011,0.018,0.171,0.13
"P45","Mala",0.035,0.033,0.065,0.119,0.099
"P45","Muy mala",0.036,0.93,0.881,0.161,0.414
"P45","No sabe",0,0.007,0.002,0,0.019
"P46","Muy buena",0.069,0.391,0.035,0.068,0.051
"P46","Buena",0.032,0.332,0.192,0.015,0.056
"P46","Ni buena ni mala",0.062,0.145,0.278,0.079,0.204
"P46","Mala",0.163,0.027,0.21,0.112,0.161
"P46","Muy mala",0.665,0.1,0.274,0.687,0.516
"P46","No sabe",0.009,0.005,0.011,0.039,0.012
"P47","Muy buena",0.013,0.265,0.068,0.038,0.06
"P47","Buena",0.015,0.43,0.225,0.052,0.163
"P47","Ni buena ni mala",0.125,0.213,0.241,0.098,0.238
"P47","Mala",0.262,0.052,0.171,0.256,0.124
"P47","Muy mala",0.554,0.03,0.279,0.539,0.377
"P47","No sabe",0.031,0.01,0.016,0.017,0.038
"P48","Muy buena",0.2,0.043,0.031,0.044,0.074
"P48","Buena",0.361,0.077,0.06,0.165,0.172
"P48","Ni buena ni mala",0.254,0.076,0.095,0.26,0.273
"P48","Mala",0.067,0.169,0.18,0.308,0.157
"P48","Muy mala",0.085,0.628,0.618,0.21,0.3
"P48","No sabe",0.033,0.007,0.016,0.013,0.024
"P49","Muy buena",0.026,0.527,0.231,0.061,0.095
"P49","Buena",0.064,0.263,0.273,0.017,0.109
"P49","Ni buena ni mala",0.068,0.094,0.245,0.089,0.198
"P49","Mala",0.108,0.042,0.093,0.137,0.095
"P49","Muy mala",0.7,0.071,0.157,0.696,0.457
"P49","No sabe",0.034,0.003,0.001,0,0.046
"P50","Muy buena",0.012,0.117,0.538,0.039,0.011
"P50","Buena",0.022,0.188,0.297,0.008,0.047
"P50","Ni buena ni mala",0.1,0.381,0.106,0.026,0.22
"P50","Mala",0.155,0.158,0.01,0.115,0.169
"P50","Muy mala",0.663,0.128,0.047,0.812,0.496
"P50","No sabe",0.048,0.028,0.002,0,0.057
"P51","Muy buena",0.012,0.267,0.13,0,0.033
"P51","Buena",0.016,0.42,0.232,0.077,0.152
"P51","Ni buena ni mala",0.063,0.222,0.231,0.102,0.2
"P51","Mala",0.162,0.047,0.162,0.192,0.113
"P51","Muy mala",0.706,0.037,0.238,0.623,0.435
"P51","No sabe",0.041,0.007,0.007,0.006,0.067
"P52","Muy buena",0.027,0.095,0.076,0.019,0.085
"P52","Buena",0.075,0.204,0.138,0.062,0.155
"P52","Ni buena ni mala",0.412,0.382,0.339,0.369,0.32
"P52","Mala",0.153,0.161,0.134,0.241,0.129
"P52","Muy mala",0.263,0.124,0.236,0.301,0.206
"P52","No sabe",0.07,0.034,0.077,0.008,0.105
"P53","Siempre",0.345,0.322,0.298,0.24,0.274
"P53","Casi siempre",0.402,0.448,0.346,0.501,0.443
"P53","Casi nunca",0.169,0.172,0.263,0.17,0.181
"P53","Nunca, pero esta es una excepción",0.084,0.058,0.093,0.089,0.102
"P54","Si",0.596,0.579,0.631,0.545,0.566
"P54","No",0.404,0.421,0.369,0.455,0.434
